,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
4509,1017664613821775900,"['rsg', 'increase', 'their', 'stake', 'in', 'msr', 'to', 'gold']",Fri Jul 13 06:58:45 +0000 2018,MeepMeep_Trader,RSG,Republic Services,,False,5.796666666666667
4521,1017666001377169400,"['rt', 'meepmeeptrader', 'rsg', 'increase', 'their', 'stake', 'in', 'msr', 'to', 'gold']",Fri Jul 13 07:04:16 +0000 2018,lucky_feller,RSG,Republic Services,,False,5.665714285714286
4586,1017691431308316700,"['scan', 'results', 'macd', 'bearish', 'signal', 'line', 'cross', 'today', 'iri', 'ora', 'pac', 'aog', 'sun', 'wpl', 'ezl', 'rsg', 'httpstcohsuztcikyp']",Fri Jul 13 08:45:19 +0000 2018,SwingTradeAsx,RSG,Republic Services,https://asx.swingtradebot.com/events/65/equities?selected_date=2018-07-13,False,5.685
5340,1017832471512182800,"['what', 'next', 'for', 'republic', 'services', 'inc', 'rsg', 'stock', 'after', 'reaching', 'week', 'high', 'httpstcodcpuicgnjn']",Fri Jul 13 18:05:46 +0000 2018,whatsonthorold2,RSG,Republic Services,https://www.whatsonthorold.com/2018/07/13/what-next-for-republic-services-inc-rsg-stock-after-reaching-52-week-high/,False,5.469090909090909
5342,1017832568790634500,"['republic', 'services', 'inc', 'rsg', 'hit', 'week', 'high', 'httpstcosfaxhco']",Fri Jul 13 18:06:09 +0000 2018,mmahotstuff1,RSG,Republic Services,https://www.mmahotstuff.com/2018/07/13/republic-services-inc-rsg-hit-52-week-high.html,False,5.4366666666666665
5464,1017859830265077800,"['rsg', 'high', 'oi', 'range', 'is', 'to', 'for', 'option', 'expiration', 'maxpain', 'options', 'httpstcowyurulzvuu', 'httpstcopyxmraqoqk']",Fri Jul 13 19:54:29 +0000 2018,optioncharts,RSG,Republic Services,http://maximum-pain.com/options/open-interest/RSG,False,5.5775
5677,1017935194857332700,"['rsg', 'alert', 'new', 'republic', 'services', 'inc', 'sec', 'filing', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Sat Jul 14 00:53:57 +0000 2018,Allstocknews,RSG,Republic Services,,False,5.541666666666667
5679,1017935338076102700,"['rsg', 'new', 'insider', 'selling', 'shares', 'httpstcogtwlmuardc']",Sat Jul 14 00:54:31 +0000 2018,insiderbuyings,RSG,Republic Services,http://insiderbuyingselling.com/?t=RSG,False,6.419999999999999
5680,1017935577952456700,"['rsg', 'republic', 'services', 'inc', 'sec', 'filing', 'form', 'httpstcowhflpwnfa']",Sat Jul 14 00:55:28 +0000 2018,StockTexts,RSG,Republic Services,http://www.sec.gov/Archives/edgar/data/1060391/000120919118042588/xslF345X03/doc4.xml,False,5.303333333333334
5736,1017962145508495400,"['not', 'sure', 'what', 'to', 'do', 'with', 'rsg', 'explore', 'our', 'fundamental', 'pros', 'and', 'cons', 'httpstcojmedchto']",Sat Jul 14 02:41:02 +0000 2018,1MinuteStock,RSG,Republic Services,https://unicornbay.com/t/RSG.US?utm_medium=tweet&utm_campaign=notsureproscons&utm_source=twitter,False,5.484999999999999
