,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
15071,1019272016493465600,"['rt', 'morganlbrennan', 'with', 'helsinki', 'underway', 'worth', 'noting', 'that', 'in', 'the', 'past', 'year', 'the', 'us', 'has', 'approved', 'foreign', 'military', 'sales', 'of', 'javelin']",Tue Jul 17 17:26:00 +0000 2018,lj2lj2,RTN,Raytheon Company,,False,5.444705882352942
15086,1019272712399786000,"['rt', 'morganlbrennan', 'with', 'helsinki', 'underway', 'worth', 'noting', 'that', 'in', 'the', 'past', 'year', 'the', 'us', 'has', 'approved', 'foreign', 'military', 'sales', 'of', 'javelin']",Tue Jul 17 17:28:46 +0000 2018,comparisons,RTN,Raytheon Company,,False,5.444705882352942
15109,1019274124051480600,"['rt', 'morganlbrennan', 'with', 'helsinki', 'underway', 'worth', 'noting', 'that', 'in', 'the', 'past', 'year', 'the', 'us', 'has', 'approved', 'foreign', 'military', 'sales', 'of', 'javelin']",Tue Jul 17 17:34:23 +0000 2018,Okra84,RTN,Raytheon Company,,False,5.444705882352942
15117,1019274514096533500,"['rt', 'morganlbrennan', 'with', 'helsinki', 'underway', 'worth', 'noting', 'that', 'in', 'the', 'past', 'year', 'the', 'us', 'has', 'approved', 'foreign', 'military', 'sales', 'of', 'javelin']",Tue Jul 17 17:35:56 +0000 2018,DaveWil19942760,RTN,Raytheon Company,,False,5.444705882352942
15156,1019276425961099300,"['rt', 'morganlbrennan', 'with', 'helsinki', 'underway', 'worth', 'noting', 'that', 'in', 'the', 'past', 'year', 'the', 'us', 'has', 'approved', 'foreign', 'military', 'sales', 'of', 'javelin']",Tue Jul 17 17:43:31 +0000 2018,loumcadory,RTN,Raytheon Company,,False,5.444705882352942
15179,1019277921012404200,"['rt', 'morganlbrennan', 'with', 'helsinki', 'underway', 'worth', 'noting', 'that', 'in', 'the', 'past', 'year', 'the', 'us', 'has', 'approved', 'foreign', 'military', 'sales', 'of', 'javelin']",Tue Jul 17 17:49:28 +0000 2018,rjparrish48,RTN,Raytheon Company,,False,5.444705882352942
15186,1019278785005473800,"['rt', 'morganlbrennan', 'with', 'helsinki', 'underway', 'worth', 'noting', 'that', 'in', 'the', 'past', 'year', 'the', 'us', 'has', 'approved', 'foreign', 'military', 'sales', 'of', 'javelin']",Tue Jul 17 17:52:54 +0000 2018,connie2589,RTN,Raytheon Company,,False,5.444705882352942
15229,1019280626007101400,"['rt', 'morganlbrennan', 'with', 'helsinki', 'underway', 'worth', 'noting', 'that', 'in', 'the', 'past', 'year', 'the', 'us', 'has', 'approved', 'foreign', 'military', 'sales', 'of', 'javelin']",Tue Jul 17 18:00:13 +0000 2018,sharonhg0,RTN,Raytheon Company,,False,5.444705882352942
15278,1019283706559717400,"['rt', 'morganlbrennan', 'with', 'helsinki', 'underway', 'worth', 'noting', 'that', 'in', 'the', 'past', 'year', 'the', 'us', 'has', 'approved', 'foreign', 'military', 'sales', 'of', 'javelin']",Tue Jul 17 18:12:27 +0000 2018,Roy_Cam,RTN,Raytheon Company,,False,5.444705882352942
15324,1019286619336175600,"['rtn', 'raytheon', 'demos', 'small', 'xband', 'precision', 'approach', 'radar', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Tue Jul 17 18:24:02 +0000 2018,Allstocknews,RTN,Raytheon Company,,False,5.474285714285714
15557,1019298668749484000,"['rt', 'morganlbrennan', 'with', 'helsinki', 'underway', 'worth', 'noting', 'that', 'in', 'the', 'past', 'year', 'the', 'us', 'has', 'approved', 'foreign', 'military', 'sales', 'of', 'javelin']",Tue Jul 17 19:11:54 +0000 2018,Irene12990443,RTN,Raytheon Company,,False,5.444705882352942
15928,1019315239496638500,"['strong', 'earnings', 'stocks', 'to', 'buy', 'postnetflix', 'plunge', 'nflx', 'httpstcottjpxxjdsz', 'fb', 'googl', 'rtn', 'vfc', 'zion']",Tue Jul 17 20:17:45 +0000 2018,JorelLaraKalel,RTN,Raytheon Company,http://bit.ly/2Npo6S1,False,6.017142857142857
15939,1019315791370575900,"['rt', 'jorellarakalel', 'strong', 'earnings', 'stocks', 'to', 'buy', 'postnetflix', 'plunge', 'nflx', 'httpstcottjpxxjdsz', 'fb', 'googl', 'rtn', 'vfc', 'zion']",Tue Jul 17 20:19:57 +0000 2018,ChrissyPetrill1,RTN,Raytheon Company,http://bit.ly/2Npo6S1,False,5.875
16024,1019319121782112300,"['strong', 'earnings', 'stocks', 'to', 'buy', 'postnetflix', 'plunge', 'nflx', 'googl', 'vfc', 'zion', 'fb', 'rtn', 'httpstcoxhmdpclw']",Tue Jul 17 20:33:11 +0000 2018,TopStockAlerts1,RTN,Raytheon Company,https://investorplace.com/2018/07/5-strong-earnings-stocks-to-buy-post-netflix-plunge/,False,6.017142857142858
16032,1019319536586125300,"['rt', 'topstockalerts', 'strong', 'earnings', 'stocks', 'to', 'buy', 'postnetflix', 'plunge', 'nflx', 'googl', 'vfc', 'zion', 'fb', 'rtn', 'httpstcoxhmdpclw']",Tue Jul 17 20:34:50 +0000 2018,MrsVipPat,RTN,Raytheon Company,https://investorplace.com/2018/07/5-strong-earnings-stocks-to-buy-post-netflix-plunge/,False,5.875
16045,1019319883094360000,"['rt', 'jorellarakalel', 'strong', 'earnings', 'stocks', 'to', 'buy', 'postnetflix', 'plunge', 'nflx', 'httpstcottjpxxjdsz', 'fb', 'googl', 'rtn', 'vfc', 'zion']",Tue Jul 17 20:36:12 +0000 2018,MrsVipPat,RTN,Raytheon Company,http://bit.ly/2Npo6S1,False,5.875
16356,1019334192755363800,"['in', 'the', 'daily', 'bar', 'chart', 'of', 'rtn', 'below', 'we', 'can', 'see', 'a', 'mixed', 'picture', 'with', 'our', 'favorite', 'set', 'of', 'indicators', 'the', 'stock', 'is', 'httpstcoepjqsyfu']",Tue Jul 17 21:33:04 +0000 2018,realmoney,RTN,Raytheon Company,https://twitter.com/i/web/status/1019334192755363841,False,5.573333333333334
16424,1019338433871966200,"['rt', 'realmoney', 'in', 'the', 'daily', 'bar', 'chart', 'of', 'rtn', 'below', 'we', 'can', 'see', 'a', 'mixed', 'picture', 'with', 'our', 'favorite', 'set', 'of', 'indicators', 'the', 'stock', 'is', 'below', 'th']",Tue Jul 17 21:49:55 +0000 2018,sep_sal,RTN,Raytheon Company,,False,5.462500000000001
16531,1019343250132480000,"['raytheon', 'co', 'has', 'been', 'correcting', 'its', 'strong', 'gains', 'from', 'the', 'past', 'three', 'months', 'at', 'any', 'given', 'point', 'in', 'time', 'a', 'st', 'httpstcofpkiprjvd']",Tue Jul 17 22:09:03 +0000 2018,realmoney,RTN,Raytheon Company,https://twitter.com/i/web/status/1019343250132480000,False,5.384210526315789
16659,1019350811552485400,"['rt', 'realmoney', 'raytheon', 'co', 'has', 'been', 'correcting', 'its', 'strong', 'gains', 'from', 'the', 'past', 'three', 'months', 'at', 'any', 'given', 'point', 'in', 'time', 'a', 'stock', 'chart']",Tue Jul 17 22:39:06 +0000 2018,BruceKamich,RTN,Raytheon Company,,False,5.397142857142857
16660,1019350851201196000,"['rt', 'realmoney', 'in', 'the', 'daily', 'bar', 'chart', 'of', 'rtn', 'below', 'we', 'can', 'see', 'a', 'mixed', 'picture', 'with', 'our', 'favorite', 'set', 'of', 'indicators', 'the', 'stock', 'is', 'below', 'th']",Tue Jul 17 22:39:16 +0000 2018,BruceKamich,RTN,Raytheon Company,,False,5.462500000000001
21974,1019601823697686500,"['raytheon', 'rtn', 'upgraded', 'at', 'zacks', 'investment', 'research', 'httpstconjufxkda']",Wed Jul 18 15:16:32 +0000 2018,MareaInformativ,RTN,Raytheon Company,http://www.mareainformativa.com/?p=470327,False,5.726666666666667
22782,1019618346658984000,"['rtn', 'at', 'new', 'july', 'highs', 'heading', 'for', 'close', 'above', 'd', 'held', 'major', 'support', 'high', 'httpstcopyovczzu', 'at', 'june', 'httpstcoksrgcf']",Wed Jul 18 16:22:12 +0000 2018,GarySMorrow,RTN,Raytheon Company,https://lnkd.in/gDBTYud,False,5.678571428571429
23827,1019642679682928600,"['raytheon', 'co', 'com', 'new', 'rtn', 'valuation', 'declined', 'while', 'piedmont', 'investment', 'advisors', 'llc', 'has', 'boosted', 'its', 'position', 'httpstcofuarxtud']",Wed Jul 18 17:58:53 +0000 2018,Fanob_stock,RTN,Raytheon Company,http://fanob.com/2018/07/18/raytheon-co-com-new-rtn-valuation-declined-while-piedmont-investment-advisors-llc-has-boosted-its-position/,False,5.253333333333334
23867,1019643164804644900,"['piedmont', 'investment', 'advisors', 'llc', 'has', 'upped', 'its', 'raytheon', 'co', 'com', 'new', 'rtn', 'position', 'by', 'million', 'as', 'market', 'value', 'declined']",Wed Jul 18 18:00:49 +0000 2018,reurope_stock,RTN,Raytheon Company,,False,5.567692307692308
