,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
25793,1019682854974894100,"['if', 'yall', 'are', 'interested', 'in', 'stocks', 'and', 'shiz', 'you', 'and', 'i', 'get', 'a', 'free', 'stock', 'to', 'mess', 'with', 'if', 'you', 'use', 'my', 'invite', 'link', 'no', 't', 'httpstcocrmtvlci']",Wed Jul 18 20:38:32 +0000 2018,TigerPride_12,S,Sprint Corporation,https://twitter.com/i/web/status/1019682854974894080,False,5.523199999999999
25890,1019684290131628000,"['adilsonchris', 'wamagaisa', 'good', 'sound', 'fin', 'advic', 'frm', 'his', 'majesty', 'myself', 'if', 'u', 'anticipate', 'a', 'chamisa', 'win', 'sell', 'yo', 'us', 'httpstcokdkjfcq']",Wed Jul 18 20:44:14 +0000 2018,WallsGen,S,Sprint Corporation,https://twitter.com/i/web/status/1019684290131628037,False,5.880000000000001
25891,1019684304199258100,"['amp', 'amp', 's', 's', 's', 'd', 'sdd', 'httpstconwnxzgvlv']",Wed Jul 18 20:44:17 +0000 2018,abdelnaby_amera,S,Sprint Corporation,https://twitter.com/i/web/status/1019684304199258112,False,5.12
25926,1019684802608259100,"['rt', 'ducatio', 'nobby', 'bellaflokarti', 'notleytrevor', 'absurdpingvin', 'narelleford', 'ricklevy', 'clappsandra', 'olfella', 'rbjron', 'auzmon', 'donvoegt']",Wed Jul 18 20:46:16 +0000 2018,carolemorrissey,S,Sprint Corporation,,False,4.88
25997,1019686249584644100,"['zhe', 'shouldve', 'listened', 'to', 'the', 'russian', 'greens', 'when', 'they', 'publicly', 'warned', 'her', 'that', 'putin', 'was', 'using', 'her', 'guess', 'that', 'mill', 'httpstcoktsndvntkd']",Wed Jul 18 20:52:01 +0000 2018,AirborneChick,S,Sprint Corporation,https://twitter.com/i/web/status/1019686249584644096,False,5.1899999999999995
26029,1019686751479193600,"['purplehaze', 'donfromohio', 'saxyprince', 'cromscorner', 'mylesgorham', 'right', 'carries', 'weight', 'as', 'in', 's', 'against', 'the', 'cap', 'httpstcovfexwfvt']",Wed Jul 18 20:54:01 +0000 2018,ZenCupid,S,Sprint Corporation,https://twitter.com/i/web/status/1019686751479193602,False,5.135555555555555
26109,1019688370207895600,"['rt', 'shepersisted', 'hjelmruss', 'maddowblog', 'yeah', 'we', 'called', 'that', 'before', 'he', 'ever', 'left', 'us', 'soil', 'anything', 'that', 'benefits', 'russia', 'he', 'could', 'have', 'a']",Wed Jul 18 21:00:27 +0000 2018,margiegaie,S,Sprint Corporation,,False,5.53842105263158
26142,1019688896597282800,"['amp', 'amp', 's', 's', 's', 'd', 'sdd', 'httpstcozxtvrpw']",Wed Jul 18 21:02:32 +0000 2018,adfg12858048,S,Sprint Corporation,https://twitter.com/i/web/status/1019688896597282816,False,5.12
26144,1019688917208051700,"['amp', 'amp', 's', 's', 's', 'd', 'sdd', 'httpstcoutpnnij']",Wed Jul 18 21:02:37 +0000 2018,ahmed00328603,S,Sprint Corporation,https://twitter.com/i/web/status/1019688917208051713,False,5.12
26146,1019688931208650800,"['amp', 'amp', 's', 's', 's', 'd', 'sdd', 'httpstcoymiuasizh']",Wed Jul 18 21:02:40 +0000 2018,ahmed00700640,S,Sprint Corporation,https://twitter.com/i/web/status/1019688931208650753,False,5.12
26147,1019688946991796200,"['amp', 'amp', 's', 's', 's', 'd', 'sdd', 'httpstcoxxgjbae']",Wed Jul 18 21:02:44 +0000 2018,ahmed02344146,S,Sprint Corporation,https://twitter.com/i/web/status/1019688946991796224,False,5.12
26149,1019688959465705500,"['amp', 'amp', 's', 's', 's', 'd', 'sdd', 'httpstcoqkvisfrw']",Wed Jul 18 21:02:47 +0000 2018,ahmed06014313,S,Sprint Corporation,https://twitter.com/i/web/status/1019688959465705472,False,5.12
26150,1019688971515854800,"['amp', 'amp', 's', 's', 's', 'd', 'sdd', 'httpstcohvdlqwo']",Wed Jul 18 21:02:50 +0000 2018,ahmed20262820,S,Sprint Corporation,https://twitter.com/i/web/status/1019688971515854848,False,5.12
26152,1019688986846072800,"['amp', 'amp', 's', 's', 's', 'd', 'sdd', 'httpstcoxuosdqo']",Wed Jul 18 21:02:54 +0000 2018,ahmed30659700,S,Sprint Corporation,https://twitter.com/i/web/status/1019688986846072834,False,5.12
26155,1019689002230800400,"['amp', 'amp', 's', 's', 's', 'd', 'sdd', 'httpstconcvczbyvz']",Wed Jul 18 21:02:57 +0000 2018,ahmed32553320,S,Sprint Corporation,https://twitter.com/i/web/status/1019689002230800389,False,5.12
26157,1019689014989910000,"['amp', 'amp', 's', 's', 's', 'd', 'sdd', 'httpstcoffppgbhqy']",Wed Jul 18 21:03:00 +0000 2018,ahmed38015213,S,Sprint Corporation,https://twitter.com/i/web/status/1019689014989910016,False,5.12
26160,1019689037689491500,"['v', 'amp', 'amp', 's', 's', 's', 'd', 'sdd', 'httpstcohctfpir']",Wed Jul 18 21:03:06 +0000 2018,ahmed38692410,S,Sprint Corporation,https://twitter.com/i/web/status/1019689037689491457,False,5.054285714285714
26163,1019689054357647400,"['amp', 'amp', 's', 's', 's', 'd', 'sdd', 'httpstcowxhmcf']",Wed Jul 18 21:03:10 +0000 2018,ahmed44938615,S,Sprint Corporation,https://twitter.com/i/web/status/1019689054357647360,False,5.12
26254,1019690965303320600,"['rt', 'ifamericansknew', 'israel', 'is', 'using', 'americans', 'tax', 's', 'to', 'complete', 'its', 'manifest', 'destiny', 'meaning', 'clearly', 'this', 'land', 'would', 'be', 'convenient', 'f']",Wed Jul 18 21:10:45 +0000 2018,littleLishka,S,Sprint Corporation,,False,5.42
26262,1019691109193166800,"['chadpergram', 'ds', 'would', 'just', 'pss', 'away', 'the', 's', 'like', 'the', 's', 'given', 'to', 'pp', 'are', 'pssed', 'away']",Wed Jul 18 21:11:20 +0000 2018,DLasater_99362,S,Sprint Corporation,,False,5.204285714285715
26289,1019691480057868300,"['amp', 'amp', 's', 's', 's', 'd', 'sdd', 'httpstcoqwxjccly']",Wed Jul 18 21:12:48 +0000 2018,ahmed46276215,S,Sprint Corporation,https://twitter.com/i/web/status/1019691480057868288,False,5.12
26290,1019691493164974100,"['amp', 'amp', 's', 's', 's', 'd', 'sdd', 'httpstcoxjhxrognol']",Wed Jul 18 21:12:51 +0000 2018,ahmed83313616,S,Sprint Corporation,https://twitter.com/i/web/status/1019691493164974080,False,5.12
26291,1019691504737103900,"['amp', 'amp', 's', 's', 's', 'd', 'sdd', 'httpstcoklwihqg']",Wed Jul 18 21:12:54 +0000 2018,ahmed_bataa,S,Sprint Corporation,https://twitter.com/i/web/status/1019691504737103873,False,5.12
26292,1019691517227696100,"['amp', 'amp', 's', 's', 's', 'd', 'sdd', 'httpstcotxwegjft']",Wed Jul 18 21:12:57 +0000 2018,AnTiKaa14,S,Sprint Corporation,https://twitter.com/i/web/status/1019691517227696128,False,5.12
26294,1019691530607579100,"['amp', 'amp', 's', 's', 's', 'd', 'sdd', 'httpstcomcihljbvhh']",Wed Jul 18 21:13:00 +0000 2018,Dana05599069,S,Sprint Corporation,https://twitter.com/i/web/status/1019691530607579136,False,5.12
26298,1019691545728110600,"['amp', 'amp', 's', 's', 's', 'd', 'sdd', 'httpstcokcvoqwkufs']",Wed Jul 18 21:13:04 +0000 2018,F4VGhqcTZZ7LaI7,S,Sprint Corporation,https://twitter.com/i/web/status/1019691545728110593,False,5.12
26302,1019691556985622500,"['amp', 'amp', 's', 's', 's', 'd', 'sdd', 'httpstcoxquztypps']",Wed Jul 18 21:13:06 +0000 2018,Fahd12262851,S,Sprint Corporation,https://twitter.com/i/web/status/1019691556985622536,False,5.12
26304,1019691581572550700,"['amp', 'amp', 's', 's', 's', 'd', 'sdd', 'httpstcoisxhuscdp']",Wed Jul 18 21:13:12 +0000 2018,FahdAlShuaie1,S,Sprint Corporation,https://twitter.com/i/web/status/1019691581572550656,False,5.12
26305,1019691593476067300,"['amp', 'amp', 's', 's', 's', 'd', 'sdd', 'httpstcomlupuaicl']",Wed Jul 18 21:13:15 +0000 2018,FahdAlShuaie2,S,Sprint Corporation,https://twitter.com/i/web/status/1019691593476067328,False,5.12
26358,1019692598628405200,"['join', 'robinhoodapp', 'and', 'well', 'both', 'get', 'a', 'stock', 'like', 'aapl', 'f', 'or', 's', 'for', 'free', 'make', 'sure', 'to', 'use', 'my', 'link', 'httpstcoaaymown']",Wed Jul 18 21:17:15 +0000 2018,itscatsworld,S,Sprint Corporation,https://share.robinhood.com/catherk102,False,5.837894736842105
26360,1019692667482116100,"['fortnitegame', 'try', 'spending', 'some', 'of', 'the', 'billions', 'of', 's', 'you', 'have', 'made']",Wed Jul 18 21:17:31 +0000 2018,TrevorHack76,S,Sprint Corporation,,False,5.420000000000001
26416,1019693757439103000,"['join', 'robinhoodapp', 'and', 'well', 'both', 'get', 'a', 'stock', 'like', 'aapl', 'f', 'or', 's', 'for', 'free', 'make', 'sure', 'to', 'use', 'my', 'link', 'httpstcoxrnsjcob']",Wed Jul 18 21:21:51 +0000 2018,johnny2xboss,S,Sprint Corporation,https://twitter.com/i/web/status/1019693757439102976,False,5.837894736842105
26423,1019693953749307400,"['join', 'robinhoodapp', 'and', 'well', 'both', 'get', 'a', 'stock', 'like', 'aapl', 'f', 'or', 's', 'for', 'free', 'make', 'sure', 'to', 'use', 'my', 'link', 'free', 'stock', 'httpstcoaqrlxnjnjp']",Wed Jul 18 21:22:38 +0000 2018,Ronald_McJihad,S,Sprint Corporation,https://twitter.com/i/web/status/1019693953749307394,False,5.937142857142856
26424,1019693961882030100,"['join', 'robinhoodapp', 'and', 'well', 'both', 'get', 'a', 'stock', 'like', 'aapl', 'f', 'or', 's', 'for', 'free', 'make', 'sure', 'to', 'use', 'my', 'link', 'plus', 'you', 'ca', 'httpstcofngtatx']",Wed Jul 18 21:22:40 +0000 2018,codenamejason,S,Sprint Corporation,https://twitter.com/i/web/status/1019693961882030081,False,5.864545454545453
26436,1019694082887704600,"['la', 'accin', 'de', 'sprint', 'corporation', 's', 'alcanz', 'un', 'precio', 'de', 'dlares', 'al', 'cierre', 'de', 'hoy', 'para', 'una', 'variacin', 'de', 'httpstcopylrvcmf']",Wed Jul 18 21:23:09 +0000 2018,telconomia,S,Sprint Corporation,https://twitter.com/i/web/status/1019694082887704576,False,4.915
26443,1019694251007987700,"['rt', 'codenamejason', 'join', 'robinhoodapp', 'and', 'well', 'both', 'get', 'a', 'stock', 'like', 'aapl', 'f', 'or', 's', 'for', 'free', 'make', 'sure', 'to', 'use', 'my', 'link', 'plus', 'you', 'can', 'buy']",Wed Jul 18 21:23:49 +0000 2018,StartUpRealTime,S,Sprint Corporation,,False,5.862500000000001
26444,1019694252186619900,"['thehill', 'protestors', 'will', 'outnumber', 'viewers', 'and', 'drown', 'out', 'the', 'bands', 'golfing', 'trips', 'and', 'familys', 'business', 'trips', 'httpstconfmqrww']",Wed Jul 18 21:23:49 +0000 2018,mytweetology,S,Sprint Corporation,https://twitter.com/i/web/status/1019694252186619904,False,5.534545454545454
