,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
19486,1019541719006752800,"['rt', 'seekingalpha', 'aapl', 'apple', 'dis', 'ma', 'msft', 'nke', 'nvda', 'sbux', 't', 'v', 'ba', 'httpstcojmkotxxzr']",Wed Jul 18 11:17:42 +0000 2018,AviseAnalytics,SBUX,Starbucks Corporation,https://seekingalpha.com/article/4187962-top-5-dividend-stocks-young-investors-revisited?source=feed_f,False,5.251428571428571
19534,1019543959448752100,"['aapl', 'dis', 'ma', 'msft', 'nke', 'nvda', 'sbux', 't', 'v', 'ba', 'httpstcogdoieccy']",Wed Jul 18 11:26:36 +0000 2018,OLEGEFF,SBUX,Starbucks Corporation,https://seekingalpha.com/article/4187962-top-5-dividend-stocks-young-investors-revisited?source=tweet,False,4.888
20054,1019560638169792500,"['ben', 'cmcsa', 'cvs', 'hd', 'itw', 'low', 'rost', 'sbux', 'tjx', 'txn', 'httpstcormwygcnr']",Wed Jul 18 12:32:53 +0000 2018,SeekingAlpha,SBUX,Starbucks Corporation,https://seekingalpha.com/article/4187986-10-dividend-growth-stocks-july-2018?source=feed_f,False,4.86
20210,1019565146308522000,"['barclays', 'trims', 'starbucks', 'sbux', 'target', 'price', 'to', 'httpstcopuhwsqi']",Wed Jul 18 12:50:48 +0000 2018,TranscriptDaily,SBUX,Starbucks Corporation,http://zpr.io/6XeJZ,False,5.455
20452,1019570369584357400,"['wednesdays', 'top', 'analyst', 'upgrades', 'and', 'downgrades', 'part', 'gs', 'hun', 'ingr', 'irm', 'mplx', 'oke', 'sbux', 'sun', 'twtr', 'uaa', 'ua', 'httpstcoxfkgpprtei']",Wed Jul 18 13:11:33 +0000 2018,jonogg,SBUX,Starbucks Corporation,https://twitter.com/i/web/status/1019570369584357376,False,5.88
20513,1019571504508493800,"['ceinyseamexcamberenergy', 'premkt', 'soaring', 'on', 'approval', 'letter', 'csc', 'dvmt', 'dov', 'dst', 'atvi', 'ea', 'mu', 'pypl', 'httpstcoflfekdlij']",Wed Jul 18 13:16:04 +0000 2018,Drugdoctor2014,SBUX,Starbucks Corporation,https://twitter.com/i/web/status/1019571504508493825,False,5.905
20687,1019575000934895600,"['sbux', 'gapup', 'fill', 'prvcl', 'prvhi', 'newhibrkplo', 'tf', 'firmtrnd', 'bigfltb', 'pvolt']",Wed Jul 18 13:29:57 +0000 2018,tymorapro,SBUX,Starbucks Corporation,,False,5.7
20688,1019575000943284200,"['starbucks', 'corp', 'com', 'sbux', 'stake', 'lifted', 'by', 'sawgrass', 'asset', 'management', 'llc', 'httpstcodhccrusg']",Wed Jul 18 13:29:57 +0000 2018,Fanob_stock,SBUX,Starbucks Corporation,http://fanob.com/2018/07/18/starbucks-corp-com-sbux-stake-lifted-by-sawgrass-asset-management-llc/,False,5.547499999999999
20696,1019575066726686700,"['wednesdays', 'top', 'analyst', 'upgrades', 'and', 'downgrades', 'part', 'gs', 'hun', 'ingr', 'irm', 'mplx', 'oke', 'sbux', 'sun', 'twtr', 'uaa', 'ua', 'httpstcoxhdugkksqb']",Wed Jul 18 13:30:13 +0000 2018,247WallSt,SBUX,Starbucks Corporation,https://twitter.com/i/web/status/1019575066726686725,False,5.88
20702,1019575193629491200,"['starbucks', 'corp', 'com', 'sbux', 'holder', 'sawgrass', 'asset', 'management', 'llc', 'lifted', 'position', 'by', 'million', 'as', 'stock', 'value', 'rose', 'httpstcolhzxusf']",Wed Jul 18 13:30:43 +0000 2018,whatsonthorold2,SBUX,Starbucks Corporation,https://www.whatsonthorold.com/2018/07/18/starbucks-corp-com-sbux-holder-sawgrass-asset-management-llc-lifted-position-by-6-80-million-as-stock-value-rose/,False,5.946153846153847
20706,1019575253847113700,"['as', 'starbucks', 'corp', 'com', 'sbux', 'share', 'price', 'rose', 'sawgrass', 'asset', 'management', 'llc', 'boosted', 'stake', 'httpstcofptscaj']",Wed Jul 18 13:30:57 +0000 2018,mmahotstuff1,SBUX,Starbucks Corporation,https://www.mmahotstuff.com/2018/07/18/as-starbucks-corp-com-sbux-share-price-rose-sawgrass-asset-management-llc-boosted-stake.html,False,5.752
20713,1019575473217601500,"['sawgrass', 'asset', 'management', 'llc', 'has', 'raised', 'starbucks', 'corp', 'com', 'sbux', 'stake', 'httpstcodnvuvsuxxd']",Wed Jul 18 13:31:50 +0000 2018,bibeypost_stock,SBUX,Starbucks Corporation,https://www.bibeypost.com/sawgrass-asset-management-llc-has-raised-starbucks-corp-com-sbux-stake/,False,5.6175
20718,1019575580239384600,"['rt', 'wallst', 'wednesdays', 'top', 'analyst', 'upgrades', 'and', 'downgrades', 'part', 'gs', 'hun', 'ingr', 'irm', 'mplx', 'oke', 'sbux', 'sun', 'twtr', 'uaa', 'ua', 'vfc', 'win', 'ht']",Wed Jul 18 13:32:15 +0000 2018,PennyStocksMomo,SBUX,Starbucks Corporation,,False,5.899999999999999
20815,1019577011940020200,"['sbux', 'high', 'oi', 'range', 'is', 'to', 'for', 'option', 'expiration', 'maxpain', 'options', 'httpstcodduzivcso', 'httpstcocqjjjqy']",Wed Jul 18 13:37:57 +0000 2018,optioncharts,SBUX,Starbucks Corporation,http://maximum-pain.com/options/open-interest/SBUX,False,5.5775
21118,1019582803577536500,"['if', 'you', 'own', 'shares', 'of', 'sbux', 'you', 'have', 'to', 'ask', 'yourself', 'if', 'youre', 'not', 'in', 'the', 'middle', 'of', 'or', 'maybe', 'different', 'new', 'co', 'httpstcoiqmejwgpw']",Wed Jul 18 14:00:57 +0000 2018,franniel333,SBUX,Starbucks Corporation,https://twitter.com/i/web/status/1019582803577536512,False,5.380000000000001
21151,1019583301118459900,"['sbux', 'jana', 'stake', 'chatter']",Wed Jul 18 14:02:56 +0000 2018,SWIMKILLS,SBUX,Starbucks Corporation,,False,5.02
21166,1019583429447430100,"['sbux', 'jana', 'stake', 'chatter']",Wed Jul 18 14:03:27 +0000 2018,lilnickysmith,SBUX,Starbucks Corporation,,False,5.02
21260,1019585579808378900,"['sbux', 'nice', 'setup', 'with', 'the', 'inverse', 'head', 'and', 'shoulders', 'httpstcotvyfvxxw', 'starbucks', 'stocks', 'httpstcohaizmcdqed']",Wed Jul 18 14:11:59 +0000 2018,bullishbrs,SBUX,Starbucks Corporation,https://bullishbears.com/inverse-head-and-shoulders-patterns/,False,5.782222222222223
21312,1019586609279393800,"['this', 'dividend', 'growth', 'stock', 'appears', 'undervalued', 'right', 'now', 'sbux', 'httpstcoumvxnnj', 'dividend', 'investing', 'httpstcortrewm']",Wed Jul 18 14:16:05 +0000 2018,Focus_on_Dvds,SBUX,Starbucks Corporation,https://buff.ly/2uoe2Rc,False,5.944444444444445
21349,1019587556869050400,"['new', 'york', 'starbucks', 'sbux', 'stock', 'has', 'just', 'had', 'its', 'equalweight', 'rating', 'reiterated', 'by', 'barclays', 'shares', 'now', 'have', 'a', 'httpstcoakezsuns']",Wed Jul 18 14:19:51 +0000 2018,Fanob_stock,SBUX,Starbucks Corporation,https://twitter.com/i/web/status/1019587556869050368,False,5.68
