,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
16070,1019320729433727000,"['eps', 'expected', 'for', 'charles', 'schwab', 'co', 'common', 'stock', 'schw', 'this', 'quarter', 'httpstcogvndtyzg']",Tue Jul 17 20:39:34 +0000 2018,WatchlistN,SCHW,The Charles Schwab Corporation,http://zpr.io/6XkrD,False,5.3075
16149,1019324372366983200,"['fly', 'intel', 'wall', 'streets', 'top', 'stories', 'for', 'tuesday', 'nflx', 'wmt', 'msft', 'amzn', 'jnj', 'unh', 'gs', 'trco', 'sbgi', 'schw', 'aveo', 'omc', 'httpstcokyjahpxae']",Tue Jul 17 20:54:03 +0000 2018,theflynews,SCHW,The Charles Schwab Corporation,http://dlvr.it/QbtWSv,False,5.78857142857143
16150,1019324375198306300,"['rt', 'theflynews', 'fly', 'intel', 'wall', 'streets', 'top', 'stories', 'for', 'tuesday', 'nflx', 'wmt', 'msft', 'amzn', 'jnj', 'unh', 'gs', 'trco', 'sbgi', 'schw', 'aveo', 'omc', 'https']",Tue Jul 17 20:54:03 +0000 2018,tradnews_,SCHW,The Charles Schwab Corporation,,False,5.674999999999999
16163,1019324952334491600,"['schw', 'the', 'charles', 'schwab', 'corporation', 'sec', 'filing', 'form', 'k', 'httpstcogwiwkmtbe']",Tue Jul 17 20:56:21 +0000 2018,StockTexts,SCHW,The Charles Schwab Corporation,http://www.sec.gov/Archives/edgar/data/316709/000031670918000036/a8kshell063018.htm,False,5.1085714285714285
16187,1019326378544652300,"['schw', 'new', 'sec', 'filing', 'for', 'schw', 'form', 'k', 'no', 'httpstcoegtjircrkg']",Tue Jul 17 21:02:01 +0000 2018,Stock_News_Now,SCHW,The Charles Schwab Corporation,http://stocknewsflow.com/316709_000031670918000036_0000316709-18-000036,False,5.145714285714285
16280,1019329853307478000,"['price', 'returns', 'vs', 'expected', 'daily', 'move', 'schw', 'ma', 'pypl', 'v', 'bac', 'ms', 'usb', 'jpm', 'c', 'gs', 'ggp', 'wfc', 'httpstcotyzla']",Tue Jul 17 21:15:49 +0000 2018,MC_OptionTrades,SCHW,The Charles Schwab Corporation,https://marketchameleon.com/Home/Dashboard/,False,5.20909090909091
16338,1019332893812904000,"['us', 'stocks', 'rebound', 'as', 'tech', 'and', 'household', 'goods', 'companies', 'rise', 'unh', 'hum', 'nflx', 'schw', 'jnj', 'httpstcocvronnhi', 'via', 'barchart']",Tue Jul 17 21:27:54 +0000 2018,Barchart,SCHW,The Charles Schwab Corporation,https://www.barchart.com/share/news/917829,True,5.742727272727272
16366,1019334703701164000,"['earnings', 'winners', 'today', 'johnson', 'amp', 'johnson', 'jnj', 'schwab', 'schw', 'earning', 'losers', 'today', 'netflix', 'nflx', 'httpstcodizmvz']",Tue Jul 17 21:35:06 +0000 2018,TradersCom,SCHW,The Charles Schwab Corporation,https://twitter.com/i/web/status/1019334703701164032,False,5.993999999999999
16450,1019339986976559100,"['scan', 'results', 'shooting', 'star', 'candlestick', 'today', 'twnk', 'tv', 'hele', 'ddr', 'cbm', 'schw', 'rxn', 'din', 'asb', 'swch', 'httpstcomomvcermw']",Tue Jul 17 21:56:05 +0000 2018,SwingTradeBot,SCHW,The Charles Schwab Corporation,https://swingtradebot.com/events/15/equities?selected_date=2018-07-17,False,5.478333333333333
16454,1019340232112496600,"['rt', 'brandonvanzee', 'at', 'your', 'am', 'et', 'daily', 'digest', 'of', 'what', 'large', 'amp', 'midcap', 'stocks', 'are', 'amp', 'the', 'most', 'in', 'the', 'premarket', 'schw', 'pg']",Tue Jul 17 21:57:04 +0000 2018,nztas,SCHW,The Charles Schwab Corporation,,False,5.322222222222222
16556,1019345004869967900,"['spx', 'spy', 'qqq', 'ndx', 'iwm', 'vix', 'dia', 'djia', 'nflx', 'amzn', 'jnj', 'unh', 'gs', 'wmt', 'msft', 'trco', 'sbgi', 'schw', 'aveo', 'omc', 'top', 'stoc', 'httpstcorrhlninmkp']",Tue Jul 17 22:16:02 +0000 2018,teresaarthur66,SCHW,The Charles Schwab Corporation,https://twitter.com/i/web/status/1019345004869967877,False,5.400000000000001
16580,1019346619261751300,"['charles', 'schwab', 'co', 'common', 'stock', 'schw', 'shares', 'gap', 'up', 'on', 'strong', 'earnings', 'httpstcohrmyfuwv']",Tue Jul 17 22:22:27 +0000 2018,WatchlistN,SCHW,The Charles Schwab Corporation,http://zpr.io/6XLxR,False,5.876
16610,1019348301198647300,"['theflynews', 'schw', 'charles', 'schwab', 'notable', 'market', 'movement', 'up', 'billion', 'gain', 'httpstcohjpkrlamu', 'httpstcogzhgmxrt']",Tue Jul 17 22:29:08 +0000 2018,42Stocks,SCHW,The Charles Schwab Corporation,http://42stocks.com/sym/schw.html,False,6.256666666666667
16611,1019348303690035200,"['theflynews', 'schw', 'charles', 'schwab', 'notable', 'market', 'movement', 'up', 'billion', 'gain', 'httpstcohjpkrlamu', 'httpstcoqxpzkemf']",Tue Jul 17 22:29:08 +0000 2018,42Stocks,SCHW,The Charles Schwab Corporation,http://42stocks.com/sym/schw.html,False,6.256666666666667
16612,1019348305535553500,"['rt', 'theflynews', 'fly', 'intel', 'wall', 'streets', 'top', 'stories', 'for', 'tuesday', 'nflx', 'wmt', 'msft', 'amzn', 'jnj', 'unh', 'gs', 'trco', 'sbgi', 'schw', 'aveo', 'omc', 'https']",Tue Jul 17 22:29:09 +0000 2018,42Stocks,SCHW,The Charles Schwab Corporation,,False,5.674999999999999
