,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
13923,1019211844337184800,"['reviewing', 'luk', 'fook', 'holdings', 'international', 'lkflf', 'amp', 'signet', 'jewelers', 'sig', 'httpstconagfutuf']",Tue Jul 17 13:26:54 +0000 2018,ledgerzette,SIG,Signet Jewelers Limited,http://ledgergazette.com/?p=2831729,False,5.846666666666667
14681,1019252416129224700,"['signet', 'jewelers', 'sig', 'versus', 'luk', 'fook', 'holdings', 'international', 'lkflf', 'critical', 'analysis', 'httpstcozgvbhokqe']",Tue Jul 17 16:08:07 +0000 2018,TheMarketsDaily,SIG,Signet Jewelers Limited,http://zpr.io/6Xr8D,False,5.183999999999999
15648,1019303284430004200,"['rt', 'monopolymoney', 'im', 'giving', 'away', 'in', 'substratumnet', 'tokens', 'the', 'only', 'thing', 'you', 'have', 'to', 'do', 'is', 'retweet', 'this', 'post', 'and', 'follow', 'to', 'be', 'ente']",Tue Jul 17 19:30:15 +0000 2018,CoD_Pubstomper,SIG,Signet Jewelers Limited,,False,5.363000000000001
15662,1019303850245869600,"['and', 'for', 'those', 'that', 'work', 'in', 'an', 'office', 'stream', 'it', 'here', 'live', 'at', 'httpstcoxggcygyd', 'sig']",Tue Jul 17 19:32:30 +0000 2018,jasonlindy,SIG,Signet Jewelers Limited,https://www.bloomberg.com/live/us,False,5.360000000000001
15887,1019313698828111900,"['signal', 'sig', 'plunges', 'on', 'july', 'httpstcocelqptkyh']",Tue Jul 17 20:11:38 +0000 2018,mmahotstuff1,SIG,Signet Jewelers Limited,https://www.mmahotstuff.com/2018/07/17/signal-sig-plunges-5-93-on-july-16-17.html,False,5.66
16613,1019348321549381600,"['signet', 'jewelers', 'sig', 'amp', 'luk', 'fook', 'holdings', 'international', 'lkflf', 'financial', 'review', 'httpstcotysfjwkui']",Tue Jul 17 22:29:13 +0000 2018,MareaInformativ,SIG,Signet Jewelers Limited,http://www.mareainformativa.com/?p=465003,False,5.656000000000001
16619,1019348584146317300,"['comparing', 'luk', 'fook', 'holdings', 'international', 'lkflf', 'amp', 'signet', 'jewelers', 'sig', 'httpstcobiozyadyc']",Tue Jul 17 22:30:15 +0000 2018,TheMarketsDaily,SIG,Signet Jewelers Limited,http://zpr.io/6XLM5,False,5.846666666666667
17132,1019383332352622600,"['sig', 'c', 'm', 'mcap', 'sig', 'receiving', 'm', 'cash', 'refund', 'into', 'the', 'bank', 'sig', 'ongoing', 'business', 'm', 'profit', 'pa', 'httpstcoczbnwmr']",Wed Jul 18 00:48:20 +0000 2018,gassin123Charts,SIG,Signet Jewelers Limited,https://twitter.com/i/web/status/1019383332352622594,False,5.724999999999999
17174,1019386119568293900,"['sig', 'c', 'testing', 'the', 'recovery', 'bo', 'point', 'at', 'c']",Wed Jul 18 00:59:24 +0000 2018,gassin123Charts,SIG,Signet Jewelers Limited,,False,5.1450000000000005
17445,1019406440174440400,"['analyzing', 'luk', 'fook', 'holdings', 'international', 'lkflf', 'and', 'signet', 'jewelers', 'sig', 'httpstcojpbakx']",Wed Jul 18 02:20:09 +0000 2018,WeekHerald,SIG,Signet Jewelers Limited,http://weekherald.com/?p=2996799,False,5.773333333333333
