,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
5604,1017900351763243000,"['sjm', 'raises', 'dividend', 'to', 'yr', 'div', 'growth', 'annual', 'yld', 'httpstcoyinnrdg']",Fri Jul 13 22:35:30 +0000 2018,MarketChmln,SJM,The J. M. Smucker Company,https://marketchameleon.com/Overview/SJM/Dividends/,False,5.75
5662,1017925266360811500,"['j', 'm', 'smucker', 'declares', 'dividend', 'httpstcoqrlzczsj', 'sjm']",Sat Jul 14 00:14:30 +0000 2018,dividendsamura1,SJM,The J. M. Smucker Company,https://seekingalpha.com/news/3370087?source=ansh,False,5.333333333333333
5666,1017928018721955800,"['sjm', 'jm', 'smucker', 'company', 'the', 'sec', 'filing', 'form', 'httpstcoazdzdtba']",Sat Jul 14 00:25:26 +0000 2018,StockTexts,SJM,The J. M. Smucker Company,http://www.sec.gov/Archives/edgar/data/91419/000112760218023209/xslF345X02/form3.xml,False,5.184
5669,1017928657518710800,"['sjm', 'alert', 'new', 'the', 'j', 'm', 'smucker', 'company', 'sec', 'filing', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Sat Jul 14 00:27:58 +0000 2018,Allstocknews,SJM,The J. M. Smucker Company,,False,5.438461538461538
5670,1017929371300982800,"['sjm', 'most', 'of', 'these', 'have', 'been', 'highly', 'successful', 'including', 'the', 'folgers', 'deal', 'which', 'boosted', 'sales', 'by', 'and', 'th', 'httpstcovlyidcnmy']",Sat Jul 14 00:30:48 +0000 2018,dividendsamura1,SJM,The J. M. Smucker Company,https://twitter.com/i/web/status/1017929371300982784,False,5.656000000000001
5890,1018080943775670300,"['how', 'analysts', 'feel', 'about', 'the', 'j', 'm', 'smucker', 'company', 'sjm', 'httpstcokbfkgpqki']",Sat Jul 14 10:33:06 +0000 2018,whatsonthorold2,SJM,The J. M. Smucker Company,https://www.whatsonthorold.com/2018/07/14/how-analysts-feel-about-the-j-m-smucker-company-nysesjm/,False,5.159999999999999
5891,1018081111363276800,"['this', 'is', 'what', 'analysts', 'have', 'to', 'say', 'about', 'the', 'j', 'm', 'smucker', 'company', 'sjm', 'after', 'last', 'week', 'httpstcocuoyxxoz']",Sat Jul 14 10:33:46 +0000 2018,mmahotstuff1,SJM,The J. M. Smucker Company,https://www.mmahotstuff.com/2018/07/14/this-is-what-analysts-have-to-say-about-the-j-m-smucker-company-nysesjm-after-last-week.html,False,5.065333333333333
5892,1018081285674340400,"['is', 'there', 'a', 'bearish', 'outlook', 'for', 'the', 'j', 'm', 'smucker', 'company', 'sjm', 'this', 'week', 'httpstcocltnxxdtu']",Sat Jul 14 10:34:28 +0000 2018,reurope_stock,SJM,The J. M. Smucker Company,https://reurope.com/2018/07/14/is-there-a-bearish-outlook-for-the-j-m-smucker-company-nysesjm-this-week/,False,5.207272727272727
5893,1018081371133218800,"['heres', 'how', 'analysts', 'see', 'the', 'j', 'm', 'smucker', 'company', 'sjm', 'after', 'this', 'past', 'week', 'httpstcowjzjtem']",Sat Jul 14 10:34:48 +0000 2018,bibeypost_stock,SJM,The J. M. Smucker Company,https://www.bibeypost.com/heres-how-analysts-see-the-j-m-smucker-company-nysesjm-after-this-past-week/,False,5.101818181818181
6062,1018121336013586400,"['the', 'story', 'of', 'the', 'business', 'week', 'as', 'told', 'through', 'seven', 'stocks', 'business', 'financialmarkets', 'grpn', 'sjm', 'aal', 'pfe', 'ca', 'httpstcopusoyvrv']",Sat Jul 14 13:13:36 +0000 2018,NelsonThought,SJM,The J. M. Smucker Company,https://twitter.com/i/web/status/1018121336013586433,False,5.413846153846153
