,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
14966,1019267319770599400,"['discount', 'on', 'all', 'trades', 'sign', 'up', 'today', 'amp', 'enjoy', 'discounts', 'register', 'for', 'bonus', 'httpstcowbscdjgim', 'httpstcosfkombjh']",Tue Jul 17 17:07:20 +0000 2018,chloeball366,SLB,Schlumberger Limited,http://binance.com/?ref=10078236,False,6.205454545454544
14989,1019268801307775000,"['slb', 'jul', 'calls']",Tue Jul 17 17:13:13 +0000 2018,NickPoulopoulos,SLB,Schlumberger Limited,,False,5.42
15023,1019270006989877200,"['short', 'sale', 'volume', 'not', 'short', 'interest', 'for', 'xli', 'on', 'is', 'httpstcohhbzevvadb', 'oxy', 'slb', 'isr', 'xrt']",Tue Jul 17 17:18:01 +0000 2018,shortvolumes,SLB,Schlumberger Limited,http://shortvolumes.com/?t=XLI,False,5.273333333333333
15204,1019279502285967400,"['coin', 'listings', 'pumps', 'our', 'bot', 'detects', 'it', 'before', 'official', 'announcements', 'join', 'us', 'httpstcovchiohho']",Tue Jul 17 17:55:45 +0000 2018,oliverpaige625,SLB,Schlumberger Limited,https://twitter.com/i/web/status/1019279502285967361,False,5.699999999999999
15356,1019288352602849300,"['get', 'access', 'to', 'premium', 'paid', 'groups', 'for', 'a', 'fraction', 'of', 'the', 'price', 'join', 'us', 'httpstcofxiyvjotbs', 'slb', 'httpstcoveafzffpa']",Tue Jul 17 18:30:55 +0000 2018,victorblake392,SLB,Schlumberger Limited,http://discord.gg/tXbaTxx,False,5.630714285714286
15537,1019297342179201000,"['get', 'access', 'to', 'premium', 'paid', 'groups', 'for', 'a', 'fraction', 'of', 'the', 'price', 'join', 'us', 'httpstcofxiyvjotbs', 'fcau', 'httpstcodfndtw']",Tue Jul 17 19:06:38 +0000 2018,victorblake392,SLB,Schlumberger Limited,http://discord.gg/tXbaTxx,False,5.630714285714286
15553,1019298337625989100,"['get', 'access', 'to', 'premium', 'paid', 'groups', 'for', 'a', 'fraction', 'of', 'the', 'price', 'join', 'us', 'httpstcootuncdz', 'mith', 'httpstcooosnjjt']",Tue Jul 17 19:10:35 +0000 2018,oliverpaige625,SLB,Schlumberger Limited,http://discord.gg/tXbaTxx,False,5.630714285714286
15741,1019307039129067500,"['you', 'can', 'trade', 'for', 'as', 'low', 'as', 'fee', 'on', 'binance', 'register', 'for', 'bonus', 'httpstcoufiwnbk', 'sxc', 'xpa', 'httpstcosjadqohej']",Tue Jul 17 19:45:10 +0000 2018,carolyn47529089,SLB,Schlumberger Limited,http://binance.com/?ref=10078236,False,5.378333333333333
15793,1019310251160625200,"['the', 'scary', 'thing', 'people', 'dont', 'know', 'about', 'is', 'oilfield', 'wireline', 'companies', 'like', 'slb', 'and', 'hal', 'that', 'have', 'lost', 'ambe', 'neut', 'httpstcowiifsgdhq']",Tue Jul 17 19:57:56 +0000 2018,EdMahmoud,SLB,Schlumberger Limited,https://twitter.com/i/web/status/1019310251160625154,False,5.047142857142858
16265,1019329248505614300,"['real', 'advice', 'is', 'for', 'premium', 'followers', 'only', 'invest', 'in', 'schlumberger', 'nv', 'slb', 'stocktalk']",Tue Jul 17 21:13:25 +0000 2018,StockTipRobot,SLB,Schlumberger Limited,,False,5.804444444444444
16414,1019337816428499000,"['price', 'moves', 'vs', 'expected', 'moves', 'aks', 'clf', 'dwdp', 'eca', 'x', 'hal', 'fcx', 'slb', 'abx', 'taho', 'chk', 'rig', 'httpstcotyzla']",Tue Jul 17 21:47:28 +0000 2018,MC_OptionTrades,SLB,Schlumberger Limited,https://marketchameleon.com/Home/Dashboard/,False,5.27
16419,1019338064412360700,"['rt', 'exskylibour', 'there', 'is', 'a', 'game', 'tonight', 'win', 'slb', 'solarbankers', 'solarbankers', 'its', 'a', 'simple', 'questions', 'n', 'answers', 'game', 'about', 'the', 'beauty', 'of']",Tue Jul 17 21:48:27 +0000 2018,BigOokie,SLB,Schlumberger Limited,,False,5.7700000000000005
16582,1019346643194400800,"['i', 'made', 'btc', 'in', 'day', 'trading', 'on', 'binance', 'sign', 'up', 'now', 'register', 'for', 'bonus', 'httpstcowbscdjgim', 'grs', 'httpstcofmelevfmn']",Tue Jul 17 22:22:32 +0000 2018,chloeball366,SLB,Schlumberger Limited,http://binance.com/?ref=10078236,False,5.936666666666665
16709,1019353828976668700,"['join', 'us', 'for', 'signals', 'from', 'multiple', 'paid', 'groups', 'all', 'in', 'one', 'join', 'us', 'httpstcotcqihqwiir', 'rise', 'tks', 'kcs', 'httpstcoqbroncnfod']",Tue Jul 17 22:51:06 +0000 2018,RicardoPark10,SLB,Schlumberger Limited,http://discord.gg/tXbaTxx,False,5.911428571428572
16773,1019358290017386500,"['binance', 'has', 'stop', 'loss', 'feature', 'to', 'help', 'protect', 'your', 'assets', 'register', 'for', 'bonus', 'httpstcosaisnxjbb', 'rct', 'httpstcodazalmmpd']",Tue Jul 17 23:08:49 +0000 2018,danhodges4591,SLB,Schlumberger Limited,http://binance.com/?ref=10078236,False,5.491666666666666
16863,1019362989542080500,"['coin', 'listings', 'pumps', 'our', 'bot', 'detects', 'it', 'before', 'official', 'announcements', 'join', 'us', 'httpstcozctypgiho']",Tue Jul 17 23:27:30 +0000 2018,victorblake392,SLB,Schlumberger Limited,https://twitter.com/i/web/status/1019362989542080512,False,5.699999999999999
16907,1019365717903335400,"['bitmex', 'allows', 'you', 'to', 'go', 'longshort', 'on', 'your', 'trades', 'register', 'for', 'bonus', 'httpstcolkviqtp', 'lev', 'storj', 'httpstcoaxvckpwlkl']",Tue Jul 17 23:38:20 +0000 2018,DeweyRange,SLB,Schlumberger Limited,http://bitmex.com/register/6vXB0G,False,5.815555555555555
16956,1019369850123190300,"['trade', 'crypto', 'on', 'binance', 'and', 'get', 'discount', 'on', 'trading', 'fees', 'register', 'for', 'bonus', 'httpstcovcjxm', 'httpstcogtcwbbnae']",Tue Jul 17 23:54:45 +0000 2018,AliKirk64922805,SLB,Schlumberger Limited,http://binance.com/?ref=10078236,False,5.789090909090908
18251,1019472347961659400,"['us', 'expects', 'china', 'to', 'buy', 'even', 'more', 'iranian', 'oil', 'after', 'sanctions', 'wti', 'slb', 'httpstcoimefqqsd', 'via', 'wsj']",Wed Jul 18 06:42:03 +0000 2018,Kitsune808,SLB,Schlumberger Limited,https://www.wsj.com/articles/u-s-expects-china-to-buy-even-more-iranian-oil-after-sanctions-1531833475,False,5.31
18264,1019473479257772000,"['huge', 'coin', 'selection', 'low', 'fees', 'and', 'very', 'reliable', 'join', 'binance', 'register', 'for', 'bonus', 'httpstcohurgbrhp', 'httpstcokupkzkbjv']",Wed Jul 18 06:46:33 +0000 2018,carolgibson394,SLB,Schlumberger Limited,http://binance.com/?ref=10078236,False,5.724999999999999
18535,1019489964202123300,"['headtohead', 'contrast', 'schlumberger', 'slb', 'and', 'csi', 'compressco', 'cclp', 'httpstcorebcavwop']",Wed Jul 18 07:52:03 +0000 2018,ledgerzette,SLB,Schlumberger Limited,http://ledgergazette.com/?p=2833332,False,5.08
18783,1019510061813715000,"['join', 'us', 'to', 'get', 'premium', 'trading', 'signals', 'join', 'us', 'httpstcotcqihqwiir', 'zil', 'shift', 'rhoc', 'pbra', 'btg', 'adx', 'httpstcojeaalnosey']",Wed Jul 18 09:11:54 +0000 2018,RicardoPark10,SLB,Schlumberger Limited,http://discord.gg/tXbaTxx,False,5.89
18796,1019511335279874000,"['trade', 'on', 'binance', 'with', 'discount', 'trading', 'fee', 'register', 'for', 'bonus', 'httpstcohurgbrhp', 'fcau', 'ssc', 'pre', 'httpstcolrvfdnfwm']",Wed Jul 18 09:16:58 +0000 2018,carolgibson394,SLB,Schlumberger Limited,http://binance.com/?ref=10078236,False,5.761999999999999
18890,1019516135241338900,"['selling', 'cheap', 'vbucks', 'over', 'off', 'original', 'price', 'more', 'info', 'httpstcoyqptbyzg', 'zen', 'bcn', 'ht', 'lgd', 'httpstcogwytifmy']",Wed Jul 18 09:36:02 +0000 2018,JustinA25256101,SLB,Schlumberger Limited,http://discord.gg/gtJ4zym,False,5.402222222222223
19028,1019526140292104200,"['schlumberger', 'slb', 'set', 'to', 'announce', 'earnings', 'on', 'friday', 'httpstcofflbsrlrv']",Wed Jul 18 10:15:48 +0000 2018,MareaInformativ,SLB,Schlumberger Limited,http://www.mareainformativa.com/?p=466402,False,6.033333333333334
19971,1019558408033271800,"['we', 'deliver', 'cheap', 'fortnite', 'vbucks', 'to', 'your', 'account', 'more', 'info', 'httpstcooqblzn', 'light', 'edr', 'sbd', 'httpstcopsytvbhcs']",Wed Jul 18 12:24:01 +0000 2018,JosePerryman3,SLB,Schlumberger Limited,http://discord.gg/gtJ4zym,False,5.88
22842,1019619807900127200,"['binance', 'distributes', 'every', 'fork', 'meaning', 'you', 'get', 'free', 'airdrop', 'register', 'for', 'bonus', 'httpstcodcqftjfxzq', 'httpstcornpppmdkd']",Wed Jul 18 16:28:00 +0000 2018,jesse_vallejo,SLB,Schlumberger Limited,http://binance.com/?ref=10078236,False,6.24
22919,1019621599652253700,"['slb', 'aug', 'calls']",Wed Jul 18 16:35:07 +0000 2018,NickPoulopoulos,SLB,Schlumberger Limited,,False,5.43
22970,1019622902008647700,"['slb', 'go', 'baby', 'go', 'im', 'trying', 'to', 'decide', 'whether', 'to', 'gamble', 'on', 'earnings', 'which', 'will', 'be', 'released', 'on', 'friday', 'in', 'pm', 'holdin', 'httpstcoekbefqv']",Wed Jul 18 16:40:18 +0000 2018,NadiaVancouver,SLB,Schlumberger Limited,https://twitter.com/i/web/status/1019622902008647680,False,5.733499999999999
25841,1019683447101706200,"['schlumberger', 'ltd', 'slb', 'holding', 'maintained', 'by', 'kelly', 'lawrence', 'w', 'amp', 'associates', 'inc', 'httpstcorjporui']",Wed Jul 18 20:40:53 +0000 2018,Fanob_stock,SLB,Schlumberger Limited,http://fanob.com/2018/07/18/schlumberger-ltd-slb-holding-maintained-by-kelly-lawrence-w-associates-inc/,False,5.33
25870,1019683904083591200,"['as', 'schlumberger', 'ltd', 'slb', 'valuation', 'rose', 'kelly', 'lawrence', 'w', 'amp', 'associates', 'inc', 'has', 'upped', 'holding', 'httpstcoujlrjqxjm']",Wed Jul 18 20:42:42 +0000 2018,bibeypost_stock,SLB,Schlumberger Limited,https://www.bibeypost.com/as-schlumberger-ltd-slb-valuation-rose-kelly-lawrence-w-associates-inc-has-upped-holding/,False,5.425454545454546
