,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
1006,1016658226304180200,"['analyzing', 'us', 'silica', 'slca', 'and', 'united', 'states', 'lime', 'amp', 'minerals', 'uslm', 'httpstcowwsiuerzd']",Tue Jul 10 12:19:44 +0000 2018,dailypoliticaln,SLCA,U.S. Silica Holdings,http://www.dailypolitical.com/?p=2192685,False,6.079999999999999
1139,1016690048085954600,"['us', 'silica', 'holdings', 'inc', 'slca', 'receives', 'consensus', 'rating', 'of', 'buy', 'from', 'brokerages', 'httpstcofmfifzlpi']",Tue Jul 10 14:26:11 +0000 2018,OlympiaReport,SLCA,U.S. Silica Holdings,http://theolympiareport.com/?p=915326,False,5.627777777777777
1142,1016690479348572200,"['us', 'silica', 'holdings', 'inc', 'slca', 'receives', 'average', 'recommendation', 'of', 'buy', 'from', 'brokerages', 'httpstcobqeuqnzoc']",Tue Jul 10 14:27:54 +0000 2018,WeekHerald,SLCA,U.S. Silica Holdings,http://weekherald.com/?p=2981142,False,5.516249999999999
1312,1016739978922127400,"['rt', 'ropatel', 'us', 'jury', 'returns', 'unanimous', 'verdict', 'in', 'favor', 'of', 'sandbox', 'logistics', 'sub', 'of', 'slca', 'on', 'all', 'issues', 'presented', 'in', 'lawsuit', 'against']",Tue Jul 10 17:44:35 +0000 2018,cmorv,SLCA,U.S. Silica Holdings,,False,4.974117647058823
1506,1016791083941072900,"['slca', 'triple', 'bottom', 'httpstcoprlopseld']",Tue Jul 10 21:07:40 +0000 2018,alex_intesa,SLCA,U.S. Silica Holdings,,False,5.210000000000001
1515,1016793635185135600,"['eps', 'for', 'us', 'silica', 'holdings', 'inc', 'slca', 'expected', 'at', 'httpstcozluwflklwa']",Tue Jul 10 21:17:48 +0000 2018,whatsonthorold2,SLCA,U.S. Silica Holdings,https://www.whatsonthorold.com/2018/07/10/eps-for-u-s-silica-holdings-inc-slca-expected-at-0-69/,False,5.3933333333333335
1516,1016793842350248000,"['eps', 'expected', 'for', 'us', 'silica', 'holdings', 'inc', 'slca', 'httpstcobupgfnjq']",Tue Jul 10 21:18:37 +0000 2018,reurope_stock,SLCA,U.S. Silica Holdings,https://reurope.com/2018/07/10/0-69-eps-expected-for-u-s-silica-holdings-inc-slca/,False,5.491999999999999
1517,1016793910876737500,"['us', 'silica', 'holdings', 'inc', 'slca', 'eps', 'estimated', 'at', 'httpstcozvxymp']",Tue Jul 10 21:18:54 +0000 2018,bibeypost_stock,SLCA,U.S. Silica Holdings,https://www.bibeypost.com/u-s-silica-holdings-inc-slca-eps-estimated-at-0-69-2/,False,5.395999999999999
1569,1016804026229411800,"['justinmorasch', 'hayekandkeynes', 'vadersdelorean', 'a', 'material', 'portion', 'of', 'the', 'value', 'add', 'in', 'that', 'margin', 'is', 'logisticsdeli', 'httpstcokxjegvruy']",Tue Jul 10 21:59:05 +0000 2018,SMZweck,SLCA,U.S. Silica Holdings,https://twitter.com/i/web/status/1016804026229411840,False,5.38
2525,1017155116493877200,"['talk', 'about', 'low', 'barriers', 'to', 'entry', 'be', 'careful', 'what', 'multiple', 'you', 'pay', 'for', 'sand', 'co', 'earnings', 'oott', 'slca', 'snd', 'emes', 'cvia', 'httpstcoknzx']",Wed Jul 11 21:14:12 +0000 2018,CubanSheikh,SLCA,U.S. Silica Holdings,https://twitter.com/business/status/1017153733791309824,False,5.4639999999999995
2527,1017155282567336000,"['rt', 'cubansheikh', 'talk', 'about', 'low', 'barriers', 'to', 'entry', 'be', 'careful', 'what', 'multiple', 'you', 'pay', 'for', 'sand', 'co', 'earnings', 'oott', 'slca', 'snd', 'emes', 'cvia', 'https']",Wed Jul 11 21:14:51 +0000 2018,BrainRoaring,SLCA,U.S. Silica Holdings,,False,5.4275
2861,1017304897757249500,"['financial', 'comparison', 'compass', 'minerals', 'international', 'cmp', 'amp', 'us', 'silica', 'slca', 'httpstcoedfecrnhs']",Thu Jul 12 07:09:22 +0000 2018,dispatchtribune,SLCA,U.S. Silica Holdings,http://dispatchtribunal.com/?p=2048345,False,5.81
3086,1017369520883806200,"['us', 'silica', 'slca', 'downgraded', 'by', 'morgan', 'stanley', 'to', 'equal', 'weight', 'httpstcoqkipzwktnk']",Thu Jul 12 11:26:10 +0000 2018,ledgerzette,SLCA,U.S. Silica Holdings,http://ledgergazette.com/?p=2821488,False,5.325714285714286
3090,1017370386848211000,"['us', 'silica', 'slca', 'downgraded', 'by', 'morgan', 'stanley', 'to', 'equal', 'weight', 'httpstcomyxtucs']",Thu Jul 12 11:29:36 +0000 2018,dakotafinancial,SLCA,U.S. Silica Holdings,http://dakotafinancialnews.com/?p=313151,False,5.325714285714286
3105,1017373708997005300,"['analyzing', 'us', 'silica', 'slca', 'and', 'compass', 'minerals', 'international', 'cmp', 'httpstcoxpahknr']",Thu Jul 12 11:42:48 +0000 2018,EnterpriseLeade,SLCA,U.S. Silica Holdings,http://theenterpriseleader.com/?p=981561,False,6.013333333333333
3110,1017375712062435300,"['downgrades', 'spn', 'slca', 'egn', 'cj', 'avgo', 'bk', 'cnfr', 'cmcsa', 'bkh', 'glng', 'sm', 'exr', 'ph', 'itw', 'afg', 'mmm', 'fun']",Thu Jul 12 11:50:46 +0000 2018,ACInvestorBlog,SLCA,U.S. Silica Holdings,,False,5.712000000000001
3227,1017399896092102700,"['downgrades', 'afg', 'avgo', 'bk', 'bkh', 'cj', 'cnfr', 'egn', 'exr', 'fun', 'itw', 'gdi', 'glng', 'mmm', 'nflx', 'ph', 'prgo', 'slca', 'sm', 'spn', 'trs']",Thu Jul 12 13:26:52 +0000 2018,OpenOutcrier,SLCA,U.S. Silica Holdings,,False,5.712
3228,1017399899250352100,"['rt', 'openoutcrier', 'downgrades', 'afg', 'avgo', 'bk', 'bkh', 'cj', 'cnfr', 'egn', 'exr', 'fun', 'itw', 'gdi', 'glng', 'mmm', 'nflx', 'ph', 'prgo', 'slca', 'sm', 'spn', 'trs']",Thu Jul 12 13:26:53 +0000 2018,tradnews_,SLCA,U.S. Silica Holdings,,False,5.573333333333333
3275,1017404218788008000,"['downgrades', 'nflx', 'afg', 'avgo', 'cj', 'cnfr', 'bk', 'mmm', 'egn', 'itw', 'gdi', 'prgo', 'spn', 'slca', 'trs', 'ph', 'sm', 'bkh', 'exr', 'fun', 'glng']",Thu Jul 12 13:44:02 +0000 2018,TopStockAlerts1,SLCA,U.S. Silica Holdings,,False,5.712000000000001
3276,1017404459763290100,"['the', 'market', 'in', 'minutes', 'cpi', 'jobless', 'claims', 'papa', 'johns', 'muskflint', 'and', 'more', 'httpstcorlzheinnp', 'pzza', 'googl', 'nbr', 'nflx', 'slca', 'pds']",Thu Jul 12 13:45:00 +0000 2018,Benzinga,SLCA,U.S. Silica Holdings,https://benzinga.com/z/12011452,True,5.5311111111111115
3277,1017404462531395600,"['rt', 'benzinga', 'the', 'market', 'in', 'minutes', 'cpi', 'jobless', 'claims', 'papa', 'johns', 'muskflint', 'and', 'more', 'httpstcorlzheinnp', 'pzza', 'googl', 'nbr', 'nfl']",Thu Jul 12 13:45:00 +0000 2018,tradnews_,SLCA,U.S. Silica Holdings,https://benzinga.com/z/12011452,False,5.438181818181818
3300,1017408510051561500,"['rt', 'topstockalerts', 'downgrades', 'nflx', 'afg', 'avgo', 'cj', 'cnfr', 'bk', 'mmm', 'egn', 'itw', 'gdi', 'prgo', 'spn', 'slca', 'trs', 'ph', 'sm', 'bkh', 'exr', 'fun', 'glng']",Thu Jul 12 14:01:05 +0000 2018,salomon69479215,SLCA,U.S. Silica Holdings,,False,5.573333333333333
3400,1017421107563917300,"['rt', 'seekingalpha', 'cvia', 'emes', 'hclp', 'slca', 'snd', 'wttr', 'httpstcomuowuksvg']",Thu Jul 12 14:51:09 +0000 2018,NewYorkbuffett,SLCA,U.S. Silica Holdings,https://seekingalpha.com/article/4186846-select-energy-q2-shaping-blowout?source=feed_f,False,4.88
3454,1017430235313209300,"['morgan', 'stanley', 'downgrades', 'slca', 'from', 'overweight', 'to', 'equalweight', 'httpstconanornlh']",Thu Jul 12 15:27:25 +0000 2018,usratings,SLCA,U.S. Silica Holdings,http://99wallstreet.com/ratings/stock/SLCA/,False,5.16
3601,1017452730128916500,"['land', 'drillers', 'recommended', 'by', 'morgan', 'stanley', 'amid', 'permian', 'takeaway', 'risks', 'httpstcotwhywscdf', 'pds', 'nbr', 'cj', 'slca']",Thu Jul 12 16:56:48 +0000 2018,MarketCurrents,SLCA,U.S. Silica Holdings,https://seekingalpha.com/news/3369729-land-drillers-recommended-morgan-stanley-amid-permian-takeaway-risks?source=feed_f,False,5.28
3637,1017457817018617900,"['us', 'silica', 'slca', 'is', 'a', 'company', 'that', 'morgan', 'stanley', 'seems', 'to', 'dislike', 'as', 'downgrade', 'in', 'given', 'httpstcotnplbgtc']",Thu Jul 12 17:17:01 +0000 2018,mmahotstuff1,SLCA,U.S. Silica Holdings,https://www.mmahotstuff.com/2018/07/12/u-s-silica-nyseslca-is-a-company-that-morgan-stanley-seems-to-dislike-as-downgrade-in-given.html,False,5.160000000000001
3652,1017459120142680000,"['comparing', 'us', 'silica', 'slca', 'amp', 'united', 'states', 'lime', 'amp', 'minerals', 'uslm', 'httpstcodmyfdqqn']",Thu Jul 12 17:22:12 +0000 2018,TickerReport,SLCA,U.S. Silica Holdings,http://tickerreport.com/?p=3632023,False,6.116666666666666
3657,1017459695081140200,"['us', 'silica', 'slca', 'vs', 'united', 'states', 'lime', 'amp', 'minerals', 'uslm', 'critical', 'analysis', 'httpstconqgbovk']",Thu Jul 12 17:24:29 +0000 2018,TheMarketsDaily,SLCA,U.S. Silica Holdings,http://zpr.io/6aJCa,False,5.609999999999999
3801,1017482884658225200,"['us', 'silica', 'slca', 'receives', 'downgrade', 'from', 'morgan', 'stanley', 'will', 'other', 'analysts', 'follow', 'suit', 'httpstcoequtywew']",Thu Jul 12 18:56:38 +0000 2018,whatsonthorold2,SLCA,U.S. Silica Holdings,https://www.whatsonthorold.com/2018/07/12/u-s-silica-slca-receives-downgrade-from-morgan-stanley-will-other-analysts-follow-suit/,False,5.509
3803,1017483382345928700,"['finally', 'time', 'to', 'cut', 'your', 'stake', 'morgan', 'stanley', 'downgrades', 'us', 'silica', 'slca', 'shares', 'httpstcolmzxkcphm']",Thu Jul 12 18:58:36 +0000 2018,reurope_stock,SLCA,U.S. Silica Holdings,https://reurope.com/2018/07/12/finally-time-to-cut-your-stake-morgan-stanley-downgrades-u-s-silica-slca-shares/,False,5.3759999999999994
3804,1017483538244005900,"['are', 'us', 'silica', 'slca', 'shares', 'worth', 'your', 'time', 'and', 'dime', 'following', 'recent', 'morgan', 'stanley', 'downgrade', 'httpstcodwrtxygp']",Thu Jul 12 18:59:14 +0000 2018,bibeypost_stock,SLCA,U.S. Silica Holdings,https://www.bibeypost.com/are-u-s-silica-slca-shares-worth-your-time-and-dime-following-recent-morgan-stanley-downgrade/,False,5.755000000000002
