,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
7435,1018417077256949800,"['sl', 'green', 'realty', 'slg', 'upgraded', 'to', 'hold', 'at', 'valuengine', 'httpstcolcuptlkt']",Sun Jul 15 08:48:47 +0000 2018,ThisLincolnian,SLG,SL Green Realty Corp.,http://thelincolnianonline.com/?p=2183716,False,5.59
7831,1018485323624517600,"['were', 'analysts', 'bearish', 'sl', 'green', 'realty', 'corp', 'slg', 'this', 'week', 'httpstcovgmlllotl']",Sun Jul 15 13:19:58 +0000 2018,whatsonthorold2,SLG,SL Green Realty Corp.,https://www.whatsonthorold.com/2018/07/15/were-analysts-bearish-sl-green-realty-corp-nyseslg-this-week/,False,5.296666666666667
7834,1018485424631763000,"['discussion', 'stirs', 'around', 'sl', 'green', 'realty', 'corp', 'slg', 'this', 'week', 'here', 'is', 'what', 'analysts', 'are', 'saying', 'httpstcohyydbziim']",Sun Jul 15 13:20:22 +0000 2018,mmahotstuff1,SLG,SL Green Realty Corp.,https://www.mmahotstuff.com/2018/07/15/discussion-stirs-around-sl-green-realty-corp-nyseslg-this-week-here-is-what-analysts-are-saying.html,False,5.371666666666666
7835,1018485731478724600,"['analysts', 'take', 'a', 'look', 'at', 'sl', 'green', 'realty', 'corp', 'slg', 'having', 'this', 'to', 'say', 'httpstcoblqjazr']",Sun Jul 15 13:21:35 +0000 2018,reurope_stock,SLG,SL Green Realty Corp.,https://reurope.com/2018/07/15/analysts-take-a-look-at-sl-green-realty-corp-nyseslg-having-this-to-say/,False,5.363636363636364
7836,1018485820708270100,"['how', 'analysts', 'rated', 'sl', 'green', 'realty', 'corp', 'slg', 'last', 'week', 'httpstcopqqymdya']",Sun Jul 15 13:21:56 +0000 2018,bibeypost_stock,SLG,SL Green Realty Corp.,https://www.bibeypost.com/how-analysts-rated-sl-green-realty-corp-nyseslg-last-week/,False,5.111428571428571
8095,1018522382498259000,"['july', 'was', 'a', 'bad', 'day', 'for', 'sterlingcoin', 'slg', 'after', 'fall', 'httpstcoampdpydyq']",Sun Jul 15 15:47:13 +0000 2018,mmahotstuff1,SLG,SL Green Realty Corp.,https://www.mmahotstuff.com/2018/07/15/july-14-15-was-a-bad-day-for-sterlingcoin-slg-after-8-12-fall.html,False,4.88
8920,1018684473632845800,"['slg', 'to', 'report', 'earnings', 'on', 'jul', 'amc', 'with', 'an', 'expected', 'move', 'of', 'httpstcoflacznrncr']",Mon Jul 16 02:31:19 +0000 2018,MarketChmln,SLG,SL Green Realty Corp.,https://marketchameleon.com/Overview/SLG/Earnings/Earnings-Dates,False,5.531111111111111
9235,1018808612033122300,"['reviewing', 'coresite', 'realty', 'cor', 'and', 'sl', 'green', 'realty', 'slg', 'httpstcoobytgbu']",Mon Jul 16 10:44:36 +0000 2018,MareaInformativ,SLG,SL Green Realty Corp.,http://www.mareainformativa.com/?p=454002,False,6.0
10481,1018889039020257300,"['slg', 'high', 'oi', 'range', 'is', 'to', 'for', 'option', 'expiration', 'maxpain', 'options', 'httpstcowyaqngtfo', 'httpstcoiskbwbyty']",Mon Jul 16 16:04:11 +0000 2018,optioncharts,SLG,SL Green Realty Corp.,http://maximum-pain.com/options/open-interest/SLG,False,5.5775
12379,1019086462355230700,"['sl', 'green', 'realty', 'slg', 'to', 'release', 'earnings', 'on', 'wednesday', 'httpstcorqivfrsaz']",Tue Jul 17 05:08:40 +0000 2018,TickerReport,SLG,SL Green Realty Corp.,http://tickerreport.com/?p=3639807,False,6.053333333333334
