,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
136,1016226094377291800,"['critical', 'survey', 'nelnet', 'nni', 'vs', 'slm', 'slm', 'httpstcospbsrelqcr']",Mon Jul 09 07:42:36 +0000 2018,TheMarketsDaily,SLM,SLM Corporation,http://zpr.io/6TR99,False,4.666666666666667
140,1016229849944461300,"['wells', 'fargo', 'amp', 'co', 'analysts', 'give', 'slm', 'slm', 'a', 'price', 'target', 'httpstcobqdufcxko']",Mon Jul 09 07:57:31 +0000 2018,dispatchtribune,SLM,SLM Corporation,http://dispatchtribunal.com/?p=2042082,False,5.3775
141,1016230120875491300,"['slm', 'slm', 'pt', 'set', 'at', 'by', 'wells', 'fargo', 'amp', 'co', 'httpstcojwxmquwyck']",Mon Jul 09 07:58:36 +0000 2018,OlympiaReport,SLM,SLM Corporation,http://theolympiareport.com/?p=912567,False,5.177142857142857
180,1016263807835000800,"['slm', 'corp', 'slm', 'expected', 'to', 'announce', 'earnings', 'of', 'per', 'share', 'httpstcozmutpcyz']",Mon Jul 09 10:12:27 +0000 2018,MareaInformativ,SLM,SLM Corporation,http://www.mareainformativa.com/?p=408345,False,5.702500000000001
424,1016353434386169900,"['analyzing', 'slm', 'slm', 'and', 'nelnet', 'nni', 'httpstcoiyghrrt']",Mon Jul 09 16:08:36 +0000 2018,TickerReport,SLM,SLM Corporation,http://tickerreport.com/?p=3624687,False,5.22
426,1016353654037770200,"['nelnet', 'nni', 'amp', 'slm', 'slm', 'financial', 'comparison', 'httpstconvydngoehm']",Mon Jul 09 16:09:28 +0000 2018,dailypoliticaln,SLM,SLM Corporation,http://www.dailypolitical.com/?p=2190999,False,5.41
427,1016353688481345500,"['analyzing', 'slm', 'slm', 'and', 'nelnet', 'nni', 'httpstcoyvtetvhm']",Mon Jul 09 16:09:36 +0000 2018,MareaInformativ,SLM,SLM Corporation,http://www.mareainformativa.com/?p=411056,False,5.22
542,1016404873791893500,"['ready', 'for', 'tonights', 'earnings', 'reports', 'off', 'streaming', 'market', 'coverage', 'analysis', 'amp', 'ideas', 'httpstcofyinodek', 'stocks', 'csx', 'ebay', 'slm']",Mon Jul 09 19:33:00 +0000 2018,Briefingcom,SLM,SLM Corporation,http://bit.ly/29DGlkl,False,5.809230769230769
635,1016438701503733800,"['on', 'our', 'top', 'bearish', 'list', 'today', 'mbi', 'wbs', 'htbk', 'nine', 'anat', 'lnth', 'tm', 'slm', 'spn', 'fun', 'httpstcowvfeh']",Mon Jul 09 21:47:25 +0000 2018,SwingTradeBot,SLM,SLM Corporation,https://swingtradebot.com/scans/top-fifty-bearish?selected_date=2018-07-09,False,6.208571428571429
659,1016447331334524900,"['slm', 'slm', 'now', 'covered', 'by', 'stephens', 'httpstcozkgymsthu']",Mon Jul 09 22:21:43 +0000 2018,TickerReport,SLM,SLM Corporation,http://tickerreport.com/?p=3625105,False,5.6000000000000005
665,1016448212465537000,"['slm', 'slm', 'now', 'covered', 'by', 'stephens', 'httpstcotkbkvj']",Mon Jul 09 22:25:13 +0000 2018,dailypoliticaln,SLM,SLM Corporation,http://www.dailypolitical.com/?p=2191401,False,5.6000000000000005
678,1016455974419222500,"['rt', 'swingtradebot', 'on', 'our', 'top', 'bearish', 'list', 'today', 'mbi', 'wbs', 'htbk', 'nine', 'anat', 'lnth', 'tm', 'slm', 'spn', 'fun', 'httpstcowvfeh']",Mon Jul 09 22:56:03 +0000 2018,AlertTrade,SLM,SLM Corporation,https://swingtradebot.com/scans/top-fifty-bearish?selected_date=2018-07-09,False,6.0425
679,1016455977116332000,"['rt', 'swingtradebot', 'on', 'our', 'top', 'bearish', 'list', 'today', 'mbi', 'wbs', 'htbk', 'nine', 'anat', 'lnth', 'tm', 'slm', 'spn', 'fun', 'httpstcowvfeh']",Mon Jul 09 22:56:04 +0000 2018,tradnews_,SLM,SLM Corporation,https://swingtradebot.com/scans/top-fifty-bearish?selected_date=2018-07-09,False,6.0425
753,1016509162744963100,"['slm', 'fav', 'chart', 'for', 'tomorrow', 'magnet', 'great', 'daily', 'httpstcouypydwln']",Tue Jul 10 02:27:24 +0000 2018,Ernie18,SLM,SLM Corporation,,False,5.9799999999999995
814,1016541760611373000,"['slm', 'consolidating', 'for', 'over', 'a', 'year', 'and', 'half', 'has', 'that', 'look', 'imo', 'earnings', 'coming', 'up', 'too', 'httpstcoyvzenepp']",Tue Jul 10 04:36:56 +0000 2018,OnTheGoTrades,SLM,SLM Corporation,,False,5.450769230769231
825,1016557022328819700,"['slm', 'slm', 'set', 'to', 'announce', 'earnings', 'on', 'tuesday', 'httpstcoqvcegqclig']",Tue Jul 10 05:37:35 +0000 2018,ZolmaxNews,SLM,SLM Corporation,http://zolmax.com/?p=2371831,False,5.716666666666666
879,1016604894193750000,"['slm', 'slm', 'coverage', 'initiated', 'by', 'analysts', 'at', 'stephens', 'httpstcooygnxgtti']",Tue Jul 10 08:47:49 +0000 2018,WatchlistN,SLM,SLM Corporation,http://zpr.io/6TDVV,False,5.348000000000001
