,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
1759,1016942236825555000,"['long', 'setups', 'esrx', 'ntr', 'adsw', 'spg', 'ftnt', 'tgt', 'btu', 'immu', 'aaoi', 'httpstcorjwewkux']",Wed Jul 11 07:08:17 +0000 2018,chartseer,SPG,Simon Property Group,,False,4.74
1932,1017018765685518300,"['simon', 'property', 'group', 'inc', 'spg', 'shareholder', 'advantus', 'capital', 'management', 'inc', 'decreased', 'stake', 'by', 'million', 'as', 'marke', 'httpstcorejypmi']",Wed Jul 11 12:12:23 +0000 2018,whatsonthorold2,SPG,Simon Property Group,https://twitter.com/i/web/status/1017018765685518336,False,5.2683333333333335
1933,1017018847453503500,"['simon', 'property', 'group', 'inc', 'spg', 'shareholder', 'advantus', 'capital', 'management', 'inc', 'trimmed', 'its', 'stake', 'httpstcoizzcvolsj']",Wed Jul 11 12:12:43 +0000 2018,mmahotstuff1,SPG,Simon Property Group,https://www.mmahotstuff.com/2018/07/11/simon-property-group-inc-spg-shareholder-advantus-capital-management-inc-trimmed-its-stake.html,False,5.224444444444444
1934,1017019023417135100,"['as', 'simon', 'property', 'group', 'inc', 'spg', 'valuation', 'rose', 'shareholder', 'advantus', 'capital', 'management', 'inc', 'lowered', 'holding', 'by', 'million']",Wed Jul 11 12:13:25 +0000 2018,reurope_stock,SPG,Simon Property Group,,False,5.631666666666667
2134,1017057040760475600,"['spg', 'high', 'oi', 'range', 'is', 'to', 'for', 'option', 'expiration', 'maxpain', 'options', 'httpstcopeyenxzi', 'httpstcotopzmyaw']",Wed Jul 11 14:44:29 +0000 2018,optioncharts,SPG,Simon Property Group,http://maximum-pain.com/options/open-interest/SPG,False,5.5775
2256,1017082773444677600,"['is', 'buying', 'simon', 'property', 'group', 'inc', 'spg', 'here', 'a', 'winning', 'strategy', 'httpstcotgcirk']",Wed Jul 11 16:26:44 +0000 2018,The_CasualSmart,SPG,Simon Property Group,https://thecasualsmart.com/2018/07/11/is-buying-simon-property-group-inc-spg-here-a-winning-strategy/,False,5.824
2257,1017083244532117500,"['simon', 'property', 'group', 'inc', 'spg', 'sets', 'week', 'high', 'strong', 'momentum', 'for', 'holders', 'httpstcoydnfdahhye']",Wed Jul 11 16:28:36 +0000 2018,bibeypost_stock,SPG,Simon Property Group,https://www.bibeypost.com/simon-property-group-inc-spg-sets-52-week-high-strong-momentum-for-holders-2/,False,5.637777777777778
2437,1017138969228861400,"['two', 'stores', 'closing', 'at', 'lehigh', 'valley', 'mallamps', 'outdoor', 'lifestyle', 'center', 'httpstcokvkplvmt', 'spg', 'stocks', 'stockmarket']",Wed Jul 11 20:10:02 +0000 2018,StocksPredictr,SPG,Simon Property Group,http://www.mcall.com/business/mc-biz-lehigh-valley-mall-jcrew-ann-taylor-close-20180315-story.html,False,5.514999999999999
2677,1017216822368751600,"['jcp', 'to', 'close', 'at', 'laguna', 'hills', 'mall', 'developer', 'bought', 'from', 'spg', 'in', 'after', 'several', 'years', 'of', 'declining', 'sales', 'sold', 'httpstcotwhrgtayf']",Thu Jul 12 01:19:24 +0000 2018,DonutShorts,SPG,Simon Property Group,https://twitter.com/i/web/status/1017216822368751621,False,5.461333333333333
3088,1017369908756312000,"['brokerages', 'set', 'simon', 'property', 'group', 'inc', 'spg', 'pt', 'at', 'httpstcokqfhdxymsr']",Thu Jul 12 11:27:42 +0000 2018,EnterpriseLeade,SPG,Simon Property Group,http://theenterpriseleader.com/?p=981500,False,5.294285714285714
3393,1017419023494021100,"['brokerages', 'set', 'simon', 'property', 'group', 'inc', 'spg', 'price', 'target', 'at', 'httpstcogdpgoij']",Thu Jul 12 14:42:52 +0000 2018,dispatchtribune,SPG,Simon Property Group,http://dispatchtribunal.com/?p=2049350,False,5.312499999999999
