,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
12416,1019092213723103200,"['rt', 'iiblockchain', 'spn', 'is', 'positioned', 'to', 'become', 'the', 'leader', 'of', 'tokenized', 'social', 'networks', 'sapiennetwork', 'blockchain', 'cryptocurrency', 'http']",Tue Jul 17 05:31:32 +0000 2018,CryptoReviewAus,SPN,Superior Energy Services,,False,5.504
12705,1019126268909023200,"['rt', 'sapiennetwork', 'interesting', 'opinion', 'piece', 'about', 'the', 'future', 'of', 'sapien', 'by', 'iiblockchain', 'the', 'article', 'includes', 'proposed', 'ui', 'spn', 'vs']",Tue Jul 17 07:46:51 +0000 2018,4FLHMqMhAhwjy4y,SPN,Superior Energy Services,,False,5.537142857142856
12766,1019133543648301000,"['rt', 'sapiennetwork', 'interesting', 'opinion', 'piece', 'about', 'the', 'future', 'of', 'sapien', 'by', 'iiblockchain', 'the', 'article', 'includes', 'proposed', 'ui', 'spn', 'vs']",Tue Jul 17 08:15:46 +0000 2018,AbhimanyuKrishn,SPN,Superior Energy Services,,False,5.537142857142856
12842,1019146441397342200,"['rt', 'iiblockchain', 'spn', 'is', 'positioned', 'to', 'become', 'the', 'leader', 'of', 'tokenized', 'social', 'networks', 'sapiennetwork', 'blockchain', 'cryptocurrency', 'http']",Tue Jul 17 09:07:01 +0000 2018,cinhakz8,SPN,Superior Energy Services,,False,5.504
12878,1019152690297884700,"['dont', 'even', 'have', 'to', 'look', 'at', 'charts', 'anymore', 'to', 'see', 'which', 'way', 'the', 'market', 'headingshit', 'now', 'i', 'just', 'log', 'in', 'twitter', 'httpstcoptjyintfm']",Tue Jul 17 09:31:50 +0000 2018,cryptoshawty,SPN,Superior Energy Services,https://twitter.com/i/web/status/1019152690297884672,False,5.338947368421053
13107,1019168960498069500,"['rt', 'sapiennetwork', 'interesting', 'opinion', 'piece', 'about', 'the', 'future', 'of', 'sapien', 'by', 'iiblockchain', 'the', 'article', 'includes', 'proposed', 'ui', 'spn', 'vs']",Tue Jul 17 10:36:30 +0000 2018,radupara2002,SPN,Superior Energy Services,,False,5.537142857142856
13167,1019174051816853500,"['rt', 'sapiennetwork', 'interesting', 'opinion', 'piece', 'about', 'the', 'future', 'of', 'sapien', 'by', 'iiblockchain', 'the', 'article', 'includes', 'proposed', 'ui', 'spn', 'vs']",Tue Jul 17 10:56:43 +0000 2018,Vladimir___14,SPN,Superior Energy Services,,False,5.537142857142856
13489,1019191615779364900,"['rt', 'iiblockchain', 'spn', 'is', 'positioned', 'to', 'become', 'the', 'leader', 'of', 'tokenized', 'social', 'networks', 'sapiennetwork', 'blockchain', 'cryptocurrency', 'http']",Tue Jul 17 12:06:31 +0000 2018,awir92,SPN,Superior Energy Services,,False,5.504
13557,1019194824874917900,"['exploring', 'different', 'socialmedia', 'built', 'on', 'the', 'blockchain', 'today', 'we', 'stop', 'and', 'take', 'a', 'look', 'at', 'sapiennetwork', 'httpstcozxqmwop']",Tue Jul 17 12:19:16 +0000 2018,cryptoctopus777,SPN,Superior Energy Services,https://twitter.com/i/web/status/1019194824874917888,False,5.395
14043,1019216849349865500,"['rt', 'iiblockchain', 'spn', 'is', 'positioned', 'to', 'become', 'the', 'leader', 'of', 'tokenized', 'social', 'networks', 'sapiennetwork', 'blockchain', 'cryptocurrency', 'http']",Tue Jul 17 13:46:47 +0000 2018,yousufk,SPN,Superior Energy Services,,False,5.504
14101,1019219039321755600,"['rt', 'iiblockchain', 'spn', 'is', 'positioned', 'to', 'become', 'the', 'leader', 'of', 'tokenized', 'social', 'networks', 'sapiennetwork', 'blockchain', 'cryptocurrency', 'http']",Tue Jul 17 13:55:29 +0000 2018,JulioPapi4,SPN,Superior Energy Services,,False,5.504
14102,1019219063199928300,"['rt', 'sapiennetwork', 'interesting', 'opinion', 'piece', 'about', 'the', 'future', 'of', 'sapien', 'by', 'iiblockchain', 'the', 'article', 'includes', 'proposed', 'ui', 'spn', 'vs']",Tue Jul 17 13:55:35 +0000 2018,JulioPapi4,SPN,Superior Energy Services,,False,5.537142857142856
14499,1019242411099238400,"['rt', 'iiblockchain', 'spn', 'is', 'positioned', 'to', 'become', 'the', 'leader', 'of', 'tokenized', 'social', 'networks', 'sapiennetwork', 'blockchain', 'cryptocurrency', 'http']",Tue Jul 17 15:28:22 +0000 2018,ConnectedFin,SPN,Superior Energy Services,,False,5.504
15676,1019304700594671600,"['rt', 'sapiennetwork', 'interesting', 'opinion', 'piece', 'about', 'the', 'future', 'of', 'sapien', 'by', 'iiblockchain', 'the', 'article', 'includes', 'proposed', 'ui', 'spn', 'vs']",Tue Jul 17 19:35:53 +0000 2018,crypt0_j0e,SPN,Superior Energy Services,,False,5.537142857142856
16266,1019329265714819100,"['coindeskmarkets', 'coindesk', 'great', 'news', 'im', 'glad', 'the', 'market', 'finally', 'can', 'breath', 'some', 'air', 'id', 'also', 'like', 'to', 'ask', 'if', 'you', 'httpstcoxltkmxuwla']",Tue Jul 17 21:13:29 +0000 2018,DAlambertLevis,SPN,Superior Energy Services,https://twitter.com/i/web/status/1019329265714819072,False,5.8533333333333335
16537,1019343856884682800,"['get', 'the', 'latest', 'ratings', 'for', 'wft', 'spn', 'caci', 'cresy', 'ecr', 'in', 'your', 'inbox', 'with', 'marketbeat', 'daily', 'httpstconsjudsyidj']",Tue Jul 17 22:11:28 +0000 2018,RatingsNetwork,SPN,Superior Energy Services,http://bit.ly/arndailyw,False,5.586
16913,1019366389423988700,"['rt', 'iiblockchain', 'spn', 'is', 'positioned', 'to', 'become', 'the', 'leader', 'of', 'tokenized', 'social', 'networks', 'sapiennetwork', 'blockchain', 'cryptocurrency', 'http']",Tue Jul 17 23:41:00 +0000 2018,earri,SPN,Superior Energy Services,,False,5.504
17815,1019436315182583800,"['new', 'sapien', 'spn', 'event', 'july', 'or', 'earlier', 'spn', 'rewards', 'engine', 'source', 'httpstcoobpynkuzlg', 'httpstcokfongmsjo']",Wed Jul 18 04:18:52 +0000 2018,cmcal_bot,SPN,Superior Energy Services,https://coinmarketcal.com/event/spn-rewards-engine-14894,False,5.817142857142858
17835,1019438419079057400,"['new', 'sapien', 'spn', 'event', 'july', 'or', 'earlier', 'spn', 'rewards', 'engine', 'source', 'httpstcobapxbcfit', 'httpstcontunmfkn']",Wed Jul 18 04:27:14 +0000 2018,1aioCom,SPN,Superior Energy Services,https://coinmarketcal.com/event/spn-rewards-engine-14894,False,5.817142857142858
21713,1019596305809723400,"['rt', 'iiblockchain', 'promising', 'cryptocurrencies', 'to', 'watch', 'in', 'q', 'spn', 'jan', 'ctk', 'rep', 'cln', 'ont', 'sky', 'dcr', 'trac', 'z']",Wed Jul 18 14:54:37 +0000 2018,iiblockchain,SPN,Superior Energy Services,,False,5.533999999999999
22282,1019608779476930600,"['superior', 'energy', 'services', 'spn', 'stock', 'rating', 'lowered', 'by', 'zacks', 'investment', 'research', 'httpstconyjofzr']",Wed Jul 18 15:44:11 +0000 2018,dakotafinancial,SPN,Superior Energy Services,http://dakotafinancialnews.com/?p=326298,False,5.970000000000001
22284,1019608796342247400,"['superior', 'energy', 'services', 'spn', 'stock', 'rating', 'lowered', 'by', 'zacks', 'investment', 'research', 'httpstcoqtpzutbyvf']",Wed Jul 18 15:44:15 +0000 2018,ledgerzette,SPN,Superior Energy Services,http://ledgergazette.com/?p=2834454,False,5.970000000000001
22917,1019621541145923600,"['rt', 'iiblockchain', 'promising', 'cryptocurrencies', 'to', 'watch', 'in', 'q', 'spn', 'jan', 'ctk', 'rep', 'cln', 'ont', 'sky', 'dcr', 'trac', 'z']",Wed Jul 18 16:34:53 +0000 2018,Tony45061369,SPN,Superior Energy Services,,False,5.533999999999999
