,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
13040,1019165597794472000,"['get', 'access', 'to', 'premium', 'paid', 'groups', 'for', 'a', 'fraction', 'of', 'the', 'price', 'join', 'us', 'httpstcovwylkynu', 'src', 'httpstcontimhtntq']",Tue Jul 17 10:23:08 +0000 2018,melaniebower89a,SRC,Spirit Realty Capital,http://discord.gg/tXbaTxx,False,5.630714285714286
13063,1019167177461641200,"['binance', 'is', 'the', 'fastest', 'growing', 'crypto', 'exchange', 'in', 'join', 'us', 'register', 'for', 'bonus', 'httpstcosyjwfred', 'httpstcomzkiwsiz']",Tue Jul 17 10:29:24 +0000 2018,evanalsop4864,SRC,Spirit Realty Capital,http://binance.com/?ref=10078236,False,5.85
13123,1019170663498768400,"['one', 'of', 'the', 'best', 'and', 'cheapest', 'exchange', 'to', 'trade', 'crypto', 'join', 'register', 'for', 'bonus', 'httpstcovtxawvkff', 'httpstcoazncfcoaw']",Tue Jul 17 10:43:16 +0000 2018,MarcelinoGrant3,SRC,Spirit Realty Capital,http://kucoin.com/#/?r=E3aQNa,False,5.745
13165,1019173923055861800,"['binance', 'has', 'stop', 'loss', 'feature', 'to', 'help', 'protect', 'your', 'assets', 'register', 'for', 'bonus', 'httpstcoufiwnbk', 'httpstcojiilkx']",Tue Jul 17 10:56:13 +0000 2018,carolyn47529089,SRC,Spirit Realty Capital,http://binance.com/?ref=10078236,False,5.491666666666666
13273,1019179131827867600,"['binance', 'has', 'over', 'million', 'users', 'join', 'us', 'today', 'register', 'for', 'bonus', 'httpstcodcqftjfxzq', 'spank', 'cag', 'httpstcosiovdktcd']",Tue Jul 17 11:16:55 +0000 2018,jesse_vallejo,SRC,Spirit Realty Capital,http://binance.com/?ref=10078236,False,5.9719999999999995
13357,1019184141861097500,"['binance', 'has', 'over', 'million', 'users', 'join', 'us', 'today', 'register', 'for', 'bonus', 'httpstcovcjxm', 'xp', 'fair', 'httpstcoahe']",Tue Jul 17 11:36:49 +0000 2018,AliKirk64922805,SRC,Spirit Realty Capital,http://binance.com/?ref=10078236,False,6.059999999999999
13413,1019187214666944500,"['coin', 'listings', 'pump', 'our', 'bot', 'detects', 'before', 'official', 'announcement', 'join', 'us', 'httpstcoirbfumt', 'httpstcorelhvriok']",Tue Jul 17 11:49:02 +0000 2018,Michael40684539,SRC,Spirit Realty Capital,http://discord.gg/tXbaTxx,False,5.6866666666666665
13835,1019207940589355000,"['move', 'your', 'trading', 'to', 'the', 'crypto', 'exchange', 'today', 'sign', 'up', 'register', 'for', 'bonus', 'httpstcosyjwfred', 'httpstcohwamwr']",Tue Jul 17 13:11:23 +0000 2018,evanalsop4864,SRC,Spirit Realty Capital,http://binance.com/?ref=10078236,False,5.778333333333332
13842,1019208183397670900,"['binance', 'has', 'mobile', 'apps', 'so', 'you', 'can', 'trade', 'anywhere', 'sign', 'up', 'register', 'for', 'bonus', 'httpstcosaisnxjbb', 'httpstcomhcjiofbgm']",Tue Jul 17 13:12:21 +0000 2018,danhodges4591,SRC,Spirit Realty Capital,http://binance.com/?ref=10078236,False,5.81076923076923
14189,1019223691752890400,"['get', 'access', 'to', 'premium', 'paid', 'groups', 'for', 'a', 'fraction', 'of', 'the', 'price', 'join', 'us', 'httpstcovwylkynu', 'pepe', 'httpstcoenxlduj']",Tue Jul 17 14:13:59 +0000 2018,melaniebower89a,SRC,Spirit Realty Capital,http://discord.gg/tXbaTxx,False,5.630714285714286
14263,1019229222001434600,"['fortnite', 'vbucks', 'are', 'on', 'sale', 'get', 'them', 'off', 'more', 'info', 'httpstcoyqptbyzg', 'aion', 'shl', 'aac', 'hkn', 'httpstcoljsahexoh']",Tue Jul 17 14:35:57 +0000 2018,JustinA25256101,SRC,Spirit Realty Capital,http://discord.gg/gtJ4zym,False,5.5625
14466,1019240502942666800,"['sign', 'up', 'and', 'get', 'fee', 'discount', 'with', 'bitmex', 'register', 'for', 'bonus', 'httpstcolkviqtp', 'gvt', 'link', 'chat', 'httpstcoyhgpzcav']",Tue Jul 17 15:20:47 +0000 2018,DeweyRange,SRC,Spirit Realty Capital,http://bitmex.com/register/6vXB0G,False,5.806666666666666
15175,1019277661397495800,"['trade', 'crypto', 'on', 'binance', 'and', 'get', 'discount', 'on', 'trading', 'fees', 'register', 'for', 'bonus', 'httpstcowwjyaqlvg', 'httpstcoauaqkzra']",Tue Jul 17 17:48:26 +0000 2018,JamesCribbs17,SRC,Spirit Realty Capital,http://binance.com/?ref=10078236,False,5.789090909090908
15487,1019295539907760100,"['longshort', 'bitcoin', 'swings', 'with', 'up', 'to', 'x', 'leverage', 'at', 'bitmex', 'register', 'for', 'bonus', 'httpstcondqoevqv', 'httpstcodusqauo']",Tue Jul 17 18:59:28 +0000 2018,TeddyKlein4,SRC,Spirit Realty Capital,http://bitmex.com/register/6vXB0G,False,5.602499999999999
15522,1019296584692125700,"['longshort', 'bitcoin', 'swings', 'with', 'up', 'to', 'x', 'leverage', 'at', 'bitmex', 'register', 'for', 'bonus', 'httpstcolzdcdvzgk', 'httpstcofjqllkwa']",Tue Jul 17 19:03:38 +0000 2018,PWestlake,SRC,Spirit Realty Capital,http://bitmex.com/register/6vXB0G,False,5.602499999999999
16088,1019321332985745400,"['move', 'your', 'trading', 'to', 'the', 'crypto', 'exchange', 'today', 'sign', 'up', 'register', 'for', 'bonus', 'httpstcosyjwfred', 'sq', 'httpstcokwwvslh']",Tue Jul 17 20:41:58 +0000 2018,evanalsop4864,SRC,Spirit Realty Capital,http://binance.com/?ref=10078236,False,5.778333333333332
16172,1019325434947948500,"['overview', 'changeh', 'src', 'muse', 'dsr', 'changeh', 'jiyo', 'toa', 'qrk', 'httpstcoxuctpme']",Tue Jul 17 20:58:16 +0000 2018,crptcur_long,SRC,Spirit Realty Capital,https://twitter.com/i/web/status/1019325434947948555,False,5.36
16188,1019326380541005800,"['btc', 'eth', 'xrp', 'bch', 'ltc', 'ada', 'jiyo', 'httpstcogbrpcgkhj']",Tue Jul 17 21:02:01 +0000 2018,coinutils,SRC,Spirit Realty Capital,https://twitter.com/i/web/status/1019326380541005824,False,5.04
