,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
142,1016230301054455800,"['stericycle', 'srcl', 'stock', 'rating', 'upgraded', 'by', 'zacks', 'investment', 'research', 'httpstcolmjvtequt']",Mon Jul 09 07:59:19 +0000 2018,dailypoliticaln,SRCL,Stericycle,http://www.dailypolitical.com/?p=2190154,False,5.720000000000001
143,1016230316460126200,"['stericycle', 'srcl', 'lifted', 'to', 'buy', 'at', 'zacks', 'investment', 'research', 'httpstcodvtpznpt']",Mon Jul 09 07:59:22 +0000 2018,TickerReport,SRCL,Stericycle,http://tickerreport.com/?p=3623821,False,5.773333333333333
256,1016305983012986900,"['stericycle', 'srcl', 'holder', 'chesley', 'taft', 'amp', 'associates', 'trimmed', 'holding', 'by', 'httpstcokybabelhe', 'srcl', 'stocks', 'stockmarket']",Mon Jul 09 13:00:03 +0000 2018,StocksPredictr,SRCL,Stericycle,https://wolcottdaily.com/stericycle-srcl-holder-chesley-taft-pnc-financial-services-group-holds-holding-in-broadridge-finl-solutions-in-br/,False,5.396
411,1016348464161148900,"['zacks', 'analysts', 'expect', 'stericycle', 'inc', 'srcl', 'will', 'announce', 'earnings', 'of', 'per', 'share', 'httpstcoakotgwylf']",Mon Jul 09 15:48:51 +0000 2018,TheMarketsDaily,SRCL,Stericycle,http://zpr.io/6T7Sp,False,5.728888888888889
535,1016402180830629900,"['stericycle', 'inc', 'srcl', 'market', 'valuation', 'rose', 'while', 'welch', 'amp', 'forbes', 'llc', 'trimmed', 'holding', 'by', 'million', 'httpstcowtbnzhbcwd']",Mon Jul 09 19:22:18 +0000 2018,whatsonthorold2,SRCL,Stericycle,https://www.whatsonthorold.com/2018/07/09/stericycle-inc-srcl-market-valuation-rose-while-welch-forbes-llc-trimmed-holding-by-4-14-million/,False,5.857500000000001
536,1016402372669661200,"['as', 'stericycle', 'inc', 'srcl', 'share', 'value', 'rose', 'welch', 'amp', 'forbes', 'llc', 'decreased', 'its', 'holding', 'httpstcozubtgdwh']",Mon Jul 09 19:23:04 +0000 2018,reurope_stock,SRCL,Stericycle,https://reurope.com/2018/07/09/as-stericycle-inc-srcl-share-value-rose-welch-forbes-llc-decreased-its-holding/,False,5.555555555555555
537,1016402438893563900,"['as', 'stericycle', 'inc', 'srcl', 'market', 'value', 'rose', 'welch', 'amp', 'forbes', 'llc', 'has', 'decreased', 'stake', 'httpstcokgbznril']",Mon Jul 09 19:23:19 +0000 2018,bibeypost_stock,SRCL,Stericycle,https://www.bibeypost.com/as-stericycle-inc-srcl-market-value-rose-welch-forbes-llc-has-decreased-stake/,False,5.455555555555555
675,1016452568791253000,"['srcl', 'stericycle', 'inc', 'daily', 'stock', 'price', 'summary', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Mon Jul 09 22:42:31 +0000 2018,Allstocknews,SRCL,Stericycle,,False,5.432
748,1016505636593590300,"['found', 'a', 'copy', 'of', 'forbes', 'from', 'that', 'recommended', 'you', 'buy', 'sell', 'and', 'hold', 'stericycle', 'srcl', 'finance']",Tue Jul 10 02:13:24 +0000 2018,StockTipRobot,SRCL,Stericycle,,False,5.576923076923078
768,1016511659513471000,"['swk', 'dish', 'mat', 'ph', 'celg', 'srcl', 'time', 'stamp']",Tue Jul 10 02:37:20 +0000 2018,Russe9,SRCL,Stericycle,,False,5.68
