,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
14604,1019248216406151200,"['top', 'gainers', 'ao', 'am', 'est', 'ped', 'gbr', 'cdmo', 'roku', 'shop', 'blfs', 'bidu', 'srpt', 'huya', 'jnj', 'staygreen', 'httpstcojbbgtttp']",Tue Jul 17 15:51:26 +0000 2018,mchaudhry82,SRPT,Sarepta Therapeutics,https://twitter.com/i/web/status/1019248216406151168,False,5.708
14678,1019252355223687200,"['acad', 'srpt', 'buyout', 'happen', 'for', 'both']",Tue Jul 17 16:07:52 +0000 2018,JSTOCKBROKERS,SRPT,Sarepta Therapeutics,,False,5.466666666666666
14832,1019260020092035100,"['a', 'look', 'at', 'biotech', 'in', 'and', 'the', 'biggest', 'catalysts', 'coming', 'up', 'in', 'the', 'second', 'half', 'of', 'the', 'year', 'httpstcosasfkbzu']",Tue Jul 17 16:38:20 +0000 2018,VegasTours,SRPT,Sarepta Therapeutics,https://twitter.com/i/web/status/1019260020092035078,False,5.319999999999999
14889,1019263109322584000,"['rt', 'gantosj', 'as', 'we', 'know', 'doug', 'love', 'surprises', 'amp', 'he', 'is', 'a', 'master', 'in', 'planning', 'srpts', 'events', 'whats', 'srpts', 'next', 'surprise', 'for', 'the', 'q', 'earnings', 'ca']",Tue Jul 17 16:50:36 +0000 2018,stockassassin74,SRPT,Sarepta Therapeutics,,False,5.736363636363636
14944,1019266017351032800,"['rt', 'jstockbrokers', 'acad', 'srpt', 'buyout', 'happen', 'for', 'both']",Tue Jul 17 17:02:10 +0000 2018,Ironcookies,SRPT,Sarepta Therapeutics,,False,5.32
15065,1019271539353669600,"['srpt', 'setting', 'up', 'youve', 'been', 'warned', 'httpstcomtoihzfvp']",Tue Jul 17 17:24:06 +0000 2018,__quantslayer__,SRPT,Sarepta Therapeutics,,False,4.93
15214,1019279927948935200,"['srpt', 'anyone', 'have', 'an', 'idea', 'when', 'the', 'next', 'earnings', 'call', 'will', 'be']",Tue Jul 17 17:57:26 +0000 2018,samizm123,SRPT,Sarepta Therapeutics,,False,5.750909090909091
15261,1019282779606016000,"['srpt', 'aug', 'call', 'went', 'through']",Tue Jul 17 18:08:46 +0000 2018,GantosJ,SRPT,Sarepta Therapeutics,,False,5.42
15326,1019286755160145900,"['rt', 'gantosj', 'srpt', 'aug', 'call', 'went', 'through']",Tue Jul 17 18:24:34 +0000 2018,Ironcookies,SRPT,Sarepta Therapeutics,,False,5.312
15329,1019286825490235400,"['rt', 'gantosj', 'srpt', 'aug', 'call', 'went', 'through']",Tue Jul 17 18:24:51 +0000 2018,stockassassin74,SRPT,Sarepta Therapeutics,,False,5.312
