,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
5894,1018081611433291800,"['rt', 'insuranceblitz', 'rt', 'broadstreetlag', 'sti', 'an', 'insurance', 'stock', 'in', 'nigeria', 'was', 'the', 'only', 'one', 'in', 'its', 'sector', 'in', 'the', 'httpstcolzhrrizmv']",Sat Jul 14 10:35:45 +0000 2018,kotaknaren,STI,SunTrust Banks,https://twitter.com/i/web/status/1018081611433291776,False,5.125333333333334
5895,1018081613580730400,"['rt', 'insuranceblitz', 'retweeted', 'broadstreetlagos', 'broadstreetlag', 'sti', 'an', 'insurance', 'stock', 'in', 'nigeria', 'was', 'the', 'on', 'httpstcomrqokhlsn']",Sat Jul 14 10:35:46 +0000 2018,kotaknaren,STI,SunTrust Banks,https://twitter.com/i/web/status/1018081613580730368,False,5.175000000000001
5907,1018084577129181200,"['rt', 'insuranceblitz', 'retweeted', 'broadstreetlagos', 'broadstreetlag', 'sti', 'an', 'insurance', 'stock', 'in', 'nigeria', 'was', 'the', 'on', 'httpstcoyvbufcho']",Sat Jul 14 10:47:32 +0000 2018,TheRetweeterNg,STI,SunTrust Banks,https://twitter.com/i/web/status/1018084577129181185,False,5.175000000000001
6036,1018116405449953300,"['short', 'sale', 'vol', 'not', 'short', 'interest', 'for', 'vgk', 'on', 'is', 'httpstcosguuuyz', 'bbt', 'vea', 'sti', 'etp']",Sat Jul 14 12:54:01 +0000 2018,shortvolumes,STI,SunTrust Banks,http://shortvolumes.com/?t=VGK,False,5.242222222222222
6253,1018204471149645800,"['discussion', 'stirs', 'around', 'suntrust', 'banks', 'inc', 'sti', 'this', 'week', 'here', 'is', 'what', 'analysts', 'are', 'saying', 'httpstcogocxgfvpv']",Sat Jul 14 18:43:57 +0000 2018,whatsonthorold2,STI,SunTrust Banks,https://www.whatsonthorold.com/2018/07/14/discussion-stirs-around-suntrust-banks-inc-nysesti-this-week-here-is-what-analysts-are-saying/,False,5.276666666666666
6254,1018204551567077400,"['analysts', 'take', 'a', 'look', 'at', 'suntrust', 'banks', 'inc', 'sti', 'having', 'this', 'to', 'say', 'httpstconiyhymjxj']",Sat Jul 14 18:44:17 +0000 2018,mmahotstuff1,STI,SunTrust Banks,https://www.mmahotstuff.com/2018/07/14/analysts-take-a-look-at-suntrust-banks-inc-nysesti-having-this-to-say.html,False,5.260000000000001
6278,1018209867515990000,"['q', 'earnings', 'estimate', 'for', 'suntrust', 'banks', 'inc', 'issued', 'by', 'jefferies', 'financial', 'group', 'sti', 'httpstcorzwwhuvdq']",Sat Jul 14 19:05:24 +0000 2018,dispatchtribune,STI,SunTrust Banks,http://dispatchtribunal.com/?p=2051574,False,5.456
6282,1018210241970888700,"['q', 'earnings', 'estimate', 'for', 'suntrust', 'banks', 'inc', 'issued', 'by', 'jefferies', 'financial', 'group', 'sti', 'httpstcokdpanefd']",Sat Jul 14 19:06:53 +0000 2018,OlympiaReport,STI,SunTrust Banks,http://theolympiareport.com/?p=922282,False,5.456
6325,1018214076206510100,"['traders', 'buy', 'shares', 'of', 'suntrust', 'banks', 'sti', 'on', 'weakness', 'httpstcohongpd']",Sat Jul 14 19:22:07 +0000 2018,MareaInformativ,STI,SunTrust Banks,http://www.mareainformativa.com/?p=439312,False,5.414285714285714
6666,1018268140613128200,"['zacks', 'brokerages', 'anticipate', 'suntrust', 'banks', 'inc', 'sti', 'to', 'announce', 'eps', 'httpstcouirryyut']",Sat Jul 14 22:56:57 +0000 2018,dailypoliticaln,STI,SunTrust Banks,http://www.dailypolitical.com/?p=2200405,False,5.32
6667,1018268157734158300,"['zacks', 'analysts', 'expect', 'suntrust', 'banks', 'inc', 'sti', 'will', 'announce', 'earnings', 'of', 'per', 'share', 'httpstcoxeormfy']",Sat Jul 14 22:57:01 +0000 2018,ZolmaxNews,STI,SunTrust Banks,http://zolmax.com/?p=2380497,False,5.747999999999999
6678,1018270728209256400,"['zacks', 'brokerages', 'anticipate', 'suntrust', 'banks', 'inc', 'sti', 'to', 'announce', 'eps', 'httpstcoqiypfk']",Sat Jul 14 23:07:14 +0000 2018,MareaInformativ,STI,SunTrust Banks,http://www.mareainformativa.com/?p=442326,False,5.32
6824,1018308827224117200,"['i', 'have', 'no', 'faith', 'that', 'real', 'people', 'can', 'see', 'my', 'tweets', 'none', 'twitter', 'engagement', 'seems', 'fraudulent', 'was', 'alays', 'skeptical', 'httpstcowaaioziefh']",Sun Jul 15 01:38:38 +0000 2018,brianfires,STI,SunTrust Banks,https://twitter.com/i/web/status/1018308827224117248,False,5.5040000000000004
7406,1018411843524718600,"['investors', 'buy', 'suntrust', 'banks', 'sti', 'on', 'weakness', 'httpstcodnbhpcd']",Sun Jul 15 08:27:59 +0000 2018,WatchlistN,STI,SunTrust Banks,http://zpr.io/6Xtiy,False,5.24
7665,1018455315782754300,"['eps', 'expected', 'for', 'suntrust', 'banks', 'inc', 'sti', 'httpstcogrskzocv']",Sun Jul 15 11:20:43 +0000 2018,whatsonthorold2,STI,SunTrust Banks,https://www.whatsonthorold.com/2018/07/15/1-30-eps-expected-for-suntrust-banks-inc-sti/,False,5.3950000000000005
7666,1018455392102355000,"['suntrust', 'banks', 'inc', 'sti', 'analysts', 'see', 'eps', 'httpstcogmtcbtaw']",Sun Jul 15 11:21:02 +0000 2018,mmahotstuff1,STI,SunTrust Banks,https://www.mmahotstuff.com/2018/07/15/suntrust-banks-inc-sti-analysts-see-1-30-eps.html,False,5.425
7667,1018455564173660200,"['analysts', 'see', 'eps', 'for', 'suntrust', 'banks', 'inc', 'sti', 'httpstcovddbnqje']",Sun Jul 15 11:21:43 +0000 2018,reurope_stock,STI,SunTrust Banks,https://reurope.com/2018/07/15/analysts-see-1-30-eps-for-suntrust-banks-inc-sti/,False,5.3839999999999995
7669,1018455647111835600,"['eps', 'for', 'suntrust', 'banks', 'inc', 'sti', 'expected', 'at', 'httpstcowyucvlcog']",Sun Jul 15 11:22:02 +0000 2018,bibeypost_stock,STI,SunTrust Banks,https://www.bibeypost.com/eps-for-suntrust-banks-inc-sti-expected-at-1-30/,False,5.295999999999999
7906,1018493893917233200,"['short', 'sale', 'volumenot', 'short', 'interest', 'for', 'fitb', 'on', 'is', 'httpstcokhikuybt', 'tcf', 'lcnb', 'sti', 'wfc']",Sun Jul 15 13:54:01 +0000 2018,shortvolumes,STI,SunTrust Banks,http://shortvolumes.com/?t=FITB,False,5.402857142857143
7966,1018499933899558900,"['short', 'sale', 'vol', 'not', 'short', 'interest', 'for', 'key', 'on', 'is', 'httpstcoopbxabx', 'pnc', 'jpm', 'sti', 'wfc']",Sun Jul 15 14:18:01 +0000 2018,shortvolumes,STI,SunTrust Banks,http://shortvolumes.com/?t=KEY,False,5.3
8480,1018572016000098300,"['sti', 'option', 'volume', 'was', 'x', 'normal', 'on', 'friday', 'with', 'contracts', 'call', 'volume', 'was', 'and', 'put', 'volume', 'was', 'httpstconqqiuactq']",Sun Jul 15 19:04:27 +0000 2018,MarketChmln,STI,SunTrust Banks,https://marketchameleon.com/Overview/STI/OptionChainPro/?e=281_20180720,False,5.46875
9331,1018816662013907000,"['analysts', 'set', 'expectations', 'for', 'suntrust', 'banks', 'incs', 'q', 'earnings', 'sti', 'httpstcoqjuezwl']",Mon Jul 16 11:16:35 +0000 2018,EnterpriseLeade,STI,SunTrust Banks,http://theenterpriseleader.com/?p=989541,False,5.6171428571428565
9487,1018830322908192800,"['will', 'suntrust', 'banks', 'inc', 'deliver', 'longterm', 'returns', 'sti', 'httpstcoumeecgii']",Mon Jul 16 12:10:52 +0000 2018,SADIFAnalytics,STI,SunTrust Banks,https://www.sadifanalytics.com/reports/find/STI-47975,False,5.6240000000000006
9791,1018851066367144000,"['suntrust', 'banks', 'inc', 'sti', 'position', 'upped', 'by', 'cullen', 'capital', 'management', 'llc', 'httpstcoojdgksbn']",Mon Jul 16 13:33:18 +0000 2018,whatsonthorold2,STI,SunTrust Banks,https://www.whatsonthorold.com/2018/07/16/suntrust-banks-inc-sti-position-upped-by-cullen-capital-management-llc/,False,5.3566666666666665
9793,1018851155546443800,"['cullen', 'capital', 'management', 'llc', 'has', 'raised', 'suntrust', 'banks', 'inc', 'sti', 'holding', 'by', 'million', 'httpstcohdellggjjj']",Mon Jul 16 13:33:39 +0000 2018,mmahotstuff1,STI,SunTrust Banks,https://www.mmahotstuff.com/2018/07/16/cullen-capital-management-llc-has-raised-suntrust-banks-inc-sti-holding-by-18-15-million.html,False,5.671111111111111
9798,1018851328871854100,"['suntrust', 'banks', 'inc', 'sti', 'shareholder', 'cullen', 'capital', 'management', 'llc', 'has', 'increased', 'its', 'position', 'by', 'million', 'as', 'market', 'value', 'declined']",Mon Jul 16 13:34:20 +0000 2018,reurope_stock,STI,SunTrust Banks,,False,5.504285714285714
9799,1018851431850397700,"['as', 'suntrust', 'banks', 'inc', 'sti', 'stock', 'value', 'declined', 'holder', 'cullen', 'capital', 'management', 'llc', 'boosted', 'stake', 'httpstcoitavztrnb']",Mon Jul 16 13:34:45 +0000 2018,bibeypost_stock,STI,SunTrust Banks,https://www.bibeypost.com/as-suntrust-banks-inc-sti-stock-value-declined-holder-cullen-capital-management-llc-boosted-stake/,False,5.206666666666667
10033,1018862654218227700,"['bank', 'of', 'montreal', 'can', 'increases', 'position', 'in', 'suntrust', 'banks', 'inc', 'sti', 'httpstcocblbish']",Mon Jul 16 14:19:20 +0000 2018,ConsumerFeed,STI,SunTrust Banks,https://ift.tt/2zIRrVh,False,5.635555555555556
