,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
19513,1019542897035808800,"['trade', 'crypto', 'on', 'binance', 'and', 'get', 'discount', 'on', 'trading', 'fees', 'register', 'for', 'bonus', 'httpstcouourszceh', 'httpstcofsrbcbpd']",Wed Jul 18 11:22:23 +0000 2018,PWestlake,STX,Seagate Technology plc,http://binance.com/?ref=10078236,False,5.789090909090908
19639,1019547394982207500,"['yoyow', 'is', 'currently', 'worth', 'quick', 'sign', 'up', 'before', 'binance', 'closes', 'registration', 'httpstcoeplhxqm']",Wed Jul 18 11:40:15 +0000 2018,DenniNicel,STX,Seagate Technology plc,https://twitter.com/i/web/status/1019547394982207488,False,5.7457142857142856
19668,1019548463615356900,"['binance', 'has', 'mobile', 'apps', 'so', 'you', 'can', 'trade', 'anywhere', 'sign', 'up', 'register', 'for', 'bonus', 'httpstcoufiwnbk', 'httpstcolebptyrq']",Wed Jul 18 11:44:30 +0000 2018,carolyn47529089,STX,Seagate Technology plc,http://binance.com/?ref=10078236,False,5.81076923076923
19679,1019548691856797700,"['icon', 'icx', 'is', 'trading', 'at', 'we', 'checked', 'binance', 'registration', 'is', 'currently', 'open', 'httpstcojftfjkjcl']",Wed Jul 18 11:45:25 +0000 2018,Janicextra,STX,Seagate Technology plc,https://twitter.com/i/web/status/1019548691856797697,False,5.631111111111111
19736,1019551265863454700,"['vechain', 'ven', 'is', 'valued', 'at', 'huge', 'coin', 'selection', 'low', 'fees', 'and', 'very', 'reliable', 'join', 'binance', 'httpstcoolgwcxgbp']",Wed Jul 18 11:55:38 +0000 2018,kevindavidson58,STX,Seagate Technology plc,https://twitter.com/i/web/status/1019551265863454720,False,5.569230769230769
19801,1019553372591022100,"['join', 'binance', 'it', 'is', 'the', 'fastest', 'growing', 'exchange', 'in', 'the', 'world', 'register', 'for', 'bonus', 'httpstcoufiwnbk', 'httpstcomhopapwpst']",Wed Jul 18 12:04:01 +0000 2018,carolyn47529089,STX,Seagate Technology plc,http://binance.com/?ref=10078236,False,5.7299999999999995
19868,1019555471085064200,"['percent', 'changed', 'descending', 'order', 'jiyo', 'toa', 'soar', 'kurt', 'stn', 'dsr', 'httpstcovfalegpq']",Wed Jul 18 12:12:21 +0000 2018,GrassHopperCoin,STX,Seagate Technology plc,https://twitter.com/i/web/status/1019555471085064192,False,5.206666666666666
19955,1019558056961560600,"['july', 'stockstowatch', 'trend', 'indicator', 'low', 'amp', 'favorable', 'ksu', 'stx', 'cog', 'flr', 'all', 'remain', 'in', 'lengthy', 'ranges', 'spx']",Wed Jul 18 12:22:37 +0000 2018,ebisuconsulting,STX,Seagate Technology plc,,False,5.665000000000001
20088,1019561948000727000,"['powerledger', 'powr', 'price', 'binance', 'is', 'one', 'of', 'the', 'top', 'crypto', 'exchanges', 'sign', 'up', 'here', 'httpstcooqasvpcig']",Wed Jul 18 12:38:05 +0000 2018,DenniNicel,STX,Seagate Technology plc,https://twitter.com/i/web/status/1019561948000727040,False,5.5200000000000005
20095,1019562317867028500,"['digibyte', 'dgb', 'is', 'valued', 'at', 'binance', 'registration', 'is', 'online', 'we', 'just', 'checked', 'httpstcomyqwsxfbos']",Wed Jul 18 12:39:33 +0000 2018,lilyclark210,STX,Seagate Technology plc,https://twitter.com/i/web/status/1019562317867028482,False,5.7925
20128,1019563241129668600,"['stx', 'httpstcoxeuxglsx']",Wed Jul 18 12:43:13 +0000 2018,invest_golfer,STX,Seagate Technology plc,https://twitter.com/SIRINLABS/status/1019557511748358144,False,0.0
20138,1019563605971341300,"['x', 'zrx', 'is', 'currently', 'we', 'checked', 'binance', 'registration', 'is', 'currently', 'open', 'httpstcotqulcvgce']",Wed Jul 18 12:44:40 +0000 2018,MarthHeavy,STX,Seagate Technology plc,https://twitter.com/i/web/status/1019563605971341313,False,5.472500000000001
20169,1019564191722721300,"['current', 'iota', 'price', 'trade', 'crypto', 'on', 'binance', 'and', 'get', 'discount', 'on', 'trading', 'fees', 'httpstcovlwacruula']",Wed Jul 18 12:47:00 +0000 2018,MysterDeaf,STX,Seagate Technology plc,https://twitter.com/i/web/status/1019564191722721280,False,5.61
20214,1019565242802729000,"['stratis', 'strat', 'price', 'we', 'verified', 'that', 'binance', 'is', 'accepting', 'new', 'users', 'httpstcordciqe', 'httpstcorpdxsyullr']",Wed Jul 18 12:51:11 +0000 2018,suepiper112y,STX,Seagate Technology plc,http://binance.com/?ref=10078236,False,5.633333333333333
20376,1019568881587949600,"['neo', 'is', 'valued', 'at', 'binance', 'registration', 'is', 'online', 'we', 'just', 'checked', 'httpstcoefbqahtv', 'httpstcouycrbjrk']",Wed Jul 18 13:05:38 +0000 2018,sevenfed,STX,Seagate Technology plc,http://binance.com/?ref=10078236,False,5.7925
20444,1019570142630596600,"['current', 'ark', 'price', 'we', 'checked', 'binance', 'registration', 'is', 'currently', 'open', 'httpstcordciqe', 'httpstcobkmcmhrey']",Wed Jul 18 13:10:39 +0000 2018,suepiper112y,STX,Seagate Technology plc,http://binance.com/?ref=10078236,False,5.5600000000000005
20486,1019571012764098600,"['chip', 'stocks', 'to', 'play', 'into', 'earnings', 'httpstcowisthpljs', 'lrcx', 'intc', 'mu', 'stx', 'amd', 'klac']",Wed Jul 18 13:14:06 +0000 2018,JorelLaraKalel,STX,Seagate Technology plc,http://bit.ly/2L5RJes,False,5.817142857142857
