,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
6454,1018231661744541700,"['synchrony', 'finl', 'syf', 'holder', 'ci', 'investments', 'inc', 'decreased', 'its', 'stake', 'by', 'million', 'httpstcouuzrilhqg']",Sat Jul 14 20:32:00 +0000 2018,reurope_stock,SYF,Synchrony Financial,https://reurope.com/2018/07/14/synchrony-finl-syf-holder-ci-investments-inc-decreased-its-stake-by-49-26-million/,False,5.18125
6455,1018231726517219300,"['as', 'synchrony', 'finl', 'syf', 'stock', 'value', 'declined', 'ci', 'investments', 'inc', 'has', 'decreased', 'its', 'position', 'httpstcohgewnwnkl']",Sat Jul 14 20:32:16 +0000 2018,bibeypost_stock,SYF,Synchrony Financial,https://www.bibeypost.com/as-synchrony-finl-syf-stock-value-declined-ci-investments-inc-has-decreased-its-position/,False,5.059090909090909
6615,1018255371532726300,"['syf', 'option', 'volume', 'was', 'x', 'normal', 'on', 'friday', 'with', 'contracts', 'call', 'volume', 'was', 'and', 'put', 'volume', 'was', 'httpstcopxyjcgbr']",Sat Jul 14 22:06:13 +0000 2018,MarketChmln,SYF,Synchrony Financial,https://marketchameleon.com/Overview/SYF/OptionChainPro/?e=4823_20180713,False,5.46875
6632,1018259752386691100,"['synchrony', 'financial', 'syf', 'trading', 'down', 'httpstcoydhaiurdmx']",Sat Jul 14 22:23:37 +0000 2018,TickerReport,SYF,Synchrony Financial,http://tickerreport.com/?p=3634159,False,5.093333333333334
6637,1018260005211041800,"['synchrony', 'financial', 'syf', 'trading', 'down', 'httpstcoxbtofwpi']",Sat Jul 14 22:24:38 +0000 2018,ConsumerFeed,SYF,Synchrony Financial,http://zpr.io/6NDya,False,5.093333333333334
6778,1018296851181625300,"['explore', 'fundamental', 'numbers', 'and', 'pros', 'and', 'cons', 'for', 'syf', 'httpstcodhrizstaj']",Sun Jul 15 00:51:03 +0000 2018,1MinuteStock,SYF,Synchrony Financial,https://unicornbay.com/t/SYF.US?utm_medium=tweet&utm_campaign=proscons&utm_source=twitter,False,5.634999999999999
7169,1018375415277281300,"['financial', 'contrast', 'synchrony', 'financial', 'syf', 'and', 'green', 'dot', 'gdot', 'httpstcovkhymljknj']",Sun Jul 15 06:03:14 +0000 2018,dakotafinancial,SYF,Synchrony Financial,http://dakotafinancialnews.com/?p=317467,False,5.510000000000001
7231,1018388229786079200,"['reviewing', 'walker', 'amp', 'dunlop', 'wd', 'amp', 'synchrony', 'financial', 'syf', 'httpstcofyitbznqd']",Sun Jul 15 06:54:09 +0000 2018,dailypoliticaln,SYF,Synchrony Financial,http://www.dailypolitical.com/?p=2201907,False,5.475
7233,1018388416160026600,"['analyzing', 'synchrony', 'financial', 'syf', 'and', 'qudian', 'qd', 'httpstcozknpgdjr']",Sun Jul 15 06:54:53 +0000 2018,ledgerzette,SYF,Synchrony Financial,http://ledgergazette.com/?p=2825969,False,5.32
7610,1018447435432161300,"['critical', 'contrast', 'qudian', 'qd', 'amp', 'synchrony', 'financial', 'syf', 'httpstcooqwot']",Sun Jul 15 10:49:25 +0000 2018,MareaInformativ,SYF,Synchrony Financial,http://www.mareainformativa.com/?p=447734,False,4.755000000000001
7680,1018456576137617400,"['synchrony', 'financial', 'syf', 'analysts', 'see', 'eps', 'httpstcoqhykonodkh']",Sun Jul 15 11:25:44 +0000 2018,whatsonthorold2,SYF,Synchrony Financial,https://www.whatsonthorold.com/2018/07/15/synchrony-financial-syf-analysts-see-0-81-eps/,False,5.5
7681,1018456629585555500,"['analysts', 'see', 'eps', 'for', 'synchrony', 'financial', 'syf', 'httpstcofcvpvl']",Sun Jul 15 11:25:57 +0000 2018,mmahotstuff1,SYF,Synchrony Financial,https://www.mmahotstuff.com/2018/07/15/analysts-see-0-81-eps-for-synchrony-financial-syf.html,False,5.43
