,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
4865,1017753918355460100,"['rt', 'allstocknews', 'symc', 'symantec', 'to', 'announce', 'fiscal', 'first', 'quarter', 'results', 'on', 'august', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Fri Jul 13 12:53:37 +0000 2018,NitroPicks,SYMC,Symantec Corporation,,False,5.558571428571429
4916,1017760397833596900,"['symc', 'some', 'spreads', 'in', 'symantec', 'open', 'as', 'players', 'position', 'for', 'potential', 'upside', 'ahead', 'of', 'earnings', 'k', 'aug', 'httpstcoumiyjdaae']",Fri Jul 13 13:19:22 +0000 2018,OptionsMamba,SYMC,Symantec Corporation,https://twitter.com/i/web/status/1017760397833596928,False,5.7678571428571415
4983,1017772722275971100,"['symc', 'q', 'symantec', 'earnings', 'conference', 'call', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Fri Jul 13 14:08:20 +0000 2018,Allstocknews,SYMC,Symantec Corporation,,False,5.664444444444444
5034,1017781498676727800,"['symc', 'max', 'pain', 'maturity', 'maxpain', 'options', 'httpstcofjorkfk', 'httpstcotfpukj']",Fri Jul 13 14:43:13 +0000 2018,optioncharts,SYMC,Symantec Corporation,http://maximum-pain.com/options/max-pain/SYMC,False,4.680000000000001
5044,1017784037300031500,"['symc', 'aug', 'calls', 'sweeper', 'after', 'some', 'bullish', 'spreads', 'yesterday']",Fri Jul 13 14:53:18 +0000 2018,OptionsMamba,SYMC,Symantec Corporation,,False,5.188000000000001
5170,1017803553258266600,"['rt', 'smartmoneyact', 'notable', 'spreads', 'from', 'thursday', 'sr', 'stock', 'replacement', 'green', 'lines', 'bought', 'salmon', 'lines', 'sold', 'symc', 'tho', 'rc']",Fri Jul 13 16:10:51 +0000 2018,elecnico93,SYMC,Symantec Corporation,,False,5.451428571428571
5200,1017808391652171800,"['symc', 'option', 'alert', 'aug', 'calls', 'sweep', 'at', 'the', 'ask', 'vs', 'oi', 'earnings', 'after', 'close', 'est', 'ref', 'symc']",Fri Jul 13 16:30:05 +0000 2018,twj_optionsflow,SYMC,Symantec Corporation,,False,5.297142857142858
5279,1017821401418555400,"['symantec', 'corporation', 'symc', 'on', 'focus', 'after', 'report', 'of', 'more', 'shorts', 'httpstcoqcrxpwgpc']",Fri Jul 13 17:21:46 +0000 2018,reurope_stock,SYMC,Symantec Corporation,https://reurope.com/2018/07/13/symantec-corporation-nasdaqsymc-on-focus-after-report-of-more-shorts/,False,5.46
5310,1017826043158122500,"['symc', 'new', 'insider', 'filing', 'on', 'kapuria', 'samir', 'transaction', 'code', 'a', 'httpstcoxtbves']",Fri Jul 13 17:40:13 +0000 2018,filing_scanner,SYMC,Symantec Corporation,http://www.filingscanner.com/Alerts/SYMC.php,False,5.573333333333334
5539,1017876589596631000,"['symc', 'todays', 'trading', 'with', 'symantec', 'corp', 'for', 'on', 'date', 'finance']",Fri Jul 13 21:01:04 +0000 2018,dexoidan,SYMC,Symantec Corporation,,False,5.58
6214,1018157526141923300,"['rt', 'twjoptionsflow', 'symc', 'option', 'alert', 'aug', 'calls', 'sweep', 'at', 'the', 'ask', 'vs', 'oi', 'earnings', 'after', 'close', 'est', 're']",Sat Jul 14 15:37:25 +0000 2018,Alvin1818,SYMC,Symantec Corporation,,False,5.245
6645,1018262632514678800,"['symantec', 'symc', 'upgraded', 'at', 'zacks', 'investment', 'research', 'httpstcovyhzliso']",Sat Jul 14 22:35:04 +0000 2018,TranscriptDaily,SYMC,Symantec Corporation,http://zpr.io/6NDBn,False,5.726666666666667
6658,1018264799204036600,"['reviewing', 'mix', 'telematics', 'mixt', 'amp', 'symantec', 'symc', 'httpstcorcaoxbofij']",Sat Jul 14 22:43:41 +0000 2018,dispatchtribune,SYMC,Symantec Corporation,http://dispatchtribunal.com/?p=2051972,False,5.62
7199,1018381756599291900,"['zacks', 'investment', 'research', 'upgrades', 'symantec', 'symc', 'to', 'hold', 'httpstcomvbythuf']",Sun Jul 15 06:28:26 +0000 2018,TranscriptDaily,SYMC,Symantec Corporation,http://zpr.io/6XP9L,False,5.74
9212,1018806243186692100,"['symantec', 'corporation', 'symc', 'formed', 'double', 'bottom', 'sellers', 'are', 'thriving', 'httpstcollnyowib']",Mon Jul 16 10:35:11 +0000 2018,whatsonthorold2,SYMC,Symantec Corporation,https://www.whatsonthorold.com/2018/07/16/symantec-corporation-symc-formed-double-bottom-sellers-are-thriving/,False,5.208
9213,1018806318939951100,"['whats', 'in', 'symantec', 'corporation', 'symc', 'after', 'forming', 'double', 'bottom', 'httpstcoqthavirci']",Mon Jul 16 10:35:29 +0000 2018,mmahotstuff1,SYMC,Symantec Corporation,https://www.mmahotstuff.com/2018/07/16/whats-in-symantec-corporation-symc-after-forming-double-bottom.html,False,5.171428571428571
9215,1018806472975757300,"['could', 'symantec', 'corporation', 'symc', 'change', 'direction', 'after', 'this', 'double', 'bottom', 'httpstcocnljbupqrm']",Mon Jul 16 10:36:06 +0000 2018,reurope_stock,SYMC,Symantec Corporation,https://reurope.com/2018/07/16/could-symantec-corporation-symc-change-direction-after-this-double-bottom/,False,5.257499999999999
9217,1018806572712124400,"['symantec', 'corporation', 'symc', 'formed', 'a', 'double', 'bottom', 'chart', 'pattern', 'could', 'be', 'one', 'of', 'the', 'worst', 'performers', 'going', 'forward', 'httpstcoqhkevzlin']",Mon Jul 16 10:36:30 +0000 2018,bibeypost_stock,SYMC,Symantec Corporation,https://twitter.com/i/web/status/1018806572712124417,False,5.228749999999999
9662,1018842887600123900,"['symc', 'symantec', 'ceo', 'greg', 'clark', 'to', 'discuss', 'state', 'of', 'global', 'cyber', 'security', 'at', 'aspen', 'security', 'forum', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Mon Jul 16 13:00:48 +0000 2018,Allstocknews,SYMC,Symantec Corporation,,False,5.532222222222222
10266,1018878171008196600,"['full', 'list', 'of', 'the', 'markets', 'top', 'tech', 'stocks', 'httpstcoqxisqckd', 'br', 'akam', 'meli', 'anet', 'it', 'symc', 'cdw', 'cdns', 'ttwo', 'vrsn', 'ca', 'ffiv', 'qrvo']",Mon Jul 16 15:21:00 +0000 2018,FinInvTr,SYMC,Symantec Corporation,https://buff.ly/2mlyRcm,False,5.6160000000000005
