,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
5597,1017897735280832500,"['having', 'a', 'trusted', 'team', 'on', 'your', 'side', 'will', 'make', 'all', 'the', 'difference', 'when', 'investing', 'have', 'you', 'tried', 'optionalarm', 'yet', 'fre', 'httpstcopotxkzjp']",Fri Jul 13 22:25:06 +0000 2018,OptionAlarm,TJX,The TJX Companies,https://twitter.com/i/web/status/1017897735280832516,False,5.656666666666667
5632,1017914624426086400,"['first', 'earnings', 'trade', 'of', 'the', 'season', 'traderdanielle', 'discusses', 'her', 'take', 'on', 'nflx', 'earnings', 'on', 'monday', 'as', 'well', 'as', 'a', 'sw', 'httpstcoxvizzpbwf']",Fri Jul 13 23:32:13 +0000 2018,simpleroptions,TJX,The TJX Companies,https://twitter.com/i/web/status/1017914624426086400,False,5.794999999999999
6004,1018104796438519800,"['whats', 'tjx', 'companies', 'inc', 'tjx', 'upside', 'after', 'this', 'short', 'interest', 'decrease', 'httpstconqcbxwdtx']",Sat Jul 14 12:07:53 +0000 2018,whatsonthorold2,TJX,The TJX Companies,https://www.whatsonthorold.com/2018/07/14/whats-tjx-companies-inc-the-nysetjx-upside-after-this-short-interest-decrease/,False,5.112222222222221
6005,1018104889757577200,"['tjx', 'companies', 'inc', 'tjx', 'reports', 'decline', 'in', 'sellers', 'strong', 'momentum', 'for', 'longs', 'httpstcoctqevapcm']",Sat Jul 14 12:08:15 +0000 2018,mmahotstuff1,TJX,The TJX Companies,https://www.mmahotstuff.com/2018/07/14/tjx-companies-inc-the-nysetjx-reports-decline-in-sellers-strong-momentum-for-longs.html,False,5.117142857142857
6006,1018105067298279400,"['tjx', 'companies', 'inc', 'tjx', 'just', 'reported', 'decreased', 'shorts', 'httpstcoadslbhuwd']",Sat Jul 14 12:08:58 +0000 2018,reurope_stock,TJX,The TJX Companies,https://reurope.com/2018/07/14/tjx-companies-inc-the-nysetjx-just-reported-decreased-shorts/,False,5.0566666666666675
6021,1018112042413146100,"['olbg', 'olb', 'group', 'expands', 'saas', 'commerce', 'solutions', 'for', 'smbs', 'frontpagestocks', 'httpstcovghcnluh', 'googl', 'fb', 't', 'httpstcosksgasqr']",Sat Jul 14 12:36:41 +0000 2018,StocksHighAlert,TJX,The TJX Companies,https://seekingalpha.com/pr/17200134-olb-group-expands-saas-commerce-solutions-smbs,False,5.57
6142,1018137772052369400,"['tjx', 'cos', 'inc', 'tjx', 'stake', 'upped', 'by', 'madison', 'investment', 'holdings', 'inc', 'httpstcopeckhkt']",Sat Jul 14 14:18:55 +0000 2018,reurope_stock,TJX,The TJX Companies,https://reurope.com/2018/07/14/tjx-cos-inc-tjx-stake-upped-by-madison-investment-holdings-inc/,False,5.117500000000001
6143,1018137855342891000,"['madison', 'investment', 'holdings', 'inc', 'has', 'boosted', 'its', 'tjx', 'cos', 'inc', 'tjx', 'stake', 'by', 'million', 'as', 'stock', 'value', 'rose', 'httpstcowzdrmxd']",Sat Jul 14 14:19:15 +0000 2018,bibeypost_stock,TJX,The TJX Companies,https://www.bibeypost.com/madison-investment-holdings-inc-has-boosted-its-tjx-cos-inc-tjx-stake-by-26-26-million-as-stock-value-rose/,False,5.544000000000001
6611,1018253923050770400,"['profitpacked', 'option', 'trades', 'yearlydelivered', 'to', 'your', 'inbox', 'dailyfree', 'httpstcoutleulfwn', 'm', 'tjx', 'sq', 'pcln']",Sat Jul 14 22:00:28 +0000 2018,ExactOptionPick,TJX,The TJX Companies,http://ow.ly/OMlT30kQU7j,False,5.428
6639,1018260126850060300,"['having', 'a', 'trusted', 'team', 'on', 'your', 'side', 'will', 'make', 'all', 'the', 'difference', 'when', 'investing', 'have', 'you', 'tried', 'optionalarm', 'yet', 'fre', 'httpstcouaagixscc']",Sat Jul 14 22:25:07 +0000 2018,OptionAlarm,TJX,The TJX Companies,https://twitter.com/i/web/status/1018260126850060290,False,5.656666666666667
8479,1018571733211721700,"['tjx', 'max', 'pain', 'is', 'for', 'maturity', 'maxpain', 'options', 'httpstconroryhms', 'httpstcoaldzwqdjo']",Sun Jul 15 19:03:20 +0000 2018,optioncharts,TJX,The TJX Companies,http://maximum-pain.com/options/max-pain/TJX,False,4.888
