,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
133,1016222817749266400,"['zacks', 'investment', 'research', 'upgrades', 'torchmark', 'tmk', 'to', 'buy', 'httpstcobvasedwml']",Mon Jul 09 07:29:34 +0000 2018,TickerReport,TMK,Torchmark Corporation,http://tickerreport.com/?p=3623782,False,5.885000000000001
134,1016223293374951400,"['zacks', 'investment', 'research', 'upgrades', 'torchmark', 'tmk', 'to', 'buy', 'httpstcoyranxfvbq']",Mon Jul 09 07:31:28 +0000 2018,WatchlistN,TMK,Torchmark Corporation,http://zpr.io/6TRya,False,5.885000000000001
477,1016375217873150000,"['gww', 'umpq', 'tmk', 'before', 'earnings', 'httpstcovjdbxdr']",Mon Jul 09 17:35:09 +0000 2018,channelingstock,TMK,Torchmark Corporation,http://ow.ly/ko5M30kRuTg,False,6.31
478,1016375218540023800,"['gww', 'umpq', 'tmk', 'before', 'earnings', 'httpstcohqpfu']",Mon Jul 09 17:35:10 +0000 2018,myrollingstocks,TMK,Torchmark Corporation,http://ow.ly/qFnS30kRrD2,False,6.31
479,1016375337775747100,"['rt', 'myrollingstocks', 'gww', 'umpq', 'tmk', 'before', 'earnings', 'httpstcohqpfu']",Mon Jul 09 17:35:38 +0000 2018,luzgarciacalde1,TMK,Torchmark Corporation,http://ow.ly/qFnS30kRrD2,False,5.833333333333333
568,1016413035278237700,"['estate', 'asset', 'watch', 'todays', 'outsized', 'price', 'moves', 'staf', 'hele', 'depo', 'hstm', 'pvg', 'cof', 'leds', 'met', 'dsgx', 'pru', 'mtb', 'httpstcowuleedmi']",Mon Jul 09 20:05:26 +0000 2018,TheBurdetteLawF,TMK,Torchmark Corporation,https://twitter.com/i/web/status/1016413035278237696,False,5.811428571428571
569,1016413332553846800,"['eps', 'expected', 'for', 'torchmark', 'corporation', 'tmk', 'httpstcopibbymd']",Mon Jul 09 20:06:37 +0000 2018,whatsonthorold2,TMK,Torchmark Corporation,https://www.whatsonthorold.com/2018/07/09/1-50-eps-expected-for-torchmark-corporation-tmk/,False,5.34
571,1016413607041650700,"['torchmark', 'corporation', 'tmk', 'analysts', 'see', 'eps', 'httpstcovpnrfdrxx']",Mon Jul 09 20:07:42 +0000 2018,reurope_stock,TMK,Torchmark Corporation,https://reurope.com/2018/07/09/torchmark-corporation-tmk-analysts-see-1-50-eps/,False,5.379999999999999
573,1016413702764027900,"['eps', 'for', 'torchmark', 'corporation', 'tmk', 'expected', 'at', 'httpstcouxrjpqpgtj']",Mon Jul 09 20:08:05 +0000 2018,bibeypost_stock,TMK,Torchmark Corporation,https://www.bibeypost.com/eps-for-torchmark-corporation-tmk-expected-at-1-50/,False,5.23
786,1016518074269397000,"['torchmark', 'co', 'tmk', 'given', 'average', 'rating', 'of', 'hold', 'by', 'analysts', 'httpstcobwpjyecpo']",Tue Jul 10 03:02:49 +0000 2018,dakotafinancial,TMK,Torchmark Corporation,http://dakotafinancialnews.com/?p=307589,False,5.244999999999999
788,1016518503657037800,"['analysts', 'set', 'torchmark', 'co', 'tmk', 'pt', 'at', 'httpstcotdcmyhsksp']",Tue Jul 10 03:04:31 +0000 2018,ledgerzette,TMK,Torchmark Corporation,http://ledgergazette.com/?p=2816036,False,5.072
855,1016579136234631200,"['torchmark', 'tmk', 'upgraded', 'at', 'zacks', 'investment', 'research', 'httpstcouzqdyelwmo']",Tue Jul 10 07:05:27 +0000 2018,ThisLincolnian,TMK,Torchmark Corporation,http://thelincolnianonline.com/?p=2173484,False,5.726666666666667
1016,1016660725908074500,"['torchmark', 'tmk', 'amp', 'voya', 'financial', 'voya', 'headtohead', 'contrast', 'httpstcowelxmkk']",Tue Jul 10 12:29:40 +0000 2018,ZolmaxNews,TMK,Torchmark Corporation,http://zolmax.com/?p=2372778,False,5.266666666666667
1018,1016660821659799600,"['financial', 'contrast', 'torchmark', 'tmk', 'amp', 'voya', 'financial', 'voya', 'httpstcoteyvvic']",Tue Jul 10 12:30:03 +0000 2018,dailypoliticaln,TMK,Torchmark Corporation,http://www.dailypolitical.com/?p=2192715,False,5.305
1173,1016699970064445400,"['scor', 'scryy', 'and', 'torchmark', 'tmk', 'critical', 'contrast', 'httpstcotutmiqeoe']",Tue Jul 10 15:05:36 +0000 2018,ledgerzette,TMK,Torchmark Corporation,http://ledgergazette.com/?p=2817287,False,4.46
1178,1016700662762045400,"['scor', 'scryy', 'amp', 'torchmark', 'tmk', 'financial', 'comparison', 'httpstcojqxkdnt']",Tue Jul 10 15:08:22 +0000 2018,dakotafinancial,TMK,Torchmark Corporation,http://dakotafinancialnews.com/?p=308880,False,5.41
1301,1016737608767103000,"['gww', 'umpq', 'tmk', 'before', 'earnings', 'httpstcokxlwrzlr']",Tue Jul 10 17:35:10 +0000 2018,myrollingstocks,TMK,Torchmark Corporation,http://ow.ly/7d9b30kSJ4Z,False,6.31
1302,1016737609345830900,"['gww', 'umpq', 'tmk', 'before', 'earnings', 'httpstcogkefpyfk']",Tue Jul 10 17:35:10 +0000 2018,Retsialg,TMK,Torchmark Corporation,http://ow.ly/RnqC30kSJeM,False,6.31
1303,1016737609463353300,"['gww', 'umpq', 'tmk', 'before', 'earnings', 'httpstcoxmxjsxugb']",Tue Jul 10 17:35:10 +0000 2018,channelingstock,TMK,Torchmark Corporation,http://ow.ly/hVOd30kSJ9z,False,6.31
1777,1016955557650030600,"['torchmark', 'tmk', 'upgraded', 'by', 'zacks', 'investment', 'research', 'to', 'buy', 'httpstcohesoadbg']",Wed Jul 11 08:01:13 +0000 2018,TheMarketsDaily,TMK,Torchmark Corporation,http://zpr.io/6aqcj,False,5.704000000000001
2241,1017080087286550500,"['torchmark', 'tmk', 'and', 'brighthouse', 'financial', 'bhf', 'head', 'to', 'head', 'analysis', 'httpstcoxpdtehbxk']",Wed Jul 11 16:16:03 +0000 2018,EnterpriseLeade,TMK,Torchmark Corporation,http://theenterpriseleader.com/?p=979994,False,5.5566666666666675
2243,1017080182283391000,"['analyzing', 'torchmark', 'tmk', 'amp', 'brighthouse', 'financial', 'bhf', 'httpstconipvvahlt']",Wed Jul 11 16:16:26 +0000 2018,MareaInformativ,TMK,Torchmark Corporation,http://www.mareainformativa.com/?p=425632,False,5.43
3651,1017459108256067600,"['contrasting', 'voya', 'financial', 'voya', 'and', 'torchmark', 'tmk', 'httpstcowftayxzgd']",Thu Jul 12 17:22:09 +0000 2018,TickerReport,TMK,Torchmark Corporation,http://tickerreport.com/?p=3632031,False,5.32
3668,1017462375228870700,"['gww', 'umpq', 'tmk', 'before', 'earnings', 'httpstcoswnbtlejdj']",Thu Jul 12 17:35:08 +0000 2018,channelingstock,TMK,Torchmark Corporation,http://ow.ly/wNHl30kUOMX,False,6.31
3669,1017462375262408700,"['gww', 'umpq', 'tmk', 'before', 'earnings', 'httpstcotgfwskah']",Thu Jul 12 17:35:08 +0000 2018,myrollingstocks,TMK,Torchmark Corporation,http://ow.ly/TIla30kUOIg,False,6.31
3670,1017462375346327600,"['gww', 'umpq', 'tmk', 'before', 'earnings', 'httpstcophvcrdsu']",Thu Jul 12 17:35:08 +0000 2018,Retsialg,TMK,Torchmark Corporation,http://ow.ly/2SYS30kUORo,False,6.31
3676,1017463325137997800,"['rt', 'myrollingstocks', 'gww', 'umpq', 'tmk', 'before', 'earnings', 'httpstcotgfwskah']",Thu Jul 12 17:38:54 +0000 2018,luzgarciacalde1,TMK,Torchmark Corporation,http://ow.ly/TIla30kUOIg,False,5.833333333333333
4217,1017564779463004200,"['tmk', 'high', 'oi', 'range', 'is', 'to', 'for', 'option', 'expiration', 'maxpain', 'options', 'httpstcoongxubp', 'httpstcoduvtuem']",Fri Jul 13 00:22:03 +0000 2018,optioncharts,TMK,Torchmark Corporation,http://maximum-pain.com/options/open-interest/TMK,False,5.5775
