,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
574,1016414739625336800,"['thermo', 'fisher', 'scientific', 'inc', 'tmo', 'analysts', 'see', 'eps', 'httpstcosdjtkdtct']",Mon Jul 09 20:12:12 +0000 2018,whatsonthorold2,TMO,Thermo Fisher Scientific Inc.,https://www.whatsonthorold.com/2018/07/09/thermo-fisher-scientific-inc-tmo-analysts-see-2-68-eps/,False,5.532
576,1016415628784275500,"['analysts', 'see', 'eps', 'for', 'thermo', 'fisher', 'scientific', 'inc', 'tmo', 'httpstconmqfceiph']",Mon Jul 09 20:15:44 +0000 2018,reurope_stock,TMO,Thermo Fisher Scientific Inc.,https://reurope.com/2018/07/09/analysts-see-2-68-eps-for-thermo-fisher-scientific-inc-tmo/,False,5.48
578,1016415699101782000,"['eps', 'expected', 'for', 'thermo', 'fisher', 'scientific', 'inc', 'tmo', 'httpstcotmwhscbqlq']",Mon Jul 09 20:16:01 +0000 2018,bibeypost_stock,TMO,Thermo Fisher Scientific Inc.,https://www.bibeypost.com/2-68-eps-expected-for-thermo-fisher-scientific-inc-tmo/,False,5.508000000000001
616,1016433707178217500,"['tmo', 'max', 'pain', 'maturity', 'maxpain', 'options', 'httpstcoyeofhroaps', 'httpstcorhpktjmfl']",Mon Jul 09 21:27:34 +0000 2018,optioncharts,TMO,Thermo Fisher Scientific Inc.,http://maximum-pain.com/options/max-pain/TMO,False,4.680000000000001
621,1016435573798637600,"['psti', 'signs', 'deal', 'with', 'big', 'company', 'thermo', 'fisher', 'scentific', 'tmo', 'i', 'dont', 'know', 'how', 'this', 'stock', 'was', 'missed', 'today', 'httpstcotmzrtuwzr']",Mon Jul 09 21:34:59 +0000 2018,gobluetrader,TMO,Thermo Fisher Scientific Inc.,https://globenewswire.com/news-release/2018/07/09/1534507/0/en/Pluristem-Signs-Collaboration-Agreement-With-Thermo-Fisher-Scientific.html,False,5.362666666666668
1761,1016943119009484800,"['trust', 'co', 'has', 'stake', 'in', 'thermo', 'fisher', 'scientific', 'inc', 'tmo', 'httpstcozlzbfzwz']",Wed Jul 11 07:11:48 +0000 2018,ConsumerFeed,TMO,Thermo Fisher Scientific Inc.,https://ift.tt/2unPoQL,False,5.555
1975,1017025928612937700,"['thermo', 'fisher', 'scientific', 'inc', 'tmo', 'market', 'value', 'declined', 'while', 'westpac', 'banking', 'corp', 'boosted', 'its', 'position', 'httpstcoosqmoptvb']",Wed Jul 11 12:40:51 +0000 2018,whatsonthorold2,TMO,Thermo Fisher Scientific Inc.,https://www.whatsonthorold.com/2018/07/11/thermo-fisher-scientific-inc-tmo-market-value-declined-while-westpac-banking-corp-boosted-its-position/,False,5.376363636363637
1976,1017025983453507600,"['westpac', 'banking', 'corp', 'has', 'raised', 'stake', 'in', 'thermo', 'fisher', 'scientific', 'inc', 'tmo', 'by', 'billion', 'httpstcoslkjlepai']",Wed Jul 11 12:41:04 +0000 2018,mmahotstuff1,TMO,Thermo Fisher Scientific Inc.,https://www.mmahotstuff.com/2018/07/11/westpac-banking-corp-has-raised-stake-in-thermo-fisher-scientific-inc-tmo-by-5-51-billion.html,False,5.654545454545455
1978,1017026192682168300,"['as', 'thermo', 'fisher', 'scientific', 'inc', 'tmo', 'market', 'value', 'declined', 'westpac', 'banking', 'corp', 'has', 'upped', 'by', 'billion', 'its', 'holding']",Wed Jul 11 12:41:54 +0000 2018,reurope_stock,TMO,Thermo Fisher Scientific Inc.,,False,5.481428571428572
1979,1017026272340344800,"['thermo', 'fisher', 'scientific', 'inc', 'tmo', 'shares', 'declined', 'while', 'westpac', 'banking', 'corp', 'has', 'upped', 'stake', 'httpstcoowlfcoeu']",Wed Jul 11 12:42:13 +0000 2018,bibeypost_stock,TMO,Thermo Fisher Scientific Inc.,https://www.bibeypost.com/thermo-fisher-scientific-inc-tmo-shares-declined-while-westpac-banking-corp-has-upped-stake/,False,5.256
