,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
9011,1018772507061465100,"['rt', 'prosico', 'shinjuku', 'livefreak', 'openstart', 'advdoor', 'd', 'cast', 'trainfrom', 'australia', 'cal']",Mon Jul 16 08:21:08 +0000 2018,dhhisasue,TRIP,TripAdvisor,,False,5.35
9053,1018783399652352000,"['rt', 'trippki', 'our', 'hotels', 'partners', 'and', 'alliances', 'hotel', 'channel', 'managers', 'and', 'hotel', 'groups', 'on', 'board', 'for', 'trip', 'loyalty', 'rewar']",Mon Jul 16 09:04:25 +0000 2018,TheAssetMan,TRIP,TripAdvisor,,False,5.808750000000001
9093,1018796896490487800,"['rt', 'trippki', 'our', 'hotels', 'partners', 'and', 'alliances', 'hotel', 'channel', 'managers', 'and', 'hotel', 'groups', 'on', 'board', 'for', 'trip', 'loyalty', 'rewar']",Mon Jul 16 09:58:03 +0000 2018,bitnewstv,TRIP,TripAdvisor,,False,5.808750000000001
9113,1018799730107867100,"['reviewing', 'interxion', 'inxn', 'and', 'tripadvisor', 'inc', 'common', 'stock', 'trip', 'httpstcogwclfwhw']",Mon Jul 16 10:09:18 +0000 2018,MareaInformativ,TRIP,TripAdvisor,http://www.mareainformativa.com/?p=453342,False,5.5280000000000005
9151,1018802281976909800,"['stocks', 'etf', 'amp', 'funds', 'to', 'review', 'alphabetically', 'sye', 'synh', 't', 'tal', 'tax', 'tayd', 'tcmd', 'tcpc', 'team', 'tedu', 'tell', 'tge', 'httpstcoszzctuiaeh']",Mon Jul 16 10:19:27 +0000 2018,drastichs,TRIP,TripAdvisor,https://twitter.com/i/web/status/1018802281976909825,False,5.182
9179,1018803064369811500,"['rt', 'drastichs', 'stocks', 'etf', 'amp', 'funds', 'to', 'review', 'alphabetically', 'sye', 'synh', 't', 'tal', 'tax', 'tayd', 'tcmd', 'tcpc', 'team', 'tedu', 'tell', 'tge', 'ths', 'tkc']",Mon Jul 16 10:22:33 +0000 2018,drastichs,TRIP,TripAdvisor,,False,5.154545454545454
9195,1018804464055136300,"['houldnt', 'hece', 'ued', 'iz', 'tv', 'expoure', 'ta', 'open', 'a', 'trip', 'club', 'waz', 'the', 'initial', 'dj', 'at', 'ottawaon', 'z', 'bare', 'fax', 'httpstcoigwapaxf']",Mon Jul 16 10:28:07 +0000 2018,postkneejerk,TRIP,TripAdvisor,https://twitter.com/i/web/status/1018804464055136256,False,5.5138461538461545
9228,1018807717933150200,"['rt', 'trippki', 'our', 'hotels', 'partners', 'and', 'alliances', 'hotel', 'channel', 'managers', 'and', 'hotel', 'groups', 'on', 'board', 'for', 'trip', 'loyalty', 'rewar']",Mon Jul 16 10:41:03 +0000 2018,carlymay_nz,TRIP,TripAdvisor,,False,5.808750000000001
9260,1018810467828097000,"['first', 'newsletter', 'from', 'my', 'friend', 'rickkommel', 'new', 'global', 'equity', 'fund', 'top', 'analyst', 'and', 'portfolio', 'manager', 'we', 'worked', 'to', 'httpstcobrklqbm']",Mon Jul 16 10:51:58 +0000 2018,ADC_CapeTown,TRIP,TripAdvisor,https://twitter.com/i/web/status/1018810467828097025,False,5.9937499999999995
9285,1018812821629472800,"['rt', 'postkneejerk', 'houldnt', 'hece', 'ued', 'iz', 'tv', 'expoure', 'ta', 'open', 'a', 'trip', 'club', 'waz', 'the', 'initial', 'dj', 'at', 'ottawaon', 'z', 'bare', 'fax', 'he', 'c']",Mon Jul 16 11:01:19 +0000 2018,Samanth95738252,TRIP,TripAdvisor,,False,5.417500000000001
9398,1018824320406024200,"['trip', 'poker', 'dm', 'httpstcomanlpbqbq']",Mon Jul 16 11:47:01 +0000 2018,ambi515,TRIP,TripAdvisor,https://twitter.com/stripxx/status/1018506902001496064,False,5.906666666666667
9401,1018824462769115100,"['rt', 'ambi', 'trip', 'poker', 'dm', 'httpstcomanlpbqbq']",Mon Jul 16 11:47:35 +0000 2018,stripxx,TRIP,TripAdvisor,https://twitter.com/stripxx/status/1018506902001496064,False,5.65
9421,1018826319910486000,"['rt', 'ambi', 'trip', 'poker', 'dm', 'httpstcomanlpbqbq']",Mon Jul 16 11:54:58 +0000 2018,chihaphoto510,TRIP,TripAdvisor,https://twitter.com/stripxx/status/1018506902001496064,False,5.65
9490,1018830615695618000,"['rt', 'ambi', 'trip', 'poker', 'dm', 'httpstcomanlpbqbq']",Mon Jul 16 12:12:02 +0000 2018,takkmomo1,TRIP,TripAdvisor,https://twitter.com/stripxx/status/1018506902001496064,False,5.65
9516,1018832914635808800,"['rt', 'powerrtrader', 'stocks', 'pulling', 'back', 'to', 'logical', 'support', 'trip', 'btu', 'kmg', 'tpic', 'ssw', 'sri', 'mcft', 'goos', 'mov', 'vra', 'club', 'ceco', 'livn', 'arql', 'g']",Mon Jul 16 12:21:10 +0000 2018,gobtx1,TRIP,TripAdvisor,,False,5.536
9542,1018834596438216700,"['trip', 'poker', 'dm', 'httpstcobincyfmzq']",Mon Jul 16 12:27:51 +0000 2018,HIRO61576813,TRIP,TripAdvisor,https://twitter.com/stripxx/status/1018506902001496064,False,5.906666666666667
9549,1018835251836084200,"['rt', 'hiro', 'trip', 'poker', 'dm', 'httpstcobincyfmzq']",Mon Jul 16 12:30:27 +0000 2018,yattukeyousuke,TRIP,TripAdvisor,https://twitter.com/stripxx/status/1018506902001496064,False,5.65
9759,1018849229538824200,"['watchlist', 'for', 'today', 'pm', 'trip', 'trxc', 'arnc', 'vfc', 'tnxp', 'iq', 'gene']",Mon Jul 16 13:26:00 +0000 2018,DeltaNinety,TRIP,TripAdvisor,,False,5.876
9801,1018851598146011100,"['trip', 'pokernewhiro', 'live', 'freak', 'gravy', 'train', 'httpstcowqggdoucbe']",Mon Jul 16 13:35:25 +0000 2018,yattukeyousuke,TRIP,TripAdvisor,https://twitter.com/i/web/status/1018851598146011141,False,6.164
9890,1018856118251081700,"['kevin', 'kopelman', 'publishes', 'q', 'cowen', 'lodging', 'amp', 'loyalty', 'tracker', 'based', 'on', 'survey', 'of', 'travelers', 'showing', 'solid', 'sen', 'httpstcouazrmiubv']",Mon Jul 16 13:53:22 +0000 2018,CowenResearch,TRIP,TripAdvisor,https://twitter.com/i/web/status/1018856118251081728,True,5.609999999999999
9896,1018856358802681900,"['rt', 'yattukeyousuke', 'trip', 'pokernewhiro', 'live', 'freak', 'gravy', 'train']",Mon Jul 16 13:54:20 +0000 2018,hiroshik69,TRIP,TripAdvisor,,False,5.95
9908,1018856924056391700,"['trip', 'poker', 'httpstcoffzolxeqga']",Mon Jul 16 13:56:34 +0000 2018,yattukeyousuke,TRIP,TripAdvisor,,False,6.390000000000001
9921,1018857518716502000,"['rt', 'yattukeyousuke', 'trip', 'poker', 'httpstcoffzolxeqga']",Mon Jul 16 13:58:56 +0000 2018,stripxx,TRIP,TripAdvisor,,False,5.886666666666667
9931,1018857761679896600,"['rt', 'hiro', 'trip', 'poker', 'dm', 'httpstcobincyfmzq']",Mon Jul 16 13:59:54 +0000 2018,hiroshik69,TRIP,TripAdvisor,https://twitter.com/stripxx/status/1018506902001496064,False,5.65
10136,1018870639434727400,"['rt', 'dhhisasue', 'shinjuku', 'livefreak', 'act', 'gravy', 'trainfrom', 'australia', 'california', 'saki', 'lilyka', 'trip', 'poker']",Mon Jul 16 14:51:04 +0000 2018,chihaphoto510,TRIP,TripAdvisor,,False,6.071428571428571
10137,1018870688298381300,"['rt', 'prosico', 'shinjuku', 'livefreak', 'openstart', 'advdoor', 'd', 'cast', 'trainfrom', 'australia', 'cal']",Mon Jul 16 14:51:16 +0000 2018,chihaphoto510,TRIP,TripAdvisor,,False,5.35
10296,1018880103785394200,"['million', 'in', 'sales', 'expected', 'for', 'tripadvisor', 'inc', 'common', 'stock', 'trip', 'this', 'quarter', 'httpstcoxgnsyfvmk']",Mon Jul 16 15:28:41 +0000 2018,TheMarketsDaily,TRIP,TripAdvisor,http://zpr.io/6Xynk,False,5.698181818181819
10360,1018883385849204700,"['trip', 'basing', 'near', 'high', 'er', 'aug', 'httpstcoqxnqifckm']",Mon Jul 16 15:41:43 +0000 2018,sanat1907,TRIP,TripAdvisor,,False,5.868
10381,1018884455010713600,"['rt', 'hiro', 'trip', 'poker', 'dm', 'httpstcobincyfmzq']",Mon Jul 16 15:45:58 +0000 2018,tomoki8685,TRIP,TripAdvisor,https://twitter.com/stripxx/status/1018506902001496064,False,5.65
10554,1018893191532175400,"['eps', 'expected', 'for', 'tripadvisor', 'inc', 'common', 'stock', 'trip', 'this', 'quarter', 'httpstcorwrqlkl']",Mon Jul 16 16:20:41 +0000 2018,ledgerzette,TRIP,TripAdvisor,http://ledgergazette.com/?p=2829758,False,5.5
10560,1018893417949139000,"['brokerages', 'anticipate', 'tripadvisor', 'inc', 'common', 'stock', 'trip', 'will', 'post', 'earnings', 'of', 'per', 'share', 'httpstcopyhjgkkv']",Mon Jul 16 16:21:35 +0000 2018,dakotafinancial,TRIP,TripAdvisor,http://dakotafinancialnews.com/?p=321507,False,5.816
10754,1018907235420864500,"['bkng', 'fully', 'daily', 'chart', 'non', 'stop', 'selling', 'dujour', 'trip', 'expe', 'the', 'bosses', 'in', 'travel', 'sector']",Mon Jul 16 17:16:29 +0000 2018,Kris_tin27,TRIP,TripAdvisor,,False,5.4818181818181815
10874,1018917434420596700,"['the', 'markets', 'top', 'consumer', 'disc', 'stocks', 'httpstcodcbshfky', 'gntx', 'dnkn', 'pool', 'bbby', 'lyv', 'six', 'trip', 'cri', 'cnk', 'rl', 'wsm', 'uaa', 'sig', 'skx']",Mon Jul 16 17:57:01 +0000 2018,FinInvTr,TRIP,TripAdvisor,https://buff.ly/2NRJct2,False,5.946666666666666
11344,1018948975880048600,"['todays', 'top', 'technically', 'ranked', 'large', 'caps', 'abmd', 'kdp', 'twtr', 'nflx', 'trip', 'httpstcocvzqrz', 'sccrankings', 'stockcharts']",Mon Jul 16 20:02:21 +0000 2018,StockCharts,TRIP,TripAdvisor,http://schrts.co/APfm42,False,6.079999999999999
11364,1018950171059601400,"['rt', 'stockcharts', 'todays', 'top', 'technically', 'ranked', 'large', 'caps', 'abmd', 'kdp', 'twtr', 'nflx', 'trip', 'httpstcocvzqrz', 'sccrankings', 'stockc']",Mon Jul 16 20:07:06 +0000 2018,AlertTrade,TRIP,TripAdvisor,http://schrts.co/APfm42,False,5.908571428571428
11365,1018950173739880400,"['rt', 'stockcharts', 'todays', 'top', 'technically', 'ranked', 'large', 'caps', 'abmd', 'kdp', 'twtr', 'nflx', 'trip', 'httpstcocvzqrz', 'sccrankings', 'stockc']",Mon Jul 16 20:07:07 +0000 2018,tradnews_,TRIP,TripAdvisor,http://schrts.co/APfm42,False,5.908571428571428
11691,1018979066882424800,"['rt', 'trippki', 'trippki', 'featured', 'in', 'crypto', 'johnys', 'ico', 'reviews', 'on', 'youtube', 'token', 'sale', 'opens', 'rd', 'july', 'httpstcougdypyzog', 'trip', 'proof']",Mon Jul 16 22:01:55 +0000 2018,Trippki_,TRIP,TripAdvisor,https://www.youtube.com/watch?v=FYdxCdguhCM,False,5.863333333333333
11756,1018987294219558900,"['rt', 'stockcharts', 'todays', 'top', 'technically', 'ranked', 'large', 'caps', 'abmd', 'kdp', 'twtr', 'nflx', 'trip', 'httpstcocvzqrz', 'sccrankings', 'stockc']",Mon Jul 16 22:34:37 +0000 2018,Viktorinox_,TRIP,TripAdvisor,http://schrts.co/APfm42,False,5.908571428571428
12435,1019093924462227500,"['rt', 'ambi', 'trip', 'poker', 'dm', 'httpstcomanlpbqbq']",Tue Jul 17 05:38:20 +0000 2018,malonmalon,TRIP,TripAdvisor,https://twitter.com/stripxx/status/1018506902001496064,False,5.65
12467,1019097567462903800,"['comparing', 'cardlytics', 'cdlx', 'amp', 'tripadvisor', 'inc', 'common', 'stock', 'trip', 'httpstconmookbclzt']",Tue Jul 17 05:52:48 +0000 2018,TheMarketsDaily,TRIP,TripAdvisor,http://zpr.io/6Xwfq,False,5.572
12787,1019139173540945900,"['rt', 'trippki', 'trippki', 'featured', 'in', 'crypto', 'johnys', 'ico', 'reviews', 'on', 'youtube', 'token', 'sale', 'opens', 'rd', 'july', 'httpstcougdypyzog', 'trip', 'proof']",Tue Jul 17 08:38:08 +0000 2018,Pre_ICO,TRIP,TripAdvisor,https://www.youtube.com/watch?v=FYdxCdguhCM,False,5.863333333333333
13365,1019184622293352400,"['trippki', 'ico', 'decentralized', 'expedia', 'priceline', 'airbnb', 'httpstcovimnxqqys', 'proofofstay', 'ico', 'trip', 'hotelrewards']",Tue Jul 17 11:38:44 +0000 2018,Trippki_,TRIP,TripAdvisor,https://steemit.com/ico/@cryptodreamers/trippki-ico-decentralized-expedia-priceline-airbnb,False,7.0
