,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
219,1016287383430598700,"['trow', 'max', 'pain', 'is', 'for', 'maturity', 'maxpain', 'options', 'httpstcogdccngfkz', 'httpstcocujbpun']",Mon Jul 09 11:46:08 +0000 2018,optioncharts,TROW,T. Rowe Price Group,http://maximum-pain.com/options/max-pain/TROW,False,4.888
383,1016340660541157400,"['jnj', 'o', 'cznc', 'intc', 'nsc', 'afl', 'v', 'adm', 'trow', 'pep', 'csco', 'mpw', 'bbl', 'souhy', 'pg', 'kmi', 'ibm', 'gww', 'rok', 'de', 'pm', 'tgt', 'cat', 'httpstcoucqxagouqu']",Mon Jul 09 15:17:50 +0000 2018,pelias01,TROW,T. Rowe Price Group,https://seekingalpha.com/article/4184940-impact-dividend-increases-june-2018?source=tweet,False,5.363333333333333
388,1016343167392723000,"['t', 'rowe', 'price', 'group', 'inc', 'trow', 'shareholder', 'rk', 'asset', 'management', 'llc', 'has', 'trimmed', 'stake', 'httpstcohhwepcbxdy']",Mon Jul 09 15:27:48 +0000 2018,whatsonthorold2,TROW,T. Rowe Price Group,https://www.whatsonthorold.com/2018/07/09/t-rowe-price-group-inc-trow-shareholder-rk-asset-management-llc-has-trimmed-stake/,False,5.244999999999999
389,1016343546658525200,"['t', 'rowe', 'price', 'group', 'inc', 'trow', 'shareholder', 'rk', 'asset', 'management', 'llc', 'decreased', 'position', 'httpstcoznenptiv']",Mon Jul 09 15:29:18 +0000 2018,reurope_stock,TROW,T. Rowe Price Group,https://reurope.com/2018/07/09/t-rowe-price-group-inc-trow-shareholder-rk-asset-management-llc-decreased-position/,False,5.1499999999999995
396,1016343958694301700,"['rk', 'asset', 'management', 'llc', 'stake', 'in', 't', 'rowe', 'price', 'group', 'inc', 'trow', 'decreased', 'by', 'million', 'httpstcodozeiyt']",Mon Jul 09 15:30:57 +0000 2018,bibeypost_stock,TROW,T. Rowe Price Group,https://www.bibeypost.com/rk-asset-management-llc-stake-in-t-rowe-price-group-inc-trow-decreased-by-3-14-million/,False,5.292727272727273
592,1016421040497537000,"['t', 'rowe', 'price', 'group', 'inc', 'trow', 'analysts', 'see', 'eps', 'httpstcoibzrcjpmp']",Mon Jul 09 20:37:14 +0000 2018,whatsonthorold2,TROW,T. Rowe Price Group,https://www.whatsonthorold.com/2018/07/09/t-rowe-price-group-inc-trow-analysts-see-1-73-eps/,False,5.256666666666667
594,1016421253190766600,"['t', 'rowe', 'price', 'group', 'inc', 'trow', 'eps', 'estimated', 'at', 'httpstcohjkclzilm']",Mon Jul 09 20:38:05 +0000 2018,reurope_stock,TROW,T. Rowe Price Group,https://reurope.com/2018/07/09/t-rowe-price-group-inc-trow-eps-estimated-at-1-73/,False,5.156666666666666
595,1016421373428854800,"['eps', 'expected', 'for', 't', 'rowe', 'price', 'group', 'inc', 'trow', 'httpstcodfonylwh']",Mon Jul 09 20:38:34 +0000 2018,bibeypost_stock,TROW,T. Rowe Price Group,https://www.bibeypost.com/1-73-eps-expected-for-t-rowe-price-group-inc-trow-2/,False,5.236666666666666
857,1016580855161147400,"['cullinan', 'associates', 'inc', 'boosts', 'stake', 'in', 't', 'rowe', 'price', 'group', 'inc', 'trow', 'httpstcohtbiijsjb']",Tue Jul 10 07:12:17 +0000 2018,ConsumerFeed,TROW,T. Rowe Price Group,https://ift.tt/2N3dKHf,False,5.155
876,1016599489212186600,"['t', 'rowe', 'price', 'group', 'inc', 'trow', 'expected', 'to', 'post', 'earnings', 'of', 'per', 'share', 'httpstcokcnpachfv']",Tue Jul 10 08:26:20 +0000 2018,TranscriptDaily,TROW,T. Rowe Price Group,http://zpr.io/6TD5r,False,5.536363636363637
929,1016630765063372800,"['zacks', 'brokerages', 'expect', 't', 'rowe', 'price', 'group', 'inc', 'trow', 'to', 'post', 'eps', 'httpstcovpywulx']",Tue Jul 10 10:30:37 +0000 2018,MareaInformativ,TROW,T. Rowe Price Group,http://www.mareainformativa.com/?p=414356,False,5.26
1272,1016726778960891900,"['trow', 'max', 'pain', 'is', 'for', 'maturity', 'maxpain', 'options', 'httpstcogdccngfkz', 'httpstcokyhdmcabj']",Tue Jul 10 16:52:08 +0000 2018,optioncharts,TROW,T. Rowe Price Group,http://maximum-pain.com/options/max-pain/TROW,False,4.888
2430,1017137730403422200,"['recap', 'pos', 'comments', 'jwn', 'jnpr', 'trow', 'vet', 'pypl', 'sne', 'neg', 'comments', 'mcd', 'aaba', 'ts', 'ango']",Wed Jul 11 20:05:07 +0000 2018,OpenOutcrier,TROW,T. Rowe Price Group,,False,5.586666666666667
2850,1017303611603341300,"['t', 'rowe', 'price', 'group', 'inc', 'trow', 'position', 'decreased', 'by', 'pennsylvania', 'trust', 'co', 'httpstcoplhgepsg']",Thu Jul 12 07:04:16 +0000 2018,ConsumerFeed,TROW,T. Rowe Price Group,https://ift.tt/2uurkfg,False,5.267999999999999
2903,1017326322345861100,"['t', 'rowe', 'price', 'group', 'inc', 'trow', 'expected', 'to', 'announce', 'quarterly', 'sales', 'of', 'billion', 'httpstcowvqwfazp']",Thu Jul 12 08:34:30 +0000 2018,TranscriptDaily,TROW,T. Rowe Price Group,http://zpr.io/6a2uh,False,5.47090909090909
3132,1017387667833618400,"['trow', 't', 'rowe', 'price', 'group', 'reports', 'preliminary', 'monthend', 'assets', 'under', 'management', 'for', 'june', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Thu Jul 12 12:38:16 +0000 2018,Allstocknews,TROW,T. Rowe Price Group,,False,5.429333333333332
3184,1017393958542962700,"['t', 'rowe', 'price', 'reports', 'june', 'aum', 'of', 't', 'httpstcoyhoiyycx', 'premarket', 'trow']",Thu Jul 12 13:03:16 +0000 2018,MarketCurrents,TROW,T. Rowe Price Group,https://seekingalpha.com/news/3369630-t-rowe-price-reports-june-aum-1_04t?source=feed_f,False,5.156666666666667
3376,1017416416687845400,"['trow', 't', 'rowe', 'price', 'reports', 'preliminary', 'monthend', 'assets', 'under', 'management', 'of', 'tln', 'as', 'of', 'june', 'vs', 'tln', 'httpstcoaelmvvsxbw']",Thu Jul 12 14:32:31 +0000 2018,Briefingcom,TROW,T. Rowe Price Group,https://twitter.com/i/web/status/1017416416687845377,False,5.178333333333333
3401,1017421180507181000,"['morgan', 'stanley', 'raises', 't', 'rowe', 'price', 'group', 'trow', 'price', 'target', 'to', 'httpstcosovoexho']",Thu Jul 12 14:51:26 +0000 2018,dakotafinancial,TROW,T. Rowe Price Group,http://dakotafinancialnews.com/?p=313558,False,5.359999999999999
3982,1017510752679276500,"['analysts', 'at', 'morgan', 'stanley', 'kept', 'the', 'same', 'their', 'past', 'equalweight', 'rating', 'on', 'shares', 't', 'rowe', 'price', 'group', 'trow', 'set', 'httpstcoxtejqljusa']",Thu Jul 12 20:47:22 +0000 2018,whatsonthorold2,TROW,T. Rowe Price Group,https://twitter.com/i/web/status/1017510752679276564,False,5.33625
3984,1017510823235866600,"['morgan', 'stanley', 'reiterates', 't', 'rowe', 'price', 'group', 'trow', 'as', 'a', 'equalweight', 'they', 'now', 'have', 'a', 'pt', 'of', 'httpstcosfjhkhimbi']",Thu Jul 12 20:47:39 +0000 2018,mmahotstuff1,TROW,T. Rowe Price Group,https://www.mmahotstuff.com/2018/07/12/morgan-stanley-reiterates-t-rowe-price-group-nasdaqtrow-as-a-equal-weight-they-now-have-a-pt-of-116.html,False,5.318461538461539
4046,1017525095324180500,"['analysts', 'weekly', 'ratings', 'updates', 'for', 't', 'rowe', 'price', 'group', 'trow', 'httpstcovdapktvgl']",Thu Jul 12 21:44:22 +0000 2018,ledgerzette,TROW,T. Rowe Price Group,http://ledgergazette.com/?p=2822722,False,5.4175
4076,1017532998026190800,"['troweprice', 'trow', 'continues', 'to', 'succeed', 'despite', 'pressure', 'from', 'passive', 'weve', 'upgraded', 'of', 'their', 'funds', 'analyst', 'rat', 'httpstcoordiepdqc']",Thu Jul 12 22:15:46 +0000 2018,MstarResearch,TROW,T. Rowe Price Group,https://twitter.com/i/web/status/1017532998026190848,False,5.1116666666666655
5260,1017817805742399500,"['financialplanning', 'expert', 'rogerayoung', 'of', 't', 'rowe', 'price', 'trow', 'helps', 'ibdpkatzeff', 'readers', 'understand', 'whether', 'they', 'httpstcoidyklovl']",Fri Jul 13 17:07:29 +0000 2018,IBD_PKatzeff,TROW,T. Rowe Price Group,https://twitter.com/i/web/status/1017817805742399489,False,5.6977777777777785
5267,1017819213388501000,"['t', 'rowe', 'price', 'group', 'trow', 'wells', 'fargo', 'reaffirms', 'market', 'perform', 'rating', 'today', 'has', 'a', 'target', 'of', 'share', 'httpstcoapbdgvyh']",Fri Jul 13 17:13:05 +0000 2018,reurope_stock,TROW,T. Rowe Price Group,https://reurope.com/2018/07/13/t-rowe-price-group-nasdaqtrow-wells-fargo-reaffirms-market-perform-rating-today-has-a-target-of-124-share/,False,5.635384615384615
5378,1017840433144188900,"['trow', 'reports', 'wednesday', 'entered', 'the', 'stock', 'last', 'summer', 'at', 'a', 'share', 'been', 'one', 'of', 'my', 'better', 'long', 'plays', 'a', 'must', 'ow', 'httpstcojfbdiwve']",Fri Jul 13 18:37:24 +0000 2018,ChipperWestbro,TROW,T. Rowe Price Group,https://twitter.com/i/web/status/1017840433144188930,False,5.395
5762,1017975506355015700,"['trow', 'open', 'interest', 'for', 'maturity', 'high', 'put', 'high', 'call', 'maxpain', 'options', 'httpstcohbyeeaaxf']",Sat Jul 14 03:34:08 +0000 2018,optioncharts,TROW,T. Rowe Price Group,https://twitter.com/i/web/status/1017975506355015681,False,5.9975000000000005
6165,1018145204115857400,"['time', 'to', 'reconsider', 't', 'rowe', 'price', 'group', 'inc', 'trow', 'after', 'less', 'short', 'sellers', 'httpstcohuvriive']",Sat Jul 14 14:48:27 +0000 2018,reurope_stock,TROW,T. Rowe Price Group,https://reurope.com/2018/07/14/time-to-reconsider-t-rowe-price-group-inc-nasdaqtrow-after-less-short-sellers/,False,4.98
6489,1018238585349263400,"['t', 'rowe', 'price', 'group', 'trow', 'price', 'target', 'raised', 'to', 'at', 'wells', 'fargo', 'amp', 'co', 'httpstcodjxjnpfsw']",Sat Jul 14 20:59:31 +0000 2018,TickerReport,TROW,T. Rowe Price Group,http://tickerreport.com/?p=3633994,False,5.31090909090909
7043,1018358000929697800,"['t', 'rowe', 'price', 'group', 'trow', 'price', 'target', 'increased', 'to', 'by', 'analysts', 'at', 'morgan', 'stanley', 'httpstcofgqppupht']",Sun Jul 15 04:54:02 +0000 2018,MareaInformativ,TROW,T. Rowe Price Group,http://www.mareainformativa.com/?p=446721,False,5.238333333333334
7045,1018358014674460700,"['t', 'rowe', 'price', 'group', 'trow', 'price', 'target', 'increased', 'to', 'by', 'analysts', 'at', 'wells', 'fargo', 'amp', 'co', 'httpstcowlnpehojt']",Sun Jul 15 04:54:05 +0000 2018,MareaInformativ,TROW,T. Rowe Price Group,http://www.mareainformativa.com/?p=446718,False,5.249230769230769
7047,1018358322884415500,"['wells', 'fargo', 'amp', 'co', 'boosts', 't', 'rowe', 'price', 'group', 'trow', 'price', 'target', 'to', 'httpstcowbozesyyt']",Sun Jul 15 04:55:19 +0000 2018,WeekHerald,TROW,T. Rowe Price Group,http://weekherald.com/?p=2989395,False,5.217777777777779
7048,1018358372280782800,"['t', 'rowe', 'price', 'group', 'trow', 'price', 'target', 'increased', 'to', 'by', 'analysts', 'at', 'morgan', 'stanley', 'httpstcolapnkfgrs']",Sun Jul 15 04:55:30 +0000 2018,EnterpriseLeade,TROW,T. Rowe Price Group,http://theenterpriseleader.com/?p=986088,False,5.238333333333334
7049,1018358695984582700,"['t', 'rowe', 'price', 'group', 'trow', 'price', 'target', 'increased', 'to', 'by', 'analysts', 'at', 'wells', 'fargo', 'amp', 'co', 'httpstcotmwoegftq']",Sun Jul 15 04:56:47 +0000 2018,OlympiaReport,TROW,T. Rowe Price Group,http://theolympiareport.com/?p=923613,False,5.249230769230769
7052,1018359024595718100,"['t', 'rowe', 'price', 'group', 'trow', 'price', 'target', 'increased', 'to', 'by', 'analysts', 'at', 'morgan', 'stanley', 'httpstcopeepmzgjwj']",Sun Jul 15 04:58:06 +0000 2018,dispatchtribune,TROW,T. Rowe Price Group,http://dispatchtribunal.com/?p=2052891,False,5.238333333333334
7174,1018375824637128700,"['wells', 'fargo', 'amp', 'co', 'increases', 't', 'rowe', 'price', 'group', 'trow', 'price', 'target', 'to', 'httpstcofvobnmjj']",Sun Jul 15 06:04:51 +0000 2018,ledgerzette,TROW,T. Rowe Price Group,http://ledgergazette.com/?p=2825731,False,5.340000000000001
7308,1018394476509913100,"['morgan', 'stanley', 'increases', 't', 'rowe', 'price', 'group', 'trow', 'price', 'target', 'to', 'httpstcosgyzzbukxl']",Sun Jul 15 07:18:58 +0000 2018,dailypoliticaln,TROW,T. Rowe Price Group,http://www.dailypolitical.com/?p=2202029,False,5.335555555555555
7311,1018395374724288500,"['morgan', 'stanley', 'increases', 't', 'rowe', 'price', 'group', 'trow', 'price', 'target', 'to', 'httpstcotmpmanxs']",Sun Jul 15 07:22:32 +0000 2018,ZolmaxNews,TROW,T. Rowe Price Group,http://zolmax.com/?p=2382120,False,5.335555555555555
7830,1018485225855348700,"['im', 'long', 'trow', 'and', 'glad', 'to', 'see', 'they', 'are', 'exiting', 'tsla', 'lock', 'in', 'the', 'gains', 'and', 'move', 'on', 'httpstcoatzbngpkw']",Sun Jul 15 13:19:35 +0000 2018,ContrarianShort,TROW,T. Rowe Price Group,https://twitter.com/joeyexperience/status/1018477316555595776,False,5.510666666666666
8303,1018548470502903800,"['zacks', 'investment', 'research', 'downgrades', 't', 'rowe', 'price', 'group', 'trow', 'to', 'hold', 'httpstcofmitnmhd']",Sun Jul 15 17:30:53 +0000 2018,EnterpriseLeade,TROW,T. Rowe Price Group,http://theenterpriseleader.com/?p=988669,False,5.531428571428571
8950,1018695693807087600,"['brokerages', 'expect', 't', 'rowe', 'price', 'group', 'inc', 'trow', 'will', 'announce', 'earnings', 'of', 'per', 'share', 'httpstcotkyhcr']",Mon Jul 16 03:15:54 +0000 2018,ThisLincolnian,TROW,T. Rowe Price Group,http://thelincolnianonline.com/?p=2185521,False,5.663636363636363
8969,1018699581624868900,"['earnings', 'per', 'share', 'expected', 'for', 't', 'rowe', 'price', 'group', 'inc', 'trow', 'this', 'quarter', 'httpstcoywvguduo']",Mon Jul 16 03:31:21 +0000 2018,OlympiaReport,TROW,T. Rowe Price Group,http://theolympiareport.com/?p=926499,False,5.576363636363637
8971,1018699838240804900,"['brokerages', 'expect', 't', 'rowe', 'price', 'group', 'inc', 'trow', 'will', 'post', 'earnings', 'of', 'per', 'share', 'httpstcoaireouzf']",Mon Jul 16 03:32:22 +0000 2018,WeekHerald,TROW,T. Rowe Price Group,http://weekherald.com/?p=2992289,False,5.645454545454545
9289,1018812853502046200,"['t', 'rowe', 'price', 'group', 'trow', 'lowered', 'to', 'hold', 'at', 'zacks', 'investment', 'research', 'httpstcojpkajapk']",Mon Jul 16 11:01:27 +0000 2018,ledgerzette,TROW,T. Rowe Price Group,http://ledgergazette.com/?p=2828984,False,5.452500000000001
9588,1018837829973971000,"['tsla', 'trow', 'bagholders', 'showmethemoney', 'httpstcoavmorpvg']",Mon Jul 16 12:40:42 +0000 2018,passthebeano,TROW,T. Rowe Price Group,https://twitter.com/HughjCoffey1814/status/1018710125312290816,False,0.0
9638,1018841317810606100,"['price', 't', 'rowe', 'group', 'inc', 'trow', 'sentiment', 'report', 'httpstcofzdsqqfk']",Mon Jul 16 12:54:33 +0000 2018,whatsonthorold2,TROW,T. Rowe Price Group,https://www.whatsonthorold.com/2018/07/16/price-t-rowe-group-inc-nasdaqtrow-sentiment-report/,False,5.170000000000001
9642,1018841473092063200,"['price', 't', 'rowe', 'group', 'inc', 'trow', 'institutional', 'investors', 'arent', 'crazy', 'about', 'it', 'httpstcowgexoju']",Mon Jul 16 12:55:11 +0000 2018,mmahotstuff1,TROW,T. Rowe Price Group,https://www.mmahotstuff.com/2018/07/16/price-t-rowe-group-inc-nasdaqtrow-institutional-investors-arent-crazy-about-it.html,False,4.965999999999999
9907,1018856795190816800,"['t', 'rowe', 'price', 'group', 'trow', 'price', 'target', 'raised', 'to', 'httpstcoakhwmyd']",Mon Jul 16 13:56:04 +0000 2018,ConsumerFeed,TROW,T. Rowe Price Group,http://zpr.io/6XAHD,False,5.38
10036,1018862796103143400,"['morgan', 'stanley', 'boosts', 't', 'rowe', 'price', 'group', 'trow', 'price', 'target', 'to', 'httpstcotpqptbyj']",Mon Jul 16 14:19:54 +0000 2018,TranscriptDaily,TROW,T. Rowe Price Group,http://zpr.io/6XANW,False,5.1975
