,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
156,1016241586420834300,"['turquoise', 'hill', 'resources', 'trq', 'cut', 'to', 'sell', 'at', 'valuengine', 'httpstcohmnldsnwm']",Mon Jul 09 08:44:09 +0000 2018,dakotafinancial,TRQ,Turquoise Hill Resources Ltd.,http://dakotafinancialnews.com/?p=306238,False,5.203333333333334
488,1016378424502505500,"['turquoise', 'hill', 'resources', 'trq', 'reaches', 'new', 'week', 'high', 'at', 'httpstcoqxacfrmuiw']",Mon Jul 09 17:47:54 +0000 2018,ledgerzette,TRQ,Turquoise Hill Resources Ltd.,http://ledgergazette.com/?p=2815516,False,5.977142857142858
538,1016403552628039700,"['turquoisehillre', 'jeffsmithmedia', 'otmongolia', 'erdenesot', 'humble', 'twitterer', 'i', 'know', 'you', 'get', 'tired', 'of', 'the', 'minority', 'dru', 'httpstcoytnflqp']",Mon Jul 09 19:27:45 +0000 2018,GWilem1,TRQ,Turquoise Hill Resources Ltd.,https://twitter.com/i/web/status/1016403552628039681,False,5.351111111111112
580,1016416792250667000,"['turquoisehillre', 'jeffsmithmedia', 'otmongolia', 'erdenesot', 'but', 'you', 'have', 'to', 'appreciate', 'where', 'the', 'average', 'longterm', 'inv', 'httpstcopulymhaof']",Mon Jul 09 20:20:22 +0000 2018,GWilem1,TRQ,Turquoise Hill Resources Ltd.,https://twitter.com/i/web/status/1016416792250667008,False,5.45
682,1016456143231701000,"['scan', 'results', 'macd', 'bullish', 'centerline', 'cross', 'today', 'lgo', 'ta', 'pd', 'fcr', 'diib', 'trq', 'trz', 'sgy', 'httpstcoxzkngmow']",Mon Jul 09 22:56:44 +0000 2018,SwingTradeBotCA,TRQ,Turquoise Hill Resources Ltd.,https://canada.swingtradebot.com/events/66/equities?selected_date=2018-07-09,False,5.390000000000001
877,1016600870228824000,"['turquoise', 'hill', 'resources', 'trq', 'versus', 'south', 'ltds', 'souhy', 'headtohead', 'review', 'httpstcotvuaspcj']",Tue Jul 10 08:31:49 +0000 2018,ZolmaxNews,TRQ,Turquoise Hill Resources Ltd.,http://zolmax.com/?p=2372148,False,5.744000000000001
1376,1016752925287252000,"['short', 'sale', 'volume', 'not', 'short', 'interest', 'for', 'dgaz', 'at', 'is', 'httpstcopfeetn', 'trq', 'xlk', 'csco', 'pff']",Tue Jul 10 18:36:02 +0000 2018,shortvolumes,TRQ,Turquoise Hill Resources Ltd.,http://shortvolumes.com/?t=DGAZ,False,5.199999999999999
1741,1016930641726853100,"['turquoise', 'hill', 'resources', 'trq', 'hits', 'new', 'year', 'high', 'at', 'httpstcoxuycxsz']",Wed Jul 11 06:22:13 +0000 2018,dispatchtribune,TRQ,Turquoise Hill Resources Ltd.,http://dispatchtribunal.com/?p=2045834,False,5.88
1742,1016931018895515600,"['turquoise', 'hill', 'resources', 'trq', 'reaches', 'new', 'month', 'high', 'at', 'httpstcoqhlxjrqzg']",Wed Jul 11 06:23:43 +0000 2018,OlympiaReport,TRQ,Turquoise Hill Resources Ltd.,http://theolympiareport.com/?p=916441,False,5.991428571428571
3213,1017397559009128400,"['reviewing', 'turquoise', 'hill', 'resources', 'trq', 'amp', 'fortescue', 'metals', 'fsugy', 'httpstcocihyarvpg']",Thu Jul 12 13:17:35 +0000 2018,EnterpriseLeade,TRQ,Turquoise Hill Resources Ltd.,http://theenterpriseleader.com/?p=982010,False,5.970000000000001
4173,1017551920515506200,"['current', 'watchlist', 'uctt', 'cnnrf', 'trq', 'umc', 'gbr', 'clwt']",Thu Jul 12 23:30:57 +0000 2018,5PercentMin,TRQ,Turquoise Hill Resources Ltd.,,False,5.58
4196,1017559236161794000,"['short', 'sale', 'volume', 'not', 'short', 'interest', 'for', 'xly', 'on', 'is', 'httpstconmscvtcy', 'bac', 'nfx', 'trq', 'bbd']",Fri Jul 13 00:00:01 +0000 2018,shortvolumes,TRQ,Turquoise Hill Resources Ltd.,http://shortvolumes.com/?t=XLY,False,5.273333333333333
6173,1018146918256562200,"['turquoise', 'hill', 'resources', 'ltd', 'ordinary', 'shares', 'trq', 'just', 'reported', 'decreased', 'shorts', 'httpstconrolmtbd']",Sat Jul 14 14:55:16 +0000 2018,reurope_stock,TRQ,Turquoise Hill Resources Ltd.,https://reurope.com/2018/07/14/turquoise-hill-resources-ltd-ordinary-shares-nysetrq-just-reported-decreased-shorts/,False,5.48
6660,1018266600401788900,"['reviewing', 'south', 'ltds', 'souhy', 'and', 'turquoise', 'hill', 'resources', 'trq', 'httpstconbfhtnmfr']",Sat Jul 14 22:50:50 +0000 2018,WatchlistN,TRQ,Turquoise Hill Resources Ltd.,http://zpr.io/6NwL9,False,5.955
10813,1018910731192787000,"['trq', 'rio', 'httpstcotexnnzrjjm']",Mon Jul 16 17:30:23 +0000 2018,SeekingAlpha,TRQ,Turquoise Hill Resources Ltd.,https://seekingalpha.com/article/4187504-rio-tinto-good-times-coming-ahead?source=feed_f,False,5.74
11065,1018930187512303600,"['rio', 'for', 'trq', 'rumor', 'deal', 'reporter', 'rio', 'trq']",Mon Jul 16 18:47:42 +0000 2018,boston02186,TRQ,Turquoise Hill Resources Ltd.,,False,5.636
11098,1018933042029781000,['trq'],Mon Jul 16 18:59:02 +0000 2018,TraderPamplona,TRQ,Turquoise Hill Resources Ltd.,,False,0.0
11115,1018934558916370400,"['most', 'active', 'alert', 'trq', 'turquoise', 'hill', 'resources', 'tradeideas', 'via', 'httpstcovsrobzxj', 'to', 'free', 'trading', 'room']",Mon Jul 16 19:05:04 +0000 2018,AlertTrade,TRQ,Turquoise Hill Resources Ltd.,http://AlertTrade.us,False,6.072000000000001
11154,1018936654654996500,"['httpstcoyqzgzaz', 'trq', 'turquoise', 'hill', 'resources', 'up', 'million', 'gain', 'trq', 'has', 'made', 'notable', 'gains', 'in', 'httpstcohwhnkhf']",Mon Jul 16 19:13:24 +0000 2018,42Stocks,TRQ,Turquoise Hill Resources Ltd.,http://42stocks.com/sym/trq.html,False,6.202222222222222
11162,1018937222228271100,"['when', 'youre', 'short', 'trq', 'and', 'go', 'to', 'cover', 'and', 'sell', 'more', 'shares', 'instead', 'of', 'buying', 'stilllearning', 'httpstcodffkveyw']",Mon Jul 16 19:15:39 +0000 2018,lexram,TRQ,Turquoise Hill Resources Ltd.,https://twitter.com/i/web/status/1018937222228271104,False,5.390000000000001
11434,1018956053378199600,"['rio', 'tinto', 'could', 'look', 'to', 'buy', 'rest', 'of', 'trq', 'stock', 'swells', 'turquoisehill', 'riotinto', 'httpstcotzkgaqs']",Mon Jul 16 20:30:29 +0000 2018,NewsQuantified,TRQ,Turquoise Hill Resources Ltd.,https://hubs.ly/H0d1n3w0,False,5.7475
11518,1018964088083374100,"['turquoise', 'hill', 'announces', 'second', 'quarter', 'production', 'and', 'completion', 'of', 'shaft', 'trq', 'httpstcolcvubpysu']",Mon Jul 16 21:02:24 +0000 2018,GNWLive,TRQ,Turquoise Hill Resources Ltd.,http://bit.ly/2mn7DCp,False,5.68
11528,1018964525700341800,"['trq', 'turquoise', 'hill', 'announces', 'second', 'quarter', 'production', 'and', 'completion', 'of', 'shaft', 'httpstconcpykuzr']",Mon Jul 16 21:04:09 +0000 2018,konik2,TRQ,Turquoise Hill Resources Ltd.,http://ih.advfn.com/p.php?pid=nmona&article=77872486&adw=1126416,False,5.68
11533,1018964841787060200,"['nyse', 'gainers', 'arc', 'volume', 'gol', 'volume', 'bpi', 'httpstcoawinktkd']",Mon Jul 16 21:05:24 +0000 2018,Market_Scanner,TRQ,Turquoise Hill Resources Ltd.,https://twitter.com/i/web/status/1018964841787060224,False,5.633333333333334
11575,1018967561784963100,"['trq', 'turquoise', 'hill', 'resources', 'ltd', 'sec', 'filing', 'form', 'k', 'httpstcopoguivluq']",Mon Jul 16 21:16:12 +0000 2018,StockTexts,TRQ,Turquoise Hill Resources Ltd.,http://www.sec.gov/Archives/edgar/data/1158041/000119312518218843/d508920d6k.htm,False,5.3914285714285715
