,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
15133,1019275344426258400,"['analysts', 'pointing', 'to', 'positive', 'growth', 'in', 'upcoming', 'earnings', 'and', 'trv', 'still', 'showing', 'a', 'great', 'technicalanalysis', 'chart', 'httpstcoqatavxki']",Tue Jul 17 17:39:13 +0000 2018,stickycactusink,TRV,The Travelers Companies,https://twitter.com/i/web/status/1019275344426258432,False,5.957142857142856
15364,1019288776840024000,"['trv', 'susquehanna', 'international', 'group', 'llp', 'raised', 'by', 'million', 'its', 'travelers', 'companies', 'httpstcotqbkstzd', 'httpstcomuhntzbv']",Tue Jul 17 18:32:36 +0000 2018,stickycactusink,TRV,The Travelers Companies,https://hillaryhq.com/2018/07/17/susquehanna-international-group-llp-raised-by-17-13-million-its-travelers-companies-call-trv-stake-shorts-at-hp-hpq-lowered-by-11-95/,False,5.984999999999999
17937,1019450706451927000,"['travelers', 'companies', 'inc', 'to', 'post', 'q', 'earnings', 'of', 'per', 'share', 'b', 'riley', 'forecasts', 'trv', 'httpstconxtndcu']",Wed Jul 18 05:16:03 +0000 2018,ConsumerFeed,TRV,The Travelers Companies,http://zpr.io/6XiKK,False,5.4816666666666665
18347,1019478540251779100,"['nelson', 'roberts', 'investment', 'advisors', 'llc', 'increases', 'position', 'in', 'travelers', 'companies', 'inc', 'trv', 'httpstcotintdgbz']",Wed Jul 18 07:06:39 +0000 2018,ConsumerFeed,TRV,The Travelers Companies,https://ift.tt/2uwfgea,False,5.613333333333333
18547,1019490871606202400,"['hartford', 'financial', 'services', 'group', 'hig', 'amp', 'travelers', 'companies', 'trv', 'critical', 'contrast', 'httpstcoqwkhfpm']",Wed Jul 18 07:55:39 +0000 2018,ThisLincolnian,TRV,The Travelers Companies,http://thelincolnianonline.com/?p=2190470,False,5.282222222222222
20413,1019569654308790300,"['the', 'travelers', 'companies', 'inc', 'trv', 'eps', 'estimated', 'at', 'httpstcohkbdzolfku']",Wed Jul 18 13:08:42 +0000 2018,Fanob_stock,TRV,The Travelers Companies,http://fanob.com/2018/07/18/the-travelers-companies-inc-trv-eps-estimated-at-2-43-2/,False,5.28
20427,1019569794687828000,"['analysts', 'see', 'eps', 'for', 'the', 'travelers', 'companies', 'inc', 'trv', 'httpstcoxiwwyyx']",Wed Jul 18 13:09:16 +0000 2018,whatsonthorold2,TRV,The Travelers Companies,https://www.whatsonthorold.com/2018/07/18/analysts-see-2-43-eps-for-the-travelers-companies-inc-trv/,False,5.357142857142857
20429,1019569870860701700,"['analysts', 'see', 'eps', 'for', 'the', 'travelers', 'companies', 'inc', 'trv', 'httpstcotvpkmda']",Wed Jul 18 13:09:34 +0000 2018,mmahotstuff1,TRV,The Travelers Companies,https://www.mmahotstuff.com/2018/07/18/analysts-see-2-43-eps-for-the-travelers-companies-inc-trv.html,False,5.357142857142857
20445,1019570148850782200,"['analysts', 'see', 'eps', 'for', 'the', 'travelers', 'companies', 'inc', 'trv', 'httpstcoaphwffsk']",Wed Jul 18 13:10:40 +0000 2018,bibeypost_stock,TRV,The Travelers Companies,https://www.bibeypost.com/analysts-see-2-43-eps-for-the-travelers-companies-inc-trv-3/,False,5.357142857142857
20461,1019570505815388200,"['top', 'earnings', 'th', 'pre', 'pm', 'pool', 'ppg', 'rpm', 'sasr', 'sbny', 'sna', 'son', 'synt', 'trib', 'trv', 'tts', 'unp', 'wbc', 'wbs', 'wns']",Wed Jul 18 13:12:05 +0000 2018,OpenOutcrier,TRV,The Travelers Companies,,False,6.228571428571428
