,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
19650,1019547844288569300,"['not', 'sure', 'what', 'to', 'do', 'with', 'txn', 'explore', 'our', 'fundamental', 'pros', 'and', 'cons', 'httpstcokcaggtqt']",Wed Jul 18 11:42:03 +0000 2018,1MinuteStock,TXN,Texas Instruments Incorporated,https://unicornbay.com/t/TXN.US?utm_medium=tweet&utm_campaign=notsureproscons&utm_source=twitter,False,5.484999999999999
19656,1019548248237858800,"['rt', 'reuters', 'texas', 'instruments', 'ceo', 'resigns', 'on', 'code', 'of', 'conduct', 'violation', 'httpstcomvmnzgrzxe', 'by', 'stephennellis', 'arjunpancho', 'txn', 'https']",Wed Jul 18 11:43:39 +0000 2018,takinyera,TXN,Texas Instruments Incorporated,https://reut.rs/2L6cCGb,False,5.036363636363637
19657,1019548314663039000,"['stocks', 'making', 'the', 'biggest', 'moves', 'premarket', 'ms', 'googl', 'txn', 'ual', 'nflx', 'amp', 'more', 'httpstcodvkccwresz']",Wed Jul 18 11:43:55 +0000 2018,MarketGlance,TXN,Texas Instruments Incorporated,https://cnb.cx/2JxrRT1,False,5.5525
19666,1019548411115245600,"['rt', 'benzinga', 'stocks', 'to', 'watch', 'for', 'july', 'httpstcosmgpquqs', 'aa', 'abt', 'axp', 'ms', 'ebay', 'ual', 'csx', 'usb', 'cara', 'ibm', 'txn']",Wed Jul 18 11:44:18 +0000 2018,OptionAlarm,TXN,Texas Instruments Incorporated,https://benzinga.com/z/12035587,False,5.338333333333335
19687,1019548885352673300,"['stocks', 'to', 'watch', 'for', 'july', 'httpstcofosdemfsn', 'aa', 'abt', 'axp', 'ms', 'ebay', 'ual', 'csx', 'usb', 'cara', 'ibm', 'txn']",Wed Jul 18 11:46:11 +0000 2018,WinfieldSmart,TXN,Texas Instruments Incorporated,https://benzinga.com/z/12035587,False,5.38
19690,1019548988016558100,"['rt', 'reuters', 'texas', 'instruments', 'ceo', 'resigns', 'on', 'code', 'of', 'conduct', 'violation', 'httpstcomvmnzgrzxe', 'by', 'stephennellis', 'arjunpancho', 'txn', 'https']",Wed Jul 18 11:46:35 +0000 2018,FrancineMathi16,TXN,Texas Instruments Incorporated,https://reut.rs/2L6cCGb,False,5.036363636363637
19693,1019549057323339800,"['rt', 'reuters', 'texas', 'instruments', 'ceo', 'resigns', 'on', 'code', 'of', 'conduct', 'violation', 'httpstcomvmnzgrzxe', 'by', 'stephennellis', 'arjunpancho', 'txn', 'https']",Wed Jul 18 11:46:52 +0000 2018,JeniferJuniper1,TXN,Texas Instruments Incorporated,https://reut.rs/2L6cCGb,False,5.036363636363637
19715,1019550333805051900,"['rt', 'reuters', 'texas', 'instruments', 'ceo', 'resigns', 'on', 'code', 'of', 'conduct', 'violation', 'httpstcomvmnzgrzxe', 'by', 'stephennellis', 'arjunpancho', 'txn', 'https']",Wed Jul 18 11:51:56 +0000 2018,MaheshC15143297,TXN,Texas Instruments Incorporated,https://reut.rs/2L6cCGb,False,5.036363636363637
19729,1019550992893743100,"['rt', 'reuters', 'texas', 'instruments', 'ceo', 'resigns', 'on', 'code', 'of', 'conduct', 'violation', 'httpstcomvmnzgrzxe', 'by', 'stephennellis', 'arjunpancho', 'txn', 'https']",Wed Jul 18 11:54:33 +0000 2018,syf_90,TXN,Texas Instruments Incorporated,https://reut.rs/2L6cCGb,False,5.036363636363637
19731,1019551067028287500,"['stocks', 'making', 'the', 'biggest', 'moves', 'premarket', 'ms', 'googl', 'txn', 'ual', 'nflx', 'amp', 'more', 'httpstcorguhvvzn']",Wed Jul 18 11:54:51 +0000 2018,Options,TXN,Texas Instruments Incorporated,https://www.cnbc.com/2018/07/18/stocks-making-the-biggest-moves-premarket-ms-googl-txn-ual-nflx-.html,False,5.5525
19737,1019551360994431000,"['rt', 'reuters', 'texas', 'instruments', 'ceo', 'resigns', 'on', 'code', 'of', 'conduct', 'violation', 'httpstcomvmnzgrzxe', 'by', 'stephennellis', 'arjunpancho', 'txn', 'https']",Wed Jul 18 11:56:01 +0000 2018,SamEigHighway,TXN,Texas Instruments Incorporated,https://reut.rs/2L6cCGb,False,5.036363636363637
19746,1019551754910920700,"['stocks', 'to', 'watch', 'for', 'july', 'aa', 'ual', 'cara', 'abt', 'ebay', 'usb', 'ibm', 'ms', 'axp', 'csx', 'txn', 'httpstcooatczkyr']",Wed Jul 18 11:57:35 +0000 2018,TopStockAlerts1,TXN,Texas Instruments Incorporated,https://m.benzinga.com/article/12035587?utm_referrer=https%3A%2F%2Fwww.benzinga.com%2Fnews%2Fearnings,False,5.379999999999999
19776,1019552709605814300,"['were', 'talking', 'ms', 'txn', 'nflx', 'and', 'btc', 'on', 'premarket', 'prep', 'today', 'plus', 'chrisversace', 'joins', 'tripledtrader', 'and', 'i', 'at', 'httpstcoejzugkl']",Wed Jul 18 12:01:23 +0000 2018,SJisrael,TXN,Texas Instruments Incorporated,https://twitter.com/i/web/status/1019552709605814272,False,5.554545454545454
19778,1019552773510221800,"['rt', 'sjisrael', 'were', 'talking', 'ms', 'txn', 'nflx', 'and', 'btc', 'on', 'premarket', 'prep', 'today', 'plus', 'chrisversace', 'joins', 'tripledtrader', 'and', 'i', 'at', 'tune']",Wed Jul 18 12:01:38 +0000 2018,_ChrisVersace,TXN,Texas Instruments Incorporated,,False,5.55076923076923
19794,1019553217028468700,"['rt', 'sjisrael', 'were', 'talking', 'ms', 'txn', 'nflx', 'and', 'btc', 'on', 'premarket', 'prep', 'today', 'plus', 'chrisversace', 'joins', 'tripledtrader', 'and', 'i', 'at', 'tune']",Wed Jul 18 12:03:23 +0000 2018,Benzinga,TXN,Texas Instruments Incorporated,,True,5.55076923076923
19795,1019553220174188500,"['rt', 'sjisrael', 'were', 'talking', 'ms', 'txn', 'nflx', 'and', 'btc', 'on', 'premarket', 'prep', 'today', 'plus', 'chrisversace', 'joins', 'tripledtrader', 'and', 'i', 'at', 'tune']",Wed Jul 18 12:03:24 +0000 2018,tradnews_,TXN,Texas Instruments Incorporated,,False,5.55076923076923
19810,1019553565067620400,"['rt', 'optionshawk', 'txn', 'raising', 'view', 'wonder', 'if', 'that', 'is', 'what', 'the', 'amat', 'shortterm', 'lottos', 'knew', 'before', 'hand']",Wed Jul 18 12:04:46 +0000 2018,RendaXavier,TXN,Texas Instruments Incorporated,,False,5.453333333333333
19818,1019553870412959700,"['txn', 'texas', 'instruments', 'ceo', 'brian', 'crutcher', 'resigns', 'for', 'violating', 'the', 'companys', 'code', 'of', 'conduct', 'httpstcofzgopzhn']",Wed Jul 18 12:05:59 +0000 2018,proactive_NA,TXN,Texas Instruments Incorporated,https://twitter.com/i/web/status/1019553870412959746,False,5.2844444444444445
19877,1019555678388740100,"['texas', 'instruments', 'txn', 'rating', 'reiterated', 'by', 'royal', 'bank', 'of', 'canada', 'httpstcopwypetcfr']",Wed Jul 18 12:13:10 +0000 2018,OlympiaReport,TXN,Texas Instruments Incorporated,http://theolympiareport.com/?p=932222,False,5.5975
19923,1019557066086797300,"['royal', 'bank', 'of', 'canada', 'reaffirms', 'buy', 'rating', 'for', 'texas', 'instruments', 'txn', 'httpstcosnyadgtu']",Wed Jul 18 12:18:41 +0000 2018,WeekHerald,TXN,Texas Instruments Incorporated,http://weekherald.com/?p=2998025,False,5.7
19935,1019557369825714200,"['here', 'are', 'chip', 'stocks', 'that', 'sarge', 'likes', 'better', 'than', 'txn', 'market', 'recon', 'httpstcopbnejxzkxz']",Wed Jul 18 12:19:54 +0000 2018,jimcramer,TXN,Texas Instruments Incorporated,http://bit.ly/2NpFBBr,True,5.74
