,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
3224,1017399370084470800,"['spx', 'spy', 'stockmarket', 'ua', 'httpstcoagkirb']",Thu Jul 12 13:24:46 +0000 2018,esimong,UA,Under Armour,,False,4.24
3292,1017406972566560800,"['ua', 'uaa', 'l', 'next', 'weeks', 'calls', 'therock']",Thu Jul 12 13:54:59 +0000 2018,WizDayTrader,UA,Under Armour,,False,5.345000000000001
3513,1017437465169289200,"['os', 'ricos', 'faro', 'tudo', 'pelos', 'pobres', 'menos', 'descer', 'de', 'ua', 'cota', 'by', 'liev', 'tolstoi']",Thu Jul 12 15:56:09 +0000 2018,RwilliamBG,UA,Under Armour,,False,4.948
4129,1017545036462878700,"['ua', 'the', 'bear', 'pattern', 'is', 'confirmed', 'amp', 'a', 'short', 'signal', 'is', 'issued', 'httpstcofzrouski', 'short', 'level', 'target']",Thu Jul 12 23:03:36 +0000 2018,American_Bulls,UA,Under Armour,http://bit.ly/1RiXpu1,False,5.297142857142857
5071,1017787912186888200,"['deplaca', 'na', 'eleo', 'de', 'tite', 'o', 'fred', 'foi', 'convocado', 'leionado', 'e', 'aiu', 'da', 'concentrao', 'para', 'ainar', 'contrato', 'por', 'ua', 'ven', 'httpstcofcqybrmq']",Fri Jul 13 15:08:42 +0000 2018,NegroCBaixa,UA,Under Armour,https://twitter.com/i/web/status/1017787912186888192,False,4.856
5136,1017798126864871400,"['ua', 'open', 'interest', 'for', 'maturity', 'high', 'put', 'high', 'call', 'maxpain', 'options', 'httpstcovgmpqjqdm', 'httpstcoovkmnylxu']",Fri Jul 13 15:49:17 +0000 2018,optioncharts,UA,Under Armour,http://maximum-pain.com/options/open-interest/UA,False,5.9975000000000005
5180,1017804872656310300,"['nike', 'still', 'top', 'athletic', 'brand', 'of', 'women', 'httpstcolbrjfjiu', 'nke', 'addyy', 'ua', 'uaa']",Fri Jul 13 16:16:06 +0000 2018,RegularWIGuy,UA,Under Armour,https://seekingalpha.com/news/3368724-nike-still-top-athletic-brand-women?source=tweet,False,6.014285714285713
5281,1017821892990963700,"['uaa', 'ua', 'very', 'under', 'appreciated', 'in', 'athletic', 'retail', 'have', 'revenue', 'of', 'billion', 'per', 'quarter', 'but', 'right', 'now', 'has', 'inven', 'httpstcostqapirdsh']",Fri Jul 13 17:23:44 +0000 2018,AjayAjhooda,UA,Under Armour,https://twitter.com/i/web/status/1017821892990963713,False,5.822500000000002
5391,1017844193069330400,"['ua', 'sometimes', 'it', 'takes', 'time', 'for', 'a', 'chart', 'to', 'come', 'together', 'i', 'am', 'a', 'little', 'excited', 'to', 'see', 'such', 'a', 'spoton', 'cup', 'with', 'a', 'p', 'httpstcomxlfgz']",Fri Jul 13 18:52:20 +0000 2018,wayofthemaster7,UA,Under Armour,https://twitter.com/i/web/status/1017844193069330432,False,5.489565217391304
5396,1017845235571986400,"['ua', 'uaa', 'httpstcojcsstwnuli']",Fri Jul 13 18:56:29 +0000 2018,WizDayTrader,UA,Under Armour,,False,0.0
5447,1017857998264373200,"['bought', 'ua', 'today', 'sl', 'httpstcoehcssrqi']",Fri Jul 13 19:47:12 +0000 2018,tradertob,UA,Under Armour,,False,6.26
5552,1017880314222432300,"['ua', 'closing', 'strong', 'today']",Fri Jul 13 21:15:52 +0000 2018,swowllymammoth,UA,Under Armour,,False,5.746666666666666
6117,1018133685160349700,"['ua', 'taking', 'a', 'page', 'out', 'of', 'sfix', 'playbook', 'by', 'introducing', 'armourbox', 'smart', 'if', 'most', 'individual', 'brands', 'start', 'doing', 't', 'httpstcobfucerk']",Sat Jul 14 14:02:41 +0000 2018,CashFlow_Fool,UA,Under Armour,https://twitter.com/i/web/status/1018133685160349696,False,5.5
7549,1018437744077439000,"['rt', 'tradervincejp', 'missed', 'my', 'entry', 'on', 'ua', 'well', 'there', 'will', 'be', 'another', 'play']",Sun Jul 15 10:10:54 +0000 2018,BeefEnt,UA,Under Armour,,False,5.632727272727274
8380,1018557700404400100,"['ua', 'falling', 'out', 'of', 'flag', 'as', 'well', 'as', 'being', 'rejected', 'by', 'longer', 'term', 'resistance', 'from', 'feb', 'would', 'not', 'be', 'surprised', 'if', 'it', 'httpstcosrqrghyw']",Sun Jul 15 18:07:34 +0000 2018,itssean310,UA,Under Armour,https://twitter.com/i/web/status/1018557700404400131,False,5.013333333333333
9082,1018792507302244400,['ua'],Mon Jul 16 09:40:36 +0000 2018,likekeem,UA,Under Armour,,False,0.0
10134,1018870540856160300,"['bostonchaahhts', 'm', 'and', 'ua', 'note', 'earnings', 'next', 'thursday', 'uaa', 'but', 'most', 'of', 'the', 'group', 'doesnt', 'report', 'for', 'weeks', 'so', 'sho', 'httpstcoveuitaf']",Mon Jul 16 14:50:41 +0000 2018,ATMcharts,UA,Under Armour,https://twitter.com/i/web/status/1018870540856160259,False,5.281176470588236
10194,1018873735879807000,"['rt', 'atmcharts', 'bostonchaahhts', 'm', 'and', 'ua', 'note', 'earnings', 'next', 'thursday', 'uaa', 'but', 'most', 'of', 'the', 'group', 'doesnt', 'report', 'for', 'weeks', 'so', 'short', 'term', 'm']",Mon Jul 16 15:03:23 +0000 2018,sep_sal,UA,Under Armour,,False,5.218
