,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
17,1019729988017377300,"['white', 'house', 'struggles', 'to', 'contain', 'fallout', 'from', 'trumpputin', 'summit', 'httpstcontzachjibs', 'httpstcoflshaudrzs']",Wed Jul 18 23:45:49 +0000 2018,Reuters,UDR,UDR,https://reut.rs/2NrEv8t,True,5.666666666666667
253,1016304945941774300,"['at', 'your', 'am', 'et', 'daily', 'digest', 'of', 'what', 'large', 'amp', 'midcap', 'stocks', 'are', 'amp', 'the', 'most', 'in', 'the', 'premarket', 'httpstcoakpzecnr']",Mon Jul 09 12:55:55 +0000 2018,BrandonVanZee,UDR,UDR,https://twitter.com/i/web/status/1016304945941774336,False,5.3482352941176465
254,1016305077139599400,"['rt', 'brandonvanzee', 'at', 'your', 'am', 'et', 'daily', 'digest', 'of', 'what', 'large', 'amp', 'midcap', 'stocks', 'are', 'amp', 'the', 'most', 'in', 'the', 'premarket', 'hele', 'ko']",Mon Jul 09 12:56:27 +0000 2018,Market_Scholars,UDR,UDR,,False,5.303157894736842
259,1016306530881192000,"['rt', 'brandonvanzee', 'at', 'your', 'am', 'et', 'daily', 'digest', 'of', 'what', 'large', 'amp', 'midcap', 'stocks', 'are', 'amp', 'the', 'most', 'in', 'the', 'premarket', 'hele', 'ko']",Mon Jul 09 13:02:13 +0000 2018,MisterRayW,UDR,UDR,,False,5.303157894736842
273,1016306988374941700,"['rt', 'brandonvanzee', 'at', 'your', 'am', 'et', 'daily', 'digest', 'of', 'what', 'large', 'amp', 'midcap', 'stocks', 'are', 'amp', 'the', 'most', 'in', 'the', 'premarket', 'hele', 'ko']",Mon Jul 09 13:04:02 +0000 2018,kirtip56,UDR,UDR,,False,5.303157894736842
311,1016316842032365600,"['rt', 'brandonvanzee', 'at', 'your', 'am', 'et', 'daily', 'digest', 'of', 'what', 'large', 'amp', 'midcap', 'stocks', 'are', 'amp', 'the', 'most', 'in', 'the', 'premarket', 'hele', 'ko']",Mon Jul 09 13:43:12 +0000 2018,tleong_tat,UDR,UDR,,False,5.303157894736842
327,1016321618639908900,"['downside', 'momentum', 'alert', 'udr', 'udr', 'tradeideas', 'via', 'httpstcovsrobzxj', 'to', 'free', 'trading', 'room']",Mon Jul 09 14:02:10 +0000 2018,AlertTrade,UDR,UDR,http://AlertTrade.us,False,5.873333333333332
328,1016321621529956400,"['rt', 'alerttrade', 'downside', 'momentum', 'alert', 'udr', 'udr', 'tradeideas', 'via', 'httpstcovsrobzxj', 'to', 'free', 'trading', 'room']",Mon Jul 09 14:02:11 +0000 2018,tradnews_,UDR,UDR,http://AlertTrade.us,False,5.731428571428572
332,1016323145354096600,"['rt', 'brandonvanzee', 'at', 'your', 'am', 'et', 'daily', 'digest', 'of', 'what', 'large', 'amp', 'midcap', 'stocks', 'are', 'amp', 'the', 'most', 'in', 'the', 'premarket', 'hele', 'ko']",Mon Jul 09 14:08:14 +0000 2018,fred5068fred,UDR,UDR,,False,5.303157894736842
414,1016351291520544800,"['dividend', 'todayp', 'tdpfj', 'tdprs', 'tdprt', 'tdpry', 'tdprz', 'udr', 'umc', 'vz', 'wgl', 'free', 'stocks', 'app', 'httpstcosznrwp']",Mon Jul 09 16:00:05 +0000 2018,MITickWatcher,UDR,UDR,https://appsto.re/i6hH3LG,False,6.1049999999999995
435,1016357575888134100,"['rt', 'brandonvanzee', 'at', 'your', 'am', 'et', 'daily', 'digest', 'of', 'what', 'large', 'amp', 'midcap', 'stocks', 'are', 'amp', 'the', 'most', 'in', 'the', 'premarket', 'hele', 'ko']",Mon Jul 09 16:25:03 +0000 2018,tomnels52,UDR,UDR,,False,5.303157894736842
437,1016357835096182800,"['rt', 'brandonvanzee', 'at', 'your', 'am', 'et', 'daily', 'digest', 'of', 'what', 'large', 'amp', 'midcap', 'stocks', 'are', 'amp', 'the', 'most', 'in', 'the', 'premarket', 'hele', 'ko']",Mon Jul 09 16:26:05 +0000 2018,pennstrock1023,UDR,UDR,,False,5.303157894736842
438,1016357897331146800,"['rt', 'brandonvanzee', 'at', 'your', 'am', 'et', 'daily', 'digest', 'of', 'what', 'large', 'amp', 'midcap', 'stocks', 'are', 'amp', 'the', 'most', 'in', 'the', 'premarket', 'hele', 'ko']",Mon Jul 09 16:26:20 +0000 2018,FredCartaya,UDR,UDR,,False,5.303157894736842
494,1016380466889404400,"['rt', 'brandonvanzee', 'at', 'your', 'am', 'et', 'daily', 'digest', 'of', 'what', 'large', 'amp', 'midcap', 'stocks', 'are', 'amp', 'the', 'most', 'in', 'the', 'premarket', 'hele', 'ko']",Mon Jul 09 17:56:01 +0000 2018,JEskrich,UDR,UDR,,False,5.303157894736842
567,1016412592074645500,"['rt', 'brandonvanzee', 'at', 'your', 'am', 'et', 'daily', 'digest', 'of', 'what', 'large', 'amp', 'midcap', 'stocks', 'are', 'amp', 'the', 'most', 'in', 'the', 'premarket', 'hele', 'ko']",Mon Jul 09 20:03:40 +0000 2018,sunita_giyanani,UDR,UDR,,False,5.303157894736842
620,1016435352003907600,"['rt', 'brandonvanzee', 'at', 'your', 'am', 'et', 'daily', 'digest', 'of', 'what', 'large', 'amp', 'midcap', 'stocks', 'are', 'amp', 'the', 'most', 'in', 'the', 'premarket', 'hele', 'ko']",Mon Jul 09 21:34:07 +0000 2018,drgiyanani,UDR,UDR,,False,5.303157894736842
633,1016438057229324300,"['scan', 'results', 'macd', 'bearish', 'signal', 'line', 'cross', 'today', 'gci', 'atnx', 'rgld', 'udr', 'pep', 'atu', 'els', 'aiv', 'dre', 'reg', 'httpstcoxfisgi']",Mon Jul 09 21:44:52 +0000 2018,SwingTradeBot,UDR,UDR,https://swingtradebot.com/events/65/equities?selected_date=2018-07-09,False,5.353333333333333
713,1016482308214452200,"['udr', 'inc', 'udr', 'receives', 'consensus', 'rating', 'of', 'hold', 'from', 'analysts', 'httpstcopbwsaltgw']",Tue Jul 10 00:40:42 +0000 2018,ledgerzette,UDR,UDR,http://ledgergazette.com/?p=2815929,False,5.411250000000001
723,1016489740122640400,"['rt', 'brandonvanzee', 'at', 'your', 'am', 'et', 'daily', 'digest', 'of', 'what', 'large', 'amp', 'midcap', 'stocks', 'are', 'amp', 'the', 'most', 'in', 'the', 'premarket', 'hele', 'ko']",Tue Jul 10 01:10:14 +0000 2018,InvestoolsLee,UDR,UDR,,False,5.303157894736842
736,1016499006254526500,"['udr', 'max', 'pain', 'maturity', 'maxpain', 'options', 'httpstcodvzbaic', 'httpstcoklmqirkmck']",Tue Jul 10 01:47:03 +0000 2018,optioncharts,UDR,UDR,http://maximum-pain.com/options/max-pain/UDR,False,4.680000000000001
745,1016504336514416600,"['rt', 'brandonvanzee', 'at', 'your', 'am', 'et', 'daily', 'digest', 'of', 'what', 'large', 'amp', 'midcap', 'stocks', 'are', 'amp', 'the', 'most', 'in', 'the', 'premarket', 'hele', 'ko']",Tue Jul 10 02:08:14 +0000 2018,IlinInvest,UDR,UDR,,False,5.303157894736842
1013,1016659810044055600,"['hot', 'stock', 'under', 'consideration', 'udr', 'inc', 'nyse', 'udr', 'httpstcolmxfeeox', 'udr', 'stocks', 'stockmarket']",Tue Jul 10 12:26:01 +0000 2018,StocksPredictr,UDR,UDR,http://alphabetastock.com/2018/03/15/hot-stock-under-consideration-udr-inc-nyse-udr/,False,5.266666666666667
1282,1016728824606810100,"['uniteddominionrealtytrust', 'udr', 'bidaskscore', 'is', 'downgraded', 'to', 'held']",Tue Jul 10 17:00:16 +0000 2018,BACScoreChanges,UDR,UDR,,False,5.146666666666667
1354,1016748618609561600,"['udr', 'inc', 'udr', 'has', 'analysts', 'on', 'the', 'bullish', 'side', 'this', 'week', 'httpstcoswbneiue']",Tue Jul 10 18:18:55 +0000 2018,The_CasualSmart,UDR,UDR,https://thecasualsmart.com/2018/07/10/udr-inc-nyseudr-has-analysts-on-the-bullish-side-this-week/,False,5.0874999999999995
1358,1016748751266943000,"['analysts', 'are', 'on', 'the', 'bearish', 'side', 'about', 'udr', 'inc', 'udr', 'this', 'week', 'httpstcovcoxkuwy']",Tue Jul 10 18:19:27 +0000 2018,whatsonthorold2,UDR,UDR,https://www.whatsonthorold.com/2018/07/10/analysts-are-on-the-bearish-side-about-udr-inc-nyseudr-this-week/,False,5.093333333333334
1359,1016748944066535400,"['how', 'analysts', 'feel', 'about', 'udr', 'inc', 'udr', 'httpstcoospvozy']",Tue Jul 10 18:20:13 +0000 2018,The_CasualSmart,UDR,UDR,https://floridarecorder.com/2018/07/10/how-analysts-feel-about-udr-inc-nyseudr/,False,5.092
1360,1016749046386561000,"['can', 'analysts', 'adopt', 'a', 'bullish', 'outlook', 'for', 'udr', 'inc', 'udr', 'httpstcoggjkmm']",Tue Jul 10 18:20:37 +0000 2018,reurope_stock,UDR,UDR,https://reurope.com/2018/07/10/can-analysts-adopt-a-bullish-outlook-for-udr-inc-nyseudr/,False,5.44
1361,1016749125734490100,"['how', 'analysts', 'feel', 'about', 'udr', 'inc', 'udr', 'httpstcoonaosazzye']",Tue Jul 10 18:20:56 +0000 2018,bibeypost_stock,UDR,UDR,https://www.bibeypost.com/how-analysts-feel-about-udr-inc-nyseudr/,False,5.092
1819,1016988455207952400,"['udr', 'high', 'oi', 'range', 'is', 'to', 'for', 'option', 'expiration', 'maxpain', 'options', 'httpstcofkngwkhrh', 'httpstcoectivuqj']",Wed Jul 11 10:11:57 +0000 2018,optioncharts,UDR,UDR,http://maximum-pain.com/options/open-interest/UDR,False,5.5775
2978,1017343711611641900,"['brokerages', 'set', 'udr', 'inc', 'udr', 'pt', 'at', 'httpstcozenqncpbox']",Thu Jul 12 09:43:36 +0000 2018,TheMarketsDaily,UDR,UDR,http://zpr.io/6ak69,False,5.025
5563,1017884719348895700,"['udr', 'udr', 'inc', 'document', 'insider', 'ownership', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Fri Jul 13 21:33:23 +0000 2018,Allstocknews,UDR,UDR,,False,5.5425
