,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
781,1016516097812713500,"['unm', 'open', 'interest', 'for', 'maturity', 'high', 'put', 'high', 'call', 'maxpain', 'options', 'httpstcojqbyenriki', 'httpstcoyaqpqsck']",Tue Jul 10 02:54:58 +0000 2018,optioncharts,UNM,Unum Group,http://maximum-pain.com/options/open-interest/UNM,False,5.9975000000000005
784,1016517378732167200,"['sellsignal', 'detected', 'for', 'stocks', 'syk', 'grmn', 'symc', 'jblu', 'nbl', 'mro', 'rig', 'cop', 'luv', 'unm', 'sbux', 'lm', 'dlph']",Tue Jul 10 03:00:03 +0000 2018,holycharts,UNM,Unum Group,,False,5.496
885,1016609142608449500,"['barclays', 'cuts', 'unum', 'group', 'unm', 'price', 'target', 'to', 'httpstcoswyodwri']",Tue Jul 10 09:04:41 +0000 2018,dispatchtribune,UNM,Unum Group,http://dispatchtribunal.com/?p=2044099,False,4.98
933,1016632058771370000,"['unum', 'group', 'unm', 'price', 'target', 'lowered', 'to', 'at', 'barclays', 'httpstcoemkucqj']",Tue Jul 10 10:35:45 +0000 2018,MareaInformativ,UNM,Unum Group,http://www.mareainformativa.com/?p=414591,False,5.232000000000001
935,1016633088112234500,"['unum', 'group', 'unm', 'price', 'target', 'lowered', 'to', 'at', 'barclays', 'httpstcooyznyqahc']",Tue Jul 10 10:39:50 +0000 2018,EnterpriseLeade,UNM,Unum Group,http://theenterpriseleader.com/?p=976723,False,5.232000000000001
1017,1016660781088362500,"['eps', 'for', 'unum', 'group', 'unm', 'expected', 'at', 'httpstcookjokhpu']",Tue Jul 10 12:29:53 +0000 2018,The_CasualSmart,UNM,Unum Group,https://thecasualsmart.com/2018/07/10/eps-for-unum-group-unm-expected-at-1-27/,False,5.445
1019,1016660937032568800,"['eps', 'for', 'unum', 'group', 'unm', 'expected', 'at', 'httpstcoxxxmyvp']",Tue Jul 10 12:30:30 +0000 2018,whatsonthorold2,UNM,Unum Group,https://www.whatsonthorold.com/2018/07/10/eps-for-unum-group-unm-expected-at-1-27/,False,5.445
1021,1016661043022622700,"['eps', 'for', 'unum', 'group', 'unm', 'expected', 'at', 'httpstcocbvfumfc']",Tue Jul 10 12:30:55 +0000 2018,The_CasualSmart,UNM,Unum Group,https://floridarecorder.com/2018/07/10/eps-for-unum-group-unm-expected-at-1-27/,False,5.445
1024,1016661143551643600,"['unum', 'group', 'unm', 'eps', 'estimated', 'at', 'httpstcojlbxfbcv']",Tue Jul 10 12:31:19 +0000 2018,reurope_stock,UNM,Unum Group,https://reurope.com/2018/07/10/unum-group-unm-eps-estimated-at-1-27-2/,False,5.466666666666666
1025,1016661221116973000,"['analysts', 'see', 'eps', 'for', 'unum', 'group', 'unm', 'httpstcojjxaqpzgy']",Tue Jul 10 12:31:38 +0000 2018,bibeypost_stock,UNM,Unum Group,https://www.bibeypost.com/analysts-see-1-27-eps-for-unum-group-unm/,False,5.555
1581,1016809567412420600,"['unm', 'max', 'pain', 'maturity', 'maxpain', 'options', 'httpstcokubrieyp', 'httpstcopkieuybf']",Tue Jul 10 22:21:06 +0000 2018,optioncharts,UNM,Unum Group,http://maximum-pain.com/options/max-pain/UNM,False,4.680000000000001
1633,1016840752385744900,"['unum', 'group', 'unm', 'given', 'average', 'rating', 'of', 'hold', 'by', 'brokerages', 'httpstcoicofvtrctk']",Wed Jul 11 00:25:02 +0000 2018,ThisLincolnian,UNM,Unum Group,http://thelincolnianonline.com/?p=2175191,False,5.417142857142857
1737,1016929303047692300,"['unum', 'group', 'unm', 'price', 'target', 'lowered', 'to', 'at', 'barclays', 'httpstcojhpplxdxym']",Wed Jul 11 06:16:54 +0000 2018,TheMarketsDaily,UNM,Unum Group,http://zpr.io/6aqfW,False,5.232000000000001
2344,1017109094891753500,"['top', 'notional', 'uoa', 'bearish', 'pm', 'est', 'spx', 'gpro', 'post', 'nflx', 'six', 'htz', 'tsla', 'kr', 'unm', 'chk', 'httpstcodvvxkeud']",Wed Jul 11 18:11:19 +0000 2018,androsForm,UNM,Unum Group,,False,5.587999999999999
2443,1017139481739235300,"['wednesday', 'buy', 'lines', 'uri', 'unm', 'jd', 'gpro', 'wfc', 'hal', 'huya', 'tpx', 'cpb', 'csco', 'ichr', 'pah', 'kors', 'amd', 'thc', 'c', 'nxpi', 'ual', 'httpstcovlsbfock']",Wed Jul 11 20:12:04 +0000 2018,WallStJesus,UNM,Unum Group,https://twitter.com/i/web/status/1017139481739235328,False,5.292
2458,1017140980859002900,"['short', 'sale', 'volume', 'not', 'short', 'interest', 'for', 'afl', 'on', 'is', 'httpstconwrqmalv', 'unm', 'ci', 'pfg', 'aiz']",Wed Jul 11 20:18:02 +0000 2018,shortvolumes,UNM,Unum Group,http://shortvolumes.com/?t=AFL,False,5.218999999999999
2590,1017186920345034800,"['rt', 'androsform', 'top', 'notional', 'uoa', 'bearish', 'pm', 'est', 'spx', 'gpro', 'post', 'nflx', 'six', 'htz', 'tsla', 'kr', 'unm', 'chk', 'httpstcodvvxkeud']",Wed Jul 11 23:20:34 +0000 2018,mandybicini6,UNM,Unum Group,,False,5.47
2686,1017223598791118800,"['rt', 'wallstjesus', 'wednesday', 'buy', 'lines', 'uri', 'unm', 'jd', 'gpro', 'wfc', 'hal', 'huya', 'tpx', 'cpb', 'csco', 'ichr', 'pah', 'kors', 'amd', 'thc', 'c', 'nxpi', 'ual', 'dis', 'nx']",Thu Jul 12 01:46:19 +0000 2018,optionjesus,UNM,Unum Group,,False,5.074285714285714
2749,1017250948819963900,"['zacks', 'brokerages', 'expect', 'unum', 'group', 'unm', 'will', 'post', 'quarterly', 'sales', 'of', 'billion', 'httpstcoganubtvor']",Thu Jul 12 03:35:00 +0000 2018,ConsumerFeed,UNM,Unum Group,http://zpr.io/6aCic,False,5.83
2877,1017313542566006800,"['barclays', 'trims', 'unum', 'group', 'unm', 'target', 'price', 'to', 'httpstcofsfmsxejjs']",Thu Jul 12 07:43:43 +0000 2018,ThisLincolnian,UNM,Unum Group,http://thelincolnianonline.com/?p=2178137,False,5.315
3127,1017386990667423700,"['big', 'put', 'activity', 'httpstcoqlwity', 'thc', 'gogo', 'ntri', 'tmus', 'chkp', 'lila', 'glw', 'amtd', 'axl', 'ir', 'logm', 'ichr', 'mtdr', 'httpstcodbdglqift']",Thu Jul 12 12:35:35 +0000 2018,DailyStockPlays,UNM,Unum Group,http://www.dailystockplays.com/Unusual-Put-Option-Activity-Today-2018-07-11.html,False,5.614999999999999
3218,1017398484217892900,"['good', 'morning', 'traders', 'below', 'are', 'some', 'oi', 'changes', 'from', 'yesterday', 'sorted', 'by', 'contract', 'and', 'of', 'trades', 'on', 'ask', 'calls', 'httpstcopmeehxyv']",Thu Jul 12 13:21:15 +0000 2018,OptionsMamba,UNM,Unum Group,https://twitter.com/i/web/status/1017398484217892869,False,5.341176470588235
3434,1017427217775759400,"['guyasuta', 'investment', 'advisors', 'decreased', 'praxair', 'px', 'holding', 'as', 'market', 'value', 'rose', 'unum', 'group', 'unm', 'holder', 'at', 'bancorp', 'httpstcohsmhlghkwx']",Thu Jul 12 15:15:26 +0000 2018,The_CasualSmart,UNM,Unum Group,https://twitter.com/i/web/status/1017427217775759360,False,5.671111111111111
