,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
10044,1018863431535943700,"['ubs', 'cambia', 'su', 'recomendacin', 'de', 'ups', 'de', 'neutral', 'a', 'compra', 'dondeinvertir']",Mon Jul 16 14:22:26 +0000 2018,Quant_Dynamics,UPS,United Parcel Service,,False,5.173333333333333
10064,1018865279663665200,"['on', 'the', 'fly', 'top', 'five', 'analyst', 'upgrades', 'wfc', 'vfc', 'ups', 'alv', 'sar', 'httpstcopkbzmbkam']",Mon Jul 16 14:29:46 +0000 2018,theflynews,UPS,United Parcel Service,http://dlvr.it/QbkTl1,False,5.785714285714286
10095,1018867252764917800,"['thinking', 'about', 'buying', 'stock', 'in', 'bac', 'cei', 'nflx', 'pixy', 'or', 'ups', 'httpstcokaqcwdfj']",Mon Jul 16 14:37:37 +0000 2018,hotpennyalerts,UPS,United Parcel Service,http://crweworld.com/article/news-provided-by-pr-newswire/737464/thinking-about-buying-stock-in-bank-of-america-camber-energy-netflix-shiftpixy-inc-or-united-parcel-service,False,5.742857142857143
10149,1018871429209698300,"['theflynews', 'ups', 'united', 'parcel', 'service', 'notable', 'market', 'movement', 'up', 'million', 'gain', 'httpstcoayglath']",Mon Jul 16 14:54:13 +0000 2018,42Stocks,UPS,United Parcel Service,https://twitter.com/i/web/status/1018871429209698304,False,6.4425
10150,1018871433840164900,"['theflynews', 'ups', 'united', 'parcel', 'service', 'notable', 'market', 'movement', 'up', 'million', 'gain', 'httpstcofilwnefyy']",Mon Jul 16 14:54:14 +0000 2018,42Stocks,UPS,United Parcel Service,https://twitter.com/i/web/status/1018871433840164865,False,6.4425
10151,1018871435631190000,"['rt', 'theflynews', 'on', 'the', 'fly', 'top', 'five', 'analyst', 'upgrades', 'wfc', 'vfc', 'ups', 'alv', 'sar', 'httpstcopkbzmbkam']",Mon Jul 16 14:54:14 +0000 2018,42Stocks,UPS,United Parcel Service,http://dlvr.it/QbkTl1,False,5.6725
10169,1018872758976081900,"['benzingas', 'top', 'upgrades', 'downgrades', 'for', 'july', 'nflx', 'vfc', 'wfc', 'ups', 'dri', 'has', 'vcel', 'ta', 'mogo', 'httpstcookyzhcqqf']",Mon Jul 16 14:59:30 +0000 2018,TopStockAlerts1,UPS,United Parcel Service,https://m.benzinga.com/article/12023316,False,5.663333333333333
10184,1018873086416969700,"['finalists', 'compete', 'for', 'prize', 'in', 'small', 'biz', 'salute', 'pitch', 'off', 'contest', 'ups', 'httpstcoxathzoyo']",Mon Jul 16 15:00:48 +0000 2018,GNWLive,UPS,United Parcel Service,http://bit.ly/2mjSjWV,False,5.506
10219,1018874709172281300,"['ups', 'finalists', 'compete', 'for', 'prize', 'in', 'small', 'biz', 'salute', 'pitch', 'off', 'contest', 'httpstcodgqxaxtj']",Mon Jul 16 15:07:15 +0000 2018,stockelite,UPS,United Parcel Service,http://bit.ly/2NjWnlr,False,5.506
10231,1018875464352518100,"['rt', 'brandonvanzee', 'at', 'your', 'am', 'et', 'daily', 'digest', 'of', 'what', 'large', 'amp', 'midcap', 'stocks', 'are', 'amp', 'the', 'most', 'in', 'the', 'premarket', 'arnc', 'jb']",Mon Jul 16 15:10:15 +0000 2018,fred5068fred,UPS,United Parcel Service,,False,5.310526315789473
