,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
9081,1018792429674086400,"['rt', 'arnabch', 'semicvet', 'vladimerantonov', 'montynishimura', 'brindusab', 'hakflak', 'bperrionni', 'ritacobix', 'amparofashion', 'papryka', 'pasqualet']",Mon Jul 16 09:40:18 +0000 2018,ejlazar,UTX,United Technologies Corporation,,False,4.88
9083,1018792533445443600,"['rt', 'arnabch', 'semicvet', 'vladimerantonov', 'montynishimura', 'brindusab', 'hakflak', 'bperrionni', 'ritacobix', 'amparofashion', 'papryka', 'pasqualet']",Mon Jul 16 09:40:42 +0000 2018,imworksofficial,UTX,United Technologies Corporation,,False,4.88
9290,1018812912390103000,"['united', 'technologies', 'utx', 'lowered', 'to', 'hold', 'at', 'zacks', 'investment', 'research', 'httpstcoaeyijuooop']",Mon Jul 16 11:01:41 +0000 2018,dakotafinancial,UTX,United Technologies Corporation,http://dakotafinancialnews.com/?p=320706,False,5.934285714285714
9587,1018837742405505000,"['todays', 'top', 'trade', 'ideas', 'jbht', 'vne', 'iq', 'arnc', 'clls', 'glmd', 'dwt', 'avgo', 'tnxp', 'ups', 'wwe', 'axonfas', 'cmg', 'abde', 'eem', 'utx']",Mon Jul 16 12:40:21 +0000 2018,royalhousofrock,UTX,United Technologies Corporation,,False,6.384
9597,1018838423665332200,"['rt', 'smartmoneyact', 'notable', 'sales', 'amp', 'spreads', 'from', 'friday', 'sr', 'stock', 'replacement', 'green', 'lines', 'bought', 'salmon', 'lines', 'sold', 'sq', 'skx']",Mon Jul 16 12:43:03 +0000 2018,usasingh1,UTX,United Technologies Corporation,,False,5.631428571428572
9762,1018849574981701600,"['utx', 'httpstcodkpcatjrq']",Mon Jul 16 13:27:22 +0000 2018,Accurate_Trader,UTX,United Technologies Corporation,,False,0.0
9773,1018850311438569500,"['united', 'technologies', 'utx', 'market', 'alert', 'week', 'high', 'httpstcobzgrxkbf']",Mon Jul 16 13:30:18 +0000 2018,iECONOMICS,UTX,United Technologies Corporation,https://ieconomics.com/united-technologies,False,6.16
9852,1018854873364824000,"['rt', 'arnabch', 'semicvet', 'vladimerantonov', 'montynishimura', 'brindusab', 'hakflak', 'bperrionni', 'ritacobix', 'amparofashion', 'papryka', 'pasqualet']",Mon Jul 16 13:48:25 +0000 2018,idigmines,UTX,United Technologies Corporation,,False,4.88
9947,1018858360584720400,"['were', 'analysts', 'bearish', 'united', 'technologies', 'corporation', 'nyseutx', 'this', 'week', 'httpstcoyvavghahy', 'utx', 'stocks', 'stockmarket']",Mon Jul 16 14:02:17 +0000 2018,StockScoops,UTX,United Technologies Corporation,https://friscofastball.com/were-analysts-bearish-united-technologies-corporation-nyseutx-this-week/,False,5.515
9990,1018861119778193400,"['united', 'technologies', 'corporation', 'heavy', 'volume', 'for', 'united', 'technologies', 'corporation', 'stock', 'utx', 'httpstcoempbwultt']",Mon Jul 16 14:13:15 +0000 2018,MScreener,UTX,United Technologies Corporation,https://twitter.com/i/web/status/1018861119778193416,False,5.837999999999999
10073,1018865515173998600,"['utx', 'united', 'technologies', 'unveils', 'alldigital', 'innovation', 'showcase', 'at', 'farnborough', 'airshow', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Mon Jul 16 14:30:43 +0000 2018,Allstocknews,UTX,United Technologies Corporation,,False,5.805
10157,1018871741924429800,"['what', 'will', 'stocks', 'do', 'this', 'weekusing', 'the', 'option', 'trades', 'from', 'httpstcobyfgdyjgh', 'to', 'navigate', 'and', 'make', 'huge', 'pro', 'httpstcolmmmuxrihh']",Mon Jul 16 14:55:27 +0000 2018,realmike8821,UTX,United Technologies Corporation,http://Optionsbypros.com,False,5.4861538461538455
10267,1018878265551982600,"['made', 'k', 'this', 'morning', 'on', 'my', 'option', 'trade', 'from', 'httpstcollpvlkfqn', 'yasss', 'utx', 'srpt', 'sedg', 'nue', 'asml', 'nsc', 'msft', 'httpstcoetrunja']",Mon Jul 16 15:21:23 +0000 2018,JaredPickens2,UTX,United Technologies Corporation,http://Optionsbypros.com,False,5.7333333333333325
10291,1018879792832229400,"['utcaerosystems', 'utx', 'books', 'm', 'in', 'contracts', 'to', 'update', 'airnatlguard', 'usnavy', 'aircraft', 'propeller', 'systems', 'govconh', 'httpstcogctonzrghz']",Mon Jul 16 15:27:27 +0000 2018,GovConWire,UTX,United Technologies Corporation,https://twitter.com/i/web/status/1018879792832229376,False,5.6425
10448,1018887239366074400,"['lmt', 'noc', 'utx', 'rtn', 'ba', 'lockheed', 'to', 'net', 'this', 'much', 'from', 'biggestever', 'f', 'production', 'deal', 'httpstcoizgpvuml']",Mon Jul 16 15:57:02 +0000 2018,ProTradersNews,UTX,United Technologies Corporation,https://www.StockNewsWires.com/lmt-noc-utx-rtn-ba-lockheed-to-net-this-much-from-biggest-ever-f-35-production-deal/,False,5.397777777777779
10496,1018889911858942000,"['hemp', 'inc', 'commends', 'us', 'senate', 'for', 'passing', 'farm', 'bill', 'with', 'hemp', 'legalization', 'after', 'decades', 'of', 'prohibition', 'hemp', 'httpstcojpmyufyg']",Mon Jul 16 16:07:39 +0000 2018,VegasTours,UTX,United Technologies Corporation,https://twitter.com/i/web/status/1018889911858941952,False,5.159999999999999
10626,1018897573141270500,"['this', 'algos', 'has', 'sold', 'the', 'equity', 'longs', 'sold', 'mu', 'buy', 'profit', 'of', 'volq', 'spx', 'spy', 'dia', 'httpstcokiheiiesk']",Mon Jul 16 16:38:06 +0000 2018,VolatilityQ,UTX,United Technologies Corporation,https://twitter.com/i/web/status/1018897573141270528,False,5.4433333333333325
10628,1018897575959777300,"['sold', 'anf', 'buy', 'profit', 'of', 'volq', 'free', 'trading', 'signals', 'spx', 'spy', 'dia', 'djia', 'faamg', 'fb', 'httpstcogrptlkapn']",Mon Jul 16 16:38:06 +0000 2018,VolatilityQ,UTX,United Technologies Corporation,https://twitter.com/i/web/status/1018897575959777281,False,5.8740000000000006
10629,1018897579378204700,"['sold', 'syf', 'buy', 'loss', 'of', 'i', 'will', 'always', 'post', 'my', 'losers', 'volq', 'spx', 'spy', 'dia', 'djia', 'faamg', 'httpstcoawzvfqgke']",Mon Jul 16 16:38:07 +0000 2018,VolatilityQ,UTX,United Technologies Corporation,https://twitter.com/i/web/status/1018897579378204672,False,5.155
10631,1018897582410616800,"['sold', 'axp', 'buy', 'profit', 'of', 'volq', 'free', 'trading', 'signals', 'spx', 'spy', 'dia', 'djia', 'faamg', 'fb', 'httpstcomrztihsbt']",Mon Jul 16 16:38:08 +0000 2018,VolatilityQ,UTX,United Technologies Corporation,https://twitter.com/i/web/status/1018897582410616833,False,5.8740000000000006
