,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
19512,1019542840588881900,"['httpstcoyqifyos', 'v', 'nvda']",Wed Jul 18 11:22:10 +0000 2018,Myke_Money,V,Visa Inc.,https://reedreports.com/2018/07/17/visa-nvidia-update-07-17-2018/,False,4.66
20057,1019560728464973800,"['visa', 'v', 'to', 'issue', 'quarterly', 'dividend', 'of', 'httpstcobeexpbynj']",Wed Jul 18 12:33:14 +0000 2018,ConsumerFeed,V,Visa Inc.,http://zpr.io/6XeC2,False,4.996666666666667
20724,1019575685197828100,"['visa', 'v', 'market', 'alert', 'alltime', 'high', 'httpstcooqqmgwjcsw']",Wed Jul 18 13:32:40 +0000 2018,iECONOMICS,V,Visa Inc.,https://ieconomics.com/visa,False,5.715000000000001
20940,1019579132810842100,"['went', 'long', 'v', 'via', 'sept', 's', 'calls']",Wed Jul 18 13:46:22 +0000 2018,batstocks2113,V,Visa Inc.,,False,5.068571428571429
20980,1019579909495246800,"['very', 'early', 'but', 'keeping', 'an', 'eye', 'on', 'v', 'and', 'gww']",Wed Jul 18 13:49:27 +0000 2018,sssvenky,V,Visa Inc.,,False,5.393333333333334
21305,1019586422980870100,"['visa', 'v', 'price', 'target', 'raised', 'to', 'at', 'oppenheimer', 'httpstcovszbslteij']",Wed Jul 18 14:15:20 +0000 2018,ledgerzette,V,Visa Inc.,http://ledgergazette.com/?p=2834272,False,5.243333333333333
21324,1019586926842654700,"['visa', 'v', 'research', 'coverage', 'started', 'at', 'wolfe', 'research', 'httpstcowtmlium']",Wed Jul 18 14:17:21 +0000 2018,dakotafinancial,V,Visa Inc.,http://dakotafinancialnews.com/?p=326091,False,5.69
21695,1019595874828156900,"['week', 'high', 'alert', 'trading', 'todays', 'movement', 'in', 'visav', 'httpstcouahpflwkq', 'httpstcormetpvhph']",Wed Jul 18 14:52:54 +0000 2018,QuantchaIdeas,V,Visa Inc.,http://ideas.quantcha.com/2018/07/18/52-week-high-alert-trading-todays-movement-in-visa-v-2/,False,5.768571428571428
21715,1019596334339272700,"['swimmingly', 'vista', 'partners', 'free', 'weekly', 'market', 'update', 'stay', 'informed', 'stay', 'competitive', 'join', 'us', 'at', 'vista', 'par', 'httpstcortamgbqerg']",Wed Jul 18 14:54:43 +0000 2018,VistaPResearch,V,Visa Inc.,https://twitter.com/i/web/status/1019596334339272705,False,5.968000000000002
21820,1019598117434425300,"['v', 'visa', 'up', 'up', 'up', 'httpstcofexupgg']",Wed Jul 18 15:01:49 +0000 2018,financialway,V,Visa Inc.,,False,5.7700000000000005
22036,1019603294220582900,"['visa', 'inc', 'the', 'stock', 'is', 'testing', 'its', 'highs', 'v', 'httpstcoqcetfqhs', 'httpstcojlhtibgie']",Wed Jul 18 15:22:23 +0000 2018,MScreener,V,Visa Inc.,http://www.4-traders.com//VISA-INC-2277468/,False,5.025714285714287
22090,1019604253541793800,"['v', 'visa', 'up', 'up', 'httpstcofxlrfdhfn']",Wed Jul 18 15:26:12 +0000 2018,financialway,V,Visa Inc.,,False,5.646666666666667
22107,1019604697894793200,"['july', 'wednesday', 'v', 'high', 'was', 'and', 'hit', 'bullish', 'target']",Wed Jul 18 15:27:57 +0000 2018,ericdavis221,V,Visa Inc.,,False,5.302499999999999
22540,1019613841431449600,"['traders', 'buy', 'visa', 'v', 'on', 'weakness', 'httpstcoalgmrmlz']",Wed Jul 18 16:04:17 +0000 2018,OlympiaReport,V,Visa Inc.,http://theolympiareport.com/?p=932714,False,5.004
22759,1019617843372068900,"['visa', 'v', 'given', 'new', 'price', 'target', 'at', 'bank', 'of', 'america', 'httpstcobymcxvore']",Wed Jul 18 16:20:12 +0000 2018,TheMarketsDaily,V,Visa Inc.,http://zpr.io/6X4Wu,False,5.566666666666666
23044,1019624487371792400,"['rt', 'stockscoops', 'visa', 'inc', 'v', 'revamps', 'its', 'position', 'for', 'performance', 'measures', 'httpstcogzbuaphttv', 'v', 'stocks', 'stockmarket']",Wed Jul 18 16:46:36 +0000 2018,ImRichMacklin,V,Visa Inc.,http://www.stockmarketstop.com/visa-inc-v-revamps-its-position-for-performance-measures/8755162/,False,5.208
23173,1019627296670519300,"['v', 'sep', 'calls', 'up', 'to', 'x', 'on', 'the', 'day']",Wed Jul 18 16:57:45 +0000 2018,OptionsHawk,V,Visa Inc.,,False,5.3625
23385,1019631945813241900,"['traders', 'buy', 'shares', 'of', 'visa', 'v', 'on', 'weakness', 'httpstcootjmpzvqhd']",Wed Jul 18 17:16:14 +0000 2018,WeekHerald,V,Visa Inc.,http://weekherald.com/?p=2998752,False,5.234285714285714
23550,1019635214153408500,"['visa', 'v', 'hits', 'new', 'week', 'high', 'after', 'dividend', 'announcement', 'httpstcozizhoprg']",Wed Jul 18 17:29:13 +0000 2018,dispatchtribune,V,Visa Inc.,http://dispatchtribunal.com/?p=2062173,False,5.5675
23662,1019637761190645800,"['v', 'jul', 'calls']",Wed Jul 18 17:39:20 +0000 2018,NickPoulopoulos,V,Visa Inc.,,False,5.04
24002,1019646171197739000,"['malibuprivate', 'v', 'doesnt', 'disappoint']",Wed Jul 18 18:12:45 +0000 2018,K89Andrew,V,Visa Inc.,,False,4.28
24056,1019647680715386900,"['visa', 'v', 'sets', 'new', 'week', 'high', 'after', 'dividend', 'announcement', 'httpstcozdcmvfq']",Wed Jul 18 18:18:45 +0000 2018,EnterpriseLeade,V,Visa Inc.,http://theenterpriseleader.com/?p=995531,False,5.58
24474,1019657224166232000,"['recent', 'v', 'technical', 'alerts', 'bullish', 'setup', 'plus', 'more', 'alerts', 'httpstcokuxzweaf']",Wed Jul 18 18:56:41 +0000 2018,SwingTradeBot,V,Visa Inc.,https://swingtradebot.com/equities/V,False,5.573333333333333
24480,1019657358539182100,"['hello', 'httpstcoikisevixy', 'subscribers', 'we', 'just', 'hit', 'our', 'first', 'target', 'on', 'v', 'up', 'i', 'dont', 'have', 'an', 'eem', 'on', 'this', 'httpstcowvfapsemn']",Wed Jul 18 18:57:13 +0000 2018,PeteGarner,V,Visa Inc.,http://www.stocktradingearnings.com,False,5.577500000000001
24533,1019658599554052100,"['update', 'for', 'v', 'httpstcoikisevixy', 'httpstcoipmsbtopj']",Wed Jul 18 19:02:09 +0000 2018,PeteGarner,V,Visa Inc.,http://www.stocktradingearnings.com,False,5.2
24547,1019658827992477700,"['we', 'calculated', 'day', 'expected', 'return', 'of', 'v', 'for', 'you', 'httpstcokgpktcaj']",Wed Jul 18 19:03:03 +0000 2018,1MinuteStock,V,Visa Inc.,https://unicornbay.com/t/V.US?utm_medium=tweet&utm_campaign=expreturn&utm_source=twitter,False,5.56
24663,1019660936339120100,"['rt', 'vistapresearch', 'swimmingly', 'vista', 'partners', 'free', 'weekly', 'market', 'update', 'stay', 'informed', 'stay', 'competitive', 'join', 'us', 'at', 'vista', 'partner']",Wed Jul 18 19:11:26 +0000 2018,VistaPResearch,V,Visa Inc.,,False,6.0062500000000005
24862,1019665619409559600,"['do', 'you', 'know', 'that', 'wallstreet', 'price', 'for', 'v', 'is', 'httpstcodqnzopdsj']",Wed Jul 18 19:30:02 +0000 2018,1MinuteStock,V,Visa Inc.,https://unicornbay.com/t/V.US?utm_medium=tweet&utm_campaign=wallstreet&utm_source=twitter,False,5.3875
24888,1019666264619438100,"['rt', 'optionshawk', 'v', 'sep', 'calls', 'up', 'to', 'x', 'on', 'the', 'day']",Wed Jul 18 19:32:36 +0000 2018,jbulger1,V,Visa Inc.,,False,5.30888888888889
24893,1019666339894562800,"['v', 'max', 'pain', 'is', 'for', 'maturity', 'maxpain', 'options', 'httpstcoajfmgbap', 'httpstcoenhokqhoyp']",Wed Jul 18 19:32:54 +0000 2018,optioncharts,V,Visa Inc.,http://maximum-pain.com/options/max-pain/V,False,4.8500000000000005
25279,1019673951323217900,"['analysts', 'say', 'visa', 'should', 'benefit', 'from', 'robust', 'consumer', 'spending', 'httpstcoxuuzipa', 'v']",Wed Jul 18 20:03:09 +0000 2018,usnews,V,Visa Inc.,https://trib.al/9TtRh1K,True,5.4175
25456,1019677186532479000,"['v', 'axp', 'we', 'wur', 'shortin', 'both', 'az', 'i', 'stated', 'hard', 'on', 'thu', 'nonsense', 'runup', 'today', 'that', 'guy', 'who', 'loaded', 'hiz', 'entire', 'savingz', 'on', 'httpstcopctemc']",Wed Jul 18 20:16:00 +0000 2018,nobullshytrader,V,Visa Inc.,https://twitter.com/i/web/status/1019677186532478976,False,5.376874999999999
25563,1019679287408984000,"['v', 'theres', 'not', 'much', 'to', 'dislike', 'about', 'dow', 'stock', 'visa', 'says', 'trader', 'httpstcozkdycjgi']",Wed Jul 18 20:24:21 +0000 2018,themarketisopen,V,Visa Inc.,https://ift.tt/2zSs2Zw,False,4.776
25797,1019682984448757800,"['wondering', 'about', 'sentiment', 'indicator', 'for', 'v', 'the', 'short', 'ratio', 'is', 'httpstcoknchuwbsv']",Wed Jul 18 20:39:02 +0000 2018,1MinuteStock,V,Visa Inc.,https://unicornbay.com/t/V.US?utm_medium=tweet&utm_campaign=shortratio&utm_source=twitter,False,5.209999999999999
25963,1019685504193712100,"['wondering', 'about', 'risks', 'of', 'v', 'the', 'day', 'volatility', 'is', 'httpstcozhkivts']",Wed Jul 18 20:49:03 +0000 2018,1MinuteStock,V,Visa Inc.,https://unicornbay.com/t/V.US?utm_medium=tweet&utm_campaign=volatility&utm_source=twitter,False,5.12
26103,1019688295549276200,"['options', 'maxpain', 'chart', 'for', 'v', 'free', 'options', 'app', 'httpstcowpndmczd', 'httpstcoskgowou']",Wed Jul 18 21:00:09 +0000 2018,OptionsMaxPain,V,Visa Inc.,http://www.mobileinteractive.com/superstocks,False,5.822857142857144
26643,1019697701670277100,"['july', 'wednesday', 'v', 'closed']",Wed Jul 18 21:37:31 +0000 2018,ericdavis221,V,Visa Inc.,,False,4.92
27812,1019722324046643200,"['investors', 'sell', 'shares', 'of', 'visa', 'v', 'on', 'strength', 'v', 'httpstcokxwqjnymj']",Wed Jul 18 23:15:22 +0000 2018,OlympiaReport,V,Visa Inc.,http://theolympiareport.com/?p=933460,False,5.609999999999999
27833,1019722637436706800,"['investors', 'sell', 'shares', 'of', 'visa', 'v', 'on', 'strength', 'v', 'httpstcomdpzqhssf']",Wed Jul 18 23:16:36 +0000 2018,WeekHerald,V,Visa Inc.,http://weekherald.com/?p=2999260,False,5.609999999999999
