,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
17303,1019396346560897000,"['rt', 'chesterfibo', 'bovesp', 'lindo', 'bear', 'trap', 'esta', 'haciendo', 'se', 'esta', 'metiendo', 'de', 'a', 'poco', 'nuevamente', 'dentro', 'del', 'canal', 'alcista', 'rojo', 'pero', 'son', 've']",Wed Jul 18 01:40:03 +0000 2018,AlbertoAgiraudo,VALE,Vale S.A.,,False,5.141333333333334
17311,1019396858735497200,"['dosinaga', 'cres', 'y', 'vale']",Wed Jul 18 01:42:05 +0000 2018,PituLuc,VALE,Vale S.A.,,False,4.48
17384,1019401482033074200,"['get', 'access', 'to', 'premium', 'paid', 'groups', 'for', 'a', 'fraction', 'of', 'the', 'price', 'join', 'us', 'httpstcootuncdz', 'salt', 'httpstcoliltnynk']",Wed Jul 18 02:00:27 +0000 2018,oliverpaige625,VALE,Vale S.A.,http://discord.gg/tXbaTxx,False,5.634000000000001
17409,1019403762404819000,"['vale', 'price', 'target', 'adr', 'us', 'pe', 'forward', 'supo', 'estar', 'barata', 'hace', 'un', 'tiempo', 'hoy', 'viendo', 'los', 'principales', 'rat', 'httpstcohdclskyz']",Wed Jul 18 02:09:31 +0000 2018,luchoinvesting,VALE,Vale S.A.,https://twitter.com/i/web/status/1019403762404818944,False,5.021666666666667
17525,1019412692283678700,"['vale', 'cemig', 'jv', 'considers', 'renova', 'wind', 'park', 'purchase', 'stock', 'dips', 'vale', 'httpstcoyjimyfmkvh']",Wed Jul 18 02:45:00 +0000 2018,NewsQuantified,VALE,Vale S.A.,https://hubs.ly/H0d2w6G0,False,6.255
17576,1019416381899595800,"['binance', 'has', 'over', 'million', 'users', 'join', 'us', 'today', 'register', 'for', 'bonus', 'httpstcohurgbrhp', 'xbc', 'oct', 'bcc', 'httpstcocgdchqb']",Wed Jul 18 02:59:39 +0000 2018,carolgibson394,VALE,Vale S.A.,http://binance.com/?ref=10078236,False,5.939999999999999
17646,1019423460139905000,"['binance', 'distributes', 'every', 'fork', 'meaning', 'you', 'get', 'free', 'airdrop', 'register', 'for', 'bonus', 'httpstcosaisnxjbb', 'httpstcofyuizexbi']",Wed Jul 18 03:27:47 +0000 2018,danhodges4591,VALE,Vale S.A.,http://binance.com/?ref=10078236,False,6.24
17681,1019426243991785500,"['coin', 'listings', 'pump', 'our', 'bot', 'detects', 'before', 'official', 'announcement', 'join', 'us', 'httpstcomgvnmztd', 'httpstcokdvldquf']",Wed Jul 18 03:38:51 +0000 2018,AmosPatterson13,VALE,Vale S.A.,http://discord.gg/tXbaTxx,False,5.6866666666666665
17795,1019434749234950100,"['invest', 'your', 'crypto', 'on', 'binance', 'and', 'get', 'discount', 'trading', 'fee', 'register', 'for', 'bonus', 'httpstcowwjyaqlvg', 'httpstcoqymxuocel']",Wed Jul 18 04:12:39 +0000 2018,JamesCribbs17,VALE,Vale S.A.,http://binance.com/?ref=10078236,False,5.8127272727272725
17824,1019437272440213500,"['join', 'binance', 'it', 'is', 'the', 'fastest', 'growing', 'exchange', 'in', 'the', 'world', 'register', 'for', 'bonus', 'httpstcosaisnxjbb', 'httpstcozkbvsufb']",Wed Jul 18 04:22:40 +0000 2018,danhodges4591,VALE,Vale S.A.,http://binance.com/?ref=10078236,False,5.7299999999999995
17825,1019437273132294100,"['se', 'desacopla', 'nuevamente', 'vale', 'de', 'io', 'la', 'semana', 'proxima', 'vale', 'presenta', 'balance']",Wed Jul 18 04:22:40 +0000 2018,LaugaGonzalo,VALE,Vale S.A.,,False,5.136666666666667
17842,1019439670143397900,"['rt', 'getvolatility', 'attractive', 'put', 'selling', 'pricing', 'skx', 'puts', 'more', 'expensive', 'than', 'of', 'history', 'vale', 'tsro', 'amrn', 'pm']",Wed Jul 18 04:32:12 +0000 2018,salomon69479215,VALE,Vale S.A.,,False,5.370909090909091
17856,1019442518054842400,"['coin', 'listings', 'pumps', 'our', 'bot', 'detects', 'it', 'before', 'official', 'announcements', 'join', 'us', 'httpstcokshjk']",Wed Jul 18 04:43:31 +0000 2018,victorblake392,VALE,Vale S.A.,https://twitter.com/i/web/status/1019442518054842368,False,5.699999999999999
18058,1019458397316550700,"['we', 'are', 'faster', 'than', 'any', 'other', 'coin', 'listing', 'bots', 'join', 'us', 'httpstcomgvnmztd', 'clf', 'bcc', 'crea', 'dnr', 'cdt', 'httpstcoqwzqxmqx']",Wed Jul 18 05:46:37 +0000 2018,AmosPatterson13,VALE,Vale S.A.,http://discord.gg/tXbaTxx,False,5.729999999999999
