,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
2939,1017336042372952000,"['viacom', 'cl', 'b', 'viab', 'shares', 'declined', 'while', 'capital', 'international', 'investors', 'has', 'decreased', 'its', 'position', 'oppenheimer', 'ass', 'httpstcoqcajnhv']",Thu Jul 12 09:13:08 +0000 2018,The_CasualSmart,VIAB,Viacom,https://twitter.com/i/web/status/1017336042372952065,False,5.101666666666667
2971,1017342105050665000,"['as', 'viacom', 'new', 'viab', 'valuation', 'declined', 'holder', 'kiltearn', 'partners', 'llp', 'has', 'decreased', 'its', 'stake', 'as', 'american', 'campus', 'co', 'httpstcoziggpwvrv']",Thu Jul 12 09:37:13 +0000 2018,The_CasualSmart,VIAB,Viacom,https://twitter.com/i/web/status/1017342105050664960,False,5.333333333333333
3082,1017367586714148900,"['jefferies', 'financial', 'group', 'raises', 'viacom', 'inc', 'class', 'b', 'fy', 'earnings', 'estimates', 'to', 'eps', 'previously', 'httpstcoqzixraksvi']",Thu Jul 12 11:18:29 +0000 2018,RatingsNetwork,VIAB,Viacom,https://twitter.com/i/web/status/1017367586714148864,False,5.539999999999999
3285,1017405921624973300,"['union', 'bankshares', 'holding', 'in', 'raytheon', 'co', 'rtn', 'cut', 'as', 'share', 'price', 'declined', 'mrj', 'capital', 'has', 'trimmed', 'position', 'in', 'viaco', 'httpstcowkwyjtc']",Thu Jul 12 13:50:48 +0000 2018,The_CasualSmart,VIAB,Viacom,https://twitter.com/i/web/status/1017405921624973313,False,5.243076923076923
3307,1017409346580275200,"['rnva', 'mil', 'shares', 'traded', 'min', 'great', 'revenue', 'news', 'dov', 'dst', 'atvi', 'ea', 'mu', 'pypl', 'siri', 'fisv', 'symc', 'httpstcomqsqbylmf']",Thu Jul 12 14:04:25 +0000 2018,Drugdoctor2014,VIAB,Viacom,https://twitter.com/i/web/status/1017409346580275200,False,5.9325
3327,1017411953608704000,"['rt', 'drugdoctor', 'rnva', 'mil', 'shares', 'traded', 'min', 'great', 'revenue', 'news', 'dov', 'dst', 'atvi', 'ea', 'mu', 'pypl', 'siri', 'fisv', 'symc', 'chkp']",Thu Jul 12 14:14:46 +0000 2018,4on_4off,VIAB,Viacom,,False,5.815555555555556
3343,1017413814277378000,"['viab', 'sampp', 'viacom', 'revised', 'to', 'bbbnegative', 'from', 'bbbwatch', 'neg']",Thu Jul 12 14:22:10 +0000 2018,LiveSquawk,VIAB,Viacom,,False,5.1433333333333335
3344,1017413817322442800,"['rt', 'livesquawk', 'viab', 'sampp', 'viacom', 'revised', 'to', 'bbbnegative', 'from', 'bbbwatch', 'neg']",Thu Jul 12 14:22:11 +0000 2018,tradnews_,VIAB,Viacom,,False,5.0775
3356,1017414408027304000,"['rt', 'livesquawk', 'viab', 'sampp', 'viacom', 'revised', 'to', 'bbbnegative', 'from', 'bbbwatch', 'neg']",Thu Jul 12 14:24:32 +0000 2018,AlertTrade,VIAB,Viacom,,False,5.0775
3411,1017424247692542000,"['rt', 'drugdoctor', 'pntv', 'usas', 'largest', 'public', 'marijuana', 'farms', 'news', 'out', 'investor', 'presentation', 'video', 'dov', 'dst', 'atvi', 'ea', 'mu', 'pypl', 's']",Thu Jul 12 15:03:38 +0000 2018,OTCNetwork101,VIAB,Viacom,,False,5.545454545454545
3418,1017425778668011500,"['rt', 'drugdoctor', 'pntv', 'name', 'the', 'largest', 'public', 'usa', 'marijuana', 'growing', 'company', 'look', 'at', 'this', 'harvest', 'csco', 'ctxs', 'ctsh', 'csc', 'dvmt']",Thu Jul 12 15:09:43 +0000 2018,OTCNetwork101,VIAB,Viacom,,False,5.56
3596,1017451216111095800,"['pntv', 'usas', 'largest', 'public', 'marijuana', 'grower', 'brand', 'new', 'video', 'dov', 'dst', 'atvi', 'ea', 'mu', 'pypl', 'siri', 'fisv', 'symc', 'httpstcoinzwtyyy']",Thu Jul 12 16:50:47 +0000 2018,Drugdoctor2014,VIAB,Viacom,https://twitter.com/i/web/status/1017451216111095810,False,5.923333333333333
3639,1017457846852751400,"['discovery', 'communications', 'inc', 'common', 'stock', 'disca', 'and', 'viacom', 'inc', 'class', 'b', 'viab', 'critical', 'analysis', 'httpstcoxnvfxmsj']",Thu Jul 12 17:17:08 +0000 2018,ledgerzette,VIAB,Viacom,http://ledgergazette.com/?p=2822337,False,5.1890909090909085
4215,1017564716720324600,"['rt', 'vividplatform', 'is', 'the', 'market', 'going', 'to', 'rebound', 'btc', 'eth', 'neo', 'omg', 'viab']",Fri Jul 13 00:21:48 +0000 2018,BlackUche,VIAB,Viacom,,False,5.26
4246,1017574668532879400,"['justice', 'department', 'appeal', 'ruling', 'allowing', 'atampttime', 'warner', 'merger', 'httpstcoywutcqeubu', 'via', 'wsj', 't', 'vz', 'twx', 'viab', 'cbs', 'amcx']",Fri Jul 13 01:01:21 +0000 2018,StansberryWire,VIAB,Viacom,https://www.wsj.com/articles/justice-department-to-appeal-court-ruling-allowing-at-t-time-warner-merger-1531427031,False,5.386000000000001
