,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
5690,1017942768247664600,"['big', 'call', 'activity', 'httpstcombeizct', 'ntrs', 'crm', 'agn', 'vlo', 'ivz', 'ca', 'man', 'syna', 'hd', 'ctb', 'wmb', 'symc', 'bp', 'mu', 'fcx', 'httpstcojvzxuggpv']",Sat Jul 14 01:24:03 +0000 2018,DailyStockPlays,VLO,Valero Energy Corporation,http://www.dailystockplays.com/Unusual-Call-Option-Activity-Today-2018-07-13.html,False,5.742857142857143
5776,1017987960690573300,"['rt', 'iotrader', 'man', 'burl', 'aaww', 'vlo', 'pxd', 'www', 'm', 'mod', 'sri', 'httpstcoyxeybhkty']",Sat Jul 14 04:23:37 +0000 2018,salomon69479215,VLO,Valero Energy Corporation,,False,5.505
5871,1018076978061152300,"['valero', 'energy', 'corp', 'vlo', 'holder', 'cincinnati', 'insurance', 'company', 'has', 'lifted', 'stake', 'by', 'million', 'httpstcoaumiuxskso']",Sat Jul 14 10:17:21 +0000 2018,whatsonthorold2,VLO,Valero Energy Corporation,https://www.whatsonthorold.com/2018/07/14/valero-energy-corp-vlo-holder-cincinnati-insurance-company-has-lifted-stake-by-3-52-million/,False,5.7120000000000015
5872,1018077059942371300,"['valero', 'energy', 'corp', 'vlo', 'position', 'has', 'lifted', 'by', 'cincinnati', 'insurance', 'company', 'httpstcomspsfmkxuf']",Sat Jul 14 10:17:40 +0000 2018,mmahotstuff1,VLO,Valero Energy Corporation,https://www.mmahotstuff.com/2018/07/14/valero-energy-corp-vlo-position-has-lifted-by-cincinnati-insurance-company.html,False,5.620000000000001
5873,1018077190011879400,"['cincinnati', 'insurance', 'company', 'boosted', 'its', 'position', 'in', 'valero', 'energy', 'corp', 'vlo', 'by', 'million', 'httpstcocjbkyslvy']",Sat Jul 14 10:18:11 +0000 2018,reurope_stock,VLO,Valero Energy Corporation,https://reurope.com/2018/07/14/cincinnati-insurance-company-boosted-its-position-in-valero-energy-corp-vlo-by-3-52-million/,False,5.7040000000000015
5874,1018077300431126500,"['as', 'valero', 'energy', 'corp', 'vlo', 'valuation', 'rose', 'cincinnati', 'insurance', 'company', 'upped', 'holding', 'by', 'million', 'httpstcojgvrfho']",Sat Jul 14 10:18:38 +0000 2018,bibeypost_stock,VLO,Valero Energy Corporation,https://www.bibeypost.com/as-valero-energy-corp-vlo-valuation-rose-cincinnati-insurance-company-upped-holding-by-3-52-million/,False,5.89
6073,1018123796690227200,"['vlo', 'max', 'pain', 'is', 'for', 'maturity', 'maxpain', 'options', 'httpstcorrpdvozcf', 'httpstcovbncviz']",Sat Jul 14 13:23:23 +0000 2018,optioncharts,VLO,Valero Energy Corporation,http://maximum-pain.com/options/max-pain/VLO,False,4.888
6130,1018136198278275100,"['great', 'trading', 'models', 'at', 'profectus', 'systems', 'aapl', 'bac', 'pg', 'yhoo', 'chk', 'wfc', 'fb', 'crm', 'ge', 'mro', 'nflx', 'amzn', 'tsla', 'spy', 'vlo', 'jblu', 'atvi', 'amd']",Sat Jul 14 14:12:40 +0000 2018,ProfectuSystems,VLO,Valero Energy Corporation,,False,5.722857142857142
6612,1018253986514853900,"['man', 'burl', 'aaww', 'vlo', 'pxd', 'www', 'm', 'mod', 'sri', 'httpstcobysbgrgzbx']",Sat Jul 14 22:00:43 +0000 2018,ioTrader,VLO,Valero Energy Corporation,,False,5.713333333333334
6720,1018283075132887000,"['traders', 'sell', 'valero', 'energy', 'vlo', 'on', 'strength', 'vlo', 'httpstcowunzlztmcs']",Sat Jul 14 23:56:18 +0000 2018,MareaInformativ,VLO,Valero Energy Corporation,http://www.mareainformativa.com/?p=443084,False,6.248
7100,1018365413527375900,"['contrasting', 'valero', 'energy', 'vlo', 'amp', 'statoil', 'sto', 'httpstcodxcrdpiibc']",Sun Jul 15 05:23:29 +0000 2018,TheMarketsDaily,VLO,Valero Energy Corporation,http://zpr.io/6NWKW,False,6.33
7204,1018383091679793200,"['investors', 'sell', 'valero', 'energy', 'vlo', 'on', 'strength', 'vlo', 'httpstcopzpbfjlyip']",Sun Jul 15 06:33:44 +0000 2018,TickerReport,VLO,Valero Energy Corporation,http://tickerreport.com/?p=3635611,False,6.231999999999999
7408,1018411913800306700,"['traders', 'sell', 'valero', 'energy', 'vlo', 'on', 'strength', 'vlo', 'httpstcogfgqtcno']",Sun Jul 15 08:28:16 +0000 2018,WatchlistN,VLO,Valero Energy Corporation,http://zpr.io/6XtiW,False,6.248
7495,1018429587972386800,"['valero', 'energy', 'co', 'vlo', 'receives', 'average', 'recommendation', 'of', 'hold', 'from', 'brokerages', 'httpstcomxrtzlz']",Sun Jul 15 09:38:29 +0000 2018,TranscriptDaily,VLO,Valero Energy Corporation,http://zpr.io/6XfTt,False,5.601428571428571
7530,1018436073486241800,"['valero', 'energy', 'corporation', 'vlo', 'stock', 'is', 'shorted', 'less', 'httpstconlxvtnzi']",Sun Jul 15 10:04:16 +0000 2018,whatsonthorold2,VLO,Valero Energy Corporation,https://www.whatsonthorold.com/2018/07/15/valero-energy-corporation-nysevlo-stock-is-shorted-less/,False,5.4719999999999995
7532,1018436136635699200,"['whats', 'next', 'for', 'valero', 'energy', 'corporation', 'vlo', 'after', 'having', 'less', 'shares', 'shorted', 'httpstcorziifszge']",Sun Jul 15 10:04:31 +0000 2018,mmahotstuff1,VLO,Valero Energy Corporation,https://www.mmahotstuff.com/2018/07/15/whats-next-for-valero-energy-corporation-nysevlo-after-having-less-shares-shorted.html,False,5.502222222222222
7535,1018436295998279700,"['valero', 'energy', 'corporation', 'vlos', 'trend', 'up', 'especially', 'after', 'decreased', 'shorts', 'httpstcotfzmsmkqy']",Sun Jul 15 10:05:09 +0000 2018,reurope_stock,VLO,Valero Energy Corporation,https://reurope.com/2018/07/15/valero-energy-corporation-nysevlos-trend-up-especially-after-decreased-shorts/,False,5.6
7537,1018436370208055300,"['will', 'valero', 'energy', 'corporation', 'vlo', 'run', 'out', 'of', 'steam', 'soon', 'short', 'interest', 'is', 'down', 'httpstcoofprzqpp']",Sun Jul 15 10:05:26 +0000 2018,bibeypost_stock,VLO,Valero Energy Corporation,https://www.bibeypost.com/will-valero-energy-corporation-nysevlo-run-out-of-steam-soon-short-interest-is-down/,False,5.3975
7915,1018494430549078000,"['valero', 'energy', 'vlo', 'vs', 'statoil', 'sto', 'critical', 'survey', 'httpstcoapmxizqys']",Sun Jul 15 13:56:09 +0000 2018,ledgerzette,VLO,Valero Energy Corporation,http://ledgergazette.com/?p=2827205,False,5.305
7926,1018495208030339100,"['statoil', 'sto', 'vs', 'valero', 'energy', 'vlo', 'financial', 'survey', 'httpstcoaygeddcc']",Sun Jul 15 13:59:14 +0000 2018,dispatchtribune,VLO,Valero Energy Corporation,http://dispatchtribunal.com/?p=2054672,False,5.855
7985,1018502033513549800,"['analyzing', 'valero', 'energy', 'vlo', 'amp', 'hollyfrontier', 'hfc', 'httpstcoovvcyjtcie']",Sun Jul 15 14:26:22 +0000 2018,TheMarketsDaily,VLO,Valero Energy Corporation,http://zpr.io/6XYvA,False,6.33
8107,1018523370680397800,"['valero', 'energy', 'vlo', 'share', 'price', 'rose', 'while', 'ajo', 'lp', 'cut', 'its', 'stake', 'httpstcodquxwbzxd']",Sun Jul 15 15:51:09 +0000 2018,whatsonthorold2,VLO,Valero Energy Corporation,https://www.whatsonthorold.com/2018/07/15/valero-energy-vlo-share-price-rose-while-ajo-lp-cut-its-stake/,False,5.605
8108,1018523461482876900,"['ajo', 'lp', 'cut', 'valero', 'energy', 'vlo', 'stake', 'by', 'million', 'stock', 'rose', 'httpstcobddsgyqku']",Sun Jul 15 15:51:31 +0000 2018,mmahotstuff1,VLO,Valero Energy Corporation,https://www.mmahotstuff.com/2018/07/15/ajo-lp-cut-valero-energy-vlo-stake-by-24-02-million-stock-rose.html,False,5.877142857142857
8610,1018596165766479900,"['zacks', 'analysts', 'anticipate', 'valero', 'energy', 'co', 'vlo', 'to', 'post', 'eps', 'httpstcoidlinojl']",Sun Jul 15 20:40:25 +0000 2018,MareaInformativ,VLO,Valero Energy Corporation,http://www.mareainformativa.com/?p=452390,False,5.5280000000000005
8616,1018596578968383500,"['zacks', 'analysts', 'anticipate', 'valero', 'energy', 'co', 'vlo', 'to', 'post', 'eps', 'httpstcokblpeswar']",Sun Jul 15 20:42:03 +0000 2018,dailypoliticaln,VLO,Valero Energy Corporation,http://www.dailypolitical.com/?p=2204140,False,5.5280000000000005
8619,1018596806417055700,"['billion', 'in', 'sales', 'expected', 'for', 'valero', 'energy', 'co', 'vlo', 'this', 'quarter', 'httpstcobllsatc']",Sun Jul 15 20:42:57 +0000 2018,TickerReport,VLO,Valero Energy Corporation,http://tickerreport.com/?p=3637956,False,5.844444444444445
8622,1018596936105058300,"['valero', 'energy', 'co', 'vlo', 'expected', 'to', 'post', 'quarterly', 'sales', 'of', 'billion', 'httpstcocexgrjnew']",Sun Jul 15 20:43:28 +0000 2018,WatchlistN,VLO,Valero Energy Corporation,http://zpr.io/6XNpi,False,5.742222222222221
8624,1018597043105869800,"['valero', 'energy', 'co', 'vlo', 'expected', 'to', 'announce', 'earnings', 'of', 'per', 'share', 'httpstcosrunpgrmc']",Sun Jul 15 20:43:54 +0000 2018,ZolmaxNews,VLO,Valero Energy Corporation,http://zolmax.com/?p=2384231,False,5.866666666666666
8636,1018600141085986800,"['zacks', 'brokerages', 'anticipate', 'valero', 'energy', 'co', 'vlo', 'will', 'announce', 'earnings', 'of', 'per', 'share', 'httpstcoowvrisu']",Sun Jul 15 20:56:12 +0000 2018,TranscriptDaily,VLO,Valero Energy Corporation,http://zpr.io/6XNsv,False,6.0125
8686,1018616411277717500,"['man', 'burl', 'aaww', 'vlo', 'pxd', 'www', 'm', 'mod', 'sri', 'httpstconunmvupq']",Sun Jul 15 22:00:52 +0000 2018,ioTrader,VLO,Valero Energy Corporation,,False,5.713333333333334
8938,1018690795715616800,"['stocks', 'to', 'watch', 'this', 'week', 'slb', 'vlo', 'luv', 'docu', 'se', 'x', 'httpstcomwbftdw']",Mon Jul 16 02:56:26 +0000 2018,RaginCajun,VLO,Valero Energy Corporation,http://ibankcoin.com/rcblog/2018/07/15/stocks-to-watch-this-week-9/,False,5.397500000000001
9006,1018771575326330900,"['valero', 'energy', 'co', 'vlo', 'stake', 'increased', 'by', 'atria', 'investments', 'llc', 'httpstcovnfbdxuqgz']",Mon Jul 16 08:17:26 +0000 2018,ConsumerFeed,VLO,Valero Energy Corporation,https://ift.tt/2uptMnQ,False,5.773333333333333
9085,1018795126359932900,"['what', 'are', 'the', 'markets', 'top', 'dividend', 'stocks', 'httpstcolcjmhfhbq', 'cop', 'qcom', 'lly', 'ups', 'lmt', 'nee', 'blk', 'oxy', 'cb', 'httpstcojhzvdre']",Mon Jul 16 09:51:01 +0000 2018,FinInvTr,VLO,Valero Energy Corporation,https://buff.ly/2mcn8g9,False,5.447999999999999
9110,1018798878143885300,"['cl', 'gt', 'under', 'clf', 'cl', 'clf', 'clf', 'opec', 'futures', 'daytrading', 'uso', 'eia', 'wti', 'httpstcosumxokibw']",Mon Jul 16 10:05:55 +0000 2018,InfinitusCap,VLO,Valero Energy Corporation,https://twitter.com/i/web/status/1018798878143885317,False,5.3
9432,1018827426221187100,"['sentiment', 'report', 'valero', 'energy', 'corp', 'vlo', 'httpstcojynumesgu']",Mon Jul 16 11:59:21 +0000 2018,whatsonthorold2,VLO,Valero Energy Corporation,https://www.whatsonthorold.com/2018/07/16/sentiment-report-valero-energy-corp-nysevlo/,False,5.6899999999999995
9437,1018827548350996500,"['valero', 'energy', 'corp', 'vlo', 'stock', 'price', 'down', 'as', 'sentiment', 'drops', 'httpstcoojcwxcbf']",Mon Jul 16 11:59:51 +0000 2018,mmahotstuff1,VLO,Valero Energy Corporation,https://www.mmahotstuff.com/2018/07/16/valero-energy-corp-nysevlo-stock-price-down-as-sentiment-drops.html,False,5.33
9449,1018827884578988000,"['q', 'sentiment', 'valero', 'energy', 'corp', 'vlo', 'httpstcoljgldutddp']",Mon Jul 16 12:01:11 +0000 2018,bibeypost_stock,VLO,Valero Energy Corporation,https://www.bibeypost.com/2018-q1-sentiment-valero-energy-corp-nysevlo/,False,5.6499999999999995
9721,1018846908800856000,"['our', 'july', 'tweet', 'calling', 'it', 'peak', 'oil', 'for', 'clf', 'cl', 'clf', 'clf', 'opec', 'futures', 'daytrading', 'uso', 'httpstcokevcxitgg']",Mon Jul 16 13:16:46 +0000 2018,InfinitusCap,VLO,Valero Energy Corporation,https://twitter.com/i/web/status/1018846908800856064,False,5.633333333333334
9775,1018850389943312400,"['were', 'analysts', 'bearish', 'valero', 'energy', 'corporation', 'vlo', 'this', 'week', 'httpstcotxhfmuxz']",Mon Jul 16 13:30:36 +0000 2018,whatsonthorold2,VLO,Valero Energy Corporation,https://www.whatsonthorold.com/2018/07/16/were-analysts-bearish-valero-energy-corporation-nysevlo-this-week/,False,5.383333333333333
9778,1018850492905087000,"['can', 'analysts', 'adopt', 'a', 'bullish', 'outlook', 'for', 'valero', 'energy', 'corporation', 'vlo', 'httpstcofyqsuc']",Mon Jul 16 13:31:01 +0000 2018,mmahotstuff1,VLO,Valero Energy Corporation,https://www.mmahotstuff.com/2018/07/16/can-analysts-adopt-a-bullish-outlook-for-valero-energy-corporation-nysevlo.html,False,5.7075000000000005
9783,1018850743611199500,"['were', 'analysts', 'bearish', 'valero', 'energy', 'corporation', 'vlo', 'this', 'week', 'httpstcoahrolyxxeg']",Mon Jul 16 13:32:01 +0000 2018,bibeypost_stock,VLO,Valero Energy Corporation,https://www.bibeypost.com/were-analysts-bearish-valero-energy-corporation-nysevlo-this-week/,False,5.383333333333333
9949,1018858608363126800,"['cl', 'gt', 'has', 'a', 'target', 'number', 'in', 'mind', 'clf', 'cl', 'clf', 'clf', 'opec', 'futures', 'daytrading', 'uso', 'eia', 'wti', 'httpstconukhhbjevb']",Mon Jul 16 14:03:16 +0000 2018,InfinitusCap,VLO,Valero Energy Corporation,https://twitter.com/i/web/status/1018858608363126790,False,5.49
9985,1018860716604915700,"['reviewing', 'valero', 'energy', 'vlo', 'amp', 'statoil', 'sto', 'httpstcorajkrsro']",Mon Jul 16 14:11:39 +0000 2018,TickerReport,VLO,Valero Energy Corporation,http://tickerreport.com/?p=3638487,False,6.33
10009,1018861713481982000,"['headtohead', 'analysis', 'statoil', 'sto', 'amp', 'valero', 'energy', 'vlo', 'httpstcoyqbdtgpzs']",Mon Jul 16 14:15:36 +0000 2018,dailypoliticaln,VLO,Valero Energy Corporation,http://www.dailypolitical.com/?p=2204670,False,6.153333333333333
10032,1018862647834562600,"['bank', 'of', 'montreal', 'can', 'cuts', 'position', 'in', 'valero', 'energy', 'co', 'vlo', 'httpstcomqhyrhx']",Mon Jul 16 14:19:19 +0000 2018,ConsumerFeed,VLO,Valero Energy Corporation,https://ift.tt/2zIRnVx,False,5.495555555555555
10104,1018867903725125600,"['here', 'comes', 'the', 'print', 'the', 'cleq', 'has', 'two', 'objectives', 'this', 'week', 'downside', 'xxxs', 'clf', 'cl', 'clf', 'clf', 'opec', 'httpstcowgiiqgcbtv']",Mon Jul 16 14:40:12 +0000 2018,InfinitusCap,VLO,Valero Energy Corporation,https://twitter.com/i/web/status/1018867903725125633,False,5.302
10112,1018868564474900500,"['rt', 'infinituscap', 'here', 'comes', 'the', 'print', 'the', 'cleq', 'has', 'two', 'objectives', 'this', 'week', 'downside', 'xxxs', 'clf', 'cl', 'clf', 'clf', 'opec', 'future']",Mon Jul 16 14:42:50 +0000 2018,CrudeAdventures,VLO,Valero Energy Corporation,,False,5.3883333333333345
10185,1018873124383686700,"['mf', 'amet', 'we', 'email', 'highest', 'prob', 'inflection', 'clf', 'cl', 'clf', 'cl', 'oil', 's', 'for', 'daytrading', 'sunday', 'amp', 'todays', 'email', 'httpstcouswcoll']",Mon Jul 16 15:00:57 +0000 2018,InfinitusCap,VLO,Valero Energy Corporation,https://twitter.com/i/web/status/1018873124383686656,False,5.912727272727272
11051,1018929260466200600,"['infinituscap', 'holding', 'cl', 'massive', 'position', 'long', 'to', 'minimum', 'more', 'likely', 'clf', 'cl', 'clf', 'clf', 'opec', 'futures', 'httpstconnquhyli']",Mon Jul 16 18:44:01 +0000 2018,SirJohnSteele,VLO,Valero Energy Corporation,https://twitter.com/i/web/status/1018929260466200576,False,5.531111111111111
11168,1018937572901441500,"['hfc', 'option', 'alert', 'jan', 'calls', 'sweep', 'at', 'the', 'ask', 'vs', 'oi', 'earnings', 'before', 'open', 'ref', 'httpstcocgcszuibf']",Mon Jul 16 19:17:02 +0000 2018,msumak,VLO,Valero Energy Corporation,https://twitter.com/i/web/status/1018937572901441539,False,5.42
11455,1018957812637098000,"['vlo', 'valero', 'energy', 'corp', 'endofday', 'quote', 'alert', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Mon Jul 16 20:37:28 +0000 2018,Allstocknews,VLO,Valero Energy Corporation,,False,5.644444444444445
11858,1019002863807336400,"['who', 'wants', 'to', 'bet', 'cl', 'trades', 'this', 'week', 'clf', 'cl', 'clf', 'clf', 'opec', 'futures', 'daytrading', 'uso', 'eia', 'wti', 'brent', 'httpstcoaiurormg']",Mon Jul 16 23:36:29 +0000 2018,SirJohnSteele,VLO,Valero Energy Corporation,https://twitter.com/i/web/status/1019002863807336449,False,5.314285714285714
12135,1019043895085281300,"['valero', 'energy', 'corporation', 'vlo', 'analysts', 'see', 'eps', 'httpstcobevoogt']",Tue Jul 17 02:19:32 +0000 2018,whatsonthorold2,VLO,Valero Energy Corporation,https://www.whatsonthorold.com/2018/07/17/valero-energy-corporation-vlo-analysts-see-2-12-eps-2/,False,5.839999999999999
