,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
14680,1019252407262425100,"['vertex', 'pharmaceuticals', 'incorporated', 'vrtx', 'cant', 'burn', 'your', 'long', 'portfolio', 'just', 'reaches', 'week', 'high', 'httpstcomrdscsueak']",Tue Jul 17 16:08:05 +0000 2018,mmahotstuff1,VRTX,Vertex Pharmaceuticals Incorporated,https://www.mmahotstuff.com/2018/07/17/vertex-pharmaceuticals-incorporated-vrtx-cant-burn-your-long-portfolio-just-reaches-52-week-high.html,False,5.141
14682,1019252544495812600,"['vertex', 'pharmaceuticals', 'incorporated', 'vrtx', 'surges', 'to', 'week', 'high', 'is', 'now', 'top', 'performer', 'httpstcollkaneses']",Tue Jul 17 16:08:38 +0000 2018,reurope_stock,VRTX,Vertex Pharmaceuticals Incorporated,https://reurope.com/2018/07/17/vertex-pharmaceuticals-incorporated-vrtx-surges-to-52-week-high-is-now-top-performer/,False,5.6899999999999995
14683,1019252628151205900,"['vertex', 'pharmaceuticals', 'incorporated', 'vrtx', 'just', 'reaches', 'week', 'high', 'httpstcoiawhkhnve']",Tue Jul 17 16:08:58 +0000 2018,bibeypost_stock,VRTX,Vertex Pharmaceuticals Incorporated,https://www.bibeypost.com/vertex-pharmaceuticals-incorporated-vrtx-just-reaches-52-week-high/,False,5.746
14793,1019258244974415900,"['mccabecihe', 'greatstrides', 'debbi', 'vertexpharma', 'vrtx', 'have', 'always', 'had', 'the', 'price', 'for', 'their', 'eventual', 'triples', 'in', 'm', 'httpstcobwsgakw']",Tue Jul 17 16:31:17 +0000 2018,somanychris,VRTX,Vertex Pharmaceuticals Incorporated,https://twitter.com/i/web/status/1019258244974415874,False,5.32888888888889
14892,1019263295054909400,"['vrtx', 'high', 'oi', 'range', 'is', 'to', 'for', 'option', 'expiration', 'maxpain', 'options', 'httpstcohznxdcu', 'httpstcomzbjjmdz']",Tue Jul 17 16:51:21 +0000 2018,optioncharts,VRTX,Vertex Pharmaceuticals Incorporated,http://maximum-pain.com/options/open-interest/VRTX,False,5.5775
14923,1019265257754292200,"['nhs', 'makes', 'final', 'offer', 'to', 'vertex', 'httpstcouzaxtkmb', 'will', 'vertex', 'finally', 'bow', 'to', 'pressure', 'and', 'make', 'kalydeco', 'o', 'httpstcoyhzbzmjbjr']",Tue Jul 17 16:59:09 +0000 2018,BionestPartners,VRTX,Vertex Pharmaceuticals Incorporated,https://buff.ly/2uFzv8h,False,5.341666666666666
15055,1019271058245980200,"['vertex', 'pharmaceuticals', 'incorporated', 'the', 'stock', 'is', 'testing', 'its', 'highs', 'vrtx', 'httpstcowwdgqxhkz', 'httpstcoutwrbbbhv']",Tue Jul 17 17:22:12 +0000 2018,MScreener,VRTX,Vertex Pharmaceuticals Incorporated,http://www.4-traders.com//VERTEX-PHARMACEUTICALS-IN-11321/,False,5.185
15087,1019272744775532500,"['vrtx', 'big', 'move', 'so', 'far', 'and', 'keeps', 'grinding', 'higher']",Tue Jul 17 17:28:54 +0000 2018,canuck2usa,VRTX,Vertex Pharmaceuticals Incorporated,,False,5.565714285714286
15146,1019275705991888900,"['vrtx', 'new', 'insider', 'filing', 'on', 'parini', 'michael', 'transaction', 'code', 'm', 'httpstcoloyoify']",Tue Jul 17 17:40:40 +0000 2018,filing_scanner,VRTX,Vertex Pharmaceuticals Incorporated,http://www.filingscanner.com/Alerts/VRTX.php,False,5.565714285714286
15165,1019277140536315900,"['tradewithninja', 'out', 'vrtx', 'profit', 'could', 'have', 'let', 'it', 'run', 'but', 'over', 'is', 'good', 'for', 'me']",Tue Jul 17 17:46:22 +0000 2018,Up4aGoodTrade,VRTX,Vertex Pharmaceuticals Incorporated,,False,5.595384615384616
