,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
18272,1019474009619083300,"['verizon', 'communications', 'inc', 'vz', 'sees', 'large', 'increase', 'in', 'short', 'interest', 'httpstcodnwvfbmnb']",Wed Jul 18 06:48:39 +0000 2018,dispatchtribune,VZ,Verizon Communications Inc.,http://dispatchtribunal.com/?p=2060554,False,5.597777777777777
18281,1019474342575517700,"['verizon', 'communications', 'inc', 'vz', 'sees', 'large', 'increase', 'in', 'short', 'interest', 'httpstcovxhjqyjed']",Wed Jul 18 06:49:58 +0000 2018,OlympiaReport,VZ,Verizon Communications Inc.,http://theolympiareport.com/?p=931354,False,5.597777777777777
18499,1019487303818006500,"['you', 'can', 'trade', 'for', 'as', 'low', 'as', 'fee', 'on', 'binance', 'register', 'for', 'bonus', 'httpstcosaisnxjbb', 'pix', 'taas', 'httpstcoztesdsi']",Wed Jul 18 07:41:29 +0000 2018,danhodges4591,VZ,Verizon Communications Inc.,http://binance.com/?ref=10078236,False,5.378333333333333
18776,1019509418541625300,"['get', 'access', 'to', 'premium', 'paid', 'groups', 'for', 'a', 'fraction', 'of', 'the', 'price', 'join', 'us', 'httpstcootuncdz', 'kick', 'httpstcoqfwylguow']",Wed Jul 18 09:09:21 +0000 2018,oliverpaige625,VZ,Verizon Communications Inc.,http://discord.gg/tXbaTxx,False,5.503333333333334
18876,1019515660689461200,"['binance', 'has', 'over', 'million', 'users', 'join', 'us', 'today', 'register', 'for', 'bonus', 'httpstcohurgbrhp', 'yoyow', 'snap', 'httpstcotfhslxndz']",Wed Jul 18 09:34:09 +0000 2018,carolgibson394,VZ,Verizon Communications Inc.,http://binance.com/?ref=10078236,False,5.9018181818181805
19033,1019526195312906200,"['get', 'access', 'to', 'premium', 'paid', 'groups', 'for', 'a', 'fraction', 'of', 'the', 'price', 'join', 'us', 'httpstcofxiyvjgut', 'msp', 'httpstcoiibzrygl']",Wed Jul 18 10:16:01 +0000 2018,victorblake392,VZ,Verizon Communications Inc.,http://discord.gg/tXbaTxx,False,5.630714285714286
19110,1019529770260889600,"['trade', 'on', 'binance', 'with', 'discount', 'trading', 'fee', 'register', 'for', 'bonus', 'httpstcowwjyaqlvg', 'auy', 'net', 'vz', 'httpstcogahpmjuhf']",Wed Jul 18 10:30:13 +0000 2018,JamesCribbs17,VZ,Verizon Communications Inc.,http://binance.com/?ref=10078236,False,5.843999999999999
19408,1019539876864282600,"['coin', 'listings', 'pump', 'our', 'bot', 'detects', 'before', 'official', 'announcement', 'join', 'us', 'httpstcotcqihqwiir', 'httpstcovqnccwyxyb']",Wed Jul 18 11:10:23 +0000 2018,RicardoPark10,VZ,Verizon Communications Inc.,http://discord.gg/tXbaTxx,False,5.6866666666666665
19609,1019546604070719500,"['t', 'amp', 'vz', 'have', 'both', 'been', 'requesting', 'unlimited', 'loading', 'as', 'part', 'of', 'new', 'collocation', 'requests', 'to', 'towercompanies', 'in', 'pon', 'httpstcohbnvikh']",Wed Jul 18 11:37:07 +0000 2018,steelintheair,VZ,Verizon Communications Inc.,https://twitter.com/i/web/status/1019546604070719488,False,5.458571428571429
19611,1019546649549557800,"['get', 'notified', 'of', 'important', 'coin', 'listings', 'on', 'exchanges', 'join', 'us', 'httpstcomgvnmztd', 'egc', 'part', 'xom', 'httpstcoftwcddjsh']",Wed Jul 18 11:37:18 +0000 2018,AmosPatterson13,VZ,Verizon Communications Inc.,http://discord.gg/tXbaTxx,False,5.739999999999999
