,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
14331,1019233153536479200,"['top', 'retail', 'stocks', 'to', 'buy', 'in', 'july', 'themotleyfool', 'stocks', 'cost', 'wba', 'skx', 'httpstcohgkbnfga']",Tue Jul 17 14:51:34 +0000 2018,newyorkcityvine,WBA,Walgreens Boots Alliance,https://www.fool.com/investing/2018/07/17/3-top-retail-stocks-to-buy-in-july.aspx,False,5.580000000000001
14589,1019246814439059500,"['underappreciated', 'stocks', 'to', 'buy', 'before', 'the', 'analysts', 'weigh', 'in', 'sbux', 'ibm', 'mpw', 'wba', 'httpstcoquzltadf']",Tue Jul 17 15:45:51 +0000 2018,TopStockAlerts1,WBA,Walgreens Boots Alliance,https://investorplace.com/2018/07/4-underappreciated-stocks-to-buy-before-the-analysts-weigh-in/,False,5.35
14747,1019255901948076000,"['wba', 'straight', 'from', 'the', 'tricktrades', 'nightly', 'hyperscan', 'laid', 'out', 'on', 'a', 'silver', 'platter', 'httpstcoengtyonsh']",Tue Jul 17 16:21:58 +0000 2018,trickmitch1,WBA,Walgreens Boots Alliance,,False,5.4350000000000005
14825,1019259617958719500,"['cah', 'wba', 'httpstcoqbyyjjrv']",Tue Jul 17 16:36:44 +0000 2018,SeekingAlpha,WBA,Walgreens Boots Alliance,https://seekingalpha.com/article/4187769-amazon-creating-amazing-dividend-aristocrat-buying-opportunities?source=feed_f,False,0.0
16061,1019320373656121300,"['wba', 'walgreens', 'boots', 'alliance', 'inc', 'sec', 'filing', 'form', 'sc', 'da', 'httpstcoygzvbfownh']",Tue Jul 17 20:38:09 +0000 2018,StockTexts,WBA,Walgreens Boots Alliance,http://www.sec.gov/Archives/edgar/data/1554671/000110465918045512/a18-17262_1sc13da.htm,False,5.2775
16077,1019320859981426700,"['wba', 'amended', 'statement', 'of', 'beneficial', 'ownership', 'sc', 'da', 'httpstcoinfixcluu']",Tue Jul 17 20:40:05 +0000 2018,resx18,WBA,Walgreens Boots Alliance,http://ih.advfn.com/p.php?pid=nmona&article=77881677&adw=1126416,False,5.303999999999999
16110,1019322416978374700,"['alliance', 'sante', 'participations', 'sa', 'has', 'filed', 'an', 'amended', 'da', 'reporting', 'ownership', 'in', 'wba', 'httpstcodadoubs']",Tue Jul 17 20:46:16 +0000 2018,fintel_io,WBA,Walgreens Boots Alliance,https://fintel.io/so/us/wba,False,5.282222222222222
16116,1019322625234030600,"['wba', 'new', 'sec', 'filing', 'for', 'wba', 'form', 'sc', 'da', 'no', 'httpstcofaqkfcisf']",Tue Jul 17 20:47:06 +0000 2018,Stock_News_Now,WBA,Walgreens Boots Alliance,http://stocknewsflow.com/1618921_000110465918045512_0001104659-18-045512,False,5.12
16284,1019329907753615400,"['wba', 'statement', 'of', 'changes', 'in', 'beneficial', 'ownership', 'httpstcoegonpyygz']",Tue Jul 17 21:16:02 +0000 2018,resx18,WBA,Walgreens Boots Alliance,http://ih.advfn.com/p.php?pid=nmona&article=77881933&adw=1126416,False,5.427999999999999
16285,1019329938774687700,"['wba', 'walgreens', 'boots', 'alliance', 'inc', 'sec', 'filing', 'form', 'httpstcozkisclrkbr']",Tue Jul 17 21:16:10 +0000 2018,StockTexts,WBA,Walgreens Boots Alliance,http://www.sec.gov/Archives/edgar/data/1618921/000162861918000001/xslF345X03/primary_doc.xml,False,5.38
16326,1019331786038480900,"['wba', 'new', 'insider', 'filing', 'on', 'cochief', 'operating', 'officer', 'ornella', 'barra', 'httpstcodhqmhpja']",Tue Jul 17 21:23:30 +0000 2018,InsiderAlertsIA,WBA,Walgreens Boots Alliance,http://insideri.com/1628619_000162861918000001_0001628619-18-000001,False,5.5920000000000005
16394,1019336838438322200,"['wba', 'statement', 'of', 'changes', 'in', 'beneficial', 'ownership', 'httpstcoaiokzew']",Tue Jul 17 21:43:35 +0000 2018,resx18,WBA,Walgreens Boots Alliance,http://ih.advfn.com/p.php?pid=nmona&article=77882137&adw=1126416,False,5.427999999999999
16398,1019337005237350400,"['wba', 'walgreens', 'boots', 'alliance', 'walgreens', 'is', 'seeking', 'to', 'bolster', 'its', 'profits', 'with', 'nonpharmaceutical', 'products', 'walgre', 'httpstcovitsvimry']",Tue Jul 17 21:44:15 +0000 2018,ResearchPool,WBA,Walgreens Boots Alliance,https://twitter.com/i/web/status/1019337005237350400,False,5.751111111111111
16399,1019337028385718300,"['wba', 'walgreens', 'boots', 'alliance', 'morningstar', 'walgreens', 'is', 'seeking', 'to', 'bolster', 'its', 'profits', 'with', 'nonpharmaceutical', 'pro', 'httpstcoiexotcodl']",Tue Jul 17 21:44:20 +0000 2018,ResearchPool,WBA,Walgreens Boots Alliance,https://twitter.com/i/web/status/1019337028385718272,False,5.764444444444445
16413,1019337760426078200,"['wba', 'walgreens', 'boots', 'alliance', 'inc', 'sec', 'filing', 'form', 'httpstcoeubtmaqlps']",Tue Jul 17 21:47:15 +0000 2018,StockTexts,WBA,Walgreens Boots Alliance,http://www.sec.gov/Archives/edgar/data/1554687/000155468718000002/xslF345X03/primary_doc.xml,False,5.38
16473,1019340667196182500,"['insider', 'alert', 'executive', 'vice', 'chairman', 'ceo', 'pessina', 'stefano', 'of', 'wba', 'bought', 'shares']",Tue Jul 17 21:58:48 +0000 2018,ExecPicks,WBA,Walgreens Boots Alliance,,False,5.4175
16575,1019346274582126600,"['wba', 'walgreens', 'boots', 'alliance', 'directors', 'boughtsold', 'two', 'directors', 'at', 'walgreens', 'boots', 'alliance', 'inc', 'boughtsold', 'httpstcoylezlqlt']",Tue Jul 17 22:21:05 +0000 2018,ResearchPool,WBA,Walgreens Boots Alliance,https://twitter.com/i/web/status/1019346274582126593,False,5.666666666666667
16809,1019360529180176400,"['insider', 'buying', 'walgreens', 'boots', 'alliance', 'inc', 'wba', 'coo', 'purchases', 'shares', 'of', 'stock', 'httpstcofznjxr']",Tue Jul 17 23:17:43 +0000 2018,TickerReport,WBA,Walgreens Boots Alliance,http://tickerreport.com/?p=3641986,False,5.799999999999999
16832,1019361297157247000,"['walgreens', 'boots', 'alliance', 'inc', 'wba', 'coo', 'purchases', 'in', 'stock', 'httpstcoahbcmpruf']",Tue Jul 17 23:20:46 +0000 2018,dailypoliticaln,WBA,Walgreens Boots Alliance,http://www.dailypolitical.com/?p=2208154,False,5.6160000000000005
16835,1019361416778780700,"['stefano', 'pessina', 'buys', 'shares', 'of', 'walgreens', 'boots', 'alliance', 'inc', 'wba', 'stock', 'httpstcoaodqio']",Tue Jul 17 23:21:15 +0000 2018,WatchlistN,WBA,Walgreens Boots Alliance,http://zpr.io/6XLkV,False,5.7
17140,1019383813141606400,"['wba', 'coincidence', 'that', 'there', 'is', 'bullish', 'divergence', 'and', 'insiders', 'buying', 'm', 'each', 'httpstcofwmxzhdqqh']",Wed Jul 18 00:50:14 +0000 2018,jbzstocks,WBA,Walgreens Boots Alliance,,False,5.328571428571428
17153,1019384991476691000,"['rt', 'jbzstocks', 'wba', 'coincidence', 'that', 'there', 'is', 'bullish', 'divergence', 'and', 'insiders', 'buying', 'm', 'each', 'httpstcofwmxzhdqqh']",Wed Jul 18 00:54:55 +0000 2018,thomaspan,WBA,Walgreens Boots Alliance,,False,5.2725
17763,1019432694864699400,"['wba', 'new', 'insider', 'filing', 'on', 'pessina', 'stefano', 'transaction', 'code', 'p', 'httpstconkkmiqnq']",Wed Jul 18 04:04:29 +0000 2018,filing_scanner,WBA,Walgreens Boots Alliance,http://www.filingscanner.com/Alerts/WBA.php,False,5.543333333333334
18877,1019515713437028400,"['walgreens', 'boots', 'alliance', 'inc', 'wba', 'insider', 'stefano', 'pessina', 'purchases', 'shares', 'of', 'stock', 'httpstcoqvszxyu']",Wed Jul 18 09:34:22 +0000 2018,TickerReport,WBA,Walgreens Boots Alliance,http://tickerreport.com/?p=3643090,False,5.7
18878,1019515715165048800,"['stefano', 'pessina', 'purchases', 'shares', 'of', 'walgreens', 'boots', 'alliance', 'inc', 'wba', 'stock', 'httpstcopjnjwpwf']",Wed Jul 18 09:34:22 +0000 2018,dailypoliticaln,WBA,Walgreens Boots Alliance,http://www.dailypolitical.com/?p=2209255,False,5.7
18885,1019516018761326600,"['walgreens', 'boots', 'alliance', 'inc', 'wba', 'coo', 'ornella', 'barra', 'purchases', 'shares', 'of', 'stock', 'httpstcogrztiywip']",Wed Jul 18 09:35:35 +0000 2018,ZolmaxNews,WBA,Walgreens Boots Alliance,http://zolmax.com/?p=2389394,False,5.7
18887,1019516027632308200,"['insider', 'buying', 'walgreens', 'boots', 'alliance', 'inc', 'wba', 'coo', 'purchases', 'shares', 'of', 'stock', 'httpstcohpbezltp']",Wed Jul 18 09:35:37 +0000 2018,dakotafinancial,WBA,Walgreens Boots Alliance,http://dakotafinancialnews.com/?p=325570,False,5.799999999999999
