,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
4779,1017741397011697700,"['amg', 'national', 'trust', 'bank', 'has', 'lifted', 'sanofi', 'sny', 'stake', 'by', 'million', 'capital', 'world', 'investors', 'upped', 'western', 'digita', 'httpstcoixizaipa']",Fri Jul 13 12:03:52 +0000 2018,beyond_ninety,WDC,Western Digital Corporation,https://twitter.com/i/web/status/1017741397011697665,False,5.993333333333333
4898,1017758289638101000,"['rt', 'proactiveuk', 'wdc', 'widecells', 'group', 'plc', 'hires', 'dr', 'jeremy', 'lea', 'as', 'new', 'chief', 'operating', 'officer', 'httpstcotnpjolawg', 'via', 'proactiveuk', 'wi']",Fri Jul 13 13:10:59 +0000 2018,JoaoAndradeBR,WDC,Western Digital Corporation,http://tinyurl.com/y9jcs3sg,False,5.532727272727272
4961,1017767936788967400,"['weekly', 'rotation', 'in', 'wdc', 'earnings', 'this', 'month', 'long', 'some', 'aug', 'c', 'at']",Fri Jul 13 13:49:20 +0000 2018,cfm_trades,WDC,Western Digital Corporation,,False,5.380909090909092
5022,1017779154505359400,"['nice', 'action', 'in', 'wdc', 'held', 'up', 'well', 'earlier', 'this', 'week', 'httpstcojwtmwfko', 'green', 'of', 'last', 'sessions', 'held', 'major', 'httpstcoptxaoulwmp']",Fri Jul 13 14:33:54 +0000 2018,GarySMorrow,WDC,Western Digital Corporation,https://lnkd.in/dJmBVrr,False,5.632000000000001
5308,1017825441007185900,"['rt', 'proactiveuk', 'wdc', 'widecells', 'group', 'plc', 'hires', 'dr', 'jeremy', 'lea', 'as', 'new', 'chief', 'operating', 'officer', 'httpstcotnpjolawg', 'via', 'proactiveuk', 'wi']",Fri Jul 13 17:37:50 +0000 2018,peterh63,WDC,Western Digital Corporation,http://tinyurl.com/y9jcs3sg,False,5.532727272727272
5328,1017831025445986300,"['intc', 'ssnlf', 'wdc', 'mu', 'httpstcoatehjaogdp']",Fri Jul 13 18:00:01 +0000 2018,SAlphaTech,WDC,Western Digital Corporation,https://seekingalpha.com/article/4186938-china-syndrome-memory-industrys-battle-ip-theft?source=feed_tags,False,5.14
5354,1017835544531873800,"['our', 'reports', 'on', 'stocks', 'in', 'the', 'computers', 'amp', 'peripherals', 'memory', 'industry', 'members', 'only', 'access', 'httpstcopsywdyiurl']",Fri Jul 13 18:17:58 +0000 2018,Valuentum,WDC,Western Digital Corporation,https://twitter.com/i/web/status/1017835544531873792,False,5.640000000000001
5375,1017840212322472000,"['artemis', 'investment', 'management', 'llp', 'increased', 'western', 'digital', 'corp', 'wdc', 'position', 'httpstcoytzuavwv']",Fri Jul 13 18:36:31 +0000 2018,whatsonthorold2,WDC,Western Digital Corporation,https://www.whatsonthorold.com/2018/07/13/artemis-investment-management-llp-increased-western-digital-corp-wdc-position/,False,5.717142857142858
5377,1017840383072628700,"['artemis', 'investment', 'management', 'llp', 'has', 'raised', 'its', 'western', 'digital', 'corp', 'wdc', 'position', 'by', 'million', 'shares', 'decli', 'httpstcozammvdxknx']",Fri Jul 13 18:37:12 +0000 2018,mmahotstuff1,WDC,Western Digital Corporation,https://twitter.com/i/web/status/1017840383072628736,False,5.781666666666667
5379,1017840654184001500,"['artemis', 'investment', 'management', 'llp', 'continues', 'to', 'hold', 'stake', 'in', 'western', 'digital', 'corp', 'wdc', 'httpstcoxzlneybmz']",Fri Jul 13 18:38:17 +0000 2018,bibeypost_stock,WDC,Western Digital Corporation,https://www.bibeypost.com/artemis-investment-management-llp-continues-to-hold-stake-in-western-digital-corp-wdc/,False,5.464
5571,1017886902337273900,"['wdc', 'shows', 'quite', 'a', 'strong', 'growth', 'in', 'revenue', 'in', 'the', 'last', 'year', 'the', 'revenue', 'has', 'grown', 'by', 'httpstcoqprnsgi']",Fri Jul 13 21:42:03 +0000 2018,ChartMill,WDC,Western Digital Corporation,https://twitter.com/i/web/status/1017886902337273856,False,5.62875
