,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
858,1016581634236272600,"['comparing', 'wec', 'energy', 'group', 'wec', 'and', 'united', 'utilities', 'group', 'uugry', 'httpstcorstke']",Tue Jul 10 07:15:23 +0000 2018,OlympiaReport,WEC,WEC Energy Group,http://theolympiareport.com/?p=914335,False,6.2
860,1016582440599670800,"['wec', 'energy', 'group', 'wec', 'versus', 'united', 'utilities', 'group', 'uugry', 'financial', 'analysis', 'httpstcoccgwkdcaj']",Tue Jul 10 07:18:35 +0000 2018,dispatchtribune,WEC,WEC Energy Group,http://dispatchtribunal.com/?p=2043782,False,6.0
975,1016651226392522800,"['wec', 'energy', 'group', 'wec', 'research', 'coverage', 'started', 'at', 'barclays', 'httpstcolqpwhgwv']",Tue Jul 10 11:51:55 +0000 2018,ThisLincolnian,WEC,WEC Energy Group,http://thelincolnianonline.com/?p=2174157,False,6.026666666666667
997,1016655569531359200,"['wec', 'energy', 'group', 'gets', 'a', 'hold', 'rating', 'from', 'citigroup', 'wec', 'c', 'httpstcofvmiwltrag']",Tue Jul 10 12:09:10 +0000 2018,ARatings,WEC,WEC Energy Group,http://www.analystratings.com/articles/wec-energy-group-gets-a-hold-rating-from-citigroup/,False,5.6675
1037,1016663440050360300,"['wec', 'energy', 'group', 'wec', 'price', 'target', 'raised', 'to', 'at', 'citigroup', 'httpstcolaauyfwh']",Tue Jul 10 12:40:27 +0000 2018,OlympiaReport,WEC,WEC Energy Group,http://theolympiareport.com/?p=915159,False,5.7057142857142855
1042,1016664530628239400,"['wec', 'energy', 'group', 'wec', 'price', 'target', 'raised', 'to', 'at', 'citigroup', 'httpstcoqdxflpkh']",Tue Jul 10 12:44:47 +0000 2018,WeekHerald,WEC,WEC Energy Group,http://weekherald.com/?p=2980977,False,5.7057142857142855
1058,1016669244879261700,"['wec', 'energy', 'group', 'inc', 'wec', 'eps', 'estimated', 'at', 'httpstcoxkazgoum']",Tue Jul 10 13:03:31 +0000 2018,whatsonthorold2,WEC,WEC Energy Group,https://www.whatsonthorold.com/2018/07/10/wec-energy-group-inc-wec-eps-estimated-at-0-65/,False,5.664
1059,1016669460642529300,"['eps', 'for', 'wec', 'energy', 'group', 'inc', 'wec', 'expected', 'at', 'httpstcooetmfdvy']",Tue Jul 10 13:04:22 +0000 2018,reurope_stock,WEC,WEC Energy Group,https://reurope.com/2018/07/10/eps-for-wec-energy-group-inc-wec-expected-at-0-65/,False,5.616666666666666
1060,1016669540200210400,"['wec', 'energy', 'group', 'inc', 'wec', 'eps', 'estimated', 'at', 'httpstcowvztxxbnt']",Tue Jul 10 13:04:41 +0000 2018,bibeypost_stock,WEC,WEC Energy Group,https://www.bibeypost.com/wec-energy-group-inc-wec-eps-estimated-at-0-65-2/,False,5.664
1185,1016703428108615700,"['today', 'citigroup', 'reconfirms', 'a', 'neutral', 'rating', 'on', 'wec', 'energy', 'group', 'wec', 'and', 'a', 'target', 'price', 'httpstconjkefsx']",Tue Jul 10 15:19:21 +0000 2018,The_CasualSmart,WEC,WEC Energy Group,https://thecasualsmart.com/2018/07/10/today-citigroup-reconfirms-a-neutral-rating-on-wec-energy-group-nysewec-and-a-63-target-price/,False,5.6000000000000005
