,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
276,1016307500180803600,"['earnings', 'volatility', 'concerns', 'drive', 'reinsurance', 'buying', 'willis', 'towers', 'watson', 'survey', 'finds', 'wltw', 'httpstconeuzazlsi']",Mon Jul 09 13:06:04 +0000 2018,GNWLive,WLTW,Willis Towers Watson Public Limited Company,http://bit.ly/2m7pNYC,False,6.0299999999999985
287,1016308966396170200,"['wltw', 'earnings', 'volatility', 'concerns', 'drive', 'reinsurance', 'buying', 'willis', 'towers', 'watson', 'survey', 'finds', 'nasdaqwltw', 'httpstcoshdsblowd']",Mon Jul 09 13:11:54 +0000 2018,StockTexts,WLTW,Willis Towers Watson Public Limited Company,http://www.globenewswire.com/news-release/2018/07/09/1534686/0/en/Earnings-volatility-concerns-drive-reinsurance-buying-Willis-Towers-Watson-survey-finds.html,False,6.0299999999999985
290,1016310366383599600,"['wltw', 'earnings', 'volatility', 'concerns', 'drive', 'reinsurance', 'buying', 'willis', 'towers', 'watson', 'survey', 'finds', 'httpstcogpbkcwgtrp']",Mon Jul 09 13:17:28 +0000 2018,stockelite,WLTW,Willis Towers Watson Public Limited Company,http://bit.ly/2N3lQzJ,False,6.0299999999999985
461,1016364251932438500,"['wltw', 'high', 'oi', 'range', 'is', 'to', 'for', 'option', 'expiration', 'maxpain', 'options', 'httpstcootwonvyrs', 'httpstcobnvelkbkkj']",Mon Jul 09 16:51:35 +0000 2018,optioncharts,WLTW,Willis Towers Watson Public Limited Company,http://maximum-pain.com/options/open-interest/WLTW,False,5.5775
764,1016510754911129600,"['eyes', 'on', 'wltw', 'crossing', 'above', 'its', 'upper', 'bollinger', 'band', 'of', 'could', 'signal', 'time', 'for', 'a', 'pullback', 'httpstcoccqlmelcy', 'wltw']",Tue Jul 10 02:33:44 +0000 2018,investalert,WLTW,Willis Towers Watson Public Limited Company,http://bit.ly/2AT7JKX,False,5.56923076923077
1081,1016673524973555700,"['willis', 'towers', 'watson', 'launches', 'tailored', 'cyberinsurance', 'coverage', 'for', 'construction', 'industry', 'wltw', 'httpstcoqsjofzwa']",Tue Jul 10 13:20:31 +0000 2018,GNWLive,WLTW,Willis Towers Watson Public Limited Company,http://bit.ly/2m8kd8p,False,5.608
1083,1016673528769327100,"['wltw', 'willis', 'towers', 'watson', 'launches', 'tailored', 'cyberinsurance', 'coverage', 'for', 'construction', 'industry', 'nasdaqwltw', 'httpstconhhmcalb']",Tue Jul 10 13:20:32 +0000 2018,StockTexts,WLTW,Willis Towers Watson Public Limited Company,http://www.globenewswire.com/news-release/2018/07/10/1535411/0/en/Willis-Towers-Watson-launches-tailored-cyberinsurance-coverage-for-construction-industry.html,False,5.608
1094,1016674809202257900,"['wltw', 'willis', 'towers', 'watson', 'launches', 'tailored', 'cyberinsurance', 'coverage', 'for', 'construction', 'industry', 'httpstcovuzbfjipdz']",Tue Jul 10 13:25:38 +0000 2018,stockelite,WLTW,Willis Towers Watson Public Limited Company,http://bit.ly/2umHirx,False,5.608
1617,1016830777944936400,"['get', 'the', 'latest', 'ratings', 'for', 'ari', 'flic', 'wltw', 'reis', 'andx', 'in', 'your', 'inbox', 'with', 'marketbeat', 'daily', 'httpstconsjudsyidj']",Tue Jul 10 23:45:23 +0000 2018,RatingsNetwork,WLTW,Willis Towers Watson Public Limited Company,http://bit.ly/arndailyw,False,5.586
1628,1016835721649410000,"['top', 'stocks', 'with', 'ta', 'score', 'trending', 'up', 'sp', 'prgo', 'wltw', 'rmd', 'len', 'ajg', 'csx', 'incy', 'mas', 'alk', 'iff', 'jci', 'isrg', 'cern', 'httpstcoweylguxnx']",Wed Jul 11 00:05:02 +0000 2018,MITickWatcher,WLTW,Willis Towers Watson Public Limited Company,https://twitter.com/i/web/status/1016835721649410049,False,5.655555555555556
