,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
235,1016292658191495200,"['wm', 'trash', 'to', 'cash']",Mon Jul 09 12:07:06 +0000 2018,Rogue1187,WM,Waste Management,,False,5.026666666666666
280,1016308158770307100,"['rsg', 'wcn', 'wm', 'httpstcowgdxdne']",Mon Jul 09 13:08:41 +0000 2018,SeekingAlpha,WM,Waste Management,https://seekingalpha.com/article/4186062-load-truck-garbage-processor?source=feed_f,False,0.0
314,1016317735217913900,"['load', 'up', 'the', 'truck', 'with', 'this', 'garbage', 'processor', 'rsg', 'wcn', 'wm', 'httpstcoggnazcmwv']",Mon Jul 09 13:46:45 +0000 2018,KGwrtr,WM,Waste Management,https://seekingalpha.com/article/4186062-load-truck-garbage-processor?source=tweet,False,5.042857142857143
367,1016336647112228900,"['wm', 'max', 'pain', 'is', 'for', 'maturity', 'maxpain', 'options', 'httpstcoboudjbvl', 'httpstcotjiygyswx']",Mon Jul 09 15:01:53 +0000 2018,optioncharts,WM,Waste Management,http://maximum-pain.com/options/max-pain/WM,False,4.888
613,1016433244403912700,"['analysts', 'see', 'eps', 'for', 'waste', 'management', 'inc', 'wm', 'httpstcoicvqqymb']",Mon Jul 09 21:25:44 +0000 2018,whatsonthorold2,WM,Waste Management,https://www.whatsonthorold.com/2018/07/09/analysts-see-1-02-eps-for-waste-management-inc-wm/,False,4.743333333333333
614,1016433458888003600,"['eps', 'for', 'waste', 'management', 'inc', 'wm', 'expected', 'at', 'httpstcoprujmjz']",Mon Jul 09 21:26:35 +0000 2018,reurope_stock,WM,Waste Management,https://reurope.com/2018/07/09/eps-for-waste-management-inc-wm-expected-at-1-02/,False,4.669999999999999
615,1016433538835648500,"['waste', 'management', 'inc', 'wm', 'analysts', 'see', 'eps', 'httpstcoackpieoedk']",Mon Jul 09 21:26:54 +0000 2018,bibeypost_stock,WM,Waste Management,https://www.bibeypost.com/waste-management-inc-wm-analysts-see-1-02-eps/,False,4.648
913,1016625832327110700,"['oppenheimer', 'keeps', 'a', 'buy', 'rating', 'on', 'waste', 'management', 'wm', 'httpstcohearjaow']",Tue Jul 10 10:11:01 +0000 2018,ARatings,WM,Waste Management,http://www.analystratings.com/articles/oppenheimer-keeps-a-buy-rating-on-waste-management/,False,5.137142857142857
1002,1016657620923383800,"['td', 'riocf', 'ko', 'jnj', 'bce', 'cm', 'jcouf', 'cbydf', 'bns', 'tu', 'rci', 'fts', 'cduaf', 'cni', 'cp', 'hrnnf', 'wm', 'mcd', 'yum', 'yumc', 'pep', 'wmt', 'httpstcoazazzij']",Tue Jul 10 12:17:20 +0000 2018,SeekingAlpha,WM,Waste Management,https://seekingalpha.com/article/4186313-q2-2018-dividend-report?source=feed_f,False,5.412000000000001
1014,1016660101791469600,"['reviewing', 'waste', 'management', 'wm', 'and', 'advanced', 'disposal', 'services', 'adsw', 'httpstcojkcojqmj']",Tue Jul 10 12:27:11 +0000 2018,ConsumerFeed,WM,Waste Management,http://zpr.io/6TrBq,False,5.023999999999999
