,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
16410,1019337621691039700,"['our', 'bot', 'on', 'discord', 'notifies', 'faster', 'than', 'crypto', 'tracker', 'bot', 'join', 'us', 'httpstcotcqihqwiir', 'hsh', 'fcx', 'httpstcofyotiig']",Tue Jul 17 21:46:42 +0000 2018,RicardoPark10,WPX,WPX Energy,http://discord.gg/tXbaTxx,False,5.873333333333332
16570,1019345957266382800,"['rt', 'moonhumster', 'discount', 'on', 'all', 'trades', 'sign', 'up', 'today', 'amp', 'enjoy', 'discounts', 'register', 'for', 'bonus', 'httpstcomdldjffz', 'pe', 'bat', 'salt']",Tue Jul 17 22:19:49 +0000 2018,EtaaraSte,WPX,WPX Energy,https://www.binance.com/?ref=13937988,False,5.927999999999999
16635,1019349758358507500,"['get', 'access', 'to', 'premium', 'paid', 'groups', 'for', 'a', 'fraction', 'of', 'the', 'price', 'join', 'us', 'httpstcofxiyvjotbs', 'fair', 'httpstcoduhhfxlpdi']",Tue Jul 17 22:34:55 +0000 2018,victorblake392,WPX,WPX Energy,http://discord.gg/tXbaTxx,False,5.719333333333334
16784,1019358849948684300,"['rt', 'moonhumster', 'discount', 'on', 'all', 'trades', 'sign', 'up', 'today', 'amp', 'enjoy', 'discounts', 'register', 'for', 'bonus', 'httpstcomdldjffz', 'pe', 'bat', 'salt']",Tue Jul 17 23:11:03 +0000 2018,virkuzin,WPX,WPX Energy,https://www.binance.com/?ref=13937988,False,5.927999999999999
16911,1019366291528912900,"['kucoin', 'lists', 'the', 'best', 'hidden', 'gem', 'coins', 'sign', 'up', 'to', 'trade', 'register', 'for', 'bonus', 'httpstcovtxawvkff', 'atm', 'httpstcoymfhqw']",Tue Jul 17 23:40:37 +0000 2018,MarcelinoGrant3,WPX,WPX Energy,http://kucoin.com/#/?r=E3aQNa,False,5.713333333333332
16934,1019368098539941900,"['coin', 'listings', 'pumps', 'our', 'bot', 'detects', 'it', 'before', 'official', 'announcements', 'join', 'us', 'httpstcovoxrswrtfj']",Tue Jul 17 23:47:48 +0000 2018,melaniebower89a,WPX,WPX Energy,https://twitter.com/i/web/status/1019368098539941888,False,5.699999999999999
16961,1019370496436113400,"['rt', 'moonhumster', 'discount', 'on', 'all', 'trades', 'sign', 'up', 'today', 'amp', 'enjoy', 'discounts', 'register', 'for', 'bonus', 'httpstcomdldjffz', 'pe', 'bat', 'salt']",Tue Jul 17 23:57:19 +0000 2018,ViktorShcedrin,WPX,WPX Energy,https://www.binance.com/?ref=13937988,False,5.927999999999999
16974,1019371509914185700,"['rt', 'moonhumster', 'discount', 'on', 'all', 'trades', 'sign', 'up', 'today', 'amp', 'enjoy', 'discounts', 'register', 'for', 'bonus', 'httpstcomdldjffz', 'pe', 'bat', 'salt']",Wed Jul 18 00:01:21 +0000 2018,CH20cg1TvEx2UMJ,WPX,WPX Energy,https://www.binance.com/?ref=13937988,False,5.927999999999999
16996,1019373145428582400,"['join', 'binance', 'it', 'is', 'the', 'fastest', 'growing', 'exchange', 'in', 'the', 'world', 'register', 'for', 'bonus', 'httpstcowbscdjgim', 'httpstcolsbfpgcrc']",Wed Jul 18 00:07:51 +0000 2018,chloeball366,WPX,WPX Energy,http://binance.com/?ref=10078236,False,5.7299999999999995
17128,1019382858035679200,"['fortnite', 'vbucks', 'are', 'on', 'sale', 'get', 'them', 'off', 'more', 'info', 'httpstcooqblzn', 'wrc', 'game', 'time', 'gcr', 'httpstcoqtmtylyvg']",Wed Jul 18 00:46:27 +0000 2018,JosePerryman3,WPX,WPX Energy,http://discord.gg/gtJ4zym,False,5.716
17219,1019389400944463900,"['get', 'access', 'to', 'premium', 'paid', 'groups', 'for', 'a', 'fraction', 'of', 'the', 'price', 'join', 'us', 'httpstcootuncdz', 'pkb', 'httpstconoglkgzwv']",Wed Jul 18 01:12:27 +0000 2018,oliverpaige625,WPX,WPX Energy,http://discord.gg/tXbaTxx,False,5.630714285714286
17251,1019391530195447800,"['binance', 'is', 'the', 'fastest', 'growing', 'crypto', 'exchange', 'in', 'join', 'us', 'register', 'for', 'bonus', 'httpstcohurgbrhp', 'httpstcopdwerestk']",Wed Jul 18 01:20:54 +0000 2018,carolgibson394,WPX,WPX Energy,http://binance.com/?ref=10078236,False,5.85
17318,1019397240958476300,"['binance', 'has', 'over', 'million', 'users', 'join', 'us', 'today', 'register', 'for', 'bonus', 'httpstcolbdjahgcv', 'big', 'xp', 'fct', 'httpstcokwfevrg']",Wed Jul 18 01:43:36 +0000 2018,JosePerryman3,WPX,WPX Energy,http://binance.com/?ref=10078236,False,5.998333333333334
17354,1019399564934205400,"['best', 'and', 'cheapest', 'exchange', 'to', 'trade', 'crypto', 'check', 'it', 'out', 'register', 'for', 'bonus', 'httpstcowbscdjgim', 'aks', 'httpstcokiszcnsnpt']",Wed Jul 18 01:52:50 +0000 2018,chloeball366,WPX,WPX Energy,http://binance.com/?ref=10078236,False,5.739999999999999
17502,1019410764212424700,"['rt', 'moonhumster', 'discount', 'on', 'all', 'trades', 'sign', 'up', 'today', 'amp', 'enjoy', 'discounts', 'register', 'for', 'bonus', 'httpstcomdldjffz', 'pe', 'bat', 'salt']",Wed Jul 18 02:37:20 +0000 2018,MonicaB41973374,WPX,WPX Energy,https://www.binance.com/?ref=13937988,False,5.927999999999999
17589,1019417156369477600,"['binance', 'is', 'one', 'of', 'the', 'top', 'crypto', 'exchanges', 'sign', 'up', 'here', 'register', 'for', 'bonus', 'httpstcocfjvpvbx', 'httpstcolkyjmmhyw']",Wed Jul 18 03:02:44 +0000 2018,JustinA25256101,WPX,WPX Energy,http://binance.com/?ref=10078236,False,5.696666666666666
17659,1019424281632104400,"['coin', 'listings', 'pumps', 'our', 'bot', 'detects', 'it', 'before', 'official', 'announcements', 'join', 'us', 'httpstcoirmnhkqtn']",Wed Jul 18 03:31:03 +0000 2018,victorblake392,WPX,WPX Energy,https://twitter.com/i/web/status/1019424281632104448,False,5.699999999999999
