,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
2312,1017099861252980700,"['hmm', 'you', 'think', 'someone', 'knows', 'something', 'mtg', 'xlv', 'celg', 'endp', 'gild', 'czr', 'ngd', 'luv', 'hal', 'gern', 'gld', 'aig', 'wmt', 'lc', 'httpstcofjulvwsnuu']",Wed Jul 11 17:34:38 +0000 2018,OneOClockDrop,WY,Weyerhaeuser Company,https://twitter.com/i/web/status/1017099861252980736,False,5.871428571428573
2377,1017116883613388800,"['cdix', 'full', 'reversal', 'its', 'go', 'time', 'mtg', 'xlv', 'celg', 'endp', 'gild', 'czr', 'ngd', 'luv', 'hal', 'gern', 'gld', 'aig', 'wmt', 'lc', 'jci', 'glw', 'httpstcokbcbvbjvf']",Wed Jul 11 18:42:16 +0000 2018,OneOClockDrop,WY,Weyerhaeuser Company,https://twitter.com/i/web/status/1017116883613388800,False,5.932
2386,1017118366451097600,"['american', 'century', 'companies', 'inc', 'increases', 'stake', 'in', 'weyerhaeuser', 'co', 'wy', 'httpstcoxpzblxd']",Wed Jul 11 18:48:10 +0000 2018,whatsonthorold2,WY,Weyerhaeuser Company,https://www.whatsonthorold.com/2018/07/11/american-century-companies-inc-increases-stake-in-weyerhaeuser-co-wy/,False,5.547499999999999
2388,1017118578628350000,"['american', 'century', 'companies', 'inc', 'has', 'upped', 'weyerhaeuser', 'co', 'wy', 'position', 'by', 'million', 'as', 'share', 'price', 'rose', 'httpstcolckdvszv']",Wed Jul 11 18:49:00 +0000 2018,reurope_stock,WY,Weyerhaeuser Company,https://reurope.com/2018/07/11/american-century-companies-inc-has-upped-weyerhaeuser-co-wy-position-by-50-41-million-as-share-price-rose/,False,5.779999999999999
2581,1017181126065119200,"['tomorrows', 'watchlistbioc', 'aciu', 'abus', 'axti', 'pavm', 'win', 'swingtrading', 'watchlist', 'bery', 'wy', 'glng', 'updated', 'nightly', 'httpstcolcommjapdr']",Wed Jul 11 22:57:33 +0000 2018,bullishbrs,WY,Weyerhaeuser Company,https://twitter.com/i/web/status/1017181126065119234,False,7.09
2585,1017181990406144000,"['rt', 'bullishbrs', 'tomorrows', 'watchlistbioc', 'aciu', 'abus', 'axti', 'pavm', 'win', 'swingtrading', 'watchlist', 'bery', 'wy', 'glng', 'updated', 'nightly', 'httpst']",Wed Jul 11 23:00:59 +0000 2018,zerogravity1776,WY,Weyerhaeuser Company,,False,6.353333333333333
2643,1017200302599102500,"['rt', 'bullishbrs', 'tomorrows', 'watchlistbioc', 'aciu', 'abus', 'axti', 'pavm', 'win', 'swingtrading', 'watchlist', 'bery', 'wy', 'glng', 'updated', 'nightly', 'httpst']",Thu Jul 12 00:13:45 +0000 2018,HOTkeyNinja1,WY,Weyerhaeuser Company,,False,6.353333333333333
2852,1017303616636538900,"['weyerhaeuser', 'co', 'wy', 'position', 'decreased', 'by', 'pennsylvania', 'trust', 'co', 'httpstcovarbmerh']",Thu Jul 12 07:04:17 +0000 2018,ConsumerFeed,WY,Weyerhaeuser Company,https://ift.tt/2zvVGUp,False,5.308571428571428
3219,1017398519756304400,"['check', 'out', 'our', 'members', 'profits', 'from', 'our', 'swing', 'pick', 'yesterday', 'opk', 'was', 'really', 'strong', 'and', 'stable', 'for', 'us', 'our', 'swing', 'ch', 'httpstcozrktvbaa']",Thu Jul 12 13:21:24 +0000 2018,KAFinvesting,WY,Weyerhaeuser Company,https://twitter.com/i/web/status/1017398519756304384,False,5.797
3611,1017454487512997900,"['wy', 'open', 'interest', 'for', 'maturity', 'high', 'put', 'high', 'call', 'maxpain', 'options', 'httpstcoowutcr', 'httpstcomunjarbne']",Thu Jul 12 17:03:47 +0000 2018,optioncharts,WY,Weyerhaeuser Company,http://maximum-pain.com/options/open-interest/WY,False,5.9975000000000005
3768,1017476477712060400,"['cdix', 'news', 'out', 'mtg', 'xlv', 'celg', 'endp', 'gild', 'czr', 'ngd', 'luv', 'hal', 'gern', 'gld', 'aig', 'wmt', 'lc', 'jci', 'glw', 'aker', 'iefa', 'chgg', 'httpstcotxdhmaa']",Thu Jul 12 18:31:10 +0000 2018,OneOClockDrop,WY,Weyerhaeuser Company,https://twitter.com/i/web/status/1017476477712060417,False,5.806666666666666
3985,1017511993484496900,"['rt', 'kafinvesting', 'check', 'out', 'our', 'members', 'profits', 'from', 'our', 'swing', 'pick', 'yesterday', 'opk', 'was', 'really', 'strong', 'and', 'stable', 'for', 'us', 'our', 'swing', 'channel']",Thu Jul 12 20:52:18 +0000 2018,CQBtrades,WY,Weyerhaeuser Company,,False,5.773333333333333
4128,1017544362799099900,"['wy', 'is', 'bullish', 'above', 'trade', 'near', 'httpstcoldknosehtl', 'httpstcomrkodishi']",Thu Jul 12 23:00:55 +0000 2018,tradespoon,WY,Weyerhaeuser Company,http://tradespoon.com/s.php?t=$WY,False,5.76
6767,1018294618222481400,"['wy', 'high', 'oi', 'range', 'is', 'to', 'for', 'option', 'expiration', 'maxpain', 'options', 'httpstcoowutcr', 'httpstcoficyhjhg']",Sun Jul 15 00:42:10 +0000 2018,optioncharts,WY,Weyerhaeuser Company,http://maximum-pain.com/options/open-interest/WY,False,5.5775
7679,1018456529354285000,"['weyerhaeuser', 'co', 'wy', 'expected', 'to', 'post', 'earnings', 'of', 'per', 'share', 'httpstcoxeoxooec']",Sun Jul 15 11:25:33 +0000 2018,MareaInformativ,WY,Weyerhaeuser Company,http://www.mareainformativa.com/?p=448329,False,5.6725
7717,1018461835144650800,"['earnings', 'per', 'share', 'expected', 'for', 'weyerhaeuser', 'co', 'wy', 'this', 'quarter', 'httpstcomkgzjvjx']",Sun Jul 15 11:46:38 +0000 2018,WatchlistN,WY,Weyerhaeuser Company,http://zpr.io/6Xpb6,False,5.7275
9282,1018812595476852700,"['weyerhaeuser', 'company', 'wy', 'stock', 'rose', 'while', 'third', 'avenue', 'management', 'llc', 'has', 'decreased', 'by', 'million', 'its', 'holding', 'httpstcobnyiuyuxtu']",Mon Jul 16 11:00:26 +0000 2018,whatsonthorold2,WY,Weyerhaeuser Company,https://www.whatsonthorold.com/2018/07/16/weyerhaeuser-company-wy-stock-rose-while-third-avenue-management-llc-has-decreased-by-9-41-million-its-holding/,False,5.472307692307693
9287,1018812830764687400,"['as', 'weyerhaeuser', 'company', 'wy', 'stock', 'value', 'rose', 'shareholder', 'third', 'avenue', 'management', 'llc', 'cut', 'position', 'httpstcoysvvgbjev']",Mon Jul 16 11:01:22 +0000 2018,mmahotstuff1,WY,Weyerhaeuser Company,https://www.mmahotstuff.com/2018/07/16/as-weyerhaeuser-company-wy-stock-value-rose-shareholder-third-avenue-management-llc-cut-position.html,False,5.516
9294,1018813145186529300,"['as', 'weyerhaeuser', 'company', 'wy', 'stock', 'value', 'rose', 'holder', 'third', 'avenue', 'management', 'llc', 'has', 'cut', 'by', 'million', 'its', 'stake', 'httpstcoxwfrnoge']",Mon Jul 16 11:02:37 +0000 2018,bibeypost_stock,WY,Weyerhaeuser Company,https://twitter.com/i/web/status/1018813145186529280,False,5.487142857142856
9386,1018822833613484000,"['ryn', 'lpx', 'osb', 'pch', 'wy', 'update', 'eps', 'estimates', 'on', 'osb', 'producers', 'and', 'select', 'timber', 'reits', 'markweintraub', 'httpstcownhzwkqvxt']",Mon Jul 16 11:41:07 +0000 2018,BuckResearch,WY,Weyerhaeuser Company,http://bit.ly/1TpNYZ2,False,5.53
11245,1018942836157419500,"['after', 'reaching', 'milestone', 'is', 'weyerhaeuser', 'company', 'wys', 'short', 'interest', 'revealing', 'something', 'httpstcovpjukkmgtv']",Mon Jul 16 19:37:57 +0000 2018,whatsonthorold2,WY,Weyerhaeuser Company,https://www.whatsonthorold.com/2018/07/16/after-reaching-milestone-is-weyerhaeuser-company-nysewys-short-interest-revealing-something/,False,5.302857142857143
11249,1018943004265066500,"['it', 'seems', 'weyerhaeuser', 'company', 'wy', 'will', 'go', 'up', 'just', 'reported', 'less', 'shorted', 'shares', 'httpstcokmkgopuhmn']",Mon Jul 16 19:38:37 +0000 2018,mmahotstuff1,WY,Weyerhaeuser Company,https://www.mmahotstuff.com/2018/07/16/it-seems-weyerhaeuser-company-nysewy-will-go-up-just-reported-less-shorted-shares.html,False,5.504
