,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
202,1016277000930189300,"['how', 'many', 'wyndham', 'worldwide', 'corporation', 'wyns', 'analysts', 'are', 'bullish', 'httpstcobdtdqibet']",Mon Jul 09 11:04:53 +0000 2018,whatsonthorold2,WYN,Wyndham Worldwide Corporation,https://www.whatsonthorold.com/2018/07/09/how-many-wyndham-worldwide-corporation-nysewyns-analysts-are-bullish/,False,5.383333333333333
203,1016277602116554800,"['are', 'analysts', 'bullish', 'wyndham', 'worldwide', 'corporation', 'wyn', 'after', 'last', 'week', 'httpstcoxshcugw']",Mon Jul 09 11:07:16 +0000 2018,reurope_stock,WYN,Wyndham Worldwide Corporation,https://reurope.com/2018/07/09/are-analysts-bullish-wyndham-worldwide-corporation-nysewyn-after-last-week/,False,5.1
204,1016277790302273500,"['wyndham', 'worldwide', 'corporation', 'wyn', 'has', 'analysts', 'on', 'the', 'bullish', 'side', 'this', 'week', 'httpstcovtrwlxxx']",Mon Jul 09 11:08:01 +0000 2018,bibeypost_stock,WYN,Wyndham Worldwide Corporation,https://www.bibeypost.com/wyndham-worldwide-corporation-nysewyn-has-analysts-on-the-bullish-side-this-week/,False,5.29111111111111
210,1016282555878961200,"['rt', 'reuropestock', 'are', 'analysts', 'bullish', 'wyndham', 'worldwide', 'corporation', 'wyn', 'after', 'last', 'week', 'httpstcoxshcugw']",Mon Jul 09 11:26:57 +0000 2018,AviseAnalytics,WYN,Wyndham Worldwide Corporation,https://reurope.com/2018/07/09/are-analysts-bullish-wyndham-worldwide-corporation-nysewyn-after-last-week/,False,5.0725
769,1016513948655538200,"['wyndham', 'worldwide', 'wyn', 'receives', 'consensus', 'target', 'price', 'from', 'brokerages', 'httpstcogbvzboo']",Tue Jul 10 02:46:25 +0000 2018,ThisLincolnian,WYN,Wyndham Worldwide Corporation,http://thelincolnianonline.com/?p=2173217,False,5.718333333333334
770,1016514575951425500,"['wyndham', 'worldwide', 'wyn', 'receives', 'consensus', 'recommendation', 'of', 'hold', 'from', 'brokerages', 'httpstcoapphylsuhg']",Tue Jul 10 02:48:55 +0000 2018,WeekHerald,WYN,Wyndham Worldwide Corporation,http://weekherald.com/?p=2979879,False,5.765000000000001
890,1016612638384672800,"['contrasting', 'wyndham', 'worldwide', 'wyn', 'amp', 'wyndham', 'hotels', 'amp', 'resorts', 'wh', 'httpstcorbugbotqsj']",Tue Jul 10 09:18:35 +0000 2018,ZolmaxNews,WYN,Wyndham Worldwide Corporation,http://zolmax.com/?p=2372354,False,5.925
894,1016613564931551200,"['head', 'to', 'head', 'survey', 'wyndham', 'worldwide', 'wyn', 'and', 'wyndham', 'hotels', 'amp', 'resorts', 'wh', 'httpstcosrsnpelrcn']",Tue Jul 10 09:22:16 +0000 2018,ConsumerFeed,WYN,Wyndham Worldwide Corporation,http://zpr.io/6Tw7t,False,5.819999999999999
1471,1016777550679494700,"['wyn', 'alert', 'new', 'wyndham', 'destinations', 'sec', 'filing', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Tue Jul 10 20:13:53 +0000 2018,Allstocknews,WYN,Wyndham Worldwide Corporation,,False,5.575555555555556
1477,1016779409683042300,"['capital', 'research', 'global', 'investors', 'has', 'closed', 'their', 'entire', 'position', 'in', 'wyn', 'httpstcoekjkazb']",Tue Jul 10 20:21:16 +0000 2018,fintel_io,WYN,Wyndham Worldwide Corporation,https://fintel.io/so/us/wyn,False,5.512
3114,1017376413282861000,"['comparing', 'wyndham', 'hotels', 'amp', 'resorts', 'wh', 'amp', 'wyndham', 'worldwide', 'wyn', 'httpstcogqcshyh']",Thu Jul 12 11:53:33 +0000 2018,ledgerzette,WYN,Wyndham Worldwide Corporation,http://ledgergazette.com/?p=2821521,False,5.925
3451,1017429951119876100,"['as', 'wyndham', 'worldwide', 'wyn', 'stock', 'declined', 'affinity', 'investment', 'advisors', 'trimmed', 'stake', 'by', 'wilkins', 'investmen', 'httpstcoqpwrulinjc']",Thu Jul 12 15:26:17 +0000 2018,The_CasualSmart,WYN,Wyndham Worldwide Corporation,https://twitter.com/i/web/status/1017429951119876096,False,5.222857142857143
6924,1018330666088493000,"['wyndham', 'worldwide', 'wyn', 'versus', 'monarch', 'casino', 'amp', 'resort', 'mcri', 'financial', 'contrast', 'httpstcobpnmwna']",Sun Jul 15 03:05:25 +0000 2018,TickerReport,WYN,Wyndham Worldwide Corporation,http://tickerreport.com/?p=3634823,False,5.757142857142857
