,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
1716,1016914165687038000,"['q', 'eps', 'estimates', 'for', 'cimarex', 'energy', 'co', 'xec', 'increased', 'by', 'jefferies', 'financial', 'group', 'httpstcovwauhaka']",Wed Jul 11 05:16:45 +0000 2018,TheMarketsDaily,XEC,Cimarex Energy Co.,http://zpr.io/6aG5g,False,5.555555555555555
1815,1016986584451813400,"['q', 'eps', 'estimates', 'for', 'cimarex', 'energy', 'co', 'xec', 'increased', 'by', 'jefferies', 'financial', 'group', 'httpstcoluahdxuhs']",Wed Jul 11 10:04:31 +0000 2018,MareaInformativ,XEC,Cimarex Energy Co.,http://www.mareainformativa.com/?p=420695,False,5.555555555555555
1816,1016986624461328400,"['million', 'in', 'sales', 'expected', 'for', 'cimarex', 'energy', 'co', 'xec', 'this', 'quarter', 'httpstcolzqqbipi']",Wed Jul 11 10:04:40 +0000 2018,MareaInformativ,XEC,Cimarex Energy Co.,http://www.mareainformativa.com/?p=420675,False,5.8244444444444445
1869,1017000124793450500,"['video', 'swing', 'trading', 'today', 'swingtrading', 'stockmarket', 'yieldcurve', 'investing', 'spy', 'fxy', 'qqq', 'uup', 'gld', 'ung', 'vix', 'httpstcoottyksvw']",Wed Jul 11 10:58:19 +0000 2018,ContrarianTrade,XEC,Cimarex Energy Co.,https://twitter.com/i/web/status/1017000124793450497,False,5.926666666666667
1948,1017021516658151400,"['jefferies', 'financial', 'group', 'lowers', 'cimarex', 'energy', 'q', 'earnings', 'estimates', 'to', 'eps', 'previously', 'httpstcomcirgchz']",Wed Jul 11 12:23:19 +0000 2018,RatingsNetwork,XEC,Cimarex Energy Co.,https://twitter.com/i/web/status/1017021516658151426,False,5.6875
2044,1017041700857024500,"['cimarex', 'energy', 'co', 'to', 'post', 'q', 'earnings', 'of', 'per', 'share', 'jefferies', 'financial', 'group', 'forecasts', 'xec', 'httpstcolfwadhgm']",Wed Jul 11 13:43:31 +0000 2018,ConsumerFeed,XEC,Cimarex Energy Co.,http://zpr.io/6aYM3,False,5.709090909090909
2744,1017249201271390200,"['jimcramer', 'i', 'cashed', 'in', 'on', 'xec', 'at', 'bought', 'at', 'purchased', 'bp', 'at', 'and']",Thu Jul 12 03:28:03 +0000 2018,ramprat99,XEC,Cimarex Energy Co.,,False,5.508888888888889
2802,1017281212975591400,"['q', 'eps', 'estimates', 'for', 'cimarex', 'energy', 'co', 'raised', 'by', 'jefferies', 'financial', 'group', 'xec', 'httpstcopwxqupke']",Thu Jul 12 05:35:16 +0000 2018,TranscriptDaily,XEC,Cimarex Energy Co.,http://zpr.io/6arj5,False,5.575555555555557
2839,1017296031581696000,"['equities', 'analysts', 'issue', 'forecasts', 'for', 'cimarex', 'energy', 'cos', 'q', 'earnings', 'xec', 'httpstcoujsoycw']",Thu Jul 12 06:34:09 +0000 2018,ThisLincolnian,XEC,Cimarex Energy Co.,http://thelincolnianonline.com/?p=2178009,False,5.537142857142856
2929,1017334593677070300,"['zacks', 'brokerages', 'expect', 'cimarex', 'energy', 'co', 'xec', 'to', 'post', 'eps', 'httpstcoogkvbn']",Thu Jul 12 09:07:22 +0000 2018,ledgerzette,XEC,Cimarex Energy Co.,http://ledgergazette.com/?p=2821125,False,5.704000000000001
2949,1017337143121924100,"['cimarex', 'energy', 'co', 'xec', 'holder', 'sei', 'investments', 'company', 'decreased', 'its', 'stake', 'by', 'million', 'as', 'stock', 'value', 'declined', 'httpstcopmoerex']",Thu Jul 12 09:17:30 +0000 2018,The_CasualSmart,XEC,Cimarex Energy Co.,https://twitter.com/i/web/status/1017337143121924097,False,5.36
3051,1017361563928449000,"['seaport', 'global', 'securities', 'lowers', 'cimarex', 'energy', 'q', 'earnings', 'estimates', 'to', 'eps', 'previously', 'httpstcokgjmkbxyfu']",Thu Jul 12 10:54:33 +0000 2018,RatingsNetwork,XEC,Cimarex Energy Co.,https://twitter.com/i/web/status/1017361563928449025,False,5.692499999999999
