,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
622,1016435833136734200,"['xl', 'group', 'ltd', 'xl', 'analysts', 'see', 'eps', 'httpstcotonqbuyt']",Mon Jul 09 21:36:01 +0000 2018,whatsonthorold2,XL,XL Group Ltd,https://www.whatsonthorold.com/2018/07/09/xl-group-ltd-xl-analysts-see-0-85-eps-2/,False,5.449999999999999
623,1016436101538631700,"['analysts', 'see', 'eps', 'for', 'xl', 'group', 'ltd', 'xl', 'httpstcodursbyn']",Mon Jul 09 21:37:05 +0000 2018,reurope_stock,XL,XL Group Ltd,https://reurope.com/2018/07/09/analysts-see-0-85-eps-for-xl-group-ltd-xl-2/,False,5.404
624,1016436169297588200,"['analysts', 'see', 'eps', 'for', 'xl', 'group', 'ltd', 'xl', 'httpstcocjznnltk']",Mon Jul 09 21:37:21 +0000 2018,bibeypost_stock,XL,XL Group Ltd,https://www.bibeypost.com/analysts-see-0-85-eps-for-xl-group-ltd-xl-2/,False,5.404
671,1016450811507986400,"['xl', 'group', 'ltd', 'xl', 'receives', 'consensus', 'rating', 'of', 'hold', 'from', 'brokerages', 'httpstcokdfausqa']",Mon Jul 09 22:35:32 +0000 2018,EnterpriseLeade,XL,XL Group Ltd,http://theenterpriseleader.com/?p=976126,False,5.53625
674,1016451373154684900,"['xl', 'group', 'ltd', 'xl', 'given', 'consensus', 'rating', 'of', 'hold', 'by', 'analysts', 'httpstcojeskmcu']",Mon Jul 09 22:37:46 +0000 2018,MareaInformativ,XL,XL Group Ltd,http://www.mareainformativa.com/?p=412681,False,5.413333333333333
1075,1016672018379477000,"['the', 'best', 'largecap', 'stocks', 'in', 'the', 'first', 'half', 'of', 'httpstcoewkzakefnd', 'abmd', 'nflx', 'twtr', 'trip', 'xl', 'httpstcoretukzkw']",Tue Jul 10 13:14:32 +0000 2018,JorelLaraKalel,XL,XL Group Ltd,http://bit.ly/2ukQoVU,False,5.706666666666667
1080,1016673438583476200,"['xlgroup', 'xl', 'bidaskscore', 'is', 'downgraded', 'to', 'sold']",Tue Jul 10 13:20:11 +0000 2018,BACScoreChanges,XL,XL Group Ltd,,False,5.173333333333333
1166,1016697074841251800,"['just', 'closed', 'my', 'calls', 'made', 'k', 'yasss', 'thanks', 'to', 'the', 'option', 'trades', 'from', 'httpstcokrhozax', 'infy', 'iclr', 'spy', 'httpstcouajxckqaep']",Tue Jul 10 14:54:06 +0000 2018,BradTHughes1,XL,XL Group Ltd,http://Optionsbypros.com,False,5.390000000000001
1203,1016707018042806300,"['xl', 'high', 'oi', 'range', 'is', 'to', 'for', 'option', 'expiration', 'maxpain', 'options', 'httpstcogbrgixjgc', 'httpstcobtbkv']",Tue Jul 10 15:33:37 +0000 2018,optioncharts,XL,XL Group Ltd,http://maximum-pain.com/options/open-interest/XL,False,5.5775
1394,1016758269119955000,"['xl', 'max', 'pain', 'is', 'for', 'maturity', 'maxpain', 'options', 'httpstcollvjjwjgx', 'httpstcoxdusklvd']",Tue Jul 10 18:57:16 +0000 2018,optioncharts,XL,XL Group Ltd,http://maximum-pain.com/options/max-pain/XL,False,4.888
3220,1017398550060077000,"['spx', 'spy', 'stockmarket', 'xl', 'httpstcovqnojrhn']",Thu Jul 12 13:21:31 +0000 2018,esimong,XL,XL Group Ltd,,False,4.24
3395,1017419498637447200,"['xl', 'group', 'ltd', 'xl', 'receives', 'consensus', 'pt', 'from', 'analysts', 'httpstcokafigbeue']",Thu Jul 12 14:44:45 +0000 2018,ThisLincolnian,XL,XL Group Ltd,http://thelincolnianonline.com/?p=2179104,False,5.435714285714285
4900,1017758338438828000,"['xl', 'acquisition', 'by', 'axa', 'group', 'for', 'cash', 'shr', 'files', 'for', 'antitrust', 'review', 'by', 'european', 'commission', 'provisional', 'd', 'httpstcokesuahilw']",Fri Jul 13 13:11:11 +0000 2018,ArbitrOption,XL,XL Group Ltd,https://twitter.com/i/web/status/1017758338438828033,False,5.555000000000001
5020,1017778996010836000,"['rt', 'arbitroption', 'xl', 'acquisition', 'by', 'axa', 'group', 'for', 'cash', 'shr', 'files', 'for', 'antitrust', 'review', 'by', 'european', 'commission', 'provisional', 'deadlin']",Fri Jul 13 14:33:16 +0000 2018,mergerpie,XL,XL Group Ltd,,False,5.568333333333334
5133,1017797594473488400,"['rt', 'arbitroption', 'xl', 'acquisition', 'by', 'axa', 'group', 'for', 'cash', 'shr', 'files', 'for', 'antitrust', 'review', 'by', 'european', 'commission', 'provisional', 'deadlin']",Fri Jul 13 15:47:10 +0000 2018,Arbtrader69,XL,XL Group Ltd,,False,5.568333333333334
6350,1018217735468277800,"['xl', 'max', 'pain', 'is', 'for', 'maturity', 'maxpain', 'options', 'httpstcollvjjwjgx', 'httpstcolsojuwey']",Sat Jul 14 19:36:40 +0000 2018,optioncharts,XL,XL Group Ltd,http://maximum-pain.com/options/max-pain/XL,False,4.888
11044,1018928963354222600,"['analysts', 'set', 'xl', 'group', 'ltd', 'xl', 'target', 'price', 'at', 'httpstcooekwrkbyb']",Mon Jul 16 18:42:50 +0000 2018,ConsumerFeed,XL,XL Group Ltd,http://zpr.io/6XK5t,False,5.225714285714285
11379,1018951942079475700,"['xl', 'group', 'ltd', 'xl', 'reports', 'increase', 'in', 'sellers', 'strong', 'momentum', 'for', 'short', 'players', 'httpstcowmbwifpek']",Mon Jul 16 20:14:08 +0000 2018,bibeypost_stock,XL,XL Group Ltd,https://www.bibeypost.com/xl-group-ltd-nysexl-reports-increase-in-sellers-strong-momentum-for-short-players/,False,5.608888888888888
13304,1019181185602375700,"['b', 'riley', 'sets', 'xl', 'group', 'q', 'earnings', 'estimates', 'at', 'eps', 'httpstcoepawatb', 'xl', 'xl']",Tue Jul 17 11:25:04 +0000 2018,RatingsNetwork,XL,XL Group Ltd,http://zpr.io/6XF3a,False,5.449999999999999
13397,1019186585802362900,"['xl', 'group', 'ltd', 'forecasted', 'to', 'earn', 'q', 'earnings', 'of', 'per', 'share', 'xl', 'httpstcouerqsemmd']",Tue Jul 17 11:46:32 +0000 2018,WeekHerald,XL,XL Group Ltd,http://weekherald.com/?p=2995448,False,5.782222222222221
13482,1019191311071699000,"['xl', 'group', 'ltd', 'forecasted', 'to', 'earn', 'q', 'earnings', 'of', 'per', 'share', 'xl', 'httpstcoxhvvlrid']",Tue Jul 17 12:05:18 +0000 2018,ThisLincolnian,XL,XL Group Ltd,http://thelincolnianonline.com/?p=2188687,False,5.782222222222221
