,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
889,1016612268057022500,"['xilinx', 'inc', 'xlnx', 'svp', 'william', 'christopher', 'madden', 'sells', 'shares', 'of', 'stock', 'httpstcohilzfqjd']",Tue Jul 10 09:17:07 +0000 2018,TranscriptDaily,XLNX,Xilinx,http://zpr.io/6Twfc,False,5.5371428571428565
953,1016640386654199800,"['mega', 'trends', 'driving', 'stocks', 'regardless', 'of', 'trumptariff', 'ai', 'nvda', 'xlnx', 'ecommerce', 'amzn', 'baba', 'cvna', 'mobil', 'httpstcosjrstwbb']",Tue Jul 10 11:08:51 +0000 2018,Lin_ling_88,XLNX,Xilinx,https://twitter.com/i/web/status/1016640386654199808,False,5.505714285714286
990,1016654027839430700,"['xlnx', 'new', 'insider', 'filing', 'on', 'svp', 'fpga', 'amp', 'silicon', 'tech', 'william', 'christopher', 'madden', 'httpstcoxizhmhgax']",Tue Jul 10 12:03:03 +0000 2018,InsiderAlertsIA,XLNX,Xilinx,http://insideri.com/1731931_000124636018001861_0001246360-18-001861,False,5.711428571428572
1023,1016661142431658000,"['rt', 'linling', 'mega', 'trends', 'driving', 'stocks', 'regardless', 'of', 'trumptariff', 'ai', 'nvda', 'xlnx', 'ecommerce', 'amzn', 'baba', 'cvna', 'mobile', 'payme']",Tue Jul 10 12:31:19 +0000 2018,afhamidnow,XLNX,Xilinx,,False,5.5311111111111115
1237,1016716825701355500,"['tech', 'snapshot', 'noon', 'softwarerelated', 'rs', 'cblk', 'dbx', 'ftnt', 'msft', 'orcl', 'ps', 'pvtl', 'rht', 'shop', 'twlo', 'etc', 'semis', 'actin', 'httpstcovsqgynnm']",Tue Jul 10 16:12:35 +0000 2018,WrigleyTom,XLNX,Xilinx,https://twitter.com/i/web/status/1016716825701355520,False,5.547142857142857
1253,1016721276667400200,"['rt', 'wrigleytom', 'tech', 'snapshot', 'noon', 'softwarerelated', 'rs', 'cblk', 'dbx', 'ftnt', 'msft', 'orcl', 'ps', 'pvtl', 'rht', 'shop', 'twlo', 'etc', 'semis', 'acting', 'well']",Tue Jul 10 16:30:16 +0000 2018,BarrieNJ,XLNX,Xilinx,,False,5.671111111111111
1268,1016726493144272900,"['rt', 'wrigleytom', 'tech', 'snapshot', 'noon', 'softwarerelated', 'rs', 'cblk', 'dbx', 'ftnt', 'msft', 'orcl', 'ps', 'pvtl', 'rht', 'shop', 'twlo', 'etc', 'semis', 'acting', 'well']",Tue Jul 10 16:51:00 +0000 2018,Abkon187,XLNX,Xilinx,,False,5.671111111111111
1279,1016728152754696200,"['rt', 'wrigleytom', 'tech', 'snapshot', 'noon', 'softwarerelated', 'rs', 'cblk', 'dbx', 'ftnt', 'msft', 'orcl', 'ps', 'pvtl', 'rht', 'shop', 'twlo', 'etc', 'semis', 'acting', 'well']",Tue Jul 10 16:57:36 +0000 2018,waterst523,XLNX,Xilinx,,False,5.671111111111111
1285,1016731515349135400,"['xlnx', 'new', 'insider', 'filing', 'on', 'madden', 'william', 'christopher', 'transaction', 'code', 's', 'httpstcobvmlmgjdrz']",Tue Jul 10 17:10:57 +0000 2018,filing_scanner,XLNX,Xilinx,http://www.filingscanner.com/Alerts/XLNX.php,False,5.5325
1461,1016774449117388800,"['rt', 'wrigleytom', 'tech', 'snapshot', 'noon', 'softwarerelated', 'rs', 'cblk', 'dbx', 'ftnt', 'msft', 'orcl', 'ps', 'pvtl', 'rht', 'shop', 'twlo', 'etc', 'semis', 'acting', 'well']",Tue Jul 10 20:01:34 +0000 2018,zhucap,XLNX,Xilinx,,False,5.671111111111111
1470,1016777482102562800,"['rt', 'wrigleytom', 'tech', 'snapshot', 'noon', 'softwarerelated', 'rs', 'cblk', 'dbx', 'ftnt', 'msft', 'orcl', 'ps', 'pvtl', 'rht', 'shop', 'twlo', 'etc', 'semis', 'acting', 'well']",Tue Jul 10 20:13:37 +0000 2018,D_defiler,XLNX,Xilinx,,False,5.671111111111111
1575,1016805249221316600,"['stocks', 'that', 'could', 'be', 'targets', 'httpstcokiyexyqs', 'bb', 'lgfa', 'bmrn', 'amcx', 'xlnx', 'mxim', 'mat', 'rht', 'sjm', 'avav', 'cien', 'sq', 'wynn', 'hain', 'fizz']",Tue Jul 10 22:03:57 +0000 2018,JorelLaraKalel,XLNX,Xilinx,http://bit.ly/2N4OSi9,False,5.1866666666666665
1588,1016812629698990100,"['rt', 'wrigleytom', 'tech', 'snapshot', 'noon', 'softwarerelated', 'rs', 'cblk', 'dbx', 'ftnt', 'msft', 'orcl', 'ps', 'pvtl', 'rht', 'shop', 'twlo', 'etc', 'semis', 'acting', 'well']",Tue Jul 10 22:33:17 +0000 2018,robertorhu,XLNX,Xilinx,,False,5.671111111111111
1676,1016873145616121900,"['xilinx', 'inc', 'xlnx', 'given', 'average', 'recommendation', 'of', 'hold', 'by', 'brokerages', 'httpstcoomkxovn']",Wed Jul 11 02:33:45 +0000 2018,TheMarketsDaily,XLNX,Xilinx,http://zpr.io/6af5m,False,5.193333333333333
1783,1016961803815931900,"['william', 'christopher', 'madden', 'sells', 'shares', 'of', 'xilinx', 'inc', 'xlnx', 'stock', 'httpstcocbzwhh']",Wed Jul 11 08:26:02 +0000 2018,dakotafinancial,XLNX,Xilinx,http://dakotafinancialnews.com/?p=310164,False,5.5371428571428565
2202,1017071316296458200,"['xlnx', 'max', 'pain', 'maturity', 'maxpain', 'options', 'httpstconjotbga', 'httpstcoulyzwywmrr']",Wed Jul 11 15:41:12 +0000 2018,optioncharts,XLNX,Xilinx,http://maximum-pain.com/options/max-pain/XLNX,False,4.680000000000001
2576,1017177429050363900,"['no', 'interesting', 'entry', 'signals', 'for', 'tomorrow', 'but', 'profitable', 'exits', 'in', 'xlnx', 'aph', 'ewz', 'mksi', 'and', 'hal', 'httpstcodenkar']",Wed Jul 11 22:42:51 +0000 2018,Probable_Trades,XLNX,Xilinx,https://twitter.com/i/web/status/1017177429050363904,False,5.391111111111112
2640,1017199063920308200,"['rt', 'probabletrades', 'no', 'interesting', 'entry', 'signals', 'for', 'tomorrow', 'but', 'profitable', 'exits', 'in', 'xlnx', 'aph', 'ewz', 'mksi', 'and', 'hal', 'httpstcojl']",Thu Jul 12 00:08:50 +0000 2018,shodson,XLNX,Xilinx,,False,5.34
2657,1017205544325529600,"['wednesdays', 'trading', 'range', 'highest', 'faded', 'compared', 'to', 'open', 'min', 'amp', 'vol', 'gt', 'k', 'hlf', 'amba', 'httpstcobqqgdrihv']",Thu Jul 12 00:34:35 +0000 2018,15minofPham,XLNX,Xilinx,https://twitter.com/i/web/status/1017205544325529600,False,5.40923076923077
2975,1017343261160169500,"['insider', 'selling', 'xilinx', 'inc', 'xlnx', 'svp', 'sells', 'in', 'stock', 'httpstcoumwpuaf']",Thu Jul 12 09:41:49 +0000 2018,dispatchtribune,XLNX,Xilinx,http://dispatchtribunal.com/?p=2048743,False,5.476000000000001
2980,1017343815944941600,"['insider', 'selling', 'xilinx', 'inc', 'xlnx', 'svp', 'sells', 'shares', 'of', 'stock', 'httpstcovyuocsulg']",Thu Jul 12 09:44:01 +0000 2018,OlympiaReport,XLNX,Xilinx,http://theolympiareport.com/?p=919419,False,5.583333333333333
3195,1017395598520184800,"['xilinx', 'inc', 'xlnx', 'market', 'value', 'declined', 'while', 'ashmore', 'wealth', 'management', 'llc', 'cut', 'by', 'million', 'its', 'stake', 'httpstcotuuwzcmqo']",Thu Jul 12 13:09:47 +0000 2018,whatsonthorold2,XLNX,Xilinx,https://www.whatsonthorold.com/2018/07/12/xilinx-inc-xlnx-market-value-declined-while-ashmore-wealth-management-llc-cut-by-11-01-million-its-stake/,False,5.293333333333333
3196,1017395652643442700,"['xilinx', 'inc', 'xlnx', 'share', 'value', 'declined', 'while', 'ashmore', 'wealth', 'management', 'llc', 'cut', 'its', 'position', 'by', 'million', 'httpstcohfvdjqhk']",Thu Jul 12 13:10:00 +0000 2018,mmahotstuff1,XLNX,Xilinx,https://www.mmahotstuff.com/2018/07/12/xilinx-inc-xlnx-share-value-declined-while-ashmore-wealth-management-llc-cut-its-position-by-11-01-million.html,False,5.405
3199,1017396075873873900,"['xilinx', 'inc', 'xlnx', 'shareholder', 'ashmore', 'wealth', 'management', 'llc', 'has', 'cut', 'its', 'holding', 'httpstcozxhjewiey']",Thu Jul 12 13:11:41 +0000 2018,reurope_stock,XLNX,Xilinx,https://reurope.com/2018/07/12/xilinx-inc-xlnx-shareholder-ashmore-wealth-management-llc-has-cut-its-holding/,False,5.148571428571429
3201,1017396173118824400,"['ashmore', 'wealth', 'management', 'llc', 'has', 'cut', 'its', 'xilinx', 'inc', 'xlnx', 'stake', 'as', 'stock', 'value', 'declined', 'httpstcoqtifzgtu']",Thu Jul 12 13:12:04 +0000 2018,bibeypost_stock,XLNX,Xilinx,https://www.bibeypost.com/ashmore-wealth-management-llc-has-cut-its-xilinx-inc-xlnx-stake-as-stock-value-declined/,False,5.087272727272727
3408,1017423620036063200,"['httpstconvfviyygig', 'xlnx', 'xilinx', 'notable', 'market', 'movement', 'up', 'million', 'gain', 'at', 'billion', 'marketca', 'httpstcoreukumfhw']",Thu Jul 12 15:01:08 +0000 2018,42Stocks,XLNX,Xilinx,http://42stocks.com/sym/xlnx.html,False,6.371428571428572
3440,1017427708928823300,"['httpstcovjkmngxvx', 'adsk', 'amd', 'cvna', 'edu', 'emr', 'fcx', 'fms', 'mu', 'pbr', 'sq', 'stm', 't', 'w', 'xlnx', 'httpstcokvgwwaae']",Thu Jul 12 15:17:23 +0000 2018,42Stocks,XLNX,Xilinx,http://42stocks.com,False,4.946666666666666
