,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
128,1016219229094400000,"['rt', 'themotleyfool', 'trueblue', 'tech', 'plays', 'plus', 'a', 'tooth', 'tech', 'play', 'and', 'all', 'look', 'undervalued', 'ibm', 'mu', 'xray', 'httpstcolrxgdggnl']",Mon Jul 09 07:15:19 +0000 2018,ilginelcora,XRAY,DENTSPLY SIRONA Inc.,https://www.fool.com/investing/2018/07/06/these-3-value-stocks-are-absurdly-cheap-right-now.aspx,False,5.833846153846153
130,1016221676151992300,"['dentsply', 'sirona', 'xray', 'upgraded', 'to', 'hold', 'at', 'bidaskclub', 'httpstcoixdxfydpo']",Mon Jul 09 07:25:02 +0000 2018,ThisLincolnian,XRAY,DENTSPLY SIRONA Inc.,http://thelincolnianonline.com/?p=2171708,False,5.193333333333333
131,1016221768497889300,"['dentsply', 'sirona', 'xray', 'upgraded', 'at', 'bidaskclub', 'httpstcojmfwmjxpyz']",Mon Jul 09 07:25:24 +0000 2018,WeekHerald,XRAY,DENTSPLY SIRONA Inc.,http://weekherald.com/?p=2978344,False,4.9
699,1016468794221518800,"['dentsply', 'sirona', 'inc', 'xray', 'expected', 'to', 'post', 'quarterly', 'sales', 'of', 'billion', 'httpstcotyfcqowc']",Mon Jul 09 23:47:00 +0000 2018,EnterpriseLeade,XRAY,DENTSPLY SIRONA Inc.,http://theenterpriseleader.com/?p=976195,False,5.527500000000001
700,1016468815658577900,"['zacks', 'analysts', 'anticipate', 'dentsply', 'sirona', 'inc', 'xray', 'to', 'announce', 'earnings', 'per', 'share', 'httpstcoifmizjdp']",Mon Jul 09 23:47:05 +0000 2018,TranscriptDaily,XRAY,DENTSPLY SIRONA Inc.,http://zpr.io/6TmMx,False,5.668571428571428
729,1016494030971121700,"['took', 'my', 'k', 'account', 'to', 'k', 'today', 'using', 'option', 'trades', 'from', 'httpstcooepfsucl', 'yassss', 'tsro', 'duk', 'ctl', 'hain', 'httpstcowttwcv']",Tue Jul 10 01:27:17 +0000 2018,mikeguerin13,XRAY,DENTSPLY SIRONA Inc.,http://Optionsbypros.com,False,5.3740000000000006
740,1016501592328204300,"['dentsply', 'sirona', 'inc', 'xray', 'given', 'consensus', 'rating', 'of', 'hold', 'by', 'analysts', 'httpstcolpjbtidr']",Tue Jul 10 01:57:19 +0000 2018,OlympiaReport,XRAY,DENTSPLY SIRONA Inc.,http://theolympiareport.com/?p=914019,False,5.3375
741,1016501694262382600,"['dentsply', 'sirona', 'inc', 'xray', 'receives', 'consensus', 'recommendation', 'of', 'hold', 'from', 'brokerages', 'httpstcoworaoxne']",Tue Jul 10 01:57:44 +0000 2018,WeekHerald,XRAY,DENTSPLY SIRONA Inc.,http://weekherald.com/?p=2979848,False,5.455000000000001
833,1016559717014007800,"['dentsply', 'sirona', 'xray', 'stock', 'rating', 'upgraded', 'by', 'bidaskclub', 'httpstcobtvhtxxfti']",Tue Jul 10 05:48:17 +0000 2018,dispatchtribune,XRAY,DENTSPLY SIRONA Inc.,http://dispatchtribunal.com/?p=2043658,False,5.44
834,1016560473511268400,"['dentsply', 'sirona', 'xray', 'stock', 'rating', 'upgraded', 'by', 'bidaskclub', 'httpstcoehkkignwo']",Tue Jul 10 05:51:18 +0000 2018,OlympiaReport,XRAY,DENTSPLY SIRONA Inc.,http://theolympiareport.com/?p=914208,False,5.44
1310,1016739602101661700,"['algn', 'v', 'xray', 'incredible', 'x', 'v', 'x', 'fwd', 'eps', 'x', 'peg', 'on', 'est', 'eps', 'next', 'yrs', 'vs', 'peg', 'on', 'growth', 'est', 'next', 'httpstcozrfzkdnv']",Tue Jul 10 17:43:05 +0000 2018,johnrlaughlin,XRAY,DENTSPLY SIRONA Inc.,https://twitter.com/i/web/status/1016739602101661697,False,5.302666666666667
1694,1016889836781875200,"['xray', 'high', 'oi', 'range', 'is', 'to', 'for', 'option', 'expiration', 'maxpain', 'options', 'httpstcojjsskds', 'httpstcocczognwy']",Wed Jul 11 03:40:04 +0000 2018,optioncharts,XRAY,DENTSPLY SIRONA Inc.,http://maximum-pain.com/options/open-interest/XRAY,False,5.5775
1897,1017011667484463100,"['xray', 'with', 'bottoming', 'pattern', 'over', 'ema', 'could', 'get', 'legs', 'into', 'opex', 'w', 'chunk', 'of', 'july', 'c', 'amp', 'c', 'in', 'oi', 'httpstcocwimxismco']",Wed Jul 11 11:44:11 +0000 2018,gtlackey,XRAY,DENTSPLY SIRONA Inc.,,False,5.294666666666667
2736,1017245944239284200,"['dentsply', 'sirona', 'inc', 'xray', 'expected', 'to', 'announce', 'earnings', 'of', 'per', 'share', 'httpstcoodzzuzkrh']",Thu Jul 12 03:15:07 +0000 2018,WeekHerald,XRAY,DENTSPLY SIRONA Inc.,http://weekherald.com/?p=2984451,False,5.6675
2737,1017246141690318800,"['dentsply', 'sirona', 'inc', 'xray', 'expected', 'to', 'post', 'quarterly', 'sales', 'of', 'billion', 'httpstcokdrscpfzss']",Thu Jul 12 03:15:54 +0000 2018,dispatchtribune,XRAY,DENTSPLY SIRONA Inc.,http://dispatchtribunal.com/?p=2047997,False,5.527500000000001
2740,1017246331784572900,"['dentsply', 'sirona', 'inc', 'xray', 'expected', 'to', 'post', 'quarterly', 'sales', 'of', 'billion', 'httpstconjousjwo']",Thu Jul 12 03:16:39 +0000 2018,TranscriptDaily,XRAY,DENTSPLY SIRONA Inc.,http://zpr.io/6aC9e,False,5.527500000000001
3753,1017473564465823700,"['essex', 'financial', 'services', 'has', 'boosted', 'atampt', 't', 'stake', 'by', 'dentsply', 'sirona', 'xray', 'sellers', 'increased', 'by', 'th', 'httpstcordztsadhxd']",Thu Jul 12 18:19:36 +0000 2018,The_CasualSmart,XRAY,DENTSPLY SIRONA Inc.,https://twitter.com/i/web/status/1017473564465823745,False,5.268888888888888
4148,1017548354870501400,"['stifel', 'algn', 'the', 'most', 'controversial', 'topics', 'may', 'be', 'na', 'relinquishing', 'and', 'then', 'regaining', 'its', 'spot', 'as', 'the', 'invisali', 'httpstcowuohrivi']",Thu Jul 12 23:16:47 +0000 2018,JayIKyle,XRAY,DENTSPLY SIRONA Inc.,https://twitter.com/i/web/status/1017548354870501378,False,5.28
5477,1017863798865252400,"['xray', 'dentsply', 'sirona', 'inc', 'sec', 'filing', 'form', 'httpstcovqmrpfwaf']",Fri Jul 13 20:10:15 +0000 2018,StockTexts,XRAY,DENTSPLY SIRONA Inc.,http://www.sec.gov/Archives/edgar/data/818479/000112760218023179/xslF345X03/form4.xml,False,5.05
5482,1017864504313630700,"['xray', 'new', 'insider', 'filing', 'on', 'director', 'david', 'beecken', 'httpstcoutfawbvrbt']",Fri Jul 13 20:13:03 +0000 2018,InsiderAlertsIA,XRAY,DENTSPLY SIRONA Inc.,http://insideri.com/1367164_000112760218023179_0001127602-18-023179,False,5.720000000000001
5490,1017865354486435800,"['xray', 'dentsply', 'sirona', 'inc', 'sec', 'filing', 'form', 'httpstcofffqiurm']",Fri Jul 13 20:16:26 +0000 2018,StockTexts,XRAY,DENTSPLY SIRONA Inc.,http://www.sec.gov/Archives/edgar/data/818479/000112760218023189/xslF345X03/form4.xml,False,5.05
5523,1017872958340190200,"['xray', 'dentsply', 'sirona', 'inc', 'sec', 'filing', 'form', 'httpstcoetjbxdrqep']",Fri Jul 13 20:46:39 +0000 2018,StockTexts,XRAY,DENTSPLY SIRONA Inc.,http://www.sec.gov/Archives/edgar/data/818479/000112760218023198/xslF345X03/form4.xml,False,5.05
5526,1017874065229353000,"['wondering', 'about', 'risks', 'of', 'xray', 'the', 'day', 'volatility', 'is', 'httpstcoehraiff']",Fri Jul 13 20:51:02 +0000 2018,1MinuteStock,XRAY,DENTSPLY SIRONA Inc.,https://unicornbay.com/t/XRAY.US?utm_medium=tweet&utm_campaign=volatility&utm_source=twitter,False,5.185714285714285
5531,1017875489829072900,"['xray', 'dentsply', 'sirona', 'inc', 'sec', 'filing', 'form', 'httpstcophctff']",Fri Jul 13 20:56:42 +0000 2018,StockTexts,XRAY,DENTSPLY SIRONA Inc.,http://www.sec.gov/Archives/edgar/data/818479/000112760218023206/xslF345X03/form4.xml,False,5.05
5536,1017876427016814600,"['popular', 'adax', 'btcx', 'batx', 'xlmx', 'xrpx', 'zecx', 'xray', 'rp', 'coup', 'cys', 'wpx', 'spa', 'sgmo', 'loop']",Fri Jul 13 21:00:26 +0000 2018,LargeVoidBot,XRAY,DENTSPLY SIRONA Inc.,,False,6.326666666666667
5615,1017906276959809500,"['wondering', 'about', 'risks', 'of', 'xray', 'the', 'day', 'volatility', 'is', 'httpstcohqxcvmpx']",Fri Jul 13 22:59:02 +0000 2018,TheUnicornBay,XRAY,DENTSPLY SIRONA Inc.,https://unicornbay.com/t/XRAY.US?utm_medium=tweet&utm_campaign=volatility&utm_source=twitter,False,5.185714285714285
5625,1017911129664839700,"['eps', 'for', 'dentsply', 'sirona', 'inc', 'xray', 'expected', 'at', 'httpstcozhhgabg']",Fri Jul 13 23:18:19 +0000 2018,whatsonthorold2,XRAY,DENTSPLY SIRONA Inc.,https://www.whatsonthorold.com/2018/07/13/eps-for-dentsply-sirona-inc-xray-expected-at-0-59/,False,5.140000000000001
5626,1017911212070391800,"['eps', 'for', 'dentsply', 'sirona', 'inc', 'xray', 'expected', 'at', 'httpstcoarluvvgpmf']",Fri Jul 13 23:18:39 +0000 2018,mmahotstuff1,XRAY,DENTSPLY SIRONA Inc.,https://www.mmahotstuff.com/2018/07/13/eps-for-dentsply-sirona-inc-xray-expected-at-0-59-2.html,False,5.140000000000001
5627,1017911409227845600,"['dentsply', 'sirona', 'inc', 'xray', 'analysts', 'see', 'eps', 'httpstcoxvklab']",Fri Jul 13 23:19:26 +0000 2018,reurope_stock,XRAY,DENTSPLY SIRONA Inc.,https://reurope.com/2018/07/13/dentsply-sirona-inc-xray-analysts-see-0-59-eps-2/,False,5.259999999999999
5628,1017911476810666000,"['analysts', 'see', 'eps', 'for', 'dentsply', 'sirona', 'inc', 'xray', 'httpstcoarlciebq']",Fri Jul 13 23:19:42 +0000 2018,bibeypost_stock,XRAY,DENTSPLY SIRONA Inc.,https://www.bibeypost.com/analysts-see-0-59-eps-for-dentsply-sirona-inc-xray/,False,5.249999999999999
