,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
37,1016096101588353000,"['do', 'you', 'know', 'that', 'book', 'value', 'for', 'xyl', 'is', 'httpstcopnnyvkf']",Sun Jul 08 23:06:03 +0000 2018,1MinuteStock,XYL,Xylem Inc.,https://unicornbay.com/t/XYL.US?utm_medium=tweet&utm_campaign=bookvalue&utm_source=twitter,False,5.88
372,1016338442748383200,"['xyl', 'us', 'firm', 'helps', 'thai', 'rescuers', 'pump', 'water', 'from', 'cave', 'to', 'save', 'boys', 'via', 'httpstcojurzdympxi']",Mon Jul 09 15:09:02 +0000 2018,finzine,XYL,Xylem Inc.,http://www.hvper.com/?ref=ftw,False,5.850833333333334
434,1016357446422388700,"['xyl', 'httpstcoejvrnfsn']",Mon Jul 09 16:24:32 +0000 2018,SeekingAlpha,XYL,Xylem Inc.,https://seekingalpha.com/article/4186123-sustainable-solutions-xylem-poised-future?source=feed_f,False,0.0
451,1016361455195705300,"['rt', 'seekingalpha', 'xyl', 'httpstcoejvrnfsn']",Mon Jul 09 16:40:28 +0000 2018,Watershed_Ltd,XYL,Xylem Inc.,https://seekingalpha.com/article/4186123-sustainable-solutions-xylem-poised-future?source=feed_f,False,4.88
520,1016391395580530700,"['sustainable', 'solutions', 'xylem', 'poised', 'for', 'the', 'future', 'xyl', 'brasklapp', 'lng', 'httpstcozibqawvoo', 'httpstconbxkwxmv']",Mon Jul 09 18:39:27 +0000 2018,StefanThelenius,XYL,Xylem Inc.,http://z2036.blogspot.com/2018/02/xylem-bra-flyt-framat.html,False,5.9
587,1016419395889922000,"['httpstcodldhsphn', 'xyl', 'xylem', 'notable', 'market', 'movement', 'up', 'million', 'gain', 'at', 'billion', 'marketcap', 'httpstcozwhngcl']",Mon Jul 09 20:30:42 +0000 2018,42Stocks,XYL,Xylem Inc.,http://42stocks.com/sym/xyl.html,False,6.371428571428572
952,1016639772037668900,"['xyl', 'manchester', 'city', 'announces', 'new', 'global', 'partnership', 'with', 'xylem', 'from', 'our', 'stock', 'news', 'alerts', 'app']",Tue Jul 10 11:06:24 +0000 2018,Allstocknews,XYL,Xylem Inc.,,False,5.808333333333333
1126,1016686992640348200,"['xyl', 'a', 'us', 'firm', 'is', 'helping', 'thai', 'rescuers', 'pump', 'water', 'from', 'cave', 'to', 'save', 'trapped', 'boys', 'httpstcoouuzqxok', 'via', 'business']",Tue Jul 10 14:14:02 +0000 2018,DAG_Investments,XYL,Xylem Inc.,https://www.bloomberg.com/news/articles/2018-07-09/u-s-firm-helps-thai-rescuers-pump-water-from-cave-to-save-boys,False,5.639375
1147,1016691864483844100,"['xyleminc', 'xyl', 'and', 'manchestercity', 'partnership', 'httpstcoqcdjqsze']",Tue Jul 10 14:33:24 +0000 2018,DAG_Investments,XYL,Xylem Inc.,,False,5.82
1523,1016795713299152900,"['analysts', 'see', 'eps', 'for', 'xylem', 'inc', 'xyl', 'httpstcorcwvdsr']",Tue Jul 10 21:26:03 +0000 2018,whatsonthorold2,XYL,Xylem Inc.,https://www.whatsonthorold.com/2018/07/10/analysts-see-0-71-eps-for-xylem-inc-xyl-2/,False,5.249999999999999
