,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
5405,1017848467400474600,"['cetx', 'cemtrex', 'experiencing', 'considerable', 'demand', 'in', 'smartdesk', 'with', 'euphoric', 'reception', 'at', 'pepcoms', 'digital', 'east', 'event', 'httpstcompxsmxizuh']",Fri Jul 13 19:09:19 +0000 2018,StocksHighAlert,YNDX,Yandex N.V.,https://twitter.com/i/web/status/1017848467400474624,False,5.67111111111111
5606,1017902764305854500,"['watch', 'the', 'latest', 'stocks', 'signals', 'video', 'for', 'hotstocks', 'hd', 'ttwo', 'yndx', 'using', 'the', 'tradethefifth', 'elliottwave', 'indi', 'httpstcodydlklrhp']",Fri Jul 13 22:45:05 +0000 2018,mytradingbuddy,YNDX,Yandex N.V.,https://twitter.com/i/web/status/1017902764305854464,False,5.498
5700,1017945164109606900,"['rt', 'luckyhappens', 'fusz', 'traders', 'are', 'falling', 'asleep', 'here', 'and', 'thats', 'the', 'best', 'time', 'to', 'load', 'upits', 'about', 'to', 'take', 'off', 'stng', 'f', 'dal', 'uvxy']",Sat Jul 14 01:33:34 +0000 2018,Looeyskilz,YNDX,Yandex N.V.,,False,5.135555555555555
5714,1017952279822000100,"['rt', 'luckyhappens', 'fusz', 'traders', 'are', 'falling', 'asleep', 'here', 'and', 'thats', 'the', 'best', 'time', 'to', 'load', 'upits', 'about', 'to', 'take', 'off', 'stng', 'f', 'dal', 'uvxy']",Sat Jul 14 02:01:50 +0000 2018,MrMacMan18,YNDX,Yandex N.V.,,False,5.135555555555555
5843,1018064995836399600,"['th', 'street', 'asset', 'management', 'company', 'has', 'lowered', 'apple', 'com', 'aapl', 'stake', 'by', 'million', 'share', 'price', 'rose', 'as', 'yand', 'httpstcoivvbwjti']",Sat Jul 14 09:29:44 +0000 2018,beyond_ninety,YNDX,Yandex N.V.,https://twitter.com/i/web/status/1018064995836399617,False,5.778666666666667
5852,1018071595133304800,"['rt', 'tradethefifth', 'watch', 'the', 'latest', 'stocks', 'signals', 'video', 'for', 'hotstocks', 'hd', 'ttwo', 'yndx', 'using', 'our', 'elliottwave', 'indicator', 'suite', 'gtgtgtheregt']",Sat Jul 14 09:55:57 +0000 2018,PBratbyOfficial,YNDX,Yandex N.V.,,False,5.6049999999999995
5869,1018076342389231600,"['rt', 'luckyhappens', 'fusz', 'traders', 'are', 'falling', 'asleep', 'here', 'and', 'thats', 'the', 'best', 'time', 'to', 'load', 'upits', 'about', 'to', 'take', 'off', 'stng', 'f', 'dal', 'uvxy']",Sat Jul 14 10:14:49 +0000 2018,Robert95472942,YNDX,Yandex N.V.,,False,5.135555555555555
6136,1018137079061143600,"['rt', 'tradethefifth', 'watch', 'the', 'latest', 'stocks', 'signals', 'video', 'for', 'hotstocks', 'hd', 'ttwo', 'yndx', 'using', 'our', 'elliottwave', 'indicator', 'suite', 'gtgtgtheregt']",Sat Jul 14 14:16:10 +0000 2018,MoHaMeD55622976,YNDX,Yandex N.V.,,False,5.6049999999999995
6628,1018258552501268500,"['analyzing', 'jianpu', 'technology', 'jt', 'and', 'yandex', 'yndx', 'httpstcowkiyabcca']",Sat Jul 14 22:18:51 +0000 2018,ZolmaxNews,YNDX,Yandex N.V.,http://zolmax.com/?p=2380423,False,5.98
6659,1018265148346261500,"['watch', 'the', 'latest', 'stocks', 'signals', 'video', 'for', 'hotstocks', 'hd', 'ttwo', 'yndx', 'using', 'the', 'tradethefifth', 'elliottwave', 'indi', 'httpstcoqdzxytqjg']",Sat Jul 14 22:45:04 +0000 2018,mytradingbuddy,YNDX,Yandex N.V.,https://twitter.com/i/web/status/1018265148346261505,False,5.498
