,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
1252,1016720722377527300,"['rt', 'shannansiemens', 'now', 'halftimereport', 'petenajarian', 'give', 'me', 'a', 'choice', 'of', 'being', 'in', 'cmg', 'or', 'yum', 'right', 'now', 'and', 'i', 'pick', 'yum', 'maybe', 'ky', 'isnt']",Tue Jul 10 16:28:04 +0000 2018,petenajarian,YUM,YUM! Brands,,True,5.721052631578948
1270,1016726706143588400,"['usda', 'to', 'increase', 'its', 'fcast', 'for', 'domestic', 'grain', 'stockpiles', 'for', 'this', 'yr', 'amp', 'next', 'due', 'to', 'china', 'tariffs', 'mcd', 'qsr', 'yum', 'httpstconstlxdhkv']",Tue Jul 10 16:51:51 +0000 2018,Ro_Patel,YUM,YUM! Brands,https://twitter.com/i/web/status/1016726706143588352,False,5.409333333333333
1348,1016747483551227900,"['yum', 'i', 'am', 'for', 'a', 'sap', 'bit', 'for', 'cubs', 'eat', 'too', 'hot']",Tue Jul 10 18:14:24 +0000 2018,stockbard,YUM,YUM! Brands,,False,5.589999999999999
1383,1016755031339622400,"['ten', 'cubs', 'ago', 'hum', 'mr', 'acre', 'at', 'men', 'yum', 'he', 'met', 'ms', 'keg']",Tue Jul 10 18:44:24 +0000 2018,stockbard,YUM,YUM! Brands,,False,5.489
1663,1016860728433799200,"['hum', 'out', 'men', 'i', 'am', 'one', 'inn', 'yum', 'he', 'yelp', 'ms', 'sid']",Wed Jul 11 01:44:24 +0000 2018,stockbard,YUM,YUM! Brands,,False,5.593000000000001
1695,1016890920678101000,"['i', 'am', 'emo', 'hum', 'for', 'keys', 'yum', 'im', 'ms', 'cab']",Wed Jul 11 03:44:23 +0000 2018,stockbard,YUM,YUM! Brands,,False,5.453000000000001
1719,1016917302065926100,"['yum', 'brands', 'inc', 'yum', 'expected', 'to', 'post', 'quarterly', 'sales', 'of', 'billion', 'httpstcozkeublblt']",Wed Jul 11 05:29:12 +0000 2018,WatchlistN,YUM,YUM! Brands,http://zpr.io/6aGen,False,5.834545454545454
1764,1016943752294883300,"['met', 'one', 'ice', 'at', 'data', 'bam', 'i', 'am', 'for', 'data', 'yum', 'i', 'see', 'my', 'boot']",Wed Jul 11 07:14:19 +0000 2018,stockbard,YUM,YUM! Brands,,False,5.668000000000001
1773,1016951274527486000,"['i', 'fly', 'one', 'yum', 'i', 'ace', 'all', 'dang']",Wed Jul 11 07:44:12 +0000 2018,stockbard,YUM,YUM! Brands,,False,5.99
1823,1016989353711755300,"['billion', 'in', 'sales', 'expected', 'for', 'yum', 'brands', 'inc', 'yum', 'this', 'quarter', 'httpstcolljeoroseo']",Wed Jul 11 10:15:31 +0000 2018,MareaInformativ,YUM,YUM! Brands,http://www.mareainformativa.com/?p=420886,False,5.918181818181819
2020,1017034809078632400,"['macd', 'turning', 'bullish', 'for', 'v', 'wynn', 'watt', 'yum', 'zgnx', 'stocks', 'gaining', 'momentumcheck', 'the', 'full', 'list', 'of', 'technicals', 'he', 'httpstcoczvbzdnamn']",Wed Jul 11 13:16:08 +0000 2018,amigobulls,YUM,YUM! Brands,https://twitter.com/i/web/status/1017034809078632448,False,5.468
