,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
167,1016253106252931100,"['zacks', 'investment', 'research', 'upgrades', 'zimmer', 'biomet', 'zbh', 'to', 'hold', 'httpstcogioszik']",Mon Jul 09 09:29:56 +0000 2018,TheMarketsDaily,ZBH,Zimmer Biomet Holdings,http://zpr.io/6TfXj,False,5.74
555,1016409821539635200,"['zacks', 'brokerages', 'anticipate', 'zimmer', 'biomet', 'holdings', 'inc', 'zbh', 'will', 'post', 'quarterly', 'sales', 'of', 'billion', 'httpstcoiadxgkhxm']",Mon Jul 09 19:52:40 +0000 2018,TheMarketsDaily,ZBH,Zimmer Biomet Holdings,http://zpr.io/6TsDH,False,5.632499999999999
556,1016410180358230000,"['brokerages', 'expect', 'zimmer', 'biomet', 'holdings', 'inc', 'zbh', 'will', 'announce', 'earnings', 'of', 'per', 'share', 'httpstcolmczbdeiu']",Mon Jul 09 19:54:05 +0000 2018,ledgerzette,ZBH,Zimmer Biomet Holdings,http://ledgergazette.com/?p=2815670,False,5.786666666666666
557,1016410227355340800,"['zimmer', 'biomet', 'holdings', 'inc', 'zbh', 'expected', 'to', 'post', 'earnings', 'of', 'per', 'share', 'httpstcouqmbcoywku']",Mon Jul 09 19:54:16 +0000 2018,dakotafinancial,ZBH,Zimmer Biomet Holdings,http://dakotafinancialnews.com/?p=307214,False,5.631111111111111
558,1016410402605948900,"['zimmer', 'biomet', 'holdings', 'inc', 'zbh', 'expected', 'to', 'post', 'earnings', 'of', 'per', 'share', 'httpstcoxqgordtvie']",Mon Jul 09 19:54:58 +0000 2018,MareaInformativ,ZBH,Zimmer Biomet Holdings,http://www.mareainformativa.com/?p=412026,False,5.631111111111111
932,1016631773126590500,"['zimmer', 'biomet', 'zbh', 'upgraded', 'by', 'zacks', 'investment', 'research', 'to', 'hold', 'httpstcoyrcmgfrni']",Tue Jul 10 10:34:37 +0000 2018,EnterpriseLeade,ZBH,Zimmer Biomet Holdings,http://theenterpriseleader.com/?p=976688,False,5.588
1248,1016720006556651500,"['analysts', 'see', 'eps', 'for', 'zimmer', 'biomet', 'holdings', 'inc', 'zbh', 'httpstcoqigyeol']",Tue Jul 10 16:25:13 +0000 2018,whatsonthorold2,ZBH,Zimmer Biomet Holdings,https://www.whatsonthorold.com/2018/07/10/analysts-see-1-88-eps-for-zimmer-biomet-holdings-inc-zbh/,False,5.307999999999999
1250,1016720213298110500,"['zimmer', 'biomet', 'holdings', 'inc', 'zbh', 'eps', 'estimated', 'at', 'httpstcodycewhtv']",Tue Jul 10 16:26:03 +0000 2018,reurope_stock,ZBH,Zimmer Biomet Holdings,https://reurope.com/2018/07/10/zimmer-biomet-holdings-inc-zbh-eps-estimated-at-1-88/,False,5.18
1251,1016720336103100400,"['zimmer', 'biomet', 'holdings', 'inc', 'zbh', 'eps', 'estimated', 'at', 'httpstcoaqkkgfo']",Tue Jul 10 16:26:32 +0000 2018,bibeypost_stock,ZBH,Zimmer Biomet Holdings,https://www.bibeypost.com/zimmer-biomet-holdings-inc-zbh-eps-estimated-at-1-88-2/,False,5.18
1707,1016900536199798800,"['zimmer', 'biomet', 'zbh', 'and', 'conformis', 'cfms', 'critical', 'analysis', 'httpstconkvibxad']",Wed Jul 11 04:22:35 +0000 2018,ledgerzette,ZBH,Zimmer Biomet Holdings,http://ledgergazette.com/?p=2818139,False,4.746666666666666
1708,1016900896423403500,"['reviewing', 'conformis', 'cfms', 'and', 'zimmer', 'biomet', 'zbh', 'httpstcogpdqbbw']",Wed Jul 11 04:24:01 +0000 2018,dakotafinancial,ZBH,Zimmer Biomet Holdings,http://dakotafinancialnews.com/?p=309743,False,5.22
1739,1016929371477741600,"['zimmer', 'biomet', 'zbh', 'lifted', 'to', 'hold', 'at', 'zacks', 'investment', 'research', 'httpstcohaoufwqn']",Wed Jul 11 06:17:10 +0000 2018,ledgerzette,ZBH,Zimmer Biomet Holdings,http://ledgergazette.com/?p=2818331,False,5.676666666666667
1740,1016929775305351200,"['zimmer', 'biomet', 'zbh', 'lifted', 'to', 'hold', 'at', 'zacks', 'investment', 'research', 'httpstcocwyoetg']",Wed Jul 11 06:18:46 +0000 2018,dakotafinancial,ZBH,Zimmer Biomet Holdings,http://dakotafinancialnews.com/?p=309936,False,5.676666666666667
2625,1017195306126061600,"['billion', 'in', 'sales', 'expected', 'for', 'zimmer', 'biomet', 'holdings', 'inc', 'zbh', 'this', 'quarter', 'httpstcodjlkhrxqd']",Wed Jul 11 23:53:54 +0000 2018,MareaInformativ,ZBH,Zimmer Biomet Holdings,http://www.mareainformativa.com/?p=428060,False,5.631111111111112
2627,1017195492005040100,"['zimmer', 'biomet', 'holdings', 'inc', 'zbh', 'expected', 'to', 'announce', 'earnings', 'of', 'per', 'share', 'httpstcomcfvvlvki']",Wed Jul 11 23:54:38 +0000 2018,TheMarketsDaily,ZBH,Zimmer Biomet Holdings,http://zpr.io/6a3nn,False,5.653333333333332
2628,1017195736277151700,"['billion', 'in', 'sales', 'expected', 'for', 'zimmer', 'biomet', 'holdings', 'inc', 'zbh', 'this', 'quarter', 'httpstcosexgbkiaj']",Wed Jul 11 23:55:36 +0000 2018,TranscriptDaily,ZBH,Zimmer Biomet Holdings,http://zpr.io/6a36P,False,5.631111111111112
2783,1017275137920520200,"['zimmer', 'biomet', 'zbh', 'stock', 'rating', 'upgraded', 'by', 'zacks', 'investment', 'research', 'httpstcofupgtglzf']",Thu Jul 12 05:11:07 +0000 2018,TickerReport,ZBH,Zimmer Biomet Holdings,http://tickerreport.com/?p=3630127,False,5.720000000000001
3229,1017399909484515300,"['its', 'been', 'a', 'crucial', 'week', 'for', 'zimmer', 'biomet', 'holdings', 'inc', 'zbh', 'heres', 'what', 'analysts', 'have', 'to', 'say', 'httpstcogteaoc']",Thu Jul 12 13:26:55 +0000 2018,whatsonthorold2,ZBH,Zimmer Biomet Holdings,https://www.whatsonthorold.com/2018/07/12/its-been-a-crucial-week-for-zimmer-biomet-holdings-inc-nysezbh-heres-what-analysts-have-to-say/,False,5.1123076923076916
3235,1017399990703001600,"['how', 'many', 'zimmer', 'biomet', 'holdings', 'inc', 'zbhs', 'analysts', 'are', 'bearish', 'httpstcostwfkimbuk']",Thu Jul 12 13:27:14 +0000 2018,mmahotstuff1,ZBH,Zimmer Biomet Holdings,https://www.mmahotstuff.com/2018/07/12/how-many-zimmer-biomet-holdings-inc-nysezbhs-analysts-are-bearish.html,False,5.153333333333333
