,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
8755,1018635830716485600,"['short', 'sale', 'volume', 'not', 'short', 'interest', 'for', 'znga', 'is', 'httpstcowwrlxbzprv', 'googl', 'grvy', 'xlk', 'cool']",Sun Jul 15 23:18:02 +0000 2018,shortvolumes,ZNGA,Zynga Inc.,http://shortvolumes.com/?t=ZNGA,False,5.455555555555556
8761,1018636344514367500,"['znga', 'httpstcoryycedsf']",Sun Jul 15 23:20:04 +0000 2018,SeekingAlpha,ZNGA,Zynga Inc.,https://seekingalpha.com/article/4187358-can-zynga-maintain-momentum-going-forward?source=feed_f,False,0.0
8762,1018636346322120700,"['znga', 'httpstcoaumejc']",Sun Jul 15 23:20:04 +0000 2018,SAlphaTech,ZNGA,Zynga Inc.,https://seekingalpha.com/article/4187358-can-zynga-maintain-momentum-going-forward?source=twitter_salphatech,False,0.0
8813,1018650562936672300,"['unvc', 'ottv', 'eaph', 'cctl', 'cobi', 'rxmd', 'nflx', 'itvi', 'pxyn', 'sdvi', 'tsla', 'ptah', 'ocrx', 'gawk', 'btc', 'httpstcossgkldri']",Mon Jul 16 00:16:34 +0000 2018,ddpenny411,ZNGA,Zynga Inc.,https://twitter.com/i/web/status/1018650562936672262,False,0.0
8935,1018689172532494300,"['dont', 'miss', 'the', 'breakout', 'on', 'znga', 'buy', 'stop', 'stop', 'loss', 'is', 'suggested', 'by', 'the', 'chartmill', 'analyzer', 'httpstcoyygchoq']",Mon Jul 16 02:49:59 +0000 2018,ChartMill,ZNGA,Zynga Inc.,https://twitter.com/i/web/status/1018689172532494336,False,4.605
9988,1018860959421616100,"['unvc', 'ottv', 'eaph', 'cctl', 'cobi', 'nflx', 'itvi', 'pxyn', 'sdvi', 'tsla', 'ptah', 'ocrx', 'gawk', 'btc', 'rnsc', 'httpstcoeaqzdlbo']",Mon Jul 16 14:12:36 +0000 2018,ddpenny411,ZNGA,Zynga Inc.,https://twitter.com/i/web/status/1018860959421616128,False,0.0
9993,1018861243464024000,"['rt', 'ddpenny', 'unvc', 'ottv', 'eaph', 'cctl', 'cobi', 'nflx', 'itvi', 'pxyn', 'sdvi', 'tsla', 'ptah', 'ocrx', 'gawk', 'btc', 'rnsc', 'gfox', 'aapl']",Mon Jul 16 14:13:44 +0000 2018,sonya_stocks,ZNGA,Zynga Inc.,,False,4.88
10321,1018881264546406400,"['estate', 'asset', 'watch', 'volume', 'leaders', 'this', 'morning', 'bac', 'ge', 'chk', 'amd', 'c', 'mor', 'csco', 'nbr', 'nflx', 'wfc', 'coda', 'orcl', 'httpstcofjffwgesw']",Mon Jul 16 15:33:18 +0000 2018,TheBurdetteLawF,ZNGA,Zynga Inc.,https://twitter.com/i/web/status/1018881264546406401,False,5.802500000000001
10361,1018883484088262700,"['rt', 'ddpenny', 'unvc', 'ottv', 'eaph', 'cctl', 'cobi', 'nflx', 'itvi', 'pxyn', 'sdvi', 'tsla', 'ptah', 'ocrx', 'gawk', 'btc', 'rnsc', 'gfox', 'aapl']",Mon Jul 16 15:42:07 +0000 2018,EpikTrades2018,ZNGA,Zynga Inc.,,False,4.88
10398,1018885503951818800,"['full', 'list', 'of', 'markets', 'top', 'tech', 'stocks', 'httpstcoqxisqckd', 'smtc', 'ccmp', 'vsh', 'idcc', 'znga', 'aciw', 'vrnt', 'aeis', 'pay', 'httpstcoyvdrzzcum']",Mon Jul 16 15:50:08 +0000 2018,FinInvTr,ZNGA,Zynga Inc.,https://buff.ly/2mlyRcm,False,5.794999999999999
11329,1018947683958943700,"['atvi', 'gluu', 'ntes', 'tsg', 'znga', 'httpstcoftajoackz']",Mon Jul 16 19:57:13 +0000 2018,SeekingAlpha,ZNGA,Zynga Inc.,https://seekingalpha.com/article/4187566-zynga-growth?source=feed_f,False,0.0
11330,1018947685515079700,"['atvi', 'gluu', 'ntes', 'tsg', 'znga', 'httpstcodppthtqync']",Mon Jul 16 19:57:14 +0000 2018,SAlphaTech,ZNGA,Zynga Inc.,https://seekingalpha.com/article/4187566-zynga-growth?source=twitter_salphatech,False,0.0
11500,1018961800715472900,"['rt', 'ddpenny', 'unvc', 'ottv', 'eaph', 'cctl', 'cobi', 'nflx', 'itvi', 'pxyn', 'sdvi', 'tsla', 'ptah', 'ocrx', 'gawk', 'btc', 'rnsc', 'gfox', 'aapl']",Mon Jul 16 20:53:19 +0000 2018,BullisticStocks,ZNGA,Zynga Inc.,,False,4.88
